Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Lucas Acosta,ar ARG,GK,Sarmiento,28,1995,23,23,2070,23.0,24,1.04,104,81,78.8,5,9,9,9,39.1,2,2,0,0,0.0,Matches,1,Lucas Acosta,ar ARG,GK,Sarmiento,28,1995,23.0,24,2,1,7,1,30.4,0.29,+7.4,+0.32,137,436,31.4,391,50,60.6,48.0,261,76.2,59.0,408,15,3.7,9,0.39,11.1,Matches
2,Alan Aguerre,ar ARG,GK,Lanús,33,1990,10,10,900,10.0,14,1.40,43,28,69.8,3,4,3,1,10.0,2,1,1,0,50.0,Matches,2,Alan Aguerre,ar ARG,GK,Lanús,33,1990,10.0,14,1,0,1,0,13.0,0.27,-1.0,-0.10,67,176,38.1,199,24,52.8,40.9,98,72.4,53.9,172,3,1.7,4,0.40,14.0,Matches
3,Facundo Altamirano,ar ARG,GK,San Lorenzo,27,1996,9,9,810,9.0,11,1.22,32,22,65.6,1,3,5,2,22.2,0,0,0,0,,Matches,3,Facundo Altamirano,ar ARG,GK,San Lorenzo,27,1996,9.0,11,0,1,2,1,10.7,0.35,+0.7,+0.08,23,86,26.7,197,28,32.5,33.0,55,40.0,38.6,117,3,2.6,8,0.89,15.8,Matches
4,Ignacio Arce,ar ARG,GK,Deportivo Riestra,31,1992,25,25,2250,25.0,25,1.00,115,90,81.7,8,9,8,12,48.0,4,4,0,0,0.0,Matches,4,Ignacio Arce,ar ARG,GK,Deportivo Riestra,31,1992,25.0,25,4,1,1,0,33.3,0.26,+8.3,+0.33,250,684,36.5,641,33,76.8,51.5,227,84.6,61.5,569,40,7.0,28,1.12,14.4,Matches
5,Gabriel Arias,cl CHI,GK,Racing Club,36,1987,21,21,1845,20.5,18,0.88,63,46,73.0,12,3,6,10,47.6,2,1,0,1,0.0,Matches,5,Gabriel Arias,cl CHI,GK,Racing Club,36,1987,20.5,18,1,0,1,1,15.2,0.23,-1.8,-0.09,101,247,40.9,429,68,38.9,37.6,160,50.0,42.7,233,9,3.9,21,1.02,16.3,Matches
6,Franco Armani,ar ARG,GK,River Plate,37,1986,22,22,1980,22.0,16,0.73,68,51,80.9,11,6,5,9,40.9,4,3,1,0,25.0,Matches,6,Franco Armani,ar ARG,GK,River Plate,37,1986,22.0,16,3,0,1,0,19.7,0.24,+3.7,+0.17,58,124,46.8,395,109,21.5,28.7,154,25.3,30.6,222,10,4.5,21,0.95,15.7,Matches
7,Thyago Ayala,ar ARG,GK,Sarmiento,22,2001,1,1,90,1.0,0,0.00,3,3,100.0,0,1,0,1,100.0,0,0,0,0,,Matches,7,Thyago Ayala,ar ARG,GK,Sarmiento,22,2001,1.0,0,0,0,0,0,0.5,0.16,+0.5,+0.49,8,24,33.3,16,0,93.8,63.1,9,100.0,66.0,17,0,0.0,0,0.00,,Matches
8,Marcelo Barovero,ar ARG,GK,Banfield,39,1984,2,2,118,1.3,1,0.76,2,1,50.0,0,1,1,0,0.0,0,0,0,0,,Matches,8,Marcelo Barovero,ar ARG,GK,Banfield,39,1984,1.3,1,0,0,0,0,0.9,0.46,-0.1,-0.06,4,12,33.3,34,4,23.5,28.6,14,28.6,29.9,20,1,5.0,0,0.00,6.0,Matches
9,Enrique Bologna,ar ARG,GK,Defensa y Just,41,1982,17,17,1530,17.0,16,0.94,60,42,75.0,7,6,4,7,41.2,3,1,2,0,66.7,Matches,9,Enrique Bologna,ar ARG,GK,Defensa y Just,41,1982,17.0,16,1,0,3,0,18.6,0.27,+2.6,+0.15,119,277,43.0,404,66,45.5,37.9,161,57.8,45.1,297,9,3.0,8,0.47,11.9,Matches
