Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Joe Abrigo,cl CHI,"MF,FW",cl Palestino,28,1995,6,2,262,2.9,0,0,0,0,0,0,1,0,0.3,0.3,0.8,1.1,4,16,9,0.00,0.00,0.00,0.00,0.00,0.11,0.26,0.37,0.11,0.37,Matches,1,Joe Abrigo,cl CHI,"MF,FW",cl Palestino,28,1995,2.9,0,6,3,50.0,2.06,1.03,0.00,0.00,21.4,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,1,Joe Abrigo,cl CHI,"MF,FW",cl Palestino,28,1995,2.9,114,134,85.1,2189,659,50,54,92.6,45,49,91.8,18,26,69.2,0,0.8,0.6,-0.8,6,11,2,1,16,Matches,1,Joe Abrigo,cl CHI,"MF,FW",cl Palestino,28,1995,2.9,134,116,17,7,0,0,9,1,7,4,2,0,114,1,3,Matches,1,Joe Abrigo,cl CHI,"MF,FW",cl Palestino,28,1995,2.9,18,6.18,11,2,1,2,2,0,0,0.00,0,0,0,0,0,0,Matches,1,Joe Abrigo,cl CHI,"MF,FW",cl Palestino,28,1995,2.9,4,2,1,3,0,2,3,66.7,1,3,0,3,1,5,0,1,Matches,1,Joe Abrigo,cl CHI,"MF,FW",cl Palestino,28,1995,2.9,159,0,20,102,40,7,159,6,3,50.0,2,33.3,101,597,172,4,3,2,7,9,120,9,Matches,1,Joe Abrigo,cl CHI,"MF,FW",cl Palestino,28,1995,2.9,1,0,0,1,8,0,9,1,2,0,0,0,17,1,3,25.0,Matches
2,Nahuel Acosta,uy URU,FW,uy Peñarol,24,1999,2,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,6,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,Matches,2,Nahuel Acosta,uy URU,FW,uy Peñarol,24,1999,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2,Nahuel Acosta,uy URU,FW,uy Peñarol,24,1999,0.4,7,12,58.3,128,47,4,5,80.0,1,2,50.0,2,3,66.7,0,0.0,0.1,0.0,1,1,1,1,1,Matches,2,Nahuel Acosta,uy URU,FW,uy Peñarol,24,1999,0.4,12,11,1,0,0,0,2,1,0,0,0,0,7,0,2,Matches,2,Nahuel Acosta,uy URU,FW,uy Peñarol,24,1999,0.4,2,5.63,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,2,Nahuel Acosta,uy URU,FW,uy Peñarol,24,1999,0.4,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,Matches,2,Nahuel Acosta,uy URU,FW,uy Peñarol,24,1999,0.4,22,0,0,8,14,3,22,3,1,33.3,2,66.7,14,83,31,2,1,1,4,4,12,6,Matches,2,Nahuel Acosta,uy URU,FW,uy Peñarol,24,1999,0.4,0,0,0,2,2,0,2,0,1,0,0,0,2,0,1,0.0,Matches
3,Marcos Acuña,ar ARG,DF,ar River Plate,32,1991,3,3,270,3.0,0,1,1,0,0,0,1,0,0.2,0.2,0.4,0.6,2,14,10,0.00,0.33,0.33,0.00,0.33,0.07,0.12,0.19,0.07,0.19,Matches,3,Marcos Acuña,ar ARG,DF,ar River Plate,32,1991,3.0,0,2,0,0.0,0.67,0.00,0.00,,17.0,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches,3,Marcos Acuña,ar ARG,DF,ar River Plate,32,1991,3.0,117,159,73.6,2093,873,54,60,90.0,49,62,79.0,13,30,43.3,1,0.4,0.4,+0.6,6,7,4,4,14,Matches,3,Marcos Acuña,ar ARG,DF,ar River Plate,32,1991,3.0,159,109,49,8,0,0,15,37,4,1,3,0,117,1,4,Matches,3,Marcos Acuña,ar ARG,DF,ar River Plate,32,1991,3.0,13,4.33,6,5,1,1,0,0,1,0.33,0,1,0,0,0,0,Matches,3,Marcos Acuña,ar ARG,DF,ar River Plate,32,1991,3.0,3,2,3,0,0,0,2,0.0,2,3,0,3,2,5,4,0,Matches,3,Marcos Acuña,ar ARG,DF,ar River Plate,32,1991,3.0,187,5,44,89,57,2,187,8,5,62.5,3,37.5,64,304,135,2,5,0,4,7,82,10,Matches,3,Marcos Acuña,ar ARG,DF,ar River Plate,32,1991,3.0,1,0,0,4,1,0,15,2,2,0,0,0,19,4,7,36.4,Matches
4,Ricardo Adé,ht HAI,DF,ec LDU de Quito,33,1990,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,4,Ricardo Adé,ht HAI,DF,ec LDU de Quito,33,1990,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4,Ricardo Adé,ht HAI,DF,ec LDU de Quito,33,1990,5.0,157,188,83.5,3417,1674,38,42,90.5,91,98,92.9,28,46,60.9,0,0.1,0.0,-0.1,2,8,1,1,8,Matches,4,Ricardo Adé,ht HAI,DF,ec LDU de Quito,33,1990,5.0,188,173,15,14,0,3,1,0,0,0,0,0,157,0,1,Matches,4,Ricardo Adé,ht HAI,DF,ec LDU de Quito,33,1990,5.0,2,0.40,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4,Ricardo Adé,ht HAI,DF,ec LDU de Quito,33,1990,5.0,4,3,3,1,0,2,4,50.0,2,6,2,4,5,9,14,0,Matches,4,Ricardo Adé,ht HAI,DF,ec LDU de Quito,33,1990,5.0,214,28,129,84,1,1,214,0,0,,0,,103,429,215,1,0,0,0,1,122,0,Matches,4,Ricardo Adé,ht HAI,DF,ec LDU de Quito,33,1990,5.0,0,0,0,1,3,0,1,5,3,0,0,0,20,6,2,75.0,Matches
5,Adryelson,br BRA,DF,br Botafogo (RJ),25,1998,3,2,241,2.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,5,Adryelson,br BRA,DF,br Botafogo (RJ),25,1998,2.7,0,1,0,0.0,0.37,0.00,0.00,,7.3,0,0,0,0.1,0.1,0.15,-0.1,-0.1,Matches,5,Adryelson,br BRA,DF,br Botafogo (RJ),25,1998,2.7,29,40,72.5,630,337,7,7,100.0,15,22,68.2,7,11,63.6,0,0.0,0.0,0.0,0,2,0,0,2,Matches,5,Adryelson,br BRA,DF,br Botafogo (RJ),25,1998,2.7,40,38,2,2,0,3,0,0,0,0,0,0,29,0,0,Matches,5,Adryelson,br BRA,DF,br Botafogo (RJ),25,1998,2.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,5,Adryelson,br BRA,DF,br Botafogo (RJ),25,1998,2.7,1,0,1,0,0,0,0,,0,6,3,3,0,1,24,1,Matches,5,Adryelson,br BRA,DF,br Botafogo (RJ),25,1998,2.7,76,25,53,23,1,1,76,0,0,,0,,12,48,24,0,0,0,0,0,27,0,Matches,5,Adryelson,br BRA,DF,br Botafogo (RJ),25,1998,2.7,0,0,0,2,0,0,0,0,0,0,0,0,1,7,2,77.8,Matches
6,Gabriel Aguayo,py PAR,"FW,MF",py Cerro Porteño,18,2005,4,0,97,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,8,3,12,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09,Matches,6,Gabriel Aguayo,py PAR,"FW,MF",py Cerro Porteño,18,2005,1.1,0,1,0,0.0,0.93,0.00,0.00,,12.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,6,Gabriel Aguayo,py PAR,"FW,MF",py Cerro Porteño,18,2005,1.1,16,25,64.0,196,104,10,13,76.9,4,5,80.0,0,1,0.0,0,0.1,0.1,-0.1,2,2,4,3,3,Matches,6,Gabriel Aguayo,py PAR,"FW,MF",py Cerro Porteño,18,2005,1.1,25,24,1,0,0,0,6,0,1,0,0,0,16,0,2,Matches,6,Gabriel Aguayo,py PAR,"FW,MF",py Cerro Porteño,18,2005,1.1,4,3.71,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,6,Gabriel Aguayo,py PAR,"FW,MF",py Cerro Porteño,18,2005,1.1,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches,6,Gabriel Aguayo,py PAR,"FW,MF",py Cerro Porteño,18,2005,1.1,35,0,2,5,28,4,35,4,3,75.0,1,25.0,31,394,153,8,2,3,4,4,30,12,Matches,6,Gabriel Aguayo,py PAR,"FW,MF",py Cerro Porteño,18,2005,1.1,0,0,0,1,0,0,6,0,0,0,0,0,4,1,1,50.0,Matches
7,Washington Aguerre,uy URU,GK,uy Peñarol,30,1993,8,8,674,7.5,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7,Washington Aguerre,uy URU,GK,uy Peñarol,30,1993,7.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7,Washington Aguerre,uy URU,GK,uy Peñarol,30,1993,7.5,77,175,44.0,3103,2669,7,7,100.0,29,30,96.7,41,137,29.9,0,0.0,0.0,0.0,0,7,0,0,0,Matches,7,Washington Aguerre,uy URU,GK,uy Peñarol,30,1993,7.5,175,79,95,23,0,0,0,0,0,0,0,0,77,1,0,Matches,7,Washington Aguerre,uy URU,GK,uy Peñarol,30,1993,7.5,2,0.27,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,7,Washington Aguerre,uy URU,GK,uy Peñarol,30,1993,7.5,0,0,0,0,0,0,0,,0,1,0,1,1,1,6,1,Matches,7,Washington Aguerre,uy URU,GK,uy Peñarol,30,1993,7.5,200,176,200,0,0,0,200,0,0,,0,,72,617,463,0,0,0,0,0,27,0,Matches,7,Washington Aguerre,uy URU,GK,uy Peñarol,30,1993,7.5,3,1,0,0,4,0,0,1,0,0,0,0,5,1,0,100.0,Matches
8,Gustavo Aguilar,py PAR,"FW,MF",py Libertad,24,1999,6,0,133,1.5,1,0,1,1,0,0,0,0,1.0,1.0,0.3,1.3,1,5,10,0.68,0.00,0.68,0.68,0.68,0.68,0.24,0.91,0.66,0.90,Matches,8,Gustavo Aguilar,py PAR,"FW,MF",py Libertad,24,1999,1.5,1,5,2,40.0,3.38,1.35,0.20,0.50,9.7,0,0,0,1.0,1.0,0.20,0.0,0.0,Matches,8,Gustavo Aguilar,py PAR,"FW,MF",py Libertad,24,1999,1.5,32,41,78.0,335,67,28,31,90.3,4,7,57.1,0,0,,0,0.3,0.3,-0.3,4,2,0,0,5,Matches,8,Gustavo Aguilar,py PAR,"FW,MF",py Libertad,24,1999,1.5,41,41,0,0,0,0,0,0,0,0,0,0,32,0,1,Matches,8,Gustavo Aguilar,py PAR,"FW,MF",py Libertad,24,1999,1.5,6,4.06,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,8,Gustavo Aguilar,py PAR,"FW,MF",py Libertad,24,1999,1.5,1,1,0,0,1,0,0,,0,0,0,0,0,1,5,0,Matches,8,Gustavo Aguilar,py PAR,"FW,MF",py Libertad,24,1999,1.5,62,4,6,29,27,11,62,2,0,0.0,2,100.0,29,90,31,1,0,0,5,3,45,10,Matches,8,Gustavo Aguilar,py PAR,"FW,MF",py Libertad,24,1999,1.5,0,0,0,2,2,0,0,0,1,0,0,0,5,14,10,58.3,Matches
9,Darío Aimar,ec ECU,DF,bo The Strongest,29,1995,7,6,584,6.5,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,9,Darío Aimar,ec ECU,DF,bo The Strongest,29,1995,6.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9,Darío Aimar,ec ECU,DF,bo The Strongest,29,1995,6.5,197,234,84.2,3851,1770,63,65,96.9,102,117,87.2,25,38,65.8,0,0.1,0.0,-0.1,3,3,0,0,11,Matches,9,Darío Aimar,ec ECU,DF,bo The Strongest,29,1995,6.5,234,220,12,11,0,1,0,1,0,0,0,0,197,2,2,Matches,9,Darío Aimar,ec ECU,DF,bo The Strongest,29,1995,6.5,3,0.46,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,9,Darío Aimar,ec ECU,DF,bo The Strongest,29,1995,6.5,2,2,1,1,0,1,2,50.0,1,3,2,1,4,6,27,0,Matches,9,Darío Aimar,ec ECU,DF,bo The Strongest,29,1995,6.5,275,35,148,126,3,2,275,0,0,,0,,133,641,422,0,0,0,1,1,164,0,Matches,9,Darío Aimar,ec ECU,DF,bo The Strongest,29,1995,6.5,2,0,0,4,4,0,0,4,2,0,0,0,19,10,9,52.6,Matches
