Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Oliver Abildgaard,dk DEN,MF,Como,27,1996,28,20,1865,20.7,2,3,5,2,0,0,5,0,0.6,0.6,1.5,2.1,10,109,13,0.10,0.14,0.24,0.10,0.24,0.03,0.07,0.10,0.03,0.10,Matches,1,Oliver Abildgaard,dk DEN,MF,Como,27,1996,20.7,2,21,6,28.6,1.01,0.29,0.10,0.33,22.4,0,0,0,0.6,0.6,0.03,+1.4,+1.4,Matches,1,Oliver Abildgaard,dk DEN,MF,Como,27,1996,20.7,707,941,75.1,12038,5024,338,418,80.9,295,378,78.0,58,100,58.0,3,1.5,1.3,+1.5,14,88,14,4,109,Matches,1,Oliver Abildgaard,dk DEN,MF,Como,27,1996,20.7,941,930,9,7,0,6,14,2,0,0,0,0,707,2,13,Matches,1,Oliver Abildgaard,dk DEN,MF,Como,27,1996,20.7,38,1.83,30,0,2,4,0,2,7,0.34,4,0,0,3,0,0,Matches,1,Oliver Abildgaard,dk DEN,MF,Como,27,1996,20.7,28,13,13,11,4,13,22,59.1,9,24,14,10,73,101,70,0,Matches,1,Oliver Abildgaard,dk DEN,MF,Como,27,1996,20.7,1218,89,382,689,153,23,1218,21,12,57.1,8,38.1,526,2382,941,10,24,1,17,12,596,13,Matches,1,Oliver Abildgaard,dk DEN,MF,Como,27,1996,20.7,5,0,0,40,24,1,14,73,13,0,0,0,122,90,28,76.3,Matches
2,Fabio Abiuso,gr GRE,"FW,MF",Modena,20,2003,23,11,1234,13.7,5,0,5,5,0,0,5,1,6.2,6.2,1.3,7.5,17,16,81,0.36,0.00,0.36,0.36,0.36,0.45,0.09,0.55,0.45,0.55,Matches,2,Fabio Abiuso,gr GRE,"FW,MF",Modena,20,2003,13.7,5,48,15,31.3,3.50,1.09,0.10,0.33,11.3,0,0,0,6.2,6.2,0.13,-1.2,-1.2,Matches,2,Fabio Abiuso,gr GRE,"FW,MF",Modena,20,2003,13.7,144,226,63.7,1844,304,88,122,72.1,34,55,61.8,7,11,63.6,0,1.3,0.8,-1.3,14,9,1,0,16,Matches,2,Fabio Abiuso,gr GRE,"FW,MF",Modena,20,2003,13.7,226,217,8,2,0,3,4,1,0,0,0,0,144,1,13,Matches,2,Fabio Abiuso,gr GRE,"FW,MF",Modena,20,2003,13.7,31,2.26,18,0,2,8,3,0,3,0.22,0,0,2,1,0,0,Matches,2,Fabio Abiuso,gr GRE,"FW,MF",Modena,20,2003,13.7,19,13,4,6,9,7,19,36.8,12,18,2,16,6,25,5,0,Matches,2,Fabio Abiuso,gr GRE,"FW,MF",Modena,20,2003,13.7,403,8,33,138,235,87,403,14,3,21.4,10,71.4,209,947,456,17,11,12,39,20,288,81,Matches,2,Fabio Abiuso,gr GRE,"FW,MF",Modena,20,2003,13.7,5,1,0,30,37,4,4,6,13,0,0,0,36,40,62,39.2,Matches
3,Gonzalo Abrego,ar ARG,MF,Cremonese,23,2000,22,11,1102,12.2,1,0,1,1,0,0,2,0,1.4,1.4,0.5,1.9,19,70,60,0.08,0.00,0.08,0.08,0.08,0.11,0.04,0.15,0.11,0.15,Matches,3,Gonzalo Abrego,ar ARG,MF,Cremonese,23,2000,12.2,1,16,4,25.0,1.31,0.33,0.06,0.25,16.1,1,0,0,1.4,1.4,0.09,-0.4,-0.4,Matches,3,Gonzalo Abrego,ar ARG,MF,Cremonese,23,2000,12.2,423,503,84.1,7072,2051,208,235,88.5,156,182,85.7,46,59,78.0,0,0.5,0.7,-0.5,11,53,8,1,70,Matches,3,Gonzalo Abrego,ar ARG,MF,Cremonese,23,2000,12.2,503,494,7,2,0,4,11,0,4,2,1,0,423,2,5,Matches,3,Gonzalo Abrego,ar ARG,MF,Cremonese,23,2000,12.2,27,2.21,25,0,2,0,0,0,2,0.16,2,0,0,0,0,0,Matches,3,Gonzalo Abrego,ar ARG,MF,Cremonese,23,2000,12.2,30,20,11,11,8,15,27,55.6,12,20,4,16,10,40,12,0,Matches,3,Gonzalo Abrego,ar ARG,MF,Cremonese,23,2000,12.2,632,19,117,332,186,31,632,19,10,52.6,8,42.1,332,1585,738,19,17,7,16,17,403,60,Matches,3,Gonzalo Abrego,ar ARG,MF,Cremonese,23,2000,12.2,2,0,0,23,2,1,11,10,20,0,0,0,64,21,35,37.5,Matches
4,Gennaro Acampora,it ITA,MF,Bari,29,1994,20,14,1174,13.0,0,2,2,0,0,0,5,0,0.5,0.5,0.9,1.4,25,75,14,0.00,0.15,0.15,0.00,0.15,0.04,0.07,0.11,0.04,0.11,Matches,4,Gennaro Acampora,it ITA,MF,Bari,29,1994,13.0,0,16,3,18.8,1.23,0.23,0.00,0.00,26.9,2,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches,4,Gennaro Acampora,it ITA,MF,Bari,29,1994,13.0,446,566,78.8,9323,2579,164,190,86.3,184,216,85.2,90,136,66.2,2,0.9,1.1,+1.1,17,52,10,3,75,Matches,4,Gennaro Acampora,it ITA,MF,Bari,29,1994,13.0,566,516,46,30,0,25,31,0,14,7,4,0,446,4,12,Matches,4,Gennaro Acampora,it ITA,MF,Bari,29,1994,13.0,37,2.84,27,4,0,2,4,0,3,0.23,2,0,0,1,0,0,Matches,4,Gennaro Acampora,it ITA,MF,Bari,29,1994,13.0,34,22,17,16,1,12,25,48.0,13,19,3,16,7,41,10,0,Matches,4,Gennaro Acampora,it ITA,MF,Bari,29,1994,13.0,700,25,150,403,167,6,700,31,18,58.1,10,32.3,416,2674,1187,25,22,0,13,18,433,14,Matches,4,Gennaro Acampora,it ITA,MF,Bari,29,1994,13.0,5,0,0,24,32,1,31,7,22,0,0,0,84,11,12,47.8,Matches
5,Ismail Achik,it ITA,"FW,MF",Bari,23,2000,22,6,821,9.1,1,1,2,1,0,0,2,0,1.7,1.7,2.1,3.8,34,22,104,0.11,0.11,0.22,0.11,0.22,0.18,0.23,0.41,0.18,0.41,Matches,5,Ismail Achik,it ITA,"FW,MF",Bari,23,2000,9.1,1,28,5,17.9,3.07,0.55,0.04,0.20,20.5,2,0,0,1.7,1.7,0.06,-0.7,-0.7,Matches,5,Ismail Achik,it ITA,"FW,MF",Bari,23,2000,9.1,213,376,56.6,3748,1306,106,128,82.8,73,109,67.0,28,92,30.4,1,2.1,2.9,-1.1,19,16,15,7,22,Matches,5,Ismail Achik,it ITA,"FW,MF",Bari,23,2000,9.1,376,306,70,13,0,4,116,8,49,24,19,1,213,0,34,Matches,5,Ismail Achik,it ITA,"FW,MF",Bari,23,2000,9.1,42,4.60,16,14,6,1,5,0,2,0.22,1,0,1,0,0,0,Matches,5,Ismail Achik,it ITA,"FW,MF",Bari,23,2000,9.1,6,5,2,3,1,2,10,20.0,8,9,1,8,2,8,4,0,Matches,5,Ismail Achik,it ITA,"FW,MF",Bari,23,2000,9.1,479,6,41,152,292,33,479,30,15,50.0,12,40.0,290,2093,943,34,21,7,22,8,326,104,Matches,5,Ismail Achik,it ITA,"FW,MF",Bari,23,2000,9.1,2,0,0,13,23,5,116,2,5,0,0,0,30,2,6,25.0,Matches
6,Claud Adjapong,it ITA,DF,Ascoli,25,1998,15,9,748,8.3,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,4,15,24,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches,6,Claud Adjapong,it ITA,DF,Ascoli,25,1998,8.3,0,6,3,50.0,0.72,0.36,0.00,0.00,24.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,6,Claud Adjapong,it ITA,DF,Ascoli,25,1998,8.3,200,305,65.6,3694,1401,76,97,78.4,99,141,70.2,20,51,39.2,0,0.2,0.3,-0.2,4,19,5,4,15,Matches,6,Claud Adjapong,it ITA,DF,Ascoli,25,1998,8.3,305,235,70,7,0,2,22,63,0,0,0,0,200,0,6,Matches,6,Claud Adjapong,it ITA,DF,Ascoli,25,1998,8.3,14,1.68,8,2,0,0,3,1,1,0.12,1,0,0,0,0,0,Matches,6,Claud Adjapong,it ITA,DF,Ascoli,25,1998,8.3,15,6,12,3,0,4,8,50.0,4,10,5,5,2,17,19,0,Matches,6,Claud Adjapong,it ITA,DF,Ascoli,25,1998,8.3,385,27,108,186,93,8,385,4,1,25.0,1,25.0,156,793,267,4,8,0,11,5,167,24,Matches,6,Claud Adjapong,it ITA,DF,Ascoli,25,1998,8.3,1,0,0,8,6,2,22,2,6,0,1,0,34,6,7,46.2,Matches
7,Davide Adorni,it ITA,DF,Brescia,30,1992,24,22,1938,21.5,1,0,1,1,0,0,4,0,1.1,1.1,0.2,1.3,6,57,2,0.05,0.00,0.05,0.05,0.05,0.05,0.01,0.06,0.05,0.06,Matches,7,Davide Adorni,it ITA,DF,Brescia,30,1992,21.5,1,14,3,21.4,0.65,0.14,0.07,0.33,10.9,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches,7,Davide Adorni,it ITA,DF,Brescia,30,1992,21.5,859,1027,83.6,18264,7248,234,270,86.7,490,540,90.7,128,191,67.0,0,0.2,0.2,-0.2,5,50,2,0,57,Matches,7,Davide Adorni,it ITA,DF,Brescia,30,1992,21.5,1027,983,43,34,0,11,3,4,0,0,0,0,859,1,8,Matches,7,Davide Adorni,it ITA,DF,Brescia,30,1992,21.5,18,0.84,13,0,0,2,0,3,1,0.05,1,0,0,0,0,0,Matches,7,Davide Adorni,it ITA,DF,Brescia,30,1992,21.5,30,21,18,11,1,18,25,72.0,7,22,14,8,24,54,75,0,Matches,7,Davide Adorni,it ITA,DF,Brescia,30,1992,21.5,1211,159,611,564,44,25,1211,0,0,,0,,673,3161,1597,6,6,1,10,1,779,2,Matches,7,Davide Adorni,it ITA,DF,Brescia,30,1992,21.5,4,0,0,29,9,0,3,24,21,0,0,0,69,53,35,60.2,Matches
8,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,20,2003,7,1,233,2.6,0,0,0,0,0,0,1,0,0.7,0.7,0.2,0.8,13,4,35,0.00,0.00,0.00,0.00,0.00,0.25,0.06,0.31,0.25,0.31,Matches,8,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,20,2003,2.6,0,6,0,0.0,2.32,0.00,0.00,,10.4,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches,8,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,20,2003,2.6,71,90,78.9,993,104,49,58,84.5,17,23,73.9,4,5,80.0,0,0.2,0.3,-0.2,4,0,1,1,4,Matches,8,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,20,2003,2.6,90,85,5,0,0,0,2,3,0,0,0,0,71,0,3,Matches,8,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,20,2003,2.6,9,3.46,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,8,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,20,2003,2.6,6,4,2,1,3,2,3,66.7,1,3,0,3,3,9,1,0,Matches,8,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,20,2003,2.6,136,1,11,38,91,21,136,7,2,28.6,5,71.4,84,742,401,13,8,2,10,5,89,35,Matches,8,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,20,2003,2.6,1,0,0,3,3,0,2,3,4,0,0,0,16,4,10,28.6,Matches
9,Vittorio Agostinelli,it ITA,FW,Calcio Lecco 1912,21,2002,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15,Matches,9,Vittorio Agostinelli,it ITA,FW,Calcio Lecco 1912,21,2002,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9,Vittorio Agostinelli,it ITA,FW,Calcio Lecco 1912,21,2002,0.3,2,6,33.3,14,7,2,3,66.7,0,1,0.0,0,0,,0,0.0,0.0,0.0,1,0,1,0,1,Matches,9,Vittorio Agostinelli,it ITA,FW,Calcio Lecco 1912,21,2002,0.3,6,6,0,0,0,0,0,0,0,0,0,0,2,0,1,Matches,9,Vittorio Agostinelli,it ITA,FW,Calcio Lecco 1912,21,2002,0.3,2,6.67,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,9,Vittorio Agostinelli,it ITA,FW,Calcio Lecco 1912,21,2002,0.3,2,1,1,1,0,1,2,50.0,1,1,0,1,0,2,0,0,Matches,9,Vittorio Agostinelli,it ITA,FW,Calcio Lecco 1912,21,2002,0.3,9,0,4,2,3,0,9,1,1,100.0,0,0.0,3,25,21,1,0,0,2,0,3,1,Matches,9,Vittorio Agostinelli,it ITA,FW,Calcio Lecco 1912,21,2002,0.3,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,100.0,Matches
