Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Brest,25,27.0,53.6,34,374,3060,34.0,51,33,84,47,4,4,84,5,48.3,45.1,34.4,79.5,590,1402,1.5,0.97,2.47,1.38,2.35,1.42,1.01,2.43,1.33,2.34,Brest,2,34,34,3057,34.0,34,1.0,133,98,75.9,17,10,7,15,44.1,3,2,1,0,33.3,Brest,2,34.0,34,2,0,4,0,36.5,0.26,2.5,0.07,244,518,47.1,978,144,39.5,37.2,198,66.7,47.7,406,18,4.4,43,1.27,23.0,Brest,25,34.0,51,481,165,34.3,14.15,4.85,0.1,0.28,17.6,12,4,4,48.3,45.1,0.1,2.7,1.9,Brest,25,34.0,14111,17733,79.6,274556,96326,5352,6275,85.3,6263,7237,86.5,2059,3359,61.3,33,34.4,35.8,-1.4,357,1155,269,105,1402,Brest,25,34.0,17733,16093,1606,490,25,166,792,696,154,79,67,0,14111,34,336,Brest,25,34.0,837,24.62,590,73,45,59,47,23,85,2.5,55,8,3,10,7,2,Brest,25,34.0,679,427,295,299,85,306,715,42.8,409,386,100,286,321,1000,644,13,Brest,25,53.6,34.0,21735,2170,6704,10200,5105,723,21731,690,326,47.2,320,46.4,15224,89502,39734,590,532,105,569,265,13983,1385,Brest,25,34.0,84,5,2,414,422,34,792,321,427,2,3,0,1910,598,509,54.0
Clermont Foot,31,26.8,48.9,34,374,3060,34.0,26,18,44,20,6,8,60,7,36.0,29.8,23.1,52.8,537,1247,0.76,0.53,1.29,0.59,1.12,1.06,0.68,1.74,0.88,1.55,Clermont Foot,2,34,34,3060,34.0,60,1.76,212,152,75.0,5,10,19,5,14.7,9,7,1,1,12.5,Clermont Foot,2,34.0,60,7,0,6,1,64.9,0.28,5.9,0.17,226,613,36.9,1138,157,43.7,30.9,275,42.2,34.5,514,46,8.9,49,1.44,10.1,Clermont Foot,31,34.0,26,382,120,31.4,11.24,3.53,0.05,0.17,19.0,13,6,8,36.0,29.8,0.08,-10.0,-9.8,Clermont Foot,31,34.0,13390,16784,79.8,238625,85204,5792,6628,87.4,5654,6606,85.6,1435,2665,53.8,18,23.1,25.2,-5.1,282,989,208,57,1247,Clermont Foot,31,34.0,16784,15174,1559,458,51,78,551,581,150,73,52,2,13390,51,277,Clermont Foot,31,34.0,672,19.76,490,59,30,44,40,9,50,1.47,37,4,0,4,5,0,Clermont Foot,31,34.0,581,358,279,242,60,312,633,49.3,321,382,130,252,347,928,667,19,Clermont Foot,31,48.9,34.0,20572,2425,6911,9932,3924,578,20564,575,252,43.8,286,49.7,14537,85738,39030,537,470,113,498,269,13270,1238,Clermont Foot,31,34.0,60,7,1,396,429,51,551,347,358,7,9,1,1695,393,414,48.7
Le Havre,27,26.2,44.7,34,374,3060,34.0,33,23,56,27,6,7,67,6,37.3,31.8,25.3,57.1,457,1199,0.97,0.68,1.65,0.79,1.47,1.1,0.74,1.84,0.94,1.68,Le Havre,2,34,34,3060,34.0,45,1.32,158,114,72.8,7,11,16,7,20.6,4,2,1,1,33.3,Le Havre,2,34.0,45,2,0,5,2,49.9,0.31,6.9,0.2,158,463,34.1,709,135,45.7,33.1,251,55.4,40.9,482,32,6.6,25,0.74,14.5,Le Havre,27,34.0,33,381,113,29.7,11.21,3.32,0.07,0.24,18.2,11,6,7,37.3,31.8,0.09,-4.3,-4.8,Le Havre,27,34.0,11739,15121,77.6,206687,77964,5123,6042,84.8,5019,5901,85.1,1150,2291,50.2,23,25.3,24.5,-2.3,290,945,209,57,1199,Le Havre,27,34.0,15121,13517,1552,441,28,54,544,655,128,54,55,0,11739,52,321,Le Havre,27,34.0,693,20.38,482,69,44,38,47,13,63,1.85,40,3,7,4,8,1,Le Havre,27,34.0,560,332,293,207,60,283,572,49.5,289,362,124,238,363,923,664,10,Le Havre,27,44.7,34.0,18820,2058,6332,8458,4240,620,18813,586,260,44.4,286,48.8,12860,70472,31489,457,446,114,453,284,11638,1189,Le Havre,27,34.0,67,6,3,433,368,52,544,363,332,7,4,2,1638,485,482,50.2
Lens,27,26.7,52.9,34,374,3060,34.0,45,29,74,39,6,7,78,4,54.1,48.8,37.2,86.0,609,1624,1.32,0.85,2.18,1.15,2.0,1.59,1.09,2.68,1.44,2.53,Lens,2,34,34,3060,34.0,37,1.09,138,101,77.5,14,9,11,14,41.2,8,6,1,1,14.3,Lens,2,34.0,37,6,0,6,1,43.3,0.28,7.3,0.21,164,379,43.3,923,148,33.3,29.0,221,32.6,29.1,396,32,8.1,39,1.15,9.8,Lens,27,34.0,45,487,167,34.3,14.32,4.91,0.08,0.23,16.7,13,6,7,54.1,48.8,0.1,-9.1,-9.8,Lens,27,34.0,14709,18083,81.3,249644,91474,6666,7617,87.5,6203,7157,86.7,1255,2217,56.6,29,37.2,41.6,-8.2,368,1312,349,95,1624,Lens,27,34.0,18083,16450,1558,453,49,63,736,638,175,68,87,0,14709,75,344,Lens,27,34.0,857,25.21,648,68,38,53,36,14,74,2.18,54,5,3,7,4,1,Lens,27,34.0,554,339,213,266,75,291,569,51.1,278,392,112,280,298,852,549,16,Lens,27,52.9,34.0,21677,1936,5779,10394,5721,811,21670,487,226,46.4,220,45.2,15840,89132,41093,609,612,113,527,317,14549,1611,Lens,27,34.0,78,4,1,445,424,75,736,298,339,5,8,1,1775,451,388,53.8
Lille,28,25.1,56.6,34,374,3060,34.0,50,32,82,48,2,3,67,3,48.6,46.2,34.8,81.0,650,1468,1.47,0.94,2.41,1.41,2.35,1.43,1.02,2.45,1.36,2.38,Lille,2,34,34,3060,34.0,34,1.0,128,94,75.8,16,11,7,15,44.1,5,3,2,0,40.0,Lille,2,34.0,34,3,0,2,2,37.5,0.26,5.5,0.16,106,360,29.4,1030,122,28.7,35.9,190,33.7,32.7,399,27,6.8,32,0.94,15.0,Lille,28,34.0,50,438,165,37.7,12.88,4.85,0.11,0.29,17.5,21,2,3,48.6,46.2,0.11,1.4,1.8,Lille,28,34.0,16278,19319,84.3,279186,90871,7309,8169,89.5,7084,7941,89.2,1351,2273,59.4,32,34.8,38.5,-2.8,324,1191,279,50,1468,Lille,28,34.0,19319,17662,1611,578,34,114,533,598,177,71,50,0,16278,46,285,Lille,28,34.0,773,22.74,529,71,58,47,51,17,81,2.38,46,8,8,12,6,1,Lille,28,34.0,594,370,267,242,85,278,580,47.9,302,319,80,239,292,886,574,10,Lille,28,56.6,34.0,22824,2050,6613,11596,4827,761,22821,680,336,49.4,293,43.1,17241,94800,44141,650,532,190,468,310,16106,1453,Lille,28,34.0,67,3,1,376,489,46,533,292,370,3,5,2,1642,355,346,50.6
Lorient,38,24.7,46.3,34,374,3060,34.0,41,27,68,40,1,1,66,1,37.1,36.4,27.1,63.5,632,1293,1.21,0.79,2.0,1.18,1.97,1.09,0.8,1.89,1.07,1.87,Lorient,1,34,34,3060,34.0,66,1.94,207,142,72.0,7,8,19,4,11.8,8,8,0,0,0.0,Lorient,1,34.0,66,8,1,8,1,64.0,0.28,-1.0,-0.03,139,378,36.8,850,162,30.5,31.4,299,39.8,33.8,591,24,4.1,13,0.38,8.9,Lorient,38,34.0,41,368,135,36.7,10.82,3.97,0.11,0.3,17.7,6,1,1,37.1,36.4,0.1,3.9,3.6,Lorient,38,34.0,13284,16298,81.5,233137,84711,5717,6546,87.3,5786,6600,87.7,1284,2251,57.0,27,27.1,27.5,-0.1,274,1004,251,56,1293,Lorient,38,34.0,16298,14696,1546,459,25,80,565,555,135,57,51,0,13284,56,292,Lorient,38,34.0,641,18.85,473,54,32,36,32,14,63,1.85,46,1,2,11,2,1,Lorient,38,34.0,538,326,284,195,59,252,531,47.5,279,391,129,262,337,875,805,14,Lorient,38,46.3,34.0,20198,2448,6962,9140,4345,640,20197,691,341,49.3,316,45.7,14463,87600,40467,632,548,117,535,315,13141,1283,Lorient,38,34.0,66,1,0,403,416,56,565,337,326,1,8,1,1684,410,394,51.0
Lyon,35,26.6,51.8,34,374,3060,34.0,48,32,80,44,4,4,57,6,49.8,46.9,36.3,83.2,683,1600,1.41,0.94,2.35,1.29,2.24,1.47,1.07,2.53,1.38,2.45,Lyon,2,34,34,3060,34.0,55,1.62,169,114,69.8,16,5,13,10,29.4,6,4,1,1,20.0,Lyon,2,34.0,55,4,2,7,1,48.1,0.26,-5.9,-0.17,137,386,35.5,890,169,33.5,26.1,249,35.3,31.9,470,39,8.3,31,0.91,13.4,Lyon,35,34.0,48,439,168,38.3,12.91,4.94,0.1,0.26,16.5,16,4,4,49.8,46.9,0.11,-1.8,-2.9,Lyon,35,34.0,14823,17984,82.4,257980,90576,6513,7395,88.1,6362,7223,88.1,1409,2376,59.3,32,36.3,42.0,-4.3,335,1163,330,74,1600,Lyon,35,34.0,17984,16440,1492,413,56,101,560,576,166,72,46,0,14823,52,330,Lyon,35,34.0,764,22.47,533,62,58,64,35,12,84,2.47,56,3,8,12,5,0,Lyon,35,34.0,538,331,241,203,94,250,578,43.3,328,343,118,225,304,842,563,12,Lyon,35,51.8,34.0,21623,2216,6779,9649,5437,865,21619,742,375,50.5,317,42.7,15991,90353,42599,683,550,196,525,352,14665,1577,Lyon,35,34.0,57,6,1,425,367,52,560,304,331,4,6,1,1715,396,367,51.9
Marseille,33,27.3,53.7,34,374,3060,34.0,50,32,82,46,4,4,61,5,54.9,51.8,40.3,92.1,635,1613,1.47,0.94,2.41,1.35,2.29,1.61,1.19,2.8,1.52,2.71,Marseille,2,34,34,3060,34.0,41,1.21,130,90,70.8,13,11,10,7,20.6,3,3,0,0,0.0,Marseille,2,34.0,41,3,1,7,1,33.8,0.24,-6.2,-0.18,98,337,29.1,1022,119,26.3,28.4,222,30.6,29.4,430,19,4.4,26,0.76,10.4,Marseille,33,34.0,50,477,152,31.9,14.03,4.47,0.1,0.3,17.0,20,4,4,54.9,51.8,0.11,-4.9,-5.8,Marseille,33,34.0,14716,18000,81.8,259765,88302,6190,7030,88.1,6752,7732,87.3,1310,2344,55.9,32,40.3,39.7,-8.3,349,1272,324,88,1613,Marseille,33,34.0,18000,16375,1556,451,39,63,713,626,184,42,110,0,14716,69,312,Marseille,33,34.0,851,25.03,626,68,48,51,49,9,88,2.59,66,3,2,12,5,0,Marseille,33,34.0,604,371,270,264,70,292,587,49.7,295,365,99,266,332,936,633,8,Marseille,33,53.7,34.0,21671,1889,6061,10285,5532,815,21667,548,260,47.4,244,44.5,15835,90152,42162,635,595,156,478,303,14559,1609,Marseille,33,34.0,61,5,2,374,426,69,713,332,371,4,3,1,1753,372,365,50.5
Metz,30,26.5,35.6,34,374,3060,34.0,35,25,60,31,4,6,54,3,34.2,29.7,23.2,52.9,458,910,1.03,0.74,1.76,0.91,1.65,1.01,0.68,1.69,0.87,1.56,Metz,2,34,34,3060,34.0,58,1.71,188,130,72.3,8,5,21,6,17.6,6,6,0,0,0.0,Metz,2,34.0,58,6,1,7,0,53.1,0.26,-4.9,-0.14,215,682,31.5,727,128,57.1,36.4,299,89.3,59.1,583,47,8.1,22,0.65,3.0,Metz,30,34.0,35,326,106,32.5,9.59,3.12,0.1,0.29,18.8,11,4,6,34.2,29.7,0.09,0.8,1.3,Metz,30,34.0,8816,11986,73.6,177167,68613,3132,3872,80.9,4173,5024,83.1,1317,2559,51.5,25,23.2,15.0,1.8,234,685,152,61,910,Metz,30,34.0,11986,10324,1617,435,16,110,563,659,133,62,65,0,8816,45,279,Metz,30,34.0,570,16.76,372,60,38,42,41,17,60,1.76,41,4,6,5,3,1,Metz,30,34.0,562,334,310,183,69,238,514,46.3,276,416,127,289,348,910,834,9,Metz,30,35.6,34.0,15895,2067,5771,7135,3258,451,15889,655,290,44.3,336,51.3,10009,63084,27228,458,422,96,507,267,8739,899,Metz,30,34.0,54,3,0,419,374,45,563,348,334,5,6,0,1574,390,534,42.2
