Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Augsburg,29,26.0,43.9,34,374,3060,34.0,49,35,84,44,5,7,71,3,46.1,40.7,27.7,68.4,462,1137,1.44,1.03,2.47,1.29,2.32,1.36,0.81,2.17,1.2,2.01,Augsburg,2,34,34,3060,34.0,60,1.76,183,123,71.0,10,9,15,3,8.8,10,7,2,1,22.2,Augsburg,2,34.0,60,7,0,12,2,56.0,0.26,-2.0,-0.06,185,490,37.8,1172,98,32.5,34.5,264,41.3,37.4,520,30,5.8,52,1.53,11.6,Augsburg,29,34.0,49,429,123,28.7,12.62,3.62,0.1,0.36,17.5,12,5,7,46.1,40.7,0.1,2.9,3.3,Augsburg,29,34.0,10545,14262,73.9,199672,80511,4147,4989,83.1,4851,5902,82.2,1272,2491,51.1,35,27.7,37.7,7.3,299,919,284,89,1137,Augsburg,29,34.0,14262,12585,1596,393,34,76,631,681,165,65,80,0,10545,81,314,Augsburg,29,34.0,726,21.35,503,78,35,58,39,13,78,2.29,58,6,2,8,4,0,Augsburg,29,34.0,528,319,234,222,72,237,492,48.2,255,439,133,306,295,823,727,9,Augsburg,29,43.9,34.0,18130,2132,6226,7678,4413,795,18123,531,235,44.3,255,48.0,9496,50630,24792,462,313,91,533,236,10394,1122,Augsburg,29,34.0,71,3,1,454,338,81,631,295,319,5,10,2,1669,587,602,49.4
Bayern Munich,30,27.4,61.3,34,374,3060,34.0,93,71,164,88,5,5,47,2,85.2,81.3,65.9,147.3,944,1941,2.74,2.09,4.82,2.59,4.68,2.5,1.94,4.44,2.39,4.33,Bayern Munich,3,34,34,3060,34.0,45,1.32,124,78,66.1,23,3,8,11,32.4,4,3,1,0,25.0,Bayern Munich,3,34.0,45,3,2,3,0,41.0,0.3,-4.0,-0.12,99,242,40.9,1072,170,20.4,33.1,216,10.6,20.9,341,14,4.1,48,1.41,,Bayern Munich,30,34.0,93,633,229,36.2,18.62,6.74,0.14,0.38,15.7,13,5,5,85.2,81.3,0.13,7.8,6.7,Bayern Munich,30,34.0,19987,22946,87.1,340799,109694,9254,10094,91.7,8928,9742,91.6,1476,2208,66.8,71,65.9,72.8,5.1,506,1563,458,86,1941,Bayern Munich,30,34.0,22946,21398,1488,347,83,119,655,620,228,78,102,2,19987,60,363,Bayern Munich,30,34.0,1156,34.0,875,86,69,72,38,16,166,4.88,126,9,11,11,6,3,Bayern Munich,30,34.0,520,323,227,191,102,245,510,48.0,265,378,81,297,288,808,473,18,Bayern Munich,30,61.3,34.0,26644,2111,7127,12412,7367,1214,26639,907,481,53.0,374,41.2,16452,93322,49960,944,704,276,468,357,19847,1926,Bayern Munich,30,34.0,47,2,1,304,306,60,655,288,323,2,4,0,1768,410,319,56.2
Bochum,25,29.1,46.6,34,374,3060,34.0,41,30,71,37,4,4,97,2,44.5,41.4,30.4,71.8,400,1151,1.21,0.88,2.09,1.09,1.97,1.31,0.89,2.2,1.22,2.11,Bochum,2,34,34,3060,34.0,74,2.18,189,117,65.6,7,12,15,4,11.8,11,9,2,0,18.2,Bochum,2,34.0,74,9,0,9,4,62.3,0.28,-7.7,-0.23,450,1084,41.5,1497,91,63.5,51.3,258,51.9,41.2,523,35,6.7,104,3.06,7.7,Bochum,25,34.0,41,524,145,27.7,15.41,4.26,0.07,0.26,18.2,18,4,4,44.5,41.4,0.08,-3.5,-4.4,Bochum,25,34.0,9786,14203,68.9,185281,85808,4234,5278,80.2,3854,5032,76.6,1393,2934,47.5,30,30.4,33.0,-0.4,371,902,265,85,1151,Bochum,25,34.0,14203,12336,1784,454,42,50,649,813,154,58,77,1,9786,83,325,Bochum,25,34.0,884,26.0,561,134,38,81,55,15,72,2.12,43,8,5,9,6,1,Bochum,25,34.0,603,366,272,253,78,294,574,51.2,280,460,142,318,308,911,768,9,Bochum,25,46.6,34.0,18361,2175,5905,8082,4546,787,18357,436,186,42.7,209,47.9,8480,42524,20687,400,292,91,494,280,9653,1140,Bochum,25,34.0,97,2,0,446,409,83,649,308,366,4,11,4,1808,815,816,50.0
Darmstadt 98,32,27.1,45.7,34,374,3060,34.0,28,21,49,25,3,3,83,4,32.3,30.0,22.8,52.8,437,1083,0.82,0.62,1.44,0.74,1.35,0.95,0.67,1.62,0.88,1.55,Darmstadt 98,2,34,34,3060,34.0,86,2.53,215,130,60.5,3,8,23,3,8.8,2,1,1,0,50.0,Darmstadt 98,2,34.0,86,1,2,9,2,74.3,0.34,-9.7,-0.29,278,690,40.3,1333,195,36.8,36.0,310,64.5,49.3,504,27,5.4,60,1.76,19.1,Darmstadt 98,32,34.0,28,404,110,27.2,11.88,3.24,0.06,0.23,19.1,12,3,3,32.3,30.0,0.08,-4.3,-5.0,Darmstadt 98,32,34.0,11807,15336,77.0,223927,86971,4830,5582,86.5,5247,6139,85.5,1494,2813,53.1,21,22.8,28.9,-1.8,302,873,226,65,1083,Darmstadt 98,32,34.0,15336,13685,1594,408,19,103,514,641,115,42,62,1,11807,57,311,Darmstadt 98,32,34.0,723,21.26,522,68,36,48,32,17,50,1.47,38,3,1,4,3,1,Darmstadt 98,32,34.0,560,323,303,197,60,285,583,48.9,298,400,137,263,317,877,707,19,Darmstadt 98,32,45.7,34.0,19009,2407,7114,8147,3897,566,19006,440,192,43.6,220,50.0,9943,51709,26088,437,310,99,470,230,11700,1073,Darmstadt 98,32,34.0,83,4,0,429,351,57,514,317,323,2,2,2,1502,510,569,47.3
Dortmund,32,26.8,57.8,34,374,3060,34.0,68,49,117,62,6,6,59,4,63.5,58.8,45.6,104.4,770,1452,2.0,1.44,3.44,1.82,3.26,1.87,1.34,3.21,1.73,3.07,Dortmund,2,34,34,3060,34.0,43,1.26,145,103,73.8,18,9,7,10,29.4,6,5,1,0,16.7,Dortmund,2,34.0,43,5,0,9,2,44.6,0.28,3.6,0.1,133,349,38.1,1267,135,20.8,28.3,269,31.6,30.7,466,15,3.2,24,0.71,14.5,Dortmund,32,34.0,68,506,184,36.4,14.88,5.41,0.12,0.34,16.9,17,6,6,63.5,58.8,0.12,4.5,3.2,Dortmund,32,34.0,17191,20445,84.1,300426,100507,7696,8552,90.0,7352,8202,89.6,1651,2584,63.9,49,45.6,48.0,3.4,389,1144,301,46,1452,Dortmund,32,34.0,20445,18810,1591,467,52,151,522,602,176,79,77,2,17191,44,344,Dortmund,32,34.0,909,26.74,668,68,56,62,42,13,121,3.56,84,8,7,8,10,4,Dortmund,32,34.0,548,356,297,201,50,292,557,52.4,265,431,121,310,251,799,628,12,Dortmund,32,57.8,34.0,24314,2558,8081,11082,5366,901,24308,712,320,44.9,312,43.8,14643,79399,41049,770,565,229,532,329,17002,1436,Dortmund,32,34.0,59,4,2,315,391,44,522,251,356,5,6,2,1763,389,426,47.7
Eint Frankfurt,34,25.3,52.1,34,374,3060,34.0,48,36,84,46,2,3,70,5,46.2,44.4,34.1,78.5,574,1305,1.41,1.06,2.47,1.35,2.41,1.36,1.0,2.36,1.31,2.31,Eint Frankfurt,2,34,34,3060,34.0,50,1.47,146,94,71.9,11,14,9,7,20.6,11,9,2,0,18.2,Eint Frankfurt,2,34.0,50,9,0,4,0,49.7,0.27,-0.3,-0.01,106,390,27.2,976,152,30.4,34.4,277,33.6,31.4,485,20,4.1,34,1.0,15.7,Eint Frankfurt,34,34.0,48,402,139,34.6,11.82,4.09,0.11,0.33,16.4,11,2,3,46.2,44.4,0.11,1.8,1.6,Eint Frankfurt,34,34.0,15017,18809,79.8,260025,91225,6582,7496,87.8,6907,7959,86.8,1204,2409,50.0,36,34.1,38.5,1.9,292,1007,276,60,1305,Eint Frankfurt,34,34.0,18809,17091,1667,407,54,57,557,739,161,61,85,0,15017,51,368,Eint Frankfurt,34,34.0,688,20.24,493,63,44,48,31,9,81,2.38,63,2,3,9,3,1,Eint Frankfurt,34,34.0,602,359,282,240,80,293,548,53.5,255,424,99,325,302,904,704,12,Eint Frankfurt,34,52.1,34.0,22762,2453,7846,10620,4523,815,22759,640,281,43.9,326,50.9,13004,64135,31792,574,391,176,523,298,14898,1294,Eint Frankfurt,34,34.0,70,5,4,355,318,51,557,302,359,2,11,0,1792,477,525,47.6
Freiburg,25,27.0,46.6,34,374,3060,34.0,43,32,75,36,7,9,64,4,49.4,42.4,32.4,74.8,468,1208,1.26,0.94,2.21,1.06,2.0,1.45,0.95,2.41,1.25,2.2,Freiburg,1,34,34,3060,34.0,58,1.71,158,99,65.2,11,9,14,10,29.4,5,3,2,0,40.0,Freiburg,1,34.0,58,3,1,5,1,50.0,0.3,-7.0,-0.21,193,568,34.0,1103,160,36.8,34.2,286,56.6,45.2,485,31,6.4,30,0.88,13.6,Freiburg,25,34.0,43,392,131,33.4,11.53,3.85,0.09,0.27,16.0,7,7,9,49.4,42.4,0.11,-6.4,-6.4,Freiburg,25,34.0,12337,16023,77.0,223388,83596,5228,6120,85.4,5515,6445,85.6,1296,2579,50.3,32,32.4,34.7,-0.4,296,936,246,81,1208,Freiburg,25,34.0,16023,14477,1494,406,34,68,593,582,128,76,39,0,12337,52,327,Freiburg,25,34.0,714,21.0,538,55,25,51,36,9,77,2.26,51,5,1,10,8,2,Freiburg,25,34.0,546,319,303,175,68,227,463,49.0,236,436,149,287,272,818,725,7,Freiburg,25,46.6,34.0,19706,2362,6698,9055,4130,653,19697,518,221,42.7,237,45.8,10673,57954,28611,468,383,94,452,240,12176,1189,Freiburg,25,34.0,64,4,1,364,376,52,593,272,319,7,5,1,1633,625,628,49.9
Gladbach,27,25.4,46.8,34,374,3060,34.0,55,43,98,50,5,6,66,2,46.5,41.8,35.5,77.4,598,1227,1.62,1.26,2.88,1.47,2.74,1.37,1.05,2.41,1.23,2.28,Gladbach,2,34,34,3060,34.0,67,1.97,207,140,70.5,7,13,14,4,11.8,6,6,0,0,0.0,Gladbach,2,34.0,67,6,0,7,0,58.4,0.26,-8.6,-0.25,144,405,35.6,1059,177,28.7,32.3,266,38.0,33.6,538,28,5.2,34,1.0,15.3,Gladbach,27,34.0,55,451,144,31.9,13.26,4.24,0.11,0.35,17.1,4,5,6,46.5,41.8,0.1,8.5,8.2,Gladbach,27,34.0,13544,16946,79.9,232267,84618,6222,7073,88.0,5785,6704,86.3,1162,2210,52.6,43,35.5,37.3,7.5,374,801,261,83,1227,Gladbach,27,34.0,16946,15325,1568,414,45,67,574,615,174,62,87,1,13544,53,330,Gladbach,27,34.0,806,23.71,572,85,47,59,29,14,98,2.88,71,9,4,8,4,2,Gladbach,27,34.0,582,337,291,247,44,287,534,53.7,247,465,168,297,333,915,860,15,Gladbach,27,46.8,34.0,20954,2559,7900,9058,4189,720,20948,550,237,43.1,261,47.5,12077,60157,30940,598,435,153,429,320,13427,1217,Gladbach,27,34.0,66,2,1,337,372,53,574,333,337,4,6,0,1701,485,478,50.4
Heidenheim,22,26.7,42.5,34,374,3060,34.0,46,34,80,44,2,3,54,1,39.4,37.0,27.5,64.5,510,983,1.35,1.0,2.35,1.29,2.29,1.16,0.81,1.97,1.09,1.9,Heidenheim,1,34,34,3060,34.0,55,1.62,174,121,72.4,10,12,12,6,17.6,10,7,1,2,12.5,Heidenheim,1,34.0,55,7,0,7,3,53.6,0.27,1.6,0.05,249,595,41.8,1162,167,35.3,35.9,318,58.2,46.0,495,24,4.8,17,0.5,13.2,Heidenheim,22,34.0,46,392,114,29.1,11.53,3.35,0.11,0.39,17.0,12,2,3,39.4,37.0,0.1,6.6,7.0,Heidenheim,22,34.0,10264,14339,71.6,206040,85936,3699,4713,78.5,4741,5858,80.9,1578,2863,55.1,34,27.5,30.0,6.5,279,730,201,73,983,Heidenheim,22,34.0,14339,12534,1767,381,22,112,663,798,183,90,75,0,10264,38,427,Heidenheim,22,34.0,666,19.59,442,95,30,54,34,11,81,2.38,57,9,4,5,5,1,Heidenheim,22,34.0,601,352,311,225,65,275,591,46.5,316,463,129,334,302,903,783,5,Heidenheim,22,42.5,34.0,18405,2361,6987,7570,4058,637,18402,530,223,42.1,266,50.2,9120,52754,26313,510,361,90,549,279,10152,976,Heidenheim,22,34.0,54,1,0,442,325,38,663,302,352,1,10,3,1741,690,612,53.0
