Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Aberdeen,21,26.0,33.5,6,66,540,6.0,10,7,17,10,0,0,6,0,6.1,6.1,5.3,11.4,48,130,1.67,1.17,2.83,1.67,2.83,1.02,0.88,1.9,1.02,1.9,Aberdeen,1,6,6,540,6.0,10,1.67,29,19,72.4,1,3,2,1,16.7,2,2,0,0,0.0,Aberdeen,1,6.0,10,2,0,2,0,11.0,0.34,1.0,0.17,45,146,30.8,161,12,62.7,48.5,52,86.5,61.4,104,3,2.9,5,0.83,14.5,Aberdeen,21,6.0,10,52,19,36.5,8.67,3.17,0.19,0.53,16.4,4,0,0,6.1,6.1,0.12,3.9,3.9,Aberdeen,21,6.0,1238,1887,65.6,25068,11037,480,594,80.8,553,727,76.1,185,481,38.5,7,5.3,4.5,1.7,36,101,27,7,130,Aberdeen,21,6.0,1887,1586,289,78,3,5,87,124,20,15,3,0,1238,12,34,Aberdeen,21,6.0,88,14.67,58,12,3,4,10,1,17,2.83,14,1,0,1,1,0,Aberdeen,21,6.0,95,49,50,37,8,57,114,50.0,57,60,22,38,75,170,142,0,Aberdeen,21,33.5,6.0,2574,395,994,1039,572,91,2574,80,33,41.3,40,50.0,1168,5522,2436,48,40,12,78,44,1231,129,Aberdeen,21,6.0,6,0,0,61,67,12,87,75,49,0,2,0,314,78,91,46.2
Ajax,19,22.8,53.0,4,44,390,4.3,4,2,6,3,1,1,9,3,5.1,4.3,4.1,8.4,38,155,0.92,0.46,1.38,0.69,1.15,1.18,0.94,2.12,1.0,1.94,Ajax,1,4,4,390,4.3,7,1.62,19,12,63.2,1,2,1,1,25.0,0,0,0,0,,Ajax,1,4.3,7,0,0,1,0,6.6,0.35,-0.4,-0.1,19,52,36.5,160,15,25.0,30.3,37,32.4,33.1,45,5,11.1,10,2.31,14.5,Ajax,19,4.3,4,28,8,28.6,6.46,1.85,0.11,0.38,17.7,1,1,1,5.1,4.3,0.16,-1.1,-1.3,Ajax,19,4.3,1918,2256,85.0,33125,10421,825,900,91.7,885,966,91.6,156,278,56.1,2,4.1,4.5,-2.1,23,135,36,5,155,Ajax,19,4.3,2256,2071,175,36,9,12,46,77,13,1,9,0,1918,10,32,Ajax,19,4.3,55,12.69,43,5,0,4,3,0,8,1.85,5,1,0,1,1,0,Ajax,19,4.3,70,40,37,25,8,35,66,53.0,31,39,10,29,36,106,64,5,Ajax,19,53.0,4.3,2638,324,847,1279,521,63,2637,43,14,32.6,26,60.5,1638,7704,3705,38,54,6,59,25,1902,155,Ajax,19,4.3,9,3,2,50,30,10,46,36,40,1,0,0,155,40,23,63.5
Astana FK,20,29.9,39.0,6,66,540,6.0,4,4,8,4,0,1,20,1,4.5,3.7,3.0,6.7,77,168,0.67,0.67,1.33,0.67,1.33,0.75,0.49,1.25,0.62,1.11,Astana FK,1,6,6,540,6.0,13,2.17,36,23,69.4,1,1,4,1,16.7,2,2,0,0,0.0,Astana FK,1,6.0,13,2,1,1,0,9.3,0.2,-3.7,-0.62,16,97,16.5,139,31,53.2,41.2,56,41.1,38.8,84,8,9.5,5,0.83,11.2,Astana FK,20,6.0,4,48,10,20.8,8.0,1.67,0.08,0.4,18.1,1,0,1,4.5,3.7,0.08,-0.5,0.3,Astana FK,20,6.0,1704,2258,75.5,31075,11912,718,812,88.4,740,890,83.1,196,427,45.9,4,3.0,3.2,1.0,41,129,32,11,168,Astana FK,20,6.0,2258,1978,272,69,2,22,80,105,23,12,10,0,1704,8,45,Astana FK,20,6.0,86,14.33,61,8,9,4,4,0,8,1.33,5,1,1,1,0,0,Astana FK,20,6.0,96,57,46,42,8,50,109,45.9,59,68,23,45,57,153,110,1,Astana FK,20,39.0,6.0,2930,395,1121,1273,580,74,2929,111,50,45.0,53,47.7,1545,9261,4193,77,49,20,105,45,1698,165,Astana FK,20,6.0,20,1,1,95,65,8,80,57,57,1,2,0,291,61,87,41.2
Aston Villa,29,26.7,58.6,12,132,1110,12.3,21,15,36,21,0,1,31,1,14.4,13.6,9.3,22.9,230,494,1.7,1.22,2.92,1.7,2.92,1.17,0.75,1.92,1.1,1.85,Aston Villa,3,12,12,1110,12.3,16,1.3,38,22,60.5,6,2,4,3,25.0,1,1,0,0,0.0,Aston Villa,3,12.3,16,1,0,2,0,14.5,0.36,-1.5,-0.12,51,110,46.4,465,56,19.1,25.0,73,28.8,31.7,97,9,9.3,23,1.86,21.3,Aston Villa,29,12.3,21,154,66,42.9,12.49,5.35,0.14,0.32,17.1,1,0,1,14.4,13.6,0.09,6.6,7.4,Aston Villa,29,12.3,5538,6497,85.2,98992,31543,2375,2582,92.0,2601,2890,90.0,479,794,60.3,15,9.3,11.8,5.7,119,422,100,15,494,Aston Villa,29,12.3,6497,5908,583,192,29,44,212,212,77,41,15,0,5538,6,96,Aston Villa,29,12.3,277,22.46,209,26,14,18,7,3,32,2.59,19,5,0,6,1,1,Aston Villa,29,12.3,132,71,67,45,20,58,96,60.4,38,72,12,60,52,184,129,4,Aston Villa,29,58.6,12.3,7513,717,2451,3295,1834,289,7512,213,99,46.5,93,43.7,4819,26222,13417,230,165,65,164,89,5392,490,Aston Villa,29,12.3,31,1,1,125,140,6,212,52,71,1,1,0,429,113,107,51.4
AZ Alkmaar,23,24.7,55.0,6,66,540,6.0,7,5,12,6,1,1,6,2,5.6,4.8,4.2,8.9,101,255,1.17,0.83,2.0,1.0,1.83,0.93,0.7,1.62,0.8,1.49,AZ Alkmaar,2,6,6,540,6.0,12,2.0,22,10,45.5,2,0,4,2,33.3,0,0,0,0,,AZ Alkmaar,2,6.0,12,0,1,1,0,8.0,0.38,-4.0,-0.67,34,82,41.5,199,29,35.2,37.3,24,50.0,39.6,70,4,5.7,8,1.33,9.5,AZ Alkmaar,23,6.0,7,60,21,35.0,10.0,3.5,0.1,0.29,17.2,1,1,1,5.6,4.8,0.08,1.4,1.2,AZ Alkmaar,23,6.0,2696,3266,82.5,47195,15361,1151,1265,91.0,1180,1340,88.1,257,456,56.4,5,4.2,8.7,0.8,49,213,59,11,255,AZ Alkmaar,23,6.0,3266,2970,270,60,11,23,109,128,40,16,15,0,2696,26,36,AZ Alkmaar,23,6.0,112,18.67,85,9,7,4,4,3,13,2.17,11,0,0,1,1,0,AZ Alkmaar,23,6.0,74,51,36,27,11,35,72,48.6,37,61,16,45,54,128,86,2,AZ Alkmaar,23,55.0,6.0,3816,368,1186,1686,974,147,3815,104,43,41.3,59,56.7,2342,11825,5718,101,66,41,68,52,2671,253,AZ Alkmaar,23,6.0,6,2,0,73,48,26,109,54,51,1,0,0,284,72,80,47.4
Beşiktaş,28,28.0,50.2,6,66,540,6.0,6,3,9,6,0,0,15,3,5.1,5.1,3.8,8.9,105,235,1.0,0.5,1.5,1.0,1.5,0.85,0.63,1.48,0.85,1.48,Beşiktaş,2,6,6,540,6.0,14,2.33,41,28,65.9,1,1,4,1,16.7,0,0,0,0,,Beşiktaş,2,6.0,14,0,0,0,1,13.2,0.32,0.2,0.03,36,87,41.4,157,28,41.4,36.2,46,47.8,39.2,71,2,2.8,7,1.17,15.5,Beşiktaş,28,6.0,6,66,24,36.4,11.0,4.0,0.09,0.25,18.1,0,0,0,5.1,5.1,0.08,0.9,0.9,Beşiktaş,28,6.0,2499,3036,82.3,46837,15953,1058,1174,90.1,1087,1230,88.4,298,495,60.2,3,3.8,3.7,-0.8,50,193,45,17,235,Beşiktaş,28,6.0,3036,2787,239,72,11,27,106,85,16,4,6,0,2499,10,52,Beşiktaş,28,6.0,120,20.0,91,9,8,6,3,3,6,1.0,4,0,0,2,0,0,Beşiktaş,28,6.0,114,74,71,31,12,58,118,49.2,60,77,33,44,68,182,105,2,Beşiktaş,28,50.2,6.0,3695,426,1230,1757,754,94,3695,103,51,49.5,48,46.6,2329,12718,6423,105,75,22,97,37,2471,233,Beşiktaş,28,6.0,15,3,2,75,62,10,106,68,74,0,0,1,338,49,57,46.2
Betis,17,26.1,61.0,2,22,180,2.0,1,1,2,1,0,0,5,0,1.7,1.7,1.4,3.1,24,93,0.5,0.5,1.0,0.5,1.0,0.85,0.68,1.53,0.85,1.53,Betis,1,2,2,180,2.0,2,1.0,3,1,66.7,0,1,1,0,0.0,1,1,0,0,0.0,Betis,1,2.0,2,1,0,0,0,2.2,0.4,0.2,0.1,7,13,53.8,42,8,23.8,27.2,12,25.0,27.4,13,3,23.1,4,2.0,16.7,Betis,17,2.0,1,25,5,20.0,12.5,2.5,0.04,0.2,17.8,3,0,0,1.7,1.7,0.07,-0.7,-0.7,Betis,17,2.0,986,1208,81.6,15739,5545,496,541,91.7,351,399,88.0,81,147,55.1,1,1.4,2.8,-0.4,15,98,13,5,93,Betis,17,2.0,1208,1094,111,23,1,6,54,61,11,7,2,0,986,3,31,Betis,17,2.0,43,21.5,24,5,4,6,4,0,2,1.0,2,0,0,0,0,0,Betis,17,2.0,29,19,14,12,3,11,26,42.3,15,23,5,18,12,41,20,0,Betis,17,61.0,2.0,1393,80,321,718,364,44,1393,39,21,53.8,16,41.0,826,4149,2242,24,22,5,33,15,984,93,Betis,17,2.0,5,0,0,29,26,3,54,12,19,0,1,0,87,26,29,47.3
Bodø/Glimt,26,26.2,49.3,8,88,750,8.3,14,11,25,13,1,1,18,2,13.6,12.8,10.8,23.6,193,362,1.68,1.32,3.0,1.56,2.88,1.63,1.3,2.93,1.54,2.83,Bodø/Glimt,3,8,8,750,8.3,12,1.44,31,20,64.5,3,2,3,1,12.5,1,1,0,0,0.0,Bodø/Glimt,3,8.3,12,1,0,3,1,7.6,0.23,-3.4,-0.41,28,77,36.4,259,34,25.9,32.7,62,16.1,24.3,122,8,6.6,12,1.44,17.3,Bodø/Glimt,26,8.3,14,103,41,39.8,12.36,4.92,0.13,0.32,16.6,3,1,1,13.6,12.8,0.13,0.4,0.2,Bodø/Glimt,26,8.3,3669,4361,84.1,64874,19674,1522,1675,90.9,1708,1911,89.4,323,539,59.9,11,10.8,11.0,0.2,83,249,79,11,362,Bodø/Glimt,26,8.3,4361,3980,371,125,7,19,106,135,28,10,8,0,3669,10,71,Bodø/Glimt,26,8.3,183,21.96,138,12,13,12,7,1,26,3.12,19,1,2,2,1,1,Bodø/Glimt,26,8.3,108,66,47,39,22,53,112,47.3,59,80,24,56,62,170,129,2,Bodø/Glimt,26,49.3,8.3,5219,556,1762,2241,1269,222,5218,169,83,49.1,78,46.2,3414,22199,11871,193,123,51,152,62,3631,360,Bodø/Glimt,26,8.3,18,2,1,69,96,10,106,62,66,1,1,1,413,51,59,46.4
Breiðablik,18,28.0,48.5,6,66,540,6.0,5,3,8,5,0,1,12,1,8.7,7.9,4.9,12.8,119,268,0.83,0.5,1.33,0.83,1.33,1.44,0.81,2.26,1.31,2.13,Breiðablik,1,6,6,540,6.0,18,3.0,35,18,51.4,0,0,6,0,0.0,1,1,0,0,0.0,Breiðablik,1,6.0,18,1,0,2,1,10.8,0.28,-6.2,-1.03,23,57,40.4,213,52,23.0,28.2,48,16.7,19.6,73,2,2.7,7,1.17,15.2,Breiðablik,18,6.0,5,71,20,28.2,11.83,3.33,0.07,0.25,18.5,5,0,1,8.7,7.9,0.11,-3.7,-2.9,Breiðablik,18,6.0,2053,2670,76.9,36621,14195,896,1038,86.3,898,1083,82.9,203,390,52.1,3,4.9,4.6,-1.9,54,183,54,11,268,Breiðablik,18,6.0,2670,2398,261,64,8,31,95,98,27,9,6,0,2053,11,52,Breiðablik,18,6.0,128,21.33,101,8,6,4,7,2,8,1.33,4,1,1,2,0,0,Breiðablik,18,6.0,77,40,40,30,7,40,102,39.2,62,68,18,50,68,145,97,2,Breiðablik,18,48.5,6.0,3311,456,1160,1383,805,128,3310,95,48,50.5,43,45.3,1907,10426,5632,119,56,30,105,35,2018,265,Breiðablik,18,6.0,12,1,1,64,52,11,95,68,40,1,1,1,308,55,72,43.3
