Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
AEK Athens,22,30.1,46.8,6,66,540,6.0,6,6,12,6,0,0,24,2,8.7,8.7,6.7,15.4,94,210,1.0,1.0,2.0,1.0,2.0,1.45,1.11,2.56,1.45,2.56,AEK Athens,2,6,6,538,6.0,12,2.01,37,25,83.8,1,1,4,0,0.0,6,6,0,0,0.0,AEK Athens,2,6.0,12,6,0,2,0,16.6,0.29,4.6,0.76,28,58,48.3,167,31,24.0,26.7,47,38.3,32.3,61,1,1.6,17,2.84,18.7,AEK Athens,22,6.0,6,96,28,29.2,16.0,4.67,0.06,0.21,15.6,3,0,0,8.7,8.7,0.1,-2.7,-2.7,AEK Athens,22,6.0,1996,2558,78.0,38518,14994,776,910,85.3,890,1054,84.4,279,464,60.1,6,6.7,6.0,-0.7,67,163,51,20,210,AEK Athens,22,6.0,2558,2249,290,75,6,31,126,117,33,9,19,0,1996,19,48,AEK Athens,22,6.0,157,26.17,98,17,8,18,10,6,11,1.83,6,2,0,1,2,0,AEK Athens,22,6.0,93,52,45,35,13,45,94,47.9,49,64,13,51,61,154,86,4,AEK Athens,22,46.8,6.0,3218,410,1134,1319,796,158,3218,100,49,49.0,42,42.0,1850,10261,4992,94,67,29,106,40,1978,208,AEK Athens,22,6.0,24,2,1,82,69,19,126,61,52,0,6,0,316,48,74,39.3
Ajax,26,22.3,48.0,6,66,540,6.0,10,8,18,9,1,1,13,2,9.4,8.6,5.6,14.2,94,202,1.67,1.33,3.0,1.5,2.83,1.57,0.93,2.5,1.44,2.37,Ajax,2,6,6,540,6.0,13,2.17,40,27,72.5,1,2,3,0,0.0,2,2,0,0,0.0,Ajax,2,6.0,13,2,0,2,0,12.9,0.27,-0.1,-0.02,27,96,28.1,268,27,31.0,32.3,67,19.4,24.6,78,4,5.1,0,0.0,10.1,Ajax,26,6.0,10,57,30,52.6,9.5,5.0,0.16,0.3,16.7,2,1,1,9.4,8.6,0.15,0.6,0.4,Ajax,26,6.0,2418,2937,82.3,43873,15742,1018,1106,92.0,1084,1220,88.9,247,456,54.2,8,5.6,6.1,2.4,45,144,47,10,202,Ajax,26,6.0,2937,2663,266,68,11,14,78,88,24,6,5,1,2418,8,47,Ajax,26,6.0,107,17.83,86,7,5,2,4,3,19,3.17,15,2,0,0,1,1,Ajax,26,6.0,82,44,44,28,10,30,77,39.0,47,49,19,30,56,138,97,6,Ajax,26,48.0,6.0,3505,606,1553,1380,596,121,3504,82,43,52.4,33,40.2,2320,12426,6092,94,62,25,73,53,2377,200,Ajax,26,6.0,13,2,1,71,59,8,78,56,44,1,2,0,268,58,42,58.0
Aris Limassol FC,18,27.4,42.2,6,66,540,6.0,7,5,12,6,1,1,16,0,7.0,6.3,5.1,11.4,79,183,1.17,0.83,2.0,1.0,1.83,1.17,0.85,2.03,1.04,1.9,Aris Limassol FC,1,6,6,540,6.0,13,2.17,41,27,68.3,1,1,4,0,0.0,1,0,1,0,100.0,Aris Limassol FC,1,6.0,13,0,0,3,0,14.1,0.32,1.1,0.18,20,102,19.6,197,45,44.2,38.3,40,37.5,38.4,87,7,8.0,7,1.17,13.5,Aris Limassol FC,18,6.0,7,62,16,25.8,10.33,2.67,0.1,0.38,19.1,1,1,1,7.0,6.3,0.1,0.0,-0.3,Aris Limassol FC,18,6.0,1780,2454,72.5,31572,12781,775,897,86.4,795,995,79.9,171,407,42.0,5,5.1,4.1,-0.1,42,126,28,3,183,Aris Limassol FC,18,6.0,2454,2182,263,75,13,5,73,107,22,13,2,0,1780,9,75,Aris Limassol FC,18,6.0,110,18.33,78,8,7,7,5,5,12,2.0,7,1,3,0,1,0,Aris Limassol FC,18,6.0,151,104,89,48,14,93,171,54.4,78,78,17,61,78,229,129,3,Aris Limassol FC,18,42.2,6.0,3173,439,1315,1307,594,80,3172,113,59,52.2,49,43.4,1701,9419,4868,79,60,23,82,47,1768,180,Aris Limassol FC,18,6.0,16,0,0,74,66,9,73,78,104,1,1,0,375,70,91,43.5
Atalanta,32,26.8,47.6,13,143,1170,13.0,25,15,40,24,1,1,28,0,23.0,22.3,16.3,38.6,257,586,1.92,1.15,3.08,1.85,3.0,1.77,1.25,3.03,1.71,2.97,Atalanta,3,13,13,1170,13.0,8,0.62,35,27,85.7,8,4,1,6,46.2,3,3,0,0,0.0,Atalanta,3,13.0,8,3,0,1,0,11.7,0.25,3.7,0.28,76,204,37.3,356,66,37.6,34.4,89,78.7,54.3,131,15,11.5,23,1.77,12.4,Atalanta,32,13.0,25,168,67,39.9,12.92,5.15,0.14,0.36,16.2,3,1,1,23.0,22.3,0.14,2.0,1.7,Atalanta,32,13.0,4918,6383,77.0,91343,34614,2019,2395,84.3,2235,2670,83.7,542,978,55.4,15,16.3,12.6,-1.3,135,406,115,31,586,Atalanta,32,13.0,6383,5739,608,147,20,42,217,288,63,36,13,0,4918,36,158,Atalanta,32,13.0,297,22.85,222,17,27,23,6,2,40,3.08,29,0,5,6,0,0,Atalanta,32,13.0,235,139,93,109,33,124,238,52.1,114,155,27,128,143,378,227,3,Atalanta,32,47.6,13.0,7896,743,2297,3587,2112,313,7895,224,106,47.3,100,44.6,5421,29093,12412,257,213,70,239,112,4875,583,Atalanta,32,13.0,28,0,0,203,129,36,217,143,139,0,3,0,786,219,157,58.2
Benfica,18,26.2,53.7,6,66,570,6.3,6,3,9,3,3,3,10,0,11.2,8.9,6.7,15.6,149,292,0.95,0.47,1.42,0.47,0.95,1.77,1.05,2.82,1.4,2.46,Benfica,1,6,6,570,6.3,5,0.79,23,18,78.3,3,2,1,2,33.3,0,0,0,0,,Benfica,1,6.3,5,0,0,0,0,6.4,0.28,1.4,0.22,20,60,33.3,143,31,24.5,29.5,51,49.0,41.2,101,3,3.0,3,0.47,14.2,Benfica,18,6.3,6,91,20,22.0,14.37,3.16,0.03,0.15,17.8,1,3,3,11.2,8.9,0.1,-5.2,-5.9,Benfica,18,6.3,2851,3519,81.0,50282,17822,1276,1433,89.0,1194,1388,86.0,292,505,57.8,3,6.7,6.3,-3.7,65,236,62,7,292,Benfica,18,6.3,3519,3191,320,76,7,28,115,142,39,24,10,0,2851,8,89,Benfica,18,6.3,157,24.79,107,18,11,14,6,1,9,1.42,5,0,0,3,1,0,Benfica,18,6.3,128,83,70,48,10,71,128,55.5,57,82,23,59,50,178,143,3,Benfica,18,53.7,6.3,4318,440,1435,1878,1058,162,4315,134,56,41.8,71,53.0,2833,16717,8510,149,133,24,109,47,2830,290,Benfica,18,6.3,10,0,0,55,73,8,115,50,83,1,0,0,335,70,76,47.9
Betis,22,28.4,55.7,6,66,540,6.0,9,8,17,9,0,1,16,0,9.1,8.3,5.8,14.1,114,258,1.5,1.33,2.83,1.5,2.83,1.51,0.97,2.48,1.38,2.34,Betis,2,6,6,540,6.0,7,1.17,19,12,63.2,3,0,3,1,16.7,0,0,0,0,,Betis,2,6.0,7,0,0,2,0,6.2,0.36,-0.8,-0.13,23,68,33.8,148,15,29.7,30.7,48,50.0,40.8,59,4,6.8,9,1.5,14.8,Betis,22,6.0,9,89,34,38.2,14.83,5.67,0.1,0.26,18.4,2,0,1,9.1,8.3,0.1,-0.1,0.7,Betis,22,6.0,2637,3228,81.7,43779,15856,1273,1394,91.3,973,1132,86.0,249,447,55.7,8,5.8,5.5,2.2,65,200,53,11,258,Betis,22,6.0,3228,2911,311,84,9,27,108,130,36,8,22,0,2637,6,59,Betis,22,6.0,147,24.5,110,9,14,7,3,4,14,2.33,11,1,0,1,0,1,Betis,22,6.0,94,51,48,35,11,50,107,46.7,57,71,20,51,55,149,72,1,Betis,22,55.7,6.0,3865,277,974,1917,1009,148,3864,151,75,49.7,71,47.0,2136,11829,5850,114,88,46,96,60,2611,256,Betis,22,6.0,16,0,0,62,74,6,108,55,51,1,0,0,319,54,63,46.2
Braga,18,26.7,58.5,2,22,210,2.3,5,2,7,3,2,2,6,0,4.2,2.7,1.6,4.3,50,139,2.14,0.86,3.0,1.29,2.14,1.82,0.68,2.5,1.14,1.83,Braga,1,2,2,210,2.3,6,2.57,11,5,54.5,1,0,1,0,0.0,1,1,0,0,0.0,Braga,1,2.3,6,1,0,0,0,5.6,0.42,-0.4,-0.16,3,5,60.0,57,9,8.8,24.4,7,0.0,22.3,20,0,0.0,7,3.0,21.1,Braga,18,2.3,5,38,16,42.1,16.29,6.86,0.08,0.19,19.9,1,2,2,4.2,2.7,0.07,0.8,0.3,Braga,18,2.3,984,1232,79.9,18534,6484,373,423,88.2,489,560,87.3,111,191,58.1,2,1.6,1.6,0.4,27,106,30,13,139,Braga,18,2.3,1232,1108,122,33,0,5,66,61,12,1,8,1,984,2,26,Braga,18,2.3,75,32.14,57,6,3,4,4,1,9,3.86,5,0,1,1,2,0,Braga,18,2.3,43,24,19,18,6,20,43,46.5,23,24,7,17,11,54,34,0,Braga,18,58.5,2.3,1475,104,372,738,375,57,1473,37,15,40.5,16,43.2,754,4308,2324,50,27,7,35,19,981,138,Braga,18,2.3,6,0,0,34,29,2,66,11,24,2,1,0,113,38,29,56.7
Brighton,26,26.0,58.5,8,88,720,8.0,11,7,18,7,4,4,21,0,12.3,9.3,7.1,16.5,165,359,1.37,0.87,2.25,0.87,1.75,1.54,0.89,2.43,1.17,2.06,Brighton,2,8,8,720,8.0,9,1.13,27,18,66.7,5,1,2,5,62.5,0,0,0,0,,Brighton,2,8.0,9,0,0,3,0,8.3,0.33,-0.7,-0.08,19,46,41.3,226,30,18.6,24.5,50,8.0,15.2,85,3,3.5,17,2.13,22.4,Brighton,26,8.0,11,99,33,33.3,12.38,4.12,0.07,0.21,16.9,5,4,4,12.3,9.3,0.1,-1.3,-2.3,Brighton,26,8.0,4200,4819,87.2,66992,23027,2116,2286,92.6,1643,1815,90.5,275,446,61.7,7,7.1,10.6,-0.1,69,318,82,13,359,Brighton,26,8.0,4819,4448,364,101,11,13,115,153,43,19,16,0,4200,7,66,Brighton,26,8.0,183,22.87,141,8,9,10,10,5,20,2.5,14,0,1,1,4,0,Brighton,26,8.0,91,58,31,38,22,49,103,47.6,54,78,20,58,44,135,100,4,Brighton,26,58.5,8.0,5583,482,1519,2694,1411,214,5579,137,54,39.4,70,51.1,4157,21204,9872,165,137,46,135,71,4151,356,Brighton,26,8.0,21,0,0,87,89,7,115,44,58,4,0,0,337,69,66,51.1
Feyenoord,19,23.9,47.5,2,22,210,2.3,2,1,3,2,0,0,7,0,2.0,2.0,1.6,3.6,31,82,0.86,0.43,1.29,0.86,1.29,0.85,0.69,1.55,0.85,1.55,Feyenoord,1,2,2,210,2.3,2,0.86,7,5,71.4,0,2,0,0,0.0,0,0,0,0,,Feyenoord,1,2.3,2,0,0,0,0,1.6,0.23,-0.4,-0.17,13,42,31.0,97,18,38.1,33.7,19,26.3,28.4,35,2,5.7,7,3.0,18.3,Feyenoord,19,2.3,2,25,10,40.0,10.71,4.29,0.08,0.2,19.0,3,0,0,2.0,2.0,0.08,0.0,0.0,Feyenoord,19,2.3,894,1089,82.1,16554,5308,313,352,88.9,491,549,89.4,68,139,48.9,1,1.6,1.6,-0.6,19,77,18,3,82,Feyenoord,19,2.3,1089,987,100,29,2,3,27,40,7,4,3,0,894,2,20,Feyenoord,19,2.3,50,21.43,42,3,2,0,3,0,4,1.71,4,0,0,0,0,0,Feyenoord,19,2.3,22,11,10,7,5,8,22,36.4,14,25,7,18,23,45,53,0,Feyenoord,19,47.5,2.3,1321,155,423,633,278,43,1321,32,19,59.4,11,34.4,825,4941,2571,31,28,10,34,12,875,82,Feyenoord,19,2.3,7,0,0,28,22,2,27,23,11,0,0,0,85,18,25,41.9
