Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Abner,br BRA,DF,Juventude,21-102,2004,9,6,653,7.3,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.3,6,9,1,0.00,0.14,0.14,0.00,0.14,0.01,0.03,0.04,0.01,0.04,Matches,1,Abner,br BRA,DF,Juventude,21-102,2004,7.3,0,1,0,0.0,0.14,0.00,0.00,,8.7,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,1,Abner,br BRA,DF,Juventude,21-102,2004,7.3,266,312,85.3,5320,1979,79,86,91.9,157,166,94.6,29,55,52.7,1,0.2,0.2,+0.8,2,9,1,0,9,Matches,1,Abner,br BRA,DF,Juventude,21-102,2004,7.3,312,298,12,7,1,1,0,0,0,0,0,0,266,2,1,Matches,1,Abner,br BRA,DF,Juventude,21-102,2004,7.3,2,0.28,2,0,0,0,0,0,1,0.14,1,0,0,0,0,0,Matches,1,Abner,br BRA,DF,Juventude,21-102,2004,7.3,7,4,5,2,0,3,18,16.7,15,11,7,4,12,19,39,0,Matches,1,Abner,br BRA,DF,Juventude,21-102,2004,7.3,385,58,255,129,5,3,385,4,4,100.0,0,0.0,229,1168,635,6,0,0,3,1,260,1,Matches,1,Abner,br BRA,DF,Juventude,21-102,2004,7.3,1,0,0,4,2,1,0,12,4,0,0,0,19,16,4,80.0,Matches
2,Nicolás Acevedo,uy URU,"MF,DF",Bahia,26-107,1999,10,2,330,3.7,0,0,0,0,0,0,1,0,0.1,0.1,0.5,0.5,8,20,4,0.00,0.00,0.00,0.00,0.00,0.02,0.12,0.14,0.02,0.14,Matches,2,Nicolás Acevedo,uy URU,"MF,DF",Bahia,26-107,1999,3.7,0,2,1,50.0,0.55,0.27,0.00,0.00,24.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,2,Nicolás Acevedo,uy URU,"MF,DF",Bahia,26-107,1999,3.7,228,269,84.8,3290,1039,140,147,95.2,71,87,81.6,10,19,52.6,0,0.5,0.3,-0.5,4,21,1,0,20,Matches,2,Nicolás Acevedo,uy URU,"MF,DF",Bahia,26-107,1999,3.7,269,247,22,12,1,0,3,6,0,0,0,0,228,0,5,Matches,2,Nicolás Acevedo,uy URU,"MF,DF",Bahia,26-107,1999,3.7,8,2.19,5,0,0,1,0,2,2,0.55,2,0,0,0,0,0,Matches,2,Nicolás Acevedo,uy URU,"MF,DF",Bahia,26-107,1999,3.7,12,9,2,5,5,5,13,38.5,8,5,1,4,4,16,5,0,Matches,2,Nicolás Acevedo,uy URU,"MF,DF",Bahia,26-107,1999,3.7,304,16,89,163,59,4,304,5,3,60.0,1,20.0,191,926,525,8,8,2,8,10,212,4,Matches,2,Nicolás Acevedo,uy URU,"MF,DF",Bahia,26-107,1999,3.7,1,0,0,5,3,0,3,4,9,0,0,0,25,5,2,71.4,Matches
3,Adson,br BRA,"FW,MF",Vasco da Gama,24-297,2000,10,0,210,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,6,12,17,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.15,0.05,0.15,Matches,3,Adson,br BRA,"FW,MF",Vasco da Gama,24-297,2000,2.3,0,3,2,66.7,1.29,0.86,0.00,0.00,20.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,3,Adson,br BRA,"FW,MF",Vasco da Gama,24-297,2000,2.3,122,146,83.6,1503,290,80,90,88.9,25,32,78.1,4,6,66.7,0,0.2,0.3,-0.2,4,13,4,1,12,Matches,3,Adson,br BRA,"FW,MF",Vasco da Gama,24-297,2000,2.3,146,143,3,2,0,0,7,1,0,0,0,0,122,0,4,Matches,3,Adson,br BRA,"FW,MF",Vasco da Gama,24-297,2000,2.3,10,4.29,9,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,3,Adson,br BRA,"FW,MF",Vasco da Gama,24-297,2000,2.3,6,4,4,1,1,0,0,,0,2,0,2,0,6,5,0,Matches,3,Adson,br BRA,"FW,MF",Vasco da Gama,24-297,2000,2.3,181,3,21,80,82,5,181,15,3,20.0,10,66.7,128,637,252,6,9,1,1,1,149,17,Matches,3,Adson,br BRA,"FW,MF",Vasco da Gama,24-297,2000,2.3,0,0,0,2,3,0,7,0,4,0,0,0,7,1,4,20.0,Matches
4,Braian Aguirre,ar ARG,DF,Internacional,25-002,2000,15,15,1338,14.9,1,0,1,1,0,0,2,0,0.4,0.4,0.5,0.9,23,77,80,0.07,0.00,0.07,0.07,0.07,0.03,0.03,0.06,0.03,0.06,Matches,4,Braian Aguirre,ar ARG,DF,Internacional,25-002,2000,14.9,1,12,2,16.7,0.81,0.13,0.08,0.50,28.6,0,0,0,0.4,0.4,0.03,+0.6,+0.6,Matches,4,Braian Aguirre,ar ARG,DF,Internacional,25-002,2000,14.9,631,818,77.1,11479,4255,265,298,88.9,288,364,79.1,68,115,59.1,0,0.5,0.6,-0.5,6,58,14,5,77,Matches,4,Braian Aguirre,ar ARG,DF,Internacional,25-002,2000,14.9,818,674,142,11,1,3,41,131,0,0,0,0,631,2,20,Matches,4,Braian Aguirre,ar ARG,DF,Internacional,25-002,2000,14.9,25,1.68,22,1,0,1,0,1,1,0.07,1,0,0,0,0,0,Matches,4,Braian Aguirre,ar ARG,DF,Internacional,25-002,2000,14.9,38,21,14,19,5,28,37,75.7,9,15,4,11,16,54,55,2,Matches,4,Braian Aguirre,ar ARG,DF,Internacional,25-002,2000,14.9,999,42,264,464,275,9,999,17,8,47.1,9,52.9,513,2143,1161,23,19,2,16,5,560,80,Matches,4,Braian Aguirre,ar ARG,DF,Internacional,25-002,2000,14.9,2,0,0,14,2,2,41,16,21,0,0,0,68,9,16,36.0,Matches
5,Carlos Alberto,br BRA,"FW,MF",Sport Recife,23-107,2002,9,4,330,3.7,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.6,5,9,20,0.00,0.00,0.00,0.00,0.00,0.14,0.02,0.15,0.14,0.15,Matches,5,Carlos Alberto,br BRA,"FW,MF",Sport Recife,23-107,2002,3.7,0,3,2,66.7,0.82,0.55,0.00,0.00,17.9,0,0,0,0.5,0.5,0.17,-0.5,-0.5,Matches,5,Carlos Alberto,br BRA,"FW,MF",Sport Recife,23-107,2002,3.7,51,69,73.9,761,255,26,34,76.5,17,20,85.0,3,6,50.0,0,0.1,0.0,-0.1,2,2,0,0,9,Matches,5,Carlos Alberto,br BRA,"FW,MF",Sport Recife,23-107,2002,3.7,69,61,8,1,0,1,5,5,0,0,0,0,51,0,2,Matches,5,Carlos Alberto,br BRA,"FW,MF",Sport Recife,23-107,2002,3.7,9,2.45,8,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,5,Carlos Alberto,br BRA,"FW,MF",Sport Recife,23-107,2002,3.7,4,3,2,1,1,2,4,50.0,2,2,0,2,9,13,7,0,Matches,5,Carlos Alberto,br BRA,"FW,MF",Sport Recife,23-107,2002,3.7,115,4,19,47,52,13,115,13,4,30.8,9,69.2,52,394,181,5,3,4,11,2,61,20,Matches,5,Carlos Alberto,br BRA,"FW,MF",Sport Recife,23-107,2002,3.7,1,0,0,7,0,1,5,9,3,0,0,0,13,5,10,33.3,Matches
6,Yuri Alberto,br BRA,FW,Corinthians,24-134,2001,11,8,771,8.6,5,1,6,4,1,1,2,0,4.4,3.6,0.9,4.5,13,12,56,0.58,0.12,0.70,0.47,0.58,0.52,0.11,0.62,0.42,0.53,Matches,6,Yuri Alberto,br BRA,FW,Corinthians,24-134,2001,8.6,5,27,10,37.0,3.15,1.17,0.15,0.40,16.4,0,1,1,4.4,3.6,0.13,+0.6,+0.4,Matches,6,Yuri Alberto,br BRA,FW,Corinthians,24-134,2001,8.6,111,146,76.0,1520,310,64,79,81.0,38,49,77.6,2,2,100.0,1,0.9,0.2,+0.1,8,10,4,1,12,Matches,6,Yuri Alberto,br BRA,FW,Corinthians,24-134,2001,8.6,146,133,13,0,0,1,1,2,0,0,0,0,111,0,4,Matches,6,Yuri Alberto,br BRA,FW,Corinthians,24-134,2001,8.6,23,2.68,11,0,4,4,4,0,2,0.23,1,0,1,0,0,0,Matches,6,Yuri Alberto,br BRA,FW,Corinthians,24-134,2001,8.6,4,1,0,1,3,3,6,50.0,3,1,0,1,2,6,5,0,Matches,6,Yuri Alberto,br BRA,FW,Corinthians,24-134,2001,8.6,216,5,12,93,114,34,215,14,8,57.1,6,42.9,129,681,349,13,6,6,17,4,168,56,Matches,6,Yuri Alberto,br BRA,FW,Corinthians,24-134,2001,8.6,2,0,0,10,11,3,1,2,1,0,0,0,23,14,11,56.0,Matches
7,José Aldo,br BRA,MF,Mirassol,27-005,1998,12,5,546,6.1,0,0,0,0,0,0,2,0,0.3,0.3,0.8,1.1,4,44,13,0.00,0.00,0.00,0.00,0.00,0.04,0.13,0.18,0.04,0.18,Matches,7,José Aldo,br BRA,MF,Mirassol,27-005,1998,6.1,0,6,1,16.7,0.99,0.16,0.00,0.00,20.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,7,José Aldo,br BRA,MF,Mirassol,27-005,1998,6.1,251,304,82.6,4188,1506,122,136,89.7,96,115,83.5,22,33,66.7,0,0.8,0.7,-0.8,8,24,3,0,44,Matches,7,José Aldo,br BRA,MF,Mirassol,27-005,1998,6.1,304,294,8,5,1,3,1,2,0,0,0,0,251,2,4,Matches,7,José Aldo,br BRA,MF,Mirassol,27-005,1998,6.1,20,3.30,16,0,3,0,0,1,1,0.16,1,0,0,0,0,0,Matches,7,José Aldo,br BRA,MF,Mirassol,27-005,1998,6.1,16,13,11,5,0,10,14,71.4,4,6,0,6,13,29,16,0,Matches,7,José Aldo,br BRA,MF,Mirassol,27-005,1998,6.1,381,19,88,227,71,8,381,11,5,45.5,6,54.5,209,791,368,4,4,0,6,5,244,13,Matches,7,José Aldo,br BRA,MF,Mirassol,27-005,1998,6.1,2,0,0,12,8,1,1,13,13,0,0,0,34,8,7,53.3,Matches
8,Alesson,br BRA,"FW,MF",Mirassol,26-164,1999,4,2,172,1.9,0,2,2,0,0,0,0,0,0.0,0.0,0.3,0.3,2,0,16,0.00,1.05,1.05,0.00,1.05,0.01,0.17,0.18,0.01,0.18,Matches,8,Alesson,br BRA,"FW,MF",Mirassol,26-164,1999,1.9,0,1,0,0.0,0.52,0.00,0.00,,25.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,8,Alesson,br BRA,"FW,MF",Mirassol,26-164,1999,1.9,31,41,75.6,498,95,19,23,82.6,8,10,80.0,4,6,66.7,2,0.3,0.2,+1.7,4,1,3,3,0,Matches,8,Alesson,br BRA,"FW,MF",Mirassol,26-164,1999,1.9,41,41,0,0,0,0,5,0,0,0,0,0,31,0,2,Matches,8,Alesson,br BRA,"FW,MF",Mirassol,26-164,1999,1.9,6,3.16,5,0,1,0,0,0,3,1.58,2,0,1,0,0,0,Matches,8,Alesson,br BRA,"FW,MF",Mirassol,26-164,1999,1.9,0,0,0,0,0,0,8,0.0,8,6,0,6,1,1,2,0,Matches,8,Alesson,br BRA,"FW,MF",Mirassol,26-164,1999,1.9,71,3,10,30,32,3,71,12,3,25.0,9,75.0,39,196,97,2,5,1,2,5,47,16,Matches,8,Alesson,br BRA,"FW,MF",Mirassol,26-164,1999,1.9,0,0,0,7,2,4,5,1,0,0,0,0,6,5,1,83.3,Matches
9,Caio Alexandre,br BRA,MF,Bahia,26-156,1999,13,13,967,10.7,0,1,1,0,0,0,4,0,0.2,0.2,1.2,1.3,8,75,11,0.00,0.09,0.09,0.00,0.09,0.02,0.11,0.12,0.02,0.12,Matches,9,Caio Alexandre,br BRA,MF,Bahia,26-156,1999,10.7,0,5,0,0.0,0.47,0.00,0.00,,27.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,9,Caio Alexandre,br BRA,MF,Bahia,26-156,1999,10.7,725,804,90.2,12742,3235,321,343,93.6,316,336,94.0,74,91,81.3,1,1.2,1.1,-0.2,9,78,12,4,75,Matches,9,Caio Alexandre,br BRA,MF,Bahia,26-156,1999,10.7,804,757,43,32,2,7,13,0,9,0,0,0,725,4,11,Matches,9,Caio Alexandre,br BRA,MF,Bahia,26-156,1999,10.7,25,2.32,24,1,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches,9,Caio Alexandre,br BRA,MF,Bahia,26-156,1999,10.7,22,11,10,12,0,11,31,35.5,20,13,6,7,10,32,15,1,Matches,9,Caio Alexandre,br BRA,MF,Bahia,26-156,1999,10.7,910,51,224,506,184,4,910,14,7,50.0,6,42.9,578,2650,1261,8,14,2,13,6,704,11,Matches,9,Caio Alexandre,br BRA,MF,Bahia,26-156,1999,10.7,4,0,0,25,17,0,13,10,11,0,0,0,54,2,5,28.6,Matches
