Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Anthoni,br BRA,GK,Internacional,23-188,2002,12,11,1035,11.5,18,1.57,38,22,55.3,2,4,5,2,18.2,1,1,0,0,0.0,Matches,1,Anthoni,br BRA,GK,Internacional,23-188,2002,11.5,18,1,0,1,2,11.3,0.29,-4.7,-0.41,30,97,30.9,192,25,34.9,32.9,79,38.0,33.1,119,4,3.4,14,1.22,13.9,Matches
2,Léo Aragão,br BRA,GK,Cruzeiro,23-102,2002,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,2,Léo Aragão,br BRA,GK,Cruzeiro,23-102,2002,1.0,0,0,0,0,0,0.2,0.18,+0.2,+0.18,1,2,50.0,11,3,18.2,23.4,5,0.0,19.2,9,0,0.0,0,0.00,8.0,Matches
3,Lucas Arcanjo,br BRA,GK,Vitória,26-356,1998,16,16,1440,16.0,16,1.00,84,68,81.0,3,8,5,4,25.0,0,0,0,0,,Matches,3,Lucas Arcanjo,br BRA,GK,Vitória,26-356,1998,16.0,16,0,0,5,0,21.3,0.26,+5.3,+0.33,62,193,32.1,354,71,30.5,32.9,145,58.6,46.9,309,14,4.5,6,0.38,10.0,Matches
4,Gabriel Brazão,br BRA,GK,Santos,24-298,2000,16,16,1440,16.0,21,1.31,80,60,77.5,4,3,9,4,25.0,3,3,0,0,0.0,Matches,4,Gabriel Brazão,br BRA,GK,Santos,24-298,2000,16.0,21,3,0,1,1,21.6,0.24,+1.6,+0.10,56,154,36.4,283,53,37.5,33.5,125,38.4,35.4,245,4,1.6,15,0.94,13.9,Matches
5,Brenno,br BRA,GK,Fortaleza,26-120,1999,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,Matches,5,Brenno,br BRA,GK,Fortaleza,26-120,1999,1.0,1,0,0,0,0,2.0,0.66,+1.0,+0.98,3,9,33.3,21,5,33.3,28.0,10,20.0,27.6,8,0,0.0,0,0.00,7.0,Matches
6,Cássio,br BRA,GK,Cruzeiro,38-054,1987,16,16,1440,16.0,11,0.69,63,51,82.5,9,4,3,8,50.0,1,0,1,0,100.0,Matches,6,Cássio,br BRA,GK,Cruzeiro,38-054,1987,16.0,11,0,0,3,0,14.1,0.22,+3.1,+0.19,45,121,37.2,216,42,39.4,35.6,117,30.8,33.3,257,5,1.9,10,0.63,14.1,Matches
7,Gabriel Delfim,br BRA,GK,Atlético Mineiro,23-020,2002,1,1,90,1.0,2,2.00,5,3,60.0,0,0,1,0,0.0,0,0,0,0,,Matches,7,Gabriel Delfim,br BRA,GK,Atlético Mineiro,23-020,2002,1.0,2,0,0,0,0,0.9,0.18,-1.1,-1.09,2,10,20.0,27,4,33.3,31.7,6,16.7,25.3,12,3,25.0,4,4.00,18.0,Matches
8,Matheus Donelli,br BRA,GK,Corinthians,23-074,2002,5,5,450,5.0,6,1.20,19,13,73.7,2,1,2,1,20.0,1,1,0,0,0.0,Matches,8,Matheus Donelli,br BRA,GK,Corinthians,23-074,2002,5.0,6,1,0,0,0,5.7,0.26,-0.3,-0.05,13,33,39.4,97,19,25.8,29.2,35,22.9,27.8,53,3,5.7,2,0.40,11.6,Matches
9,Éverson,br BRA,GK,Atlético Mineiro,35-008,1990,14,14,1260,14.0,14,1.00,55,42,74.5,5,5,4,7,50.0,0,0,0,0,,Matches,9,Éverson,br BRA,GK,Atlético Mineiro,35-008,1990,14.0,14,0,0,3,1,16.3,0.30,+3.3,+0.24,74,187,39.6,455,58,38.2,35.0,44,29.5,34.8,167,7,4.2,29,2.07,18.6,Matches
