Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Uriel van Aalst,,FW,Willem II,,,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,Matches,1,Uriel van Aalst,,FW,Willem II,,,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,1,Uriel van Aalst,,FW,Willem II,,,0.3,7,8,87.5,74,36,3,3,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,1,1,0,0,1,Matches,1,Uriel van Aalst,,FW,Willem II,,,0.3,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0,Matches,1,Uriel van Aalst,,FW,Willem II,,,0.3,3,9.64,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,1,Uriel van Aalst,,FW,Willem II,,,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,1,Uriel van Aalst,,FW,Willem II,,,0.3,11,0,1,8,3,0,11,2,2,100.0,0,0.0,8,48,29,1,1,0,0,0,9,1,Matches,1,Uriel van Aalst,,FW,Willem II,,,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,40.0,Matches
2,Patrick van Aanholt,nl NED,DF,Sparta R'dam,33,1990,21,20,1656,18.4,0,0,0,0,0,0,4,0,0.6,0.6,1.3,1.9,39,86,64,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.11,0.04,0.11,Matches,2,Patrick van Aanholt,nl NED,DF,Sparta R'dam,33,1990,18.4,0,19,1,5.3,1.03,0.05,0.00,0.00,23.3,1,0,0,0.6,0.6,0.03,-0.6,-0.6,Matches,2,Patrick van Aanholt,nl NED,DF,Sparta R'dam,33,1990,18.4,680,823,82.6,11514,4093,305,353,86.4,302,342,88.3,57,92,62.0,0,1.3,2.2,-1.3,16,59,26,7,86,Matches,2,Patrick van Aanholt,nl NED,DF,Sparta R'dam,33,1990,18.4,823,661,161,19,2,2,24,141,1,0,0,0,680,1,10,Matches,2,Patrick van Aanholt,nl NED,DF,Sparta R'dam,33,1990,18.4,45,2.45,39,1,1,3,0,1,3,0.16,3,0,0,0,0,0,Matches,2,Patrick van Aanholt,nl NED,DF,Sparta R'dam,33,1990,18.4,29,18,16,12,1,11,29,37.9,18,18,6,12,20,49,48,0,Matches,2,Patrick van Aanholt,nl NED,DF,Sparta R'dam,33,1990,18.4,1010,70,309,470,245,20,1010,20,8,40.0,12,60.0,489,2672,1411,39,39,4,29,4,545,64,Matches,2,Patrick van Aanholt,nl NED,DF,Sparta R'dam,33,1990,18.4,4,0,0,14,4,2,24,20,18,0,0,0,88,7,5,58.3,Matches
3,Paxten Aaronson,us USA,"MF,FW",Utrecht,20,2003,33,30,2689,29.9,8,4,12,8,0,0,8,0,5.3,5.3,2.9,8.2,51,116,80,0.27,0.13,0.40,0.27,0.40,0.18,0.10,0.28,0.18,0.28,Matches,3,Paxten Aaronson,us USA,"MF,FW",Utrecht,20,2003,29.9,8,59,14,23.7,1.97,0.47,0.14,0.57,18.6,0,0,0,5.3,5.3,0.09,+2.7,+2.7,Matches,3,Paxten Aaronson,us USA,"MF,FW",Utrecht,20,2003,29.9,718,904,79.4,11995,3016,320,361,88.6,319,373,85.5,51,86,59.3,4,2.9,4.0,+1.1,34,65,29,2,116,Matches,3,Paxten Aaronson,us USA,"MF,FW",Utrecht,20,2003,29.9,904,862,37,7,3,3,49,2,16,15,0,0,718,5,36,Matches,3,Paxten Aaronson,us USA,"MF,FW",Utrecht,20,2003,29.9,84,2.81,57,4,3,11,4,5,8,0.27,6,0,0,2,0,0,Matches,3,Paxten Aaronson,us USA,"MF,FW",Utrecht,20,2003,29.9,114,67,45,53,16,41,79,51.9,38,37,7,30,37,151,26,0,Matches,3,Paxten Aaronson,us USA,"MF,FW",Utrecht,20,2003,29.9,1285,30,258,635,418,75,1285,53,27,50.9,23,43.4,691,4321,1713,51,33,12,31,41,707,80,Matches,3,Paxten Aaronson,us USA,"MF,FW",Utrecht,20,2003,29.9,8,0,0,42,32,3,49,37,67,0,1,0,148,18,32,36.0,Matches
4,Jayden Addai,nl NED,"FW,DF",AZ Alkmaar,18,2005,17,3,324,3.6,1,0,1,1,0,0,1,0,1.0,1.0,0.4,1.4,18,15,44,0.28,0.00,0.28,0.28,0.28,0.28,0.11,0.40,0.28,0.40,Matches,4,Jayden Addai,nl NED,"FW,DF",AZ Alkmaar,18,2005,3.6,1,13,5,38.5,3.61,1.39,0.08,0.20,16.0,0,0,0,1.0,1.0,0.08,0.0,0.0,Matches,4,Jayden Addai,nl NED,"FW,DF",AZ Alkmaar,18,2005,3.6,89,121,73.6,1226,343,54,69,78.3,30,37,81.1,3,7,42.9,0,0.4,0.8,-0.4,5,4,10,1,15,Matches,4,Jayden Addai,nl NED,"FW,DF",AZ Alkmaar,18,2005,3.6,121,113,6,1,0,0,4,4,0,0,0,0,89,2,2,Matches,4,Jayden Addai,nl NED,"FW,DF",AZ Alkmaar,18,2005,3.6,23,6.39,9,0,7,2,5,0,1,0.28,0,0,0,0,1,0,Matches,4,Jayden Addai,nl NED,"FW,DF",AZ Alkmaar,18,2005,3.6,5,2,2,3,0,1,9,11.1,8,7,0,7,1,6,5,0,Matches,4,Jayden Addai,nl NED,"FW,DF",AZ Alkmaar,18,2005,3.6,197,5,25,76,101,24,197,40,20,50.0,18,45.0,138,1103,574,18,12,13,14,9,145,44,Matches,4,Jayden Addai,nl NED,"FW,DF",AZ Alkmaar,18,2005,3.6,1,0,0,2,13,1,4,1,2,1,0,0,19,1,6,14.3,Matches
5,Bobby Adekanye,nl NED,"FW,MF",Go Ahead Eag,25,1999,13,10,778,8.6,1,0,1,1,0,0,2,0,1.3,1.3,0.9,2.2,31,22,60,0.12,0.00,0.12,0.12,0.12,0.15,0.11,0.26,0.15,0.26,Matches,5,Bobby Adekanye,nl NED,"FW,MF",Go Ahead Eag,25,1999,8.6,1,18,5,27.8,2.08,0.58,0.06,0.20,17.2,0,0,0,1.3,1.3,0.07,-0.3,-0.3,Matches,5,Bobby Adekanye,nl NED,"FW,MF",Go Ahead Eag,25,1999,8.6,147,214,68.7,2389,636,82,105,78.1,49,66,74.2,13,31,41.9,0,0.9,0.7,-0.9,7,11,17,8,22,Matches,5,Bobby Adekanye,nl NED,"FW,MF",Go Ahead Eag,25,1999,8.6,214,209,5,1,1,1,33,2,2,0,0,0,147,0,9,Matches,5,Bobby Adekanye,nl NED,"FW,MF",Go Ahead Eag,25,1999,8.6,23,2.66,17,1,1,2,2,0,1,0.12,1,0,0,0,0,0,Matches,5,Bobby Adekanye,nl NED,"FW,MF",Go Ahead Eag,25,1999,8.6,9,4,2,6,1,3,13,23.1,10,5,0,5,0,9,6,0,Matches,5,Bobby Adekanye,nl NED,"FW,MF",Go Ahead Eag,25,1999,8.6,304,11,37,99,174,36,304,28,12,42.9,16,57.1,201,1634,859,31,14,12,16,12,214,60,Matches,5,Bobby Adekanye,nl NED,"FW,MF",Go Ahead Eag,25,1999,8.6,2,0,0,9,13,1,33,0,4,0,0,0,29,1,12,7.7,Matches
6,Aske Adelgaard,dk DEN,DF,Go Ahead Eag,20,2003,22,14,1224,13.6,0,1,1,0,0,0,5,0,0.3,0.3,1.3,1.6,25,39,61,0.00,0.07,0.07,0.00,0.07,0.02,0.10,0.12,0.02,0.12,Matches,6,Aske Adelgaard,dk DEN,DF,Go Ahead Eag,20,2003,13.6,0,5,1,20.0,0.37,0.07,0.00,0.00,21.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,6,Aske Adelgaard,dk DEN,DF,Go Ahead Eag,20,2003,13.6,512,676,75.7,8446,2959,271,307,88.3,188,237,79.3,41,100,41.0,1,1.3,1.3,-0.3,15,32,11,3,39,Matches,6,Aske Adelgaard,dk DEN,DF,Go Ahead Eag,20,2003,13.6,676,526,148,19,0,1,59,101,28,25,2,0,512,2,12,Matches,6,Aske Adelgaard,dk DEN,DF,Go Ahead Eag,20,2003,13.6,33,2.43,18,13,0,1,1,0,3,0.22,2,1,0,0,0,0,Matches,6,Aske Adelgaard,dk DEN,DF,Go Ahead Eag,20,2003,13.6,21,13,13,5,3,15,25,60.0,10,12,4,8,10,31,43,1,Matches,6,Aske Adelgaard,dk DEN,DF,Go Ahead Eag,20,2003,13.6,816,46,274,296,254,10,816,15,10,66.7,4,26.7,404,1937,971,25,15,1,16,11,449,61,Matches,6,Aske Adelgaard,dk DEN,DF,Go Ahead Eag,20,2003,13.6,5,0,0,17,14,0,59,10,13,0,0,0,54,8,12,40.0,Matches
7,Shawn Adewoye,be BEL,DF,Fortuna Sittard,24,2000,24,20,1748,19.4,1,0,1,1,0,0,3,0,1.5,1.5,0.1,1.6,13,59,0,0.05,0.00,0.05,0.05,0.05,0.08,0.01,0.08,0.08,0.08,Matches,7,Shawn Adewoye,be BEL,DF,Fortuna Sittard,24,2000,19.4,1,11,3,27.3,0.57,0.15,0.09,0.33,9.9,0,0,0,1.5,1.5,0.14,-0.5,-0.5,Matches,7,Shawn Adewoye,be BEL,DF,Fortuna Sittard,24,2000,19.4,712,828,86.0,14127,4091,217,243,89.3,410,437,93.8,78,131,59.5,0,0.1,0.3,-0.1,4,55,2,1,59,Matches,7,Shawn Adewoye,be BEL,DF,Fortuna Sittard,24,2000,19.4,828,802,25,17,0,10,2,7,0,0,0,0,712,1,6,Matches,7,Shawn Adewoye,be BEL,DF,Fortuna Sittard,24,2000,19.4,16,0.82,14,0,0,1,0,1,1,0.05,1,0,0,0,0,0,Matches,7,Shawn Adewoye,be BEL,DF,Fortuna Sittard,24,2000,19.4,30,17,25,3,2,23,31,74.2,8,30,19,11,29,59,115,0,Matches,7,Shawn Adewoye,be BEL,DF,Fortuna Sittard,24,2000,19.4,1074,163,531,473,73,14,1074,0,0,,0,,558,2839,1419,13,15,1,13,4,643,0,Matches,7,Shawn Adewoye,be BEL,DF,Fortuna Sittard,24,2000,19.4,3,0,0,29,13,0,2,29,17,0,1,0,67,34,27,55.7,Matches
8,Olivier Aertssen,nl NED,DF,Zwolle,19,2004,20,14,1116,12.4,1,0,1,1,0,0,0,0,0.6,0.6,0.6,1.2,13,47,19,0.08,0.00,0.08,0.08,0.08,0.05,0.05,0.10,0.05,0.10,Matches,8,Olivier Aertssen,nl NED,DF,Zwolle,19,2004,12.4,1,6,2,33.3,0.48,0.16,0.17,0.50,17.0,0,0,0,0.6,0.6,0.10,+0.4,+0.4,Matches,8,Olivier Aertssen,nl NED,DF,Zwolle,19,2004,12.4,442,572,77.3,8079,3318,182,212,85.8,211,249,84.7,43,79,54.4,0,0.6,1.1,-0.6,6,50,9,3,47,Matches,8,Olivier Aertssen,nl NED,DF,Zwolle,19,2004,12.4,572,451,118,15,0,6,7,103,0,0,0,0,442,3,18,Matches,8,Olivier Aertssen,nl NED,DF,Zwolle,19,2004,12.4,17,1.37,11,1,4,0,0,1,4,0.32,2,0,1,0,0,1,Matches,8,Olivier Aertssen,nl NED,DF,Zwolle,19,2004,12.4,29,20,20,5,4,14,22,63.6,8,17,9,8,14,43,69,0,Matches,8,Olivier Aertssen,nl NED,DF,Zwolle,19,2004,12.4,751,61,277,359,129,11,751,22,14,63.6,7,31.8,324,1904,988,13,13,4,18,8,358,19,Matches,8,Olivier Aertssen,nl NED,DF,Zwolle,19,2004,12.4,0,0,0,12,6,0,7,14,20,0,0,0,56,21,15,58.3,Matches
9,Amar Ahmed,se SWE,"FW,MF",Willem II,20,2004,22,5,703,7.8,1,0,1,1,0,0,3,0,0.7,0.7,0.9,1.7,35,21,55,0.13,0.00,0.13,0.13,0.13,0.10,0.12,0.22,0.10,0.22,Matches,9,Amar Ahmed,se SWE,"FW,MF",Willem II,20,2004,7.8,1,14,5,35.7,1.79,0.64,0.07,0.20,18.7,0,0,0,0.7,0.7,0.05,+0.3,+0.3,Matches,9,Amar Ahmed,se SWE,"FW,MF",Willem II,20,2004,7.8,180,255,70.6,2772,843,91,105,86.7,60,87,69.0,14,33,42.4,0,0.9,1.4,-0.9,18,10,8,0,21,Matches,9,Amar Ahmed,se SWE,"FW,MF",Willem II,20,2004,7.8,255,217,37,9,3,3,29,6,21,3,13,0,180,1,7,Matches,9,Amar Ahmed,se SWE,"FW,MF",Willem II,20,2004,7.8,27,3.46,15,8,3,0,1,0,0,0.00,0,0,0,0,0,0,Matches,9,Amar Ahmed,se SWE,"FW,MF",Willem II,20,2004,7.8,11,4,4,4,3,7,15,46.7,8,13,5,8,10,21,6,0,Matches,9,Amar Ahmed,se SWE,"FW,MF",Willem II,20,2004,7.8,367,10,59,129,186,31,367,41,21,51.2,19,46.3,212,1733,958,35,22,14,22,13,233,55,Matches,9,Amar Ahmed,se SWE,"FW,MF",Willem II,20,2004,7.8,3,0,0,10,12,0,29,10,4,0,1,0,42,12,8,60.0,Matches
