Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Plamen Andreev,bg BUL,GK,Feyenoord,19,2004,1,1,90,1.0,2,2.00,4,2,75.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches,1,Plamen Andreev,bg BUL,GK,Feyenoord,19,2004,1.0,2,1,0,1,0,1.4,0.20,-0.6,-0.55,5,11,45.5,36,3,27.8,29.0,2,50.0,40.5,6,1,16.7,6,6.00,28.5,Matches
2,Nordin Bakker,nl NED,GK,Almere City,26,1997,34,34,3050,33.9,64,1.89,178,118,64.0,4,10,20,7,20.6,0,0,0,0,,Matches,2,Nordin Bakker,nl NED,GK,Almere City,26,1997,33.9,64,0,0,7,4,55.0,0.31,-5.0,-0.15,257,838,30.7,998,128,62.1,45.3,252,86.5,62.0,545,44,8.1,67,1.98,14.1,Matches
3,Vasilios Barkas,gr GRE,GK,Utrecht,30,1994,31,31,2790,31.0,44,1.42,140,97,70.7,16,9,6,7,22.6,3,3,0,0,0.0,Matches,3,Vasilios Barkas,gr GRE,GK,Utrecht,30,1994,31.0,44,3,0,5,1,42.3,0.29,-0.7,-0.02,156,417,37.4,883,117,33.6,33.2,192,62.5,47.1,410,30,7.3,28,0.90,12.4,Matches
4,Walter Benítez,ar ARG,GK,PSV Eindhoven,31,1993,34,34,3015,33.5,39,1.16,102,63,63.7,25,4,5,9,26.5,2,2,0,0,0.0,Matches,4,Walter Benítez,ar ARG,GK,PSV Eindhoven,31,1993,33.5,39,2,1,4,0,36.4,0.35,-2.6,-0.08,136,287,47.4,1158,126,20.5,27.3,140,35.7,35.1,303,20,6.6,49,1.46,16.2,Matches
5,Daniel Bielica,pl POL,GK,NAC Breda,25,1999,32,32,2880,32.0,52,1.62,163,112,71.8,8,9,15,5,15.6,6,6,0,0,0.0,Matches,5,Daniel Bielica,pl POL,GK,NAC Breda,25,1999,32.0,52,6,0,6,1,52.2,0.29,+1.2,+0.04,182,406,44.8,874,145,31.2,32.3,263,50.6,40.7,513,23,4.5,26,0.81,13.6,Matches
6,Justin Bijlow,nl NED,GK,Feyenoord,26,1998,4,4,360,4.0,8,2.00,16,8,50.0,1,1,2,0,0.0,0,0,0,0,,Matches,6,Justin Bijlow,nl NED,GK,Feyenoord,26,1998,4.0,8,0,0,2,0,6.0,0.37,-2.0,-0.51,12,30,40.0,205,16,12.7,25.0,21,19.0,28.9,26,2,7.7,6,1.50,18.1,Matches
7,Mattijs Branderhorst,nl NED,GK,Fortuna Sittard,30,1993,28,28,2520,28.0,39,1.39,131,92,71.8,10,7,11,10,35.7,2,2,0,0,0.0,Matches,7,Mattijs Branderhorst,nl NED,GK,Fortuna Sittard,30,1993,28.0,39,2,1,6,0,40.2,0.30,+1.2,+0.04,149,499,29.9,606,129,58.7,44.0,215,66.5,47.7,439,55,12.5,24,0.86,11.8,Matches
8,Michael Brouwer,nl NED,GK,Utrecht,31,1993,3,3,270,3.0,1,0.33,10,9,100.0,2,1,0,2,66.7,1,1,0,0,0.0,Matches,8,Michael Brouwer,nl NED,GK,Utrecht,31,1993,3.0,1,1,0,0,0,3.3,0.26,+2.3,+0.76,17,58,29.3,82,11,50.0,40.1,24,70.8,54.0,64,0,0.0,4,1.33,15.3,Matches
9,Jari De Busser,be BEL,GK,Go Ahead Eag,24,1999,16,16,1440,16.0,23,1.44,88,66,75.0,7,5,4,5,31.3,1,1,0,0,0.0,Matches,9,Jari De Busser,be BEL,GK,Go Ahead Eag,24,1999,16.0,23,1,0,3,1,21.0,0.23,-1.0,-0.06,68,234,29.1,662,83,29.2,31.9,85,48.2,44.0,311,15,4.8,19,1.19,13.3,Matches
10,Mickey van der Hart,nl NED,GK,Heerenveen,30,1994,19,18,1695,18.8,33,1.75,104,72,71.2,5,6,7,3,16.7,3,3,0,0,0.0,Matches,10,Mickey van der Hart,nl NED,GK,Heerenveen,30,1994,18.8,33,3,0,8,1,37.0,0.34,+5.0,+0.27,82,255,32.2,794,78,29.1,30.3,58,41.4,38.5,214,11,5.1,30,1.59,16.3,Matches
11,Thomas Didillon,fr FRA,GK,Willem II,28,1995,34,34,3060,34.0,56,1.65,181,128,72.4,6,8,20,5,14.7,6,6,0,0,0.0,Matches,11,Thomas Didillon,fr FRA,GK,Willem II,28,1995,34.0,56,6,0,6,3,60.7,0.31,+7.7,+0.23,239,621,38.5,905,128,47.3,37.9,278,69.4,50.8,620,36,5.8,11,0.32,9.4,Matches
