Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Brenden Aaronson,us USA,MF,Leeds United,23,2000,46,43,3551,39.5,9,2,11,9,0,0,1,0,11.3,11.3,5.7,17.0,84,160,243,0.23,0.05,0.28,0.23,0.28,0.29,0.14,0.43,0.29,0.43,Matches,1,Brenden Aaronson,us USA,MF,Leeds United,23,2000,39.5,9,86,26,30.2,2.18,0.66,0.10,0.35,16.5,3,0,0,11.3,11.3,0.13,-2.3,-2.3,Matches,1,Brenden Aaronson,us USA,MF,Leeds United,23,2000,39.5,1028,1293,79.5,13715,3018,627,728,86.1,302,366,82.5,34,64,53.1,2,5.7,6.0,-3.7,73,84,49,10,160,Matches,1,Brenden Aaronson,us USA,MF,Leeds United,23,2000,39.5,1293,1249,31,10,12,1,61,4,16,7,6,0,1028,13,37,Matches,1,Brenden Aaronson,us USA,MF,Leeds United,23,2000,39.5,145,3.67,108,5,12,12,7,1,13,0.33,10,0,0,3,0,0,Matches,1,Brenden Aaronson,us USA,MF,Leeds United,23,2000,39.5,57,33,18,24,15,17,50,34.0,33,40,1,39,8,65,8,1,Matches,1,Brenden Aaronson,us USA,MF,Leeds United,23,2000,39.5,1777,9,144,739,921,171,1777,110,51,46.4,54,49.1,1086,5865,2620,84,67,36,103,112,1336,243,Matches,1,Brenden Aaronson,us USA,MF,Leeds United,23,2000,39.5,1,0,0,43,67,5,61,8,33,0,0,0,122,23,57,28.8,Matches
2,Thelo Aasgaard,no NOR,"MF,FW",Luton Town,22,2002,17,17,1513,16.8,2,1,3,2,0,0,1,0,3.2,3.2,1.1,4.3,27,46,71,0.12,0.06,0.18,0.12,0.18,0.19,0.07,0.25,0.19,0.25,Matches,2,Thelo Aasgaard,no NOR,"MF,FW",Luton Town,22,2002,16.8,2,38,11,28.9,2.26,0.65,0.05,0.18,21.0,3,0,0,3.2,3.2,0.08,-1.2,-1.2,Matches,2,Thelo Aasgaard,no NOR,"MF,FW",Luton Town,22,2002,16.8,328,455,72.1,5423,973,160,194,82.5,132,175,75.4,24,50,48.0,1,1.1,1.4,-0.1,13,26,17,1,46,Matches,2,Thelo Aasgaard,no NOR,"MF,FW",Luton Town,22,2002,16.8,455,423,31,1,2,2,27,5,6,4,1,0,328,1,11,Matches,2,Thelo Aasgaard,no NOR,"MF,FW",Luton Town,22,2002,16.8,39,2.32,28,1,2,5,3,0,1,0.06,1,0,0,0,0,0,Matches,2,Thelo Aasgaard,no NOR,"MF,FW",Luton Town,22,2002,16.8,20,10,4,10,6,10,20,50.0,10,26,6,20,9,29,30,0,Matches,2,Thelo Aasgaard,no NOR,"MF,FW",Luton Town,22,2002,16.8,692,35,93,274,331,44,692,46,22,47.8,19,41.3,341,2011,689,27,16,5,43,30,392,71,Matches,2,Thelo Aasgaard,no NOR,"MF,FW",Luton Town,22,2002,16.8,1,0,0,12,33,0,27,9,10,0,0,0,60,23,25,47.9,Matches
3,James Abankwah,ie IRL,DF,Watford,20,2004,19,17,1384,15.4,0,0,0,0,0,0,4,1,0.1,0.1,0.3,0.4,21,55,9,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.02,Matches,3,James Abankwah,ie IRL,DF,Watford,20,2004,15.4,0,4,1,25.0,0.26,0.07,0.00,0.00,14.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,3,James Abankwah,ie IRL,DF,Watford,20,2004,15.4,780,925,84.3,13411,4895,342,369,92.7,351,394,89.1,65,124,52.4,0,0.3,0.4,-0.3,6,49,3,0,55,Matches,3,James Abankwah,ie IRL,DF,Watford,20,2004,15.4,925,862,62,23,1,4,4,29,0,0,0,0,780,1,9,Matches,3,James Abankwah,ie IRL,DF,Watford,20,2004,15.4,16,1.04,14,0,1,1,0,0,1,0.07,1,0,0,0,0,0,Matches,3,James Abankwah,ie IRL,DF,Watford,20,2004,15.4,25,22,19,5,1,11,13,84.6,2,30,13,17,9,34,88,5,Matches,3,James Abankwah,ie IRL,DF,Watford,20,2004,15.4,1123,117,587,497,52,8,1123,24,12,50.0,8,33.3,666,4048,2284,21,12,1,11,9,732,9,Matches,3,James Abankwah,ie IRL,DF,Watford,20,2004,15.4,4,1,1,18,26,1,4,9,22,0,0,0,76,23,32,41.8,Matches
4,Salis Abdul Samed,gh GHA,MF,Sunderland,24,2000,10,3,283,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,15,10,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,4,Salis Abdul Samed,gh GHA,MF,Sunderland,24,2000,3.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4,Salis Abdul Samed,gh GHA,MF,Sunderland,24,2000,3.1,145,162,89.5,2464,511,53,59,89.8,75,77,97.4,9,12,75.0,0,0.0,0.1,0.0,1,14,0,0,15,Matches,4,Salis Abdul Samed,gh GHA,MF,Sunderland,24,2000,3.1,162,157,4,2,0,0,0,0,0,0,0,0,145,1,4,Matches,4,Salis Abdul Samed,gh GHA,MF,Sunderland,24,2000,3.1,5,1.60,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4,Salis Abdul Samed,gh GHA,MF,Sunderland,24,2000,3.1,2,0,1,1,0,1,1,100.0,0,1,0,1,2,4,6,0,Matches,4,Salis Abdul Samed,gh GHA,MF,Sunderland,24,2000,3.1,183,6,33,112,41,2,183,7,3,42.9,1,14.3,106,607,265,5,5,0,2,0,129,10,Matches,4,Salis Abdul Samed,gh GHA,MF,Sunderland,24,2000,3.1,0,0,0,6,5,0,0,2,0,0,0,0,21,2,2,50.0,Matches
5,Azeem Abdulai,sct SCO,"FW,MF",Swansea City,21,2002,17,2,348,3.9,1,0,1,1,0,0,1,0,0.4,0.4,0.2,0.6,8,10,53,0.26,0.00,0.26,0.26,0.26,0.11,0.05,0.16,0.11,0.16,Matches,5,Azeem Abdulai,sct SCO,"FW,MF",Swansea City,21,2002,3.9,1,2,1,50.0,0.52,0.26,0.50,1.00,6.1,0,0,0,0.4,0.4,0.22,+0.6,+0.6,Matches,5,Azeem Abdulai,sct SCO,"FW,MF",Swansea City,21,2002,3.9,102,143,71.3,1534,219,63,76,82.9,28,38,73.7,9,16,56.3,0,0.2,0.5,-0.2,2,2,4,0,10,Matches,5,Azeem Abdulai,sct SCO,"FW,MF",Swansea City,21,2002,3.9,143,140,3,0,0,1,18,2,1,0,0,0,102,0,7,Matches,5,Azeem Abdulai,sct SCO,"FW,MF",Swansea City,21,2002,3.9,4,1.03,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,5,Azeem Abdulai,sct SCO,"FW,MF",Swansea City,21,2002,3.9,9,5,3,3,3,4,8,50.0,4,4,0,4,2,11,3,0,Matches,5,Azeem Abdulai,sct SCO,"FW,MF",Swansea City,21,2002,3.9,196,4,21,63,113,13,196,11,8,72.7,2,18.2,129,674,232,8,10,1,17,4,142,53,Matches,5,Azeem Abdulai,sct SCO,"FW,MF",Swansea City,21,2002,3.9,1,0,0,5,9,0,18,2,5,0,1,0,13,7,19,26.9,Matches
6,Ebou Adams,gm GAM,MF,Derby County,28,1996,44,42,3789,42.1,6,1,7,6,0,0,12,0,5.0,5.0,1.9,6.9,27,131,77,0.14,0.02,0.17,0.14,0.17,0.12,0.05,0.16,0.12,0.16,Matches,6,Ebou Adams,gm GAM,MF,Derby County,28,1996,42.1,6,52,11,21.2,1.24,0.26,0.12,0.55,17.5,0,0,0,5.0,5.0,0.10,+1.0,+1.0,Matches,6,Ebou Adams,gm GAM,MF,Derby County,28,1996,42.1,914,1296,70.5,16733,4113,370,469,78.9,411,537,76.5,114,193,59.1,1,1.9,1.4,-0.9,18,101,19,4,131,Matches,6,Ebou Adams,gm GAM,MF,Derby County,28,1996,42.1,1296,1253,35,4,0,8,30,22,0,0,0,0,914,8,45,Matches,6,Ebou Adams,gm GAM,MF,Derby County,28,1996,42.1,58,1.38,39,0,0,5,13,1,4,0.10,2,0,0,1,1,0,Matches,6,Ebou Adams,gm GAM,MF,Derby County,28,1996,42.1,151,99,53,77,21,54,93,58.1,39,76,17,59,56,207,74,1,Matches,6,Ebou Adams,gm GAM,MF,Derby County,28,1996,42.1,1855,92,436,1041,411,68,1855,43,20,46.5,18,41.9,741,3554,1457,27,24,5,71,41,850,77,Matches,6,Ebou Adams,gm GAM,MF,Derby County,28,1996,42.1,12,0,0,87,98,3,30,56,99,0,0,0,245,83,54,60.6,Matches
7,Elijah Adebayo,eng ENG,FW,Luton Town,26,1998,39,31,2425,26.9,5,0,5,5,0,0,1,0,12.8,12.8,1.1,13.9,31,20,144,0.19,0.00,0.19,0.19,0.19,0.48,0.04,0.52,0.48,0.52,Matches,7,Elijah Adebayo,eng ENG,FW,Luton Town,26,1998,26.9,5,69,30,43.5,2.56,1.11,0.07,0.17,11.1,0,0,0,12.8,12.8,0.19,-7.8,-7.8,Matches,7,Elijah Adebayo,eng ENG,FW,Luton Town,26,1998,26.9,219,313,70.0,2853,423,144,186,77.4,56,78,71.8,6,9,66.7,0,1.1,1.1,-1.1,16,8,10,1,20,Matches,7,Elijah Adebayo,eng ENG,FW,Luton Town,26,1998,26.9,313,295,17,0,0,0,10,5,0,0,0,0,219,1,12,Matches,7,Elijah Adebayo,eng ENG,FW,Luton Town,26,1998,26.9,53,1.97,30,1,6,12,4,0,5,0.19,2,0,2,1,0,0,Matches,7,Elijah Adebayo,eng ENG,FW,Luton Town,26,1998,26.9,14,11,8,2,4,6,22,27.3,16,34,9,25,7,21,44,0,Matches,7,Elijah Adebayo,eng ENG,FW,Luton Town,26,1998,26.9,714,48,100,207,427,159,714,83,25,30.1,57,68.7,401,2234,704,31,22,23,88,49,458,144,Matches,7,Elijah Adebayo,eng ENG,FW,Luton Town,26,1998,26.9,1,0,0,57,29,27,10,7,11,0,0,0,64,61,94,39.4,Matches
8,Michael Adu-Poku,eng ENG,FW,Watford,18,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8,Michael Adu-Poku,eng ENG,FW,Watford,18,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8,Michael Adu-Poku,eng ENG,FW,Watford,18,2005,0.0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,8,Michael Adu-Poku,eng ENG,FW,Watford,18,2005,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8,Michael Adu-Poku,eng ENG,FW,Watford,18,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,8,Michael Adu-Poku,eng ENG,FW,Watford,18,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,8,Michael Adu-Poku,eng ENG,FW,Watford,18,2005,0.0,1,0,0,0,1,0,1,0,0,,0,,1,25,11,1,1,0,0,0,1,1,Matches,8,Michael Adu-Poku,eng ENG,FW,Watford,18,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
9,Enock Agyei,be BEL,"FW,MF",Burnley,19,2005,3,0,58,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,8,5,12,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.16,0.08,0.16,Matches,9,Enock Agyei,be BEL,"FW,MF",Burnley,19,2005,0.6,0,2,0,0.0,3.10,0.00,0.00,,19.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,9,Enock Agyei,be BEL,"FW,MF",Burnley,19,2005,0.6,22,29,75.9,362,99,11,11,100.0,8,11,72.7,2,4,50.0,0,0.0,0.1,0.0,1,3,2,0,5,Matches,9,Enock Agyei,be BEL,"FW,MF",Burnley,19,2005,0.6,29,28,1,0,1,1,3,0,1,1,0,0,22,0,1,Matches,9,Enock Agyei,be BEL,"FW,MF",Burnley,19,2005,0.6,1,1.55,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,9,Enock Agyei,be BEL,"FW,MF",Burnley,19,2005,0.6,4,0,3,1,0,1,2,50.0,1,1,0,1,0,4,0,0,Matches,9,Enock Agyei,be BEL,"FW,MF",Burnley,19,2005,0.6,44,0,5,17,22,4,44,5,2,40.0,3,60.0,28,241,132,8,3,3,2,1,31,12,Matches,9,Enock Agyei,be BEL,"FW,MF",Burnley,19,2005,0.6,0,0,0,1,1,0,3,0,0,0,0,0,2,1,3,25.0,Matches
