Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Jak Alnwick,eng ENG,GK,Cardiff City,31,1993,29,29,2610,29.0,45,1.55,126,81,66.7,7,11,11,5,17.2,4,3,1,0,25.0,Matches,1,Jak Alnwick,eng ENG,GK,Cardiff City,31,1993,29.0,45,3,0,4,1,43.6,0.32,-0.4,-0.02,132,440,30.0,718,91,46.1,38.3,182,59.9,46.1,384,15,3.9,42,1.45,15.6,Matches
2,Jordan Archer,sct SCO,GK,Portsmouth,31,1993,2,1,150,1.7,2,1.20,11,9,81.8,0,0,1,0,0.0,0,0,0,0,,Matches,2,Jordan Archer,sct SCO,GK,Portsmouth,31,1993,1.7,2,0,0,0,0,2.9,0.27,+0.9,+0.54,7,26,26.9,50,5,48.0,37.1,7,28.6,36.1,32,0,0.0,3,1.80,16.1,Matches
3,Daniel Bachmann,at AUT,GK,Watford,30,1994,22,22,1902,21.1,28,1.32,87,59,67.8,9,4,9,5,22.7,1,0,1,0,100.0,Matches,3,Daniel Bachmann,at AUT,GK,Watford,30,1994,21.1,28,0,0,3,1,27.1,0.30,+0.1,0.00,89,296,30.1,549,100,42.1,35.8,139,46.8,39.2,315,9,2.9,15,0.71,13.0,Matches
4,James Beadle,eng ENG,GK,Sheffield Weds,20,2004,38,38,3420,38.0,59,1.55,140,80,60.7,14,9,15,9,23.7,5,4,1,0,20.0,Matches,4,James Beadle,eng ENG,GK,Sheffield Weds,20,2004,38.0,59,4,0,9,0,54.4,0.36,-4.6,-0.12,177,561,31.6,1153,122,36.8,34.5,205,66.8,50.3,491,23,4.7,35,0.92,12.9,Matches
5,Jonathan Bond,eng ENG,GK,Watford,31,1993,9,8,798,8.9,14,1.58,43,29,67.4,3,1,4,1,12.5,0,0,0,0,,Matches,5,Jonathan Bond,eng ENG,GK,Watford,31,1993,8.9,14,0,1,0,0,17.2,0.42,+3.2,+0.36,30,85,35.3,202,32,28.2,28.5,67,41.8,33.4,130,4,3.1,14,1.58,15.5,Matches
6,Solomon Brynn,eng ENG,GK,Middlesbrough,23,2000,6,6,509,5.7,9,1.59,25,16,64.0,3,2,1,1,16.7,0,0,0,0,,Matches,6,Solomon Brynn,eng ENG,GK,Middlesbrough,23,2000,5.7,9,0,0,3,0,9.4,0.38,+0.4,+0.07,10,38,26.3,140,30,20.7,26.6,29,31.0,30.7,77,10,13.0,5,0.88,13.0,Matches
7,Pierce Charles,nir NIR,GK,Sheffield Weds,19,2005,8,8,720,8.0,10,1.25,30,19,66.7,1,4,3,0,0.0,1,0,1,0,100.0,Matches,7,Pierce Charles,nir NIR,GK,Sheffield Weds,19,2005,8.0,10,0,0,1,0,12.7,0.40,+2.7,+0.33,50,110,45.5,298,37,27.9,30.5,39,69.2,52.4,107,11,10.3,5,0.63,10.8,Matches
8,Bradley Collins,eng ENG,GK,Coventry City,27,1997,15,14,1313,14.6,23,1.58,53,30,56.6,4,4,6,3,21.4,0,0,0,0,,Matches,8,Bradley Collins,eng ENG,GK,Coventry City,27,1997,14.6,23,0,0,5,0,17.0,0.35,-6.0,-0.41,78,220,35.5,415,45,38.1,34.6,90,68.9,53.5,177,5,2.8,22,1.51,17.4,Matches
9,Michael Cooper,eng ENG,GK,Sheffield Utd,24,1999,43,43,3870,43.0,33,0.77,142,109,79.6,27,6,10,21,48.8,5,4,1,0,20.0,Matches,9,Michael Cooper,eng ENG,GK,Sheffield Utd,24,1999,43.0,33,4,0,6,1,38.5,0.25,+6.5,+0.15,248,662,37.5,1425,182,37.0,35.6,223,60.5,49.3,617,59,9.6,37,0.86,11.9,Matches
