Game Week,Player,Team,League,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
J7,Junior Adamu,Freiburg,German Bundesliga,20.0,at AUT,FW,23-135,65,0,0,0,0,2,1,0,0,27,0,1,0,0.1,0.1,0.0,1,0,8,15,53.3,1,16,0,2,0,Junior Adamu,20.0,at AUT,FW,23-135,65,8,15,53.3,95,9,7,10,70.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,1,0,1,Junior Adamu,20.0,at AUT,FW,23-135,65,15,15,0,0,0,0,0,0,0,0,0,0,8,0,1,Junior Adamu,20.0,at AUT,FW,23-135,65,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0,Junior Adamu,20.0,at AUT,FW,23-135,65,27,1,3,14,10,2,27,2,0,0.0,2,100.0,16,56,18,0,1,0,3,0,18,4,Junior Adamu,20.0,at AUT,FW,23-135,65,0,0,0,4,2,0,0,1,0,0,0,0,2,1,5,16.7
J7,Michael Gregoritsch,Freiburg,German Bundesliga,38.0,at AUT,FW,30-184,25,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.1,0,0,10,11,90.9,1,7,0,0,0,Michael Gregoritsch,38.0,at AUT,FW,30-184,25,10,11,90.9,162,29,5,6,83.3,5,5,100.0,0,0,,0,0.1,0.0,1,1,0,0,1,Michael Gregoritsch,38.0,at AUT,FW,30-184,25,11,10,1,0,0,0,0,0,0,0,0,0,10,0,0,Michael Gregoritsch,38.0,at AUT,FW,30-184,25,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Michael Gregoritsch,38.0,at AUT,FW,30-184,25,15,0,1,9,5,1,15,0,0,,0,,7,21,9,0,0,0,0,2,8,1,Michael Gregoritsch,38.0,at AUT,FW,30-184,25,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,50.0
J7,Vincenzo Grifo,Freiburg,German Bundesliga,32.0,it ITA,LW,31-195,75,1,1,0,0,1,1,0,0,70,0,0,0,0.1,0.1,0.1,3,2,51,65,78.5,5,53,1,2,1,Vincenzo Grifo,32.0,it ITA,LW,31-195,75,51,65,78.5,839,224,24,26,92.3,21,27,77.8,4,10,40.0,1,0.1,0.1,1,6,0,0,5,Vincenzo Grifo,32.0,it ITA,LW,31-195,75,65,61,4,2,0,1,3,0,1,1,0,0,51,0,0,Vincenzo Grifo,32.0,it ITA,LW,31-195,75,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,Vincenzo Grifo,32.0,it ITA,LW,31-195,75,70,3,9,47,14,0,70,2,1,50.0,1,50.0,53,244,146,1,1,0,0,2,55,3,Vincenzo Grifo,32.0,it ITA,LW,31-195,75,0,0,0,0,1,0,3,0,0,0,0,0,5,0,0,
J7,Nicolas Höfler,Freiburg,German Bundesliga,27.0,de GER,LW,34-224,15,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,2,0,19,21,90.5,1,17,0,0,0,Nicolas Höfler,27.0,de GER,LW,34-224,15,19,21,90.5,275,51,10,11,90.9,9,9,100.0,0,1,0.0,0,0.0,0.0,1,1,0,0,1,Nicolas Höfler,27.0,de GER,LW,34-224,15,21,21,0,0,0,0,0,0,0,0,0,0,19,0,0,Nicolas Höfler,27.0,de GER,LW,34-224,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Nicolas Höfler,27.0,de GER,LW,34-224,15,21,0,3,10,8,0,21,0,0,,0,,17,60,8,0,0,0,0,0,18,0,Nicolas Höfler,27.0,de GER,LW,34-224,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J7,Ritsu Doan,Freiburg,German Bundesliga,42.0,jp JPN,RW,26-125,76,0,1,0,0,1,0,0,0,49,1,1,1,0.0,0.0,0.0,1,1,28,38,73.7,3,29,1,7,2,Ritsu Doan,42.0,jp JPN,RW,26-125,76,28,38,73.7,418,104,18,21,85.7,7,9,77.8,3,5,60.0,1,0.0,0.0,1,2,0,0,3,Ritsu Doan,42.0,jp JPN,RW,26-125,76,38,38,0,0,0,0,1,0,0,0,0,0,28,0,3,Ritsu Doan,42.0,jp JPN,RW,26-125,76,1,0,0,0,1,0,0,,0,1,0,1,1,2,0,0,Ritsu Doan,42.0,jp JPN,RW,26-125,76,49,2,7,26,19,3,49,7,2,28.6,5,71.4,29,137,56,1,2,0,0,2,34,5,Ritsu Doan,42.0,jp JPN,RW,26-125,76,0,0,0,0,0,0,1,1,0,0,0,0,5,1,1,50.0
J7,Max Rosenfelder,Freiburg,German Bundesliga,37.0,de GER,RB,21-252,14,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,7,8,87.5,1,6,0,0,0,Max Rosenfelder,37.0,de GER,RB,21-252,14,7,8,87.5,126,43,2,2,100.0,5,6,83.3,0,0,,0,0.0,0.0,0,1,0,0,1,Max Rosenfelder,37.0,de GER,RB,21-252,14,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0,Max Rosenfelder,37.0,de GER,RB,21-252,14,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Max Rosenfelder,37.0,de GER,RB,21-252,14,8,0,5,3,0,0,8,0,0,,0,,6,41,13,0,0,0,0,0,6,1,Max Rosenfelder,37.0,de GER,RB,21-252,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
J7,Eren Dinkçi,Freiburg,German Bundesliga,18.0,de GER,AM,22-311,65,0,1,0,0,0,0,0,0,36,1,0,0,0.0,0.0,0.1,3,1,25,32,78.1,2,23,1,1,1,Eren Dinkçi,18.0,de GER,AM,22-311,65,25,32,78.1,333,84,17,18,94.4,6,8,75.0,2,4,50.0,1,0.1,0.1,3,2,1,1,2,Eren Dinkçi,18.0,de GER,AM,22-311,65,32,32,0,0,0,0,4,0,0,0,0,0,25,0,2,Eren Dinkçi,18.0,de GER,AM,22-311,65,1,0,0,0,1,0,2,0.0,2,0,0,0,0,1,0,0,Eren Dinkçi,18.0,de GER,AM,22-311,65,36,0,3,20,14,0,36,1,1,100.0,0,0.0,23,77,29,1,0,0,3,1,26,4,Eren Dinkçi,18.0,de GER,AM,22-311,65,0,0,0,2,0,0,4,0,0,0,0,0,7,0,0,
J7,Florent Muslija,Freiburg,German Bundesliga,23.0,xk KVX,AM,26-105,25,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,3,0,9,14,64.3,1,14,1,0,0,Florent Muslija,23.0,xk KVX,AM,26-105,25,9,14,64.3,162,48,3,5,60.0,5,6,83.3,1,2,50.0,0,0.0,0.1,0,0,1,0,1,Florent Muslija,23.0,xk KVX,AM,26-105,25,14,12,2,0,0,0,4,0,2,1,1,0,9,0,1,Florent Muslija,23.0,xk KVX,AM,26-105,25,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Florent Muslija,23.0,xk KVX,AM,26-105,25,17,1,1,5,11,1,17,0,0,,0,,14,75,28,1,1,1,2,0,14,3,Florent Muslija,23.0,xk KVX,AM,26-105,25,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,
J7,Patrick Osterhage,Freiburg,German Bundesliga,6.0,de GER,DM,24-261,90,0,0,0,0,2,0,0,0,69,2,0,1,0.1,0.1,0.0,4,0,50,60,83.3,1,44,3,2,1,Patrick Osterhage,6.0,de GER,DM,24-261,90,50,60,83.3,697,136,35,40,87.5,13,15,86.7,2,4,50.0,0,0.0,0.1,1,4,0,0,1,Patrick Osterhage,6.0,de GER,DM,24-261,90,60,58,2,2,0,0,2,0,0,0,0,0,50,0,0,Patrick Osterhage,6.0,de GER,DM,24-261,90,2,2,2,0,0,1,1,100.0,0,1,0,1,0,2,1,0,Patrick Osterhage,6.0,de GER,DM,24-261,90,69,2,14,40,16,3,69,2,1,50.0,1,50.0,44,173,71,3,2,1,1,0,48,3,Patrick Osterhage,6.0,de GER,DM,24-261,90,0,0,0,1,1,0,2,0,2,0,0,0,5,1,5,16.7
J7,Maximilian Eggestein,Freiburg,German Bundesliga,8.0,de GER,DM,27-316,90,0,0,0,0,2,1,0,0,58,1,0,1,0.1,0.1,0.0,2,0,43,50,86.0,2,34,0,1,1,Maximilian Eggestein,8.0,de GER,DM,27-316,90,43,50,86.0,595,146,25,28,89.3,18,21,85.7,0,1,0.0,0,0.0,0.0,1,4,0,0,2,Maximilian Eggestein,8.0,de GER,DM,27-316,90,50,50,0,0,0,0,0,0,0,0,0,0,43,0,1,Maximilian Eggestein,8.0,de GER,DM,27-316,90,1,0,0,0,1,1,1,100.0,0,1,0,1,0,1,2,0,Maximilian Eggestein,8.0,de GER,DM,27-316,90,58,3,12,36,10,2,58,1,1,100.0,0,0.0,34,99,47,0,0,0,2,0,39,1,Maximilian Eggestein,8.0,de GER,DM,27-316,90,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,50.0
