Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Marius Adamonis,lt LTU,GK,Südtirol,28-167,1997,7,7,630,7.0,10,1.43,25,15,64.0,2,3,2,0,0.0,1,1,0,0,0.0,Matches,1,Marius Adamonis,lt LTU,GK,Südtirol,28-167,1997,7.0,10,1,0,2,0,9.0,0.33,-1.0,-0.15,46,127,36.2,97,14,72.2,47.5,61,93.4,61.5,95,10,10.5,4,0.57,11.3,Matches
2,Francesco Bardi,it ITA,GK,Palermo,33-282,1992,1,1,90,1.0,1,1.00,3,2,66.7,1,0,0,0,0.0,0,0,0,0,,Matches,2,Francesco Bardi,it ITA,GK,Palermo,33-282,1992,1.0,1,0,0,0,0,0.2,0.06,-0.8,-0.82,2,6,33.3,16,4,31.3,28.3,3,33.3,39.0,17,0,0.0,0,0.00,,Matches
3,Marco Bleve,it ITA,GK,Carrarese,30-009,1995,9,9,810,9.0,11,1.22,29,19,62.1,3,5,1,4,44.4,0,0,0,0,,Matches,3,Marco Bleve,it ITA,GK,Carrarese,30-009,1995,9.0,11,0,0,1,1,8.5,0.30,-1.5,-0.17,56,128,43.8,296,24,37.8,35.4,43,37.2,35.5,126,8,6.3,7,0.78,14.3,Matches
4,Michele Cerofolini,it ITA,GK,Bari,26-296,1999,9,9,810,9.0,15,1.67,52,37,75.0,2,3,4,1,11.1,2,2,0,0,0.0,Matches,4,Michele Cerofolini,it ITA,GK,Bari,26-296,1999,9.0,15,2,0,2,0,15.9,0.28,+0.9,+0.10,30,92,32.6,286,41,26.6,30.5,35,45.7,36.5,143,4,2.8,7,0.78,13.8,Matches
5,Leandro Chichizola,ar ARG,GK,Modena,35-214,1990,9,9,810,9.0,5,0.56,22,17,81.8,6,3,0,4,44.4,1,1,0,0,0.0,Matches,5,Leandro Chichizola,ar ARG,GK,Modena,35-214,1990,9.0,5,1,0,0,0,6.6,0.26,+1.6,+0.18,84,187,44.9,323,29,48.6,39.0,42,71.4,52.4,93,8,8.6,3,0.33,11.6,Matches
6,Simone Colombi,it ITA,GK,Virtus Entella,34-118,1991,8,8,720,8.0,10,1.25,30,20,76.7,2,4,2,1,12.5,3,3,0,0,0.0,Matches,6,Simone Colombi,it ITA,GK,Virtus Entella,34-118,1991,8.0,10,3,0,3,0,9.2,0.25,-0.8,-0.10,28,73,38.4,168,16,26.2,29.8,53,54.7,42.3,142,7,4.9,7,0.88,10.8,Matches
7,Alessandro Confente,it ITA,GK,Juve Stabia,27-142,1998,9,9,810,9.0,10,1.11,28,18,71.4,3,5,1,3,33.3,2,2,0,0,0.0,Matches,7,Alessandro Confente,it ITA,GK,Juve Stabia,27-142,1998,9.0,10,2,0,1,0,10.1,0.30,+0.1,+0.01,39,110,35.5,299,28,29.8,30.6,46,45.7,40.5,137,10,7.3,7,0.78,11.6,Matches
8,Gaëtan Coucke,be BEL,GK,Sampdoria,26-328,1998,2,2,180,2.0,3,1.50,5,2,40.0,0,0,2,0,0.0,0,0,0,0,,Matches,8,Gaëtan Coucke,be BEL,GK,Sampdoria,26-328,1998,2.0,3,0,1,1,0,3.0,0.61,0.0,+0.02,8,21,38.1,29,5,37.9,32.9,16,62.5,44.5,21,0,0.0,0,0.00,7.8,Matches
9,Federico Del Frate,it ITA,GK,Virtus Entella,29-310,1995,1,1,90,1.0,2,2.00,5,3,60.0,0,0,1,0,0.0,0,0,0,0,,Matches,9,Federico Del Frate,it ITA,GK,Virtus Entella,29-310,1995,1.0,2,0,0,0,0,1.8,0.36,-0.2,-0.19,1,1,100.0,15,7,0.0,18.1,5,20.0,20.4,12,1,8.3,4,4.00,21.1,Matches
