Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Luis Barraza,us USA,GK,D.C. United,28-353,1996,24,24,2090,23.2,39,1.68,118,80,68.6,4,7,13,3,12.5,3,2,0,1,0.0,Matches,1,Luis Barraza,us USA,GK,D.C. United,28-353,1996,23.2,39,2,0,4,1,35.3,0.30,-2.7,-0.11,137,406,33.7,646,105,43.5,36.6,166,75.3,54.2,305,18,5.9,22,0.95,13.4,Matches
2,Adam Beaudry,us USA,GK,Colorado Rapids,19-192,2006,1,1,90,1.0,3,3.00,5,3,40.0,0,0,1,0,0.0,0,0,0,0,,Matches,2,Adam Beaudry,us USA,GK,Colorado Rapids,19-192,2006,1.0,3,0,0,0,1,2.2,0.45,+0.2,+0.23,4,18,22.2,21,6,61.9,46.9,6,83.3,60.7,4,0,0.0,0,0.00,12.0,Matches
3,David Bingham,us USA,GK,Charlotte,36-008,1989,2,2,180,2.0,2,1.00,11,9,81.8,1,0,1,1,50.0,0,0,0,0,,Matches,3,David Bingham,us USA,GK,Charlotte,36-008,1989,2.0,2,0,0,0,0,2.4,0.22,+0.4,+0.21,3,18,16.7,48,8,27.1,30.9,14,35.7,34.8,37,4,10.8,1,0.50,7.8,Matches
4,Andre Blake,jm JAM,GK,Philadelphia Union,34-340,1990,21,21,1827,20.3,17,0.84,64,47,76.6,13,2,6,8,38.1,2,2,0,0,0.0,Matches,4,Andre Blake,jm JAM,GK,Philadelphia Union,34-340,1990,20.3,17,2,0,2,0,21.5,0.31,+4.5,+0.22,101,218,46.3,446,60,37.2,33.6,98,53.1,41.5,213,9,4.2,29,1.43,18.1,Matches
5,Jonathan Bond,eng ENG,GK,Houston Dynamo,32-161,1993,26,26,2340,26.0,44,1.69,109,65,62.4,8,7,11,7,26.9,4,3,1,0,25.0,Matches,5,Jonathan Bond,eng ENG,GK,Houston Dynamo,32-161,1993,26.0,44,3,1,5,1,36.2,0.31,-6.8,-0.26,93,245,38.0,674,109,28.2,29.5,101,54.5,39.9,318,11,3.5,37,1.42,16.0,Matches
6,Chris Brady,us USA,GK,Chicago Fire,21-238,2004,28,28,2465,27.4,51,1.86,140,89,67.9,12,8,8,5,17.9,9,6,2,1,25.0,Matches,6,Chris Brady,us USA,GK,Chicago Fire,21-238,2004,27.4,51,6,0,7,2,50.4,0.31,+1.4,+0.05,59,178,33.1,731,127,15.5,25.7,141,46.1,40.8,340,22,6.5,29,1.06,13.9,Matches
7,Sebastian Breza,ca CAN,GK,CF Montréal,27-226,1998,3,3,270,3.0,9,3.00,20,11,55.0,0,0,3,0,0.0,0,0,0,0,,Matches,7,Sebastian Breza,ca CAN,GK,CF Montréal,27-226,1998,3.0,9,0,0,2,0,8.1,0.41,-0.9,-0.29,9,27,33.3,81,13,29.6,30.7,10,30.0,29.2,31,6,19.4,2,0.67,10.2,Matches
8,Roman Bürki,ch SUI,GK,St. Louis,34-347,1990,25,25,2250,25.0,44,1.76,131,89,71.8,7,6,12,4,16.0,7,7,0,0,0.0,Matches,8,Roman Bürki,ch SUI,GK,St. Louis,34-347,1990,25.0,44,7,0,4,2,43.7,0.29,+1.7,+0.07,120,308,39.0,770,119,31.8,32.9,175,36.0,38.0,333,15,4.5,29,1.16,15.5,Matches
9,Evan Bush,us USA,GK,Columbus Crew,39-235,1986,6,6,540,6.0,5,0.83,15,10,66.7,3,2,1,2,33.3,0,0,0,0,,Matches,9,Evan Bush,us USA,GK,Columbus Crew,39-235,1986,6.0,5,0,0,1,0,4.1,0.27,-0.9,-0.16,7,27,25.9,177,25,10.7,22.5,35,22.9,27.5,47,4,8.5,15,2.50,16.6,Matches
