Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,José Abella,mx MEX,DF,Santos,31-259,1994,14,14,1119,12.4,0,4,4,0,0,0,2,0,0.3,0.3,2.2,2.5,6,41,24,0.00,0.32,0.32,0.00,0.32,0.02,0.18,0.20,0.02,0.20,Matches,1,José Abella,mx MEX,DF,Santos,31-259,1994,12.4,0,4,1,25.0,0.32,0.08,0.00,0.00,27.2,3,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,1,José Abella,mx MEX,DF,Santos,31-259,1994,12.4,392,572,68.5,7464,3512,147,166,88.6,186,242,76.9,54,141,38.3,4,2.2,2.1,+1.8,24,36,7,3,41,Matches,1,José Abella,mx MEX,DF,Santos,31-259,1994,13.4,632,443,187,56,0,5,85,88,43,18,24,0,438,2,11,Matches,1,José Abella,mx MEX,DF,Santos,31-259,1994,13.4,35,2.60,8,25,0,1,1,0,4,0.30,0,4,0,0,0,0,Matches,1,José Abella,mx MEX,DF,Santos,31-259,1994,12.4,18,13,9,7,2,10,19,52.6,9,16,12,4,11,29,59,0,Matches,1,José Abella,mx MEX,DF,Santos,31-259,1994,13.4,762,60,271,324,170,0,762,3,1,33.3,2,66.7,312,1115,506,6,2,0,7,3,375,25,Matches,1,José Abella,mx MEX,DF,Santos,31-259,1994,13.4,2,0,0,10,11,0,85,11,13,0,1,0,42,8,15,34.8,Matches
2,Carlos Acevedo,mx MEX,GK,Santos,29-191,1996,14,14,1260,14.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2,Carlos Acevedo,mx MEX,GK,Santos,29-191,1996,14.0,0,1,0,0.0,0.07,0.00,0.00,,67.5,1,0,0,0.0,0.0,0.02,0.0,0.0,Matches,2,Carlos Acevedo,mx MEX,GK,Santos,29-191,1996,14.0,348,511,68.1,10063,7273,75,75,100.0,151,154,98.1,122,282,43.3,0,0.0,0.0,0.0,0,3,0,0,0,Matches,2,Carlos Acevedo,mx MEX,GK,Santos,29-191,1996,15.0,540,295,244,76,0,0,0,2,0,0,0,0,369,1,0,Matches,2,Carlos Acevedo,mx MEX,GK,Santos,29-191,1996,15.0,4,0.27,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,2,Carlos Acevedo,mx MEX,GK,Santos,29-191,1996,14.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,14,0,Matches,2,Carlos Acevedo,mx MEX,GK,Santos,29-191,1996,15.0,597,512,590,7,0,0,597,0,0,,0,,245,1319,853,0,0,0,1,0,184,0,Matches,2,Carlos Acevedo,mx MEX,GK,Santos,29-191,1996,15.0,1,0,0,0,4,0,0,0,0,0,0,0,16,3,0,100.0,Matches
3,Alonso Aceves,mx MEX,DF,Pachuca,24-213,2001,13,13,1108,12.3,1,2,3,1,0,0,2,1,1.4,1.4,1.1,2.5,26,53,39,0.08,0.16,0.24,0.08,0.24,0.11,0.09,0.20,0.11,0.20,Matches,3,Alonso Aceves,mx MEX,DF,Pachuca,24-213,2001,12.3,1,19,4,21.1,1.54,0.32,0.05,0.25,21.1,0,0,0,1.4,1.4,0.07,-0.4,-0.4,Matches,3,Alonso Aceves,mx MEX,DF,Pachuca,24-213,2001,12.3,566,698,81.1,10071,3746,244,270,90.4,254,294,86.4,59,103,57.3,2,1.1,0.6,+0.9,9,49,7,7,53,Matches,3,Alonso Aceves,mx MEX,DF,Pachuca,24-213,2001,13.3,740,593,143,15,0,9,27,127,0,0,0,0,599,4,11,Matches,3,Alonso Aceves,mx MEX,DF,Pachuca,24-213,2001,13.3,31,2.32,24,2,0,3,1,1,2,0.15,2,0,0,0,0,0,Matches,3,Alonso Aceves,mx MEX,DF,Pachuca,24-213,2001,12.3,24,18,13,7,4,11,18,61.1,7,22,7,15,14,38,49,0,Matches,3,Alonso Aceves,mx MEX,DF,Pachuca,24-213,2001,13.3,915,55,313,417,192,27,915,12,3,25.0,9,75.0,458,2498,1408,28,18,4,15,3,515,39,Matches,3,Alonso Aceves,mx MEX,DF,Pachuca,24-213,2001,13.3,2,1,0,11,14,1,27,15,18,0,1,0,53,6,8,42.9,Matches
4,Sebastián Aceves,mx MEX,"DF,FW",Toluca,19-311,2005,2,2,135,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,3,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4,Sebastián Aceves,mx MEX,"DF,FW",Toluca,19-311,2005,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4,Sebastián Aceves,mx MEX,"DF,FW",Toluca,19-311,2005,1.5,58,68,85.3,858,291,37,39,94.9,17,19,89.5,3,8,37.5,0,0.0,0.1,0.0,0,6,1,1,3,Matches,4,Sebastián Aceves,mx MEX,"DF,FW",Toluca,19-311,2005,1.5,68,56,12,1,0,0,3,11,0,0,0,0,58,0,1,Matches,4,Sebastián Aceves,mx MEX,"DF,FW",Toluca,19-311,2005,1.5,2,1.33,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4,Sebastián Aceves,mx MEX,"DF,FW",Toluca,19-311,2005,1.5,6,2,3,2,1,4,4,100.0,0,0,0,0,1,7,4,0,Matches,4,Sebastián Aceves,mx MEX,"DF,FW",Toluca,19-311,2005,1.5,89,2,26,48,15,2,89,2,2,100.0,0,0.0,38,218,122,3,1,1,6,1,51,5,Matches,4,Sebastián Aceves,mx MEX,"DF,FW",Toluca,19-311,2005,1.5,1,0,0,2,2,0,3,1,2,0,0,0,3,1,2,33.3,Matches
5,Eduardo Águila,mx MEX,DF,Atlético,23-163,2002,14,13,1249,13.9,1,0,1,1,0,0,1,0,0.6,0.6,0.1,0.7,3,28,1,0.07,0.00,0.07,0.07,0.07,0.04,0.00,0.05,0.04,0.05,Matches,5,Eduardo Águila,mx MEX,DF,Atlético,23-163,2002,13.9,1,9,1,11.1,0.65,0.07,0.11,1.00,17.4,0,0,0,0.6,0.6,0.07,+0.4,+0.4,Matches,5,Eduardo Águila,mx MEX,DF,Atlético,23-163,2002,13.9,529,614,86.2,9946,3377,158,171,92.4,326,356,91.6,35,73,47.9,0,0.1,0.1,-0.1,2,23,1,0,28,Matches,5,Eduardo Águila,mx MEX,DF,Atlético,23-163,2002,14.9,633,591,42,17,1,2,2,14,0,0,0,0,542,0,1,Matches,5,Eduardo Águila,mx MEX,DF,Atlético,23-163,2002,14.9,9,0.61,6,0,3,0,0,0,2,0.13,2,0,0,0,0,0,Matches,5,Eduardo Águila,mx MEX,DF,Atlético,23-163,2002,13.9,20,16,12,8,0,12,14,85.7,2,5,5,0,14,34,82,2,Matches,5,Eduardo Águila,mx MEX,DF,Atlético,23-163,2002,14.9,810,98,402,381,29,14,810,6,5,83.3,1,16.7,417,1999,846,5,5,0,11,1,496,1,Matches,5,Eduardo Águila,mx MEX,DF,Atlético,23-163,2002,14.9,1,0,0,9,4,0,2,15,17,0,0,1,51,29,29,50.0,Matches
6,Daniel Aguirre,us USA,"DF,MF",Guadalajara,26-117,1999,8,4,374,4.2,1,1,2,1,0,0,2,0,0.8,0.8,0.9,1.7,20,28,14,0.24,0.24,0.48,0.24,0.48,0.20,0.21,0.42,0.20,0.42,Matches,6,Daniel Aguirre,us USA,"DF,MF",Guadalajara,26-117,1999,4.2,1,3,1,33.3,0.72,0.24,0.33,1.00,7.0,0,0,0,0.8,0.8,0.28,+0.2,+0.2,Matches,6,Daniel Aguirre,us USA,"DF,MF",Guadalajara,26-117,1999,4.2,243,286,85.0,3749,1257,136,146,93.2,91,106,85.8,11,21,52.4,1,0.9,0.7,+0.1,5,23,4,2,28,Matches,6,Daniel Aguirre,us USA,"DF,MF",Guadalajara,26-117,1999,4.2,286,263,22,4,0,1,4,18,0,0,0,0,243,1,4,Matches,6,Daniel Aguirre,us USA,"DF,MF",Guadalajara,26-117,1999,4.2,12,2.89,9,0,1,1,1,0,2,0.48,2,0,0,0,0,0,Matches,6,Daniel Aguirre,us USA,"DF,MF",Guadalajara,26-117,1999,4.2,12,1,5,4,3,5,7,71.4,2,8,2,6,5,17,9,0,Matches,6,Daniel Aguirre,us USA,"DF,MF",Guadalajara,26-117,1999,4.2,339,18,100,166,76,11,339,6,3,50.0,3,50.0,186,1156,690,20,12,2,4,1,233,14,Matches,6,Daniel Aguirre,us USA,"DF,MF",Guadalajara,26-117,1999,4.2,2,0,0,7,7,0,4,5,1,1,1,0,14,6,5,54.5,Matches
7,Eduardo Aguirre,mx MEX,"MF,FW",Atlas,27-085,1998,10,4,422,4.7,1,1,2,1,0,0,0,0,1.2,1.2,0.9,2.1,5,15,24,0.21,0.21,0.43,0.21,0.43,0.26,0.19,0.45,0.26,0.45,Matches,7,Eduardo Aguirre,mx MEX,"MF,FW",Atlas,27-085,1998,4.7,1,8,2,25.0,1.71,0.43,0.13,0.50,16.1,0,0,0,1.2,1.2,0.15,-0.2,-0.2,Matches,7,Eduardo Aguirre,mx MEX,"MF,FW",Atlas,27-085,1998,4.7,78,106,73.6,1137,452,41,48,85.4,24,32,75.0,6,14,42.9,1,0.9,0.7,+0.1,5,10,7,1,15,Matches,7,Eduardo Aguirre,mx MEX,"MF,FW",Atlas,27-085,1998,4.7,106,95,11,3,1,0,9,2,6,2,4,0,78,0,4,Matches,7,Eduardo Aguirre,mx MEX,"MF,FW",Atlas,27-085,1998,4.7,13,2.78,8,2,0,2,1,0,2,0.43,0,0,0,2,0,0,Matches,7,Eduardo Aguirre,mx MEX,"MF,FW",Atlas,27-085,1998,4.7,12,6,4,5,3,4,8,50.0,4,5,0,5,1,13,2,0,Matches,7,Eduardo Aguirre,mx MEX,"MF,FW",Atlas,27-085,1998,4.7,163,4,16,72,75,13,163,10,4,40.0,6,60.0,81,379,171,5,2,1,11,2,95,24,Matches,7,Eduardo Aguirre,mx MEX,"MF,FW",Atlas,27-085,1998,4.7,0,0,0,6,10,3,9,1,6,0,0,0,17,4,12,25.0,Matches
8,Érick Aguirre,mx MEX,"DF,MF",Monterrey,28-246,1997,9,4,363,4.0,0,1,1,0,0,0,1,0,0.3,0.3,0.2,0.5,11,19,38,0.00,0.25,0.25,0.00,0.25,0.07,0.06,0.12,0.07,0.12,Matches,8,Érick Aguirre,mx MEX,"DF,MF",Monterrey,28-246,1997,4.0,0,4,2,50.0,0.99,0.50,0.00,0.00,18.6,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,8,Érick Aguirre,mx MEX,"DF,MF",Monterrey,28-246,1997,4.0,199,257,77.4,3481,999,84,96,87.5,89,113,78.8,17,34,50.0,1,0.2,0.2,+0.8,5,11,5,4,19,Matches,8,Érick Aguirre,mx MEX,"DF,MF",Monterrey,28-246,1997,4.0,257,222,34,3,0,2,21,31,0,0,0,0,199,1,5,Matches,8,Érick Aguirre,mx MEX,"DF,MF",Monterrey,28-246,1997,4.0,13,3.22,9,1,2,1,0,0,2,0.50,2,0,0,0,0,0,Matches,8,Érick Aguirre,mx MEX,"DF,MF",Monterrey,28-246,1997,4.0,10,8,4,5,1,3,6,50.0,3,2,0,2,5,15,7,0,Matches,8,Érick Aguirre,mx MEX,"DF,MF",Monterrey,28-246,1997,4.0,301,4,61,149,93,5,301,5,3,60.0,2,40.0,170,816,418,11,6,3,7,4,205,38,Matches,8,Érick Aguirre,mx MEX,"DF,MF",Monterrey,28-246,1997,4.0,1,0,0,4,4,0,21,5,8,0,0,0,14,6,3,66.7,Matches
9,Gaddi Aguirre,mx MEX,DF,Atlas,29-210,1996,14,14,1260,14.0,1,0,1,1,0,0,2,0,0.7,0.7,0.0,0.7,2,19,1,0.07,0.00,0.07,0.07,0.07,0.05,0.00,0.05,0.05,0.05,Matches,9,Gaddi Aguirre,mx MEX,DF,Atlas,29-210,1996,14.0,1,5,1,20.0,0.36,0.07,0.20,1.00,13.1,0,0,0,0.7,0.7,0.15,+0.3,+0.3,Matches,9,Gaddi Aguirre,mx MEX,DF,Atlas,29-210,1996,14.0,465,560,83.0,8550,3815,189,203,93.1,211,243,86.8,54,89,60.7,0,0.0,0.1,0.0,0,18,1,0,19,Matches,9,Gaddi Aguirre,mx MEX,DF,Atlas,29-210,1996,14.0,560,466,90,20,0,4,0,58,0,0,0,0,465,4,5,Matches,9,Gaddi Aguirre,mx MEX,DF,Atlas,29-210,1996,14.0,6,0.43,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,9,Gaddi Aguirre,mx MEX,DF,Atlas,29-210,1996,14.0,22,15,18,4,0,9,13,69.2,4,12,10,2,12,34,57,1,Matches,9,Gaddi Aguirre,mx MEX,DF,Atlas,29-210,1996,14.0,687,95,375,282,35,5,687,7,5,71.4,2,28.6,316,1362,673,2,3,0,6,4,386,1,Matches,9,Gaddi Aguirre,mx MEX,DF,Atlas,29-210,1996,14.0,2,0,0,22,8,1,0,12,15,0,2,0,40,22,20,52.4,Matches
