Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Carlos Acevedo,mx MEX,GK,Santos,29-191,1996,15,15,1350,15.0,24,1.60,85,59,71.8,5,2,8,4,26.7,2,0,2,0,100.0,Matches,1,Carlos Acevedo,mx MEX,GK,Santos,29-191,1996,15.0,24,0,1,2,0,23.1,0.26,-0.9,-0.06,78,231,33.8,373,57,39.1,36.3,166,51.2,42.6,272,10,3.7,14,0.93,12.8,Matches
2,Guillermo Allison,mx MEX,GK,Querétaro,35-032,1990,10,10,900,10.0,18,1.80,59,40,74.6,4,2,4,2,20.0,4,3,1,0,25.0,Matches,2,Guillermo Allison,mx MEX,GK,Querétaro,35-032,1990,10.0,18,3,0,2,0,20.2,0.30,+2.2,+0.22,38,142,26.8,178,28,42.7,39.6,109,60.6,48.4,237,13,5.5,7,0.70,10.4,Matches
3,Luis Ángel Malagón,mx MEX,GK,América,28-239,1997,13,13,1170,13.0,14,1.08,38,24,63.2,8,3,2,4,30.8,0,0,0,0,,Matches,3,Luis Ángel Malagón,mx MEX,GK,América,28-239,1997,13.0,14,0,0,2,0,14.2,0.38,+0.2,+0.02,48,121,39.7,314,30,29.6,33.8,69,40.6,35.8,122,4,3.3,15,1.15,14.7,Matches
4,José Antonio Rodríguez,mx MEX,GK,Tijuana,33-115,1992,15,14,1339,14.9,19,1.28,67,47,74.6,4,6,4,6,42.9,3,2,1,0,33.3,Matches,4,José Antonio Rodríguez,mx MEX,GK,Tijuana,33-115,1992,14.9,19,2,1,1,0,18.1,0.24,-0.9,-0.06,99,207,47.8,525,49,25.1,30.2,135,55.6,46.7,234,8,3.4,9,0.60,12.2,Matches
5,Luis Cárdenas,mx MEX,GK,Monterrey,32-042,1993,2,2,180,2.0,4,2.00,13,10,69.2,1,0,1,0,0.0,0,0,0,0,,Matches,5,Luis Cárdenas,mx MEX,GK,Monterrey,32-042,1993,2.0,4,0,0,0,1,2.5,0.19,-0.5,-0.25,5,23,21.7,106,10,17.9,28.6,8,50.0,42.9,24,0,0.0,0,0.00,11.7,Matches
6,José Corona,mx MEX,GK,Tijuana,44-274,1981,1,1,11,0.1,,,,,,1,,,,,,,,,,Matches,6,José Corona,mx MEX,GK,Tijuana,44-274,1981,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
7,Rodolfo Cota,mx MEX,GK,América,38-116,1987,2,2,180,2.0,2,1.00,5,3,60.0,1,1,0,0,0.0,0,0,0,0,,Matches,7,Rodolfo Cota,mx MEX,GK,América,38-116,1987,2.0,2,0,0,0,0,0.6,0.13,-1.4,-0.69,8,22,36.4,48,12,18.8,26.6,17,76.5,52.4,21,1,4.8,0,0.00,9.5,Matches
8,Oscar Garcia,mx MEX,GK,León,22-262,2003,12,12,1080,12.0,20,1.67,69,48,76.8,3,4,5,4,33.3,5,4,1,0,20.0,Matches,8,Oscar Garcia,mx MEX,GK,León,22-262,2003,12.0,20,4,0,3,0,19.2,0.22,-0.8,-0.07,34,124,27.4,242,36,32.6,33.4,112,40.2,38.6,178,10,5.6,16,1.33,13.8,Matches
9,Hugo González Durán,mx MEX,GK,Toluca,35-087,1990,9,9,807,9.0,11,1.23,35,24,68.6,6,1,2,3,33.3,1,0,1,0,100.0,Matches,9,Hugo González Durán,mx MEX,GK,Toluca,35-087,1990,9.0,11,0,1,0,1,10.5,0.28,+0.5,+0.05,21,75,28.0,215,35,23.3,30.8,62,40.3,39.5,110,7,6.4,11,1.23,15.9,Matches
