Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Rodrigo Abascal,uy URU,DF,Vitória,31-286,1994,8,8,720,8.0,0,1,1,0,0,0,0,0,0.3,0.3,0.1,0.4,3,36,8,0.00,0.12,0.12,0.00,0.12,0.03,0.01,0.04,0.03,0.04,Matches,1,Rodrigo Abascal,uy URU,DF,Vitória,31-286,1994,8.0,0,4,1,25.0,0.50,0.12,0.00,0.00,17.9,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,1,Rodrigo Abascal,uy URU,DF,Vitória,31-286,1994,8.0,351,454,77.3,7843,3298,82,94,87.2,211,242,87.2,58,110,52.7,1,0.1,0.3,+0.9,3,32,4,3,36,Matches,1,Rodrigo Abascal,uy URU,DF,Vitória,31-286,1994,8.0,454,411,41,21,0,8,14,18,0,0,0,0,351,2,6,Matches,1,Rodrigo Abascal,uy URU,DF,Vitória,31-286,1994,8.0,11,1.37,7,3,0,1,0,0,1,0.12,1,0,0,0,0,0,Matches,1,Rodrigo Abascal,uy URU,DF,Vitória,31-286,1994,8.0,12,8,9,3,0,7,7,100.0,0,11,8,3,10,22,39,0,Matches,1,Rodrigo Abascal,uy URU,DF,Vitória,31-286,1994,8.0,540,62,248,241,54,6,540,1,1,100.0,0,0.0,297,1070,593,3,2,1,7,1,346,8,Matches,1,Rodrigo Abascal,uy URU,DF,Vitória,31-286,1994,8.0,0,0,0,14,0,1,14,10,8,0,0,1,27,18,4,81.8,Matches
2,Nelson Abbey,eng ENG,DF,Rio Ave,22-060,2003,5,5,439,4.9,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,13,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,2,Nelson Abbey,eng ENG,DF,Rio Ave,22-060,2003,4.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2,Nelson Abbey,eng ENG,DF,Rio Ave,22-060,2003,4.9,227,252,90.1,3766,973,84,86,97.7,130,136,95.6,6,20,30.0,0,0.1,0.0,-0.1,1,16,0,0,13,Matches,2,Nelson Abbey,eng ENG,DF,Rio Ave,22-060,2003,4.9,252,241,11,11,0,1,2,0,0,0,0,0,227,0,2,Matches,2,Nelson Abbey,eng ENG,DF,Rio Ave,22-060,2003,4.9,6,1.23,4,1,0,0,0,1,1,0.20,0,1,0,0,0,0,Matches,2,Nelson Abbey,eng ENG,DF,Rio Ave,22-060,2003,4.9,4,3,3,1,0,1,2,50.0,1,3,0,3,4,8,22,0,Matches,2,Nelson Abbey,eng ENG,DF,Rio Ave,22-060,2003,4.9,288,27,141,138,9,2,288,1,1,100.0,0,0.0,175,855,471,2,1,0,3,2,203,1,Matches,2,Nelson Abbey,eng ENG,DF,Rio Ave,22-060,2003,4.9,1,0,0,3,0,0,2,4,3,0,0,0,22,4,6,40.0,Matches
3,Sabit Abdulai,gh GHA,MF,Alverca,26-169,1999,6,5,326,3.6,0,0,0,0,0,0,4,1,0.1,0.1,0.0,0.1,0,8,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches,3,Sabit Abdulai,gh GHA,MF,Alverca,26-169,1999,3.6,0,3,1,33.3,0.83,0.28,0.00,0.00,21.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,3,Sabit Abdulai,gh GHA,MF,Alverca,26-169,1999,3.6,101,126,80.2,1705,385,41,47,87.2,46,50,92.0,9,18,50.0,0,0.0,0.1,0.0,1,4,1,0,8,Matches,3,Sabit Abdulai,gh GHA,MF,Alverca,26-169,1999,3.6,126,125,1,1,0,2,1,0,0,0,0,0,101,0,3,Matches,3,Sabit Abdulai,gh GHA,MF,Alverca,26-169,1999,3.6,3,0.83,1,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches,3,Sabit Abdulai,gh GHA,MF,Alverca,26-169,1999,3.6,5,4,2,2,1,0,2,0.0,2,5,0,5,2,7,12,0,Matches,3,Sabit Abdulai,gh GHA,MF,Alverca,26-169,1999,3.6,164,12,50,98,18,5,164,4,2,50.0,2,50.0,90,380,80,0,0,0,7,4,98,1,Matches,3,Sabit Abdulai,gh GHA,MF,Alverca,26-169,1999,3.6,4,1,1,9,3,0,1,2,4,0,0,0,14,3,1,75.0,Matches
4,Umar Abubakar,ng NGA,FW,Famalicão,19-254,2006,7,0,52,0.6,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,1,0,4,0.00,0.00,0.00,0.00,0.00,0.86,0.00,0.86,0.86,0.86,Matches,4,Umar Abubakar,ng NGA,FW,Famalicão,19-254,2006,0.6,0,2,1,50.0,3.46,1.73,0.00,0.00,10.6,0,0,0,0.5,0.5,0.24,-0.5,-0.5,Matches,4,Umar Abubakar,ng NGA,FW,Famalicão,19-254,2006,0.6,5,12,41.7,80,12,2,4,50.0,2,5,40.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,4,Umar Abubakar,ng NGA,FW,Famalicão,19-254,2006,0.6,12,11,1,0,0,0,1,0,0,0,0,0,5,0,1,Matches,4,Umar Abubakar,ng NGA,FW,Famalicão,19-254,2006,0.6,1,1.84,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4,Umar Abubakar,ng NGA,FW,Famalicão,19-254,2006,0.6,0,0,0,0,0,0,0,,0,1,0,1,0,0,5,0,Matches,4,Umar Abubakar,ng NGA,FW,Famalicão,19-254,2006,0.6,29,5,7,6,16,4,29,1,0,0.0,1,100.0,13,67,16,1,0,0,6,5,20,4,Matches,4,Umar Abubakar,ng NGA,FW,Famalicão,19-254,2006,0.6,0,0,0,3,1,3,1,0,0,0,0,0,2,10,5,66.7,Matches
5,Adriano,br BRA,MF,Santa Clara,25-357,1999,9,8,741,8.2,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.6,5,33,18,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches,5,Adriano,br BRA,MF,Santa Clara,25-357,1999,8.2,0,8,1,12.5,0.97,0.12,0.00,0.00,20.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,5,Adriano,br BRA,MF,Santa Clara,25-357,1999,8.2,342,393,87.0,5740,1365,157,174,90.2,159,174,91.4,19,27,70.4,0,0.2,0.4,-0.2,6,32,6,0,33,Matches,5,Adriano,br BRA,MF,Santa Clara,25-357,1999,8.2,393,361,31,29,1,4,3,2,0,0,0,0,342,1,6,Matches,5,Adriano,br BRA,MF,Santa Clara,25-357,1999,8.2,17,2.06,12,1,2,1,0,1,1,0.12,0,1,0,0,0,0,Matches,5,Adriano,br BRA,MF,Santa Clara,25-357,1999,8.2,3,1,1,2,0,2,5,40.0,3,6,0,6,4,7,13,0,Matches,5,Adriano,br BRA,MF,Santa Clara,25-357,1999,8.2,452,17,105,275,78,7,452,20,8,40.0,10,50.0,269,1401,626,5,5,0,7,2,319,18,Matches,5,Adriano,br BRA,MF,Santa Clara,25-357,1999,8.2,2,0,0,4,14,0,3,4,1,0,0,0,40,6,5,54.5,Matches
6,João Afonso,pt POR,DF,Tondela,35-152,1990,3,3,270,3.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,5,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,6,João Afonso,pt POR,DF,Tondela,35-152,1990,3.0,0,1,0,0.0,0.33,0.00,0.00,,9.1,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,6,João Afonso,pt POR,DF,Tondela,35-152,1990,3.0,95,109,87.2,1898,713,27,30,90.0,57,60,95.0,10,15,66.7,0,0.0,0.0,0.0,0,3,0,0,5,Matches,6,João Afonso,pt POR,DF,Tondela,35-152,1990,3.0,109,100,8,7,0,1,0,0,0,0,0,0,95,1,2,Matches,6,João Afonso,pt POR,DF,Tondela,35-152,1990,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,6,João Afonso,pt POR,DF,Tondela,35-152,1990,3.0,8,4,6,2,0,5,7,71.4,2,7,4,3,8,16,22,0,Matches,6,João Afonso,pt POR,DF,Tondela,35-152,1990,3.0,157,32,95,59,3,2,157,1,1,100.0,0,0.0,71,306,143,0,0,0,1,0,81,0,Matches,6,João Afonso,pt POR,DF,Tondela,35-152,1990,3.0,1,0,0,2,2,1,0,8,4,0,0,0,9,8,9,47.1,Matches
7,Brandon Aguilera,cr CRC,MF,Rio Ave,22-121,2003,8,8,582,6.5,0,0,0,0,0,0,4,0,0.2,0.2,0.4,0.6,2,25,9,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09,Matches,7,Brandon Aguilera,cr CRC,MF,Rio Ave,22-121,2003,6.5,0,5,1,20.0,0.77,0.15,0.00,0.00,24.2,2,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,7,Brandon Aguilera,cr CRC,MF,Rio Ave,22-121,2003,6.5,213,258,82.6,3778,1072,94,100,94.0,91,99,91.9,21,44,47.7,0,0.4,0.3,-0.4,6,16,3,0,25,Matches,7,Brandon Aguilera,cr CRC,MF,Rio Ave,22-121,2003,6.5,258,232,24,11,0,1,13,0,11,7,3,0,213,2,3,Matches,7,Brandon Aguilera,cr CRC,MF,Rio Ave,22-121,2003,6.5,12,1.86,10,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,7,Brandon Aguilera,cr CRC,MF,Rio Ave,22-121,2003,6.5,8,4,4,3,1,3,12,25.0,9,3,0,3,10,18,12,0,Matches,7,Brandon Aguilera,cr CRC,MF,Rio Ave,22-121,2003,6.5,312,15,79,184,53,5,312,13,6,46.2,7,53.8,166,647,299,2,2,1,6,7,198,9,Matches,7,Brandon Aguilera,cr CRC,MF,Rio Ave,22-121,2003,6.5,4,0,0,10,11,0,13,10,4,0,0,0,40,3,2,60.0,Matches
8,Babatunde Akinsola,ng NGA,"FW,MF",AVS Futebol,22-231,2003,9,9,744,8.3,0,2,2,0,0,0,1,0,0.4,0.4,1.4,1.9,32,19,57,0.00,0.24,0.24,0.00,0.24,0.05,0.17,0.22,0.05,0.22,Matches,8,Babatunde Akinsola,ng NGA,"FW,MF",AVS Futebol,22-231,2003,8.3,0,11,2,18.2,1.33,0.24,0.00,0.00,21.5,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches,8,Babatunde Akinsola,ng NGA,"FW,MF",AVS Futebol,22-231,2003,8.3,111,173,64.2,1937,551,61,75,81.3,31,53,58.5,15,29,51.7,2,1.4,0.7,+0.6,8,5,11,5,19,Matches,8,Babatunde Akinsola,ng NGA,"FW,MF",AVS Futebol,22-231,2003,8.3,173,170,3,0,1,2,27,3,0,0,0,0,111,0,9,Matches,8,Babatunde Akinsola,ng NGA,"FW,MF",AVS Futebol,22-231,2003,8.3,24,2.90,13,1,4,4,2,0,2,0.24,1,0,0,1,0,0,Matches,8,Babatunde Akinsola,ng NGA,"FW,MF",AVS Futebol,22-231,2003,8.3,5,4,3,1,1,3,6,50.0,3,8,1,7,4,9,7,0,Matches,8,Babatunde Akinsola,ng NGA,"FW,MF",AVS Futebol,22-231,2003,8.3,279,3,37,100,160,11,279,34,19,55.9,14,41.2,178,1466,852,32,24,5,32,15,196,57,Matches,8,Babatunde Akinsola,ng NGA,"FW,MF",AVS Futebol,22-231,2003,8.3,1,0,0,4,16,3,27,4,4,0,0,0,36,3,12,20.0,Matches
9,Kerem Aktürkoğlu,tr TUR,MF,Benfica,27-006,1998,1,0,24,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,5,4,0.00,0.00,0.00,0.00,0.00,0.39,0.13,0.51,0.39,0.51,Matches,9,Kerem Aktürkoğlu,tr TUR,MF,Benfica,27-006,1998,0.3,0,1,1,100.0,3.75,3.75,0.00,0.00,11.9,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches,9,Kerem Aktürkoğlu,tr TUR,MF,Benfica,27-006,1998,0.3,7,10,70.0,127,102,4,5,80.0,2,3,66.7,1,2,50.0,0,0.0,0.1,0.0,1,1,2,0,5,Matches,9,Kerem Aktürkoğlu,tr TUR,MF,Benfica,27-006,1998,0.3,10,8,2,0,0,0,3,0,2,1,1,0,7,0,0,Matches,9,Kerem Aktürkoğlu,tr TUR,MF,Benfica,27-006,1998,0.3,2,7.50,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,9,Kerem Aktürkoğlu,tr TUR,MF,Benfica,27-006,1998,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,9,Kerem Aktürkoğlu,tr TUR,MF,Benfica,27-006,1998,0.3,13,0,1,4,8,2,13,0,0,,0,,11,98,58,1,1,1,2,0,11,4,Matches,9,Kerem Aktürkoğlu,tr TUR,MF,Benfica,27-006,1998,0.3,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,,Matches
