Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Andrew,br BRA,GK,Gil Vicente FC,24-118,2001,9,9,775,8.6,4,0.46,25,20,88.0,6,1,2,6,66.7,2,1,1,0,50.0,Matches,1,Andrew,br BRA,GK,Gil Vicente FC,24-118,2001,8.6,4,1,0,1,0,6.6,0.19,+2.6,+0.30,42,125,33.6,246,37,32.9,33.6,68,64.7,49.2,110,10,9.1,14,1.63,15.0,Matches
2,Daniel Azevedo,pt POR,GK,Casa Pia,27-257,1998,3,2,218,2.4,7,2.89,14,7,57.1,0,1,1,0,0.0,1,1,0,0,0.0,Matches,2,Daniel Azevedo,pt POR,GK,Casa Pia,27-257,1998,2.4,7,1,0,2,0,6.6,0.41,-0.4,-0.16,14,38,36.8,90,11,30.0,33.0,13,84.6,54.8,34,0,0.0,8,3.30,20.2,Matches
3,Gabriel Batista,br BRA,GK,Santa Clara,27-146,1998,9,9,810,9.0,10,1.11,33,22,69.7,3,2,4,3,33.3,1,0,1,0,100.0,Matches,3,Gabriel Batista,br BRA,GK,Santa Clara,27-146,1998,9.0,10,0,0,2,0,10.4,0.31,+0.4,+0.04,41,123,33.3,199,44,38.7,35.3,69,66.7,50.9,121,8,6.6,3,0.33,10.4,Matches
4,Simão Bertelli,br BRA,GK,AVS Futebol,32-147,1993,8,8,720,8.0,20,2.50,39,19,53.8,0,1,7,0,0.0,2,2,0,0,0.0,Matches,4,Simão Bertelli,br BRA,GK,AVS Futebol,32-147,1993,8.0,20,2,0,3,0,16.0,0.36,-4.0,-0.50,42,110,38.2,204,28,36.3,34.2,67,53.7,41.5,113,4,3.5,12,1.50,14.7,Matches
5,Lazar Carević,me MNE,GK,Famalicão,26-225,1999,9,9,810,9.0,4,0.44,33,29,90.9,4,4,1,6,66.7,1,1,0,0,0.0,Matches,5,Lazar Carević,me MNE,GK,Famalicão,26-225,1999,9.0,4,1,0,0,0,7.6,0.21,+3.6,+0.40,22,89,24.7,257,35,25.7,29.5,47,48.9,40.2,125,5,4.0,11,1.22,14.7,Matches
6,Juan Castillo,co COL,GK,Vitória,22-287,2003,5,5,450,5.0,6,1.20,24,18,79.2,2,1,2,1,20.0,1,1,0,0,0.0,Matches,6,Juan Castillo,co COL,GK,Vitória,22-287,2003,5.0,6,1,0,1,0,6.0,0.22,0.0,0.00,21,52,40.4,101,13,32.7,29.9,26,73.1,52.6,67,3,4.5,8,1.60,26.1,Matches
7,Charles,br BRA,GK,Vitória,31-265,1994,4,4,360,4.0,8,2.00,21,14,61.9,1,1,2,0,0.0,0,0,0,0,,Matches,7,Charles,br BRA,GK,Vitória,31-265,1994,4.0,8,0,0,1,1,6.5,0.32,-0.5,-0.13,12,48,25.0,120,12,30.8,32.1,25,44.0,43.4,35,2,5.7,3,0.75,14.2,Matches
8,Diogo Costa,pt POR,GK,Porto,26-038,1999,8,8,720,8.0,1,0.12,13,13,92.3,7,1,0,7,87.5,0,0,0,0,,Matches,8,Diogo Costa,pt POR,GK,Porto,26-038,1999,8.0,1,0,0,0,1,2.6,0.20,+2.6,+0.32,44,95,46.3,303,21,24.1,28.5,41,53.7,44.3,93,2,2.2,18,2.25,18.8,Matches
9,André Ferreira,pt POR,GK,Moreirense,29-151,1996,1,1,90,1.0,3,3.00,13,10,92.3,0,0,1,0,0.0,2,2,0,0,0.0,Matches,9,André Ferreira,pt POR,GK,Moreirense,29-151,1996,1.0,3,2,0,0,0,4.9,0.24,+1.9,+1.86,4,20,20.0,37,5,37.8,33.5,6,100.0,65.5,16,0,0.0,0,0.00,7.3,Matches
10,Daniel Figueira,pt POR,GK,Gil Vicente FC,27-099,1998,1,0,31,0.3,0,0.00,5,5,100.0,0,0,0,1,,0,0,0,0,,Matches,10,Daniel Figueira,pt POR,GK,Gil Vicente FC,27-099,1998,0.3,0,0,0,0,0,0.7,0.14,+0.7,+2.05,3,17,17.6,10,0,100.0,64.3,7,100.0,62.9,18,0,0.0,0,0.00,,Matches
11,Bernardo Fontes,br BRA,GK,Tondela,23-096,2002,9,9,810,9.0,17,1.89,57,41,73.7,1,2,6,1,11.1,2,2,0,0,0.0,Matches,11,Bernardo Fontes,br BRA,GK,Tondela,23-096,2002,9.0,17,2,0,1,1,19.3,0.32,+3.3,+0.36,39,112,34.8,241,38,36.9,36.1,51,45.1,39.8,133,3,2.3,14,1.56,17.0,Matches
12,Lucas França,br BRA,GK,Nacional,29-281,1996,6,6,540,6.0,10,1.67,28,18,67.9,1,1,4,1,16.7,1,1,0,0,0.0,Matches,12,Lucas França,br BRA,GK,Nacional,29-281,1996,6.0,10,1,0,1,0,8.3,0.27,-1.7,-0.28,40,115,34.8,121,17,59.5,42.3,45,95.6,59.0,81,3,3.7,10,1.67,14.7,Matches
13,André Gomes,pt POR,GK,Alverca,21-007,2004,8,8,720,8.0,14,1.75,37,22,67.6,3,1,4,2,25.0,4,2,1,1,33.3,Matches,13,André Gomes,pt POR,GK,Alverca,21-007,2004,8.0,14,2,1,1,0,12.8,0.33,-1.2,-0.15,23,106,21.7,143,26,47.6,41.0,52,73.1,48.5,144,9,6.3,1,0.13,8.9,Matches
14,João Gonçalves,pt POR,GK,AVS Futebol,24-356,2000,1,1,90,1.0,2,2.00,5,3,80.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches,14,João Gonçalves,pt POR,GK,AVS Futebol,24-356,2000,1.0,2,1,0,0,0,2.8,0.38,+0.8,+0.78,4,16,25.0,18,4,44.4,37.7,12,66.7,46.8,18,0,0.0,1,1.00,13.5,Matches
15,Lukáš Horníček,cz CZE,GK,Braga,23-106,2002,9,9,810,9.0,8,0.89,27,18,74.1,3,4,2,3,33.3,2,1,1,0,50.0,Matches,15,Lukáš Horníček,cz CZE,GK,Braga,23-106,2002,9.0,8,1,0,0,0,9.6,0.30,+1.6,+0.18,21,81,25.9,319,40,20.1,27.0,45,37.8,37.2,82,5,6.1,33,3.67,18.8,Matches
16,Kaique,br BRA,GK,Nacional,22-194,2003,3,3,270,3.0,3,1.00,8,5,75.0,2,1,0,1,33.3,1,1,0,0,0.0,Matches,16,Kaique,br BRA,GK,Nacional,22-194,2003,3.0,3,1,0,0,0,2.4,0.18,-0.6,-0.20,21,74,28.4,90,14,55.6,44.3,25,96.0,63.6,52,5,9.6,6,2.00,14.1,Matches
17,Matheus Mendes,br BRA,GK,Alverca,26-231,1999,1,1,90,1.0,2,2.00,2,0,0.0,0,0,1,0,0.0,0,0,0,0,,Matches,17,Matheus Mendes,br BRA,GK,Alverca,26-231,1999,1.0,2,0,0,0,0,1.3,0.63,-0.7,-0.74,2,7,28.6,26,2,23.1,27.3,4,25.0,30.3,8,0,0.0,2,2.00,17.5,Matches
18,Cezary Miszta,pl POL,GK,Rio Ave,23-362,2001,9,9,810,9.0,14,1.56,52,38,73.1,2,5,2,2,22.2,0,0,0,0,,Matches,18,Cezary Miszta,pl POL,GK,Rio Ave,23-362,2001,9.0,14,0,0,4,0,16.0,0.31,+2.0,+0.23,50,149,33.6,250,45,44.8,37.1,94,39.4,36.1,200,4,2.0,6,0.67,10.7,Matches
