Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Aberdeen,18,26.3,28.0,2,22,180,2.0,2,0,2,1,1,1,5,0,2.5,1.7,0.9,2.6,17,36,1.0,0.0,1.0,0.5,0.5,1.26,0.46,1.72,0.86,1.32,Aberdeen,1,2,2,180,2.0,9,4.5,13,4,30.8,0,0,2,0,0.0,0,0,0,0,,Aberdeen,1,2.0,9,0,0,1,0,6.7,0.52,-2.3,-1.13,10,39,25.6,51,9,56.9,39.1,17,58.8,48.0,26,0,0.0,3,1.5,16.8,Aberdeen,18,2.0,2,19,6,31.6,9.5,3.0,0.05,0.17,18.0,1,1,1,2.5,1.7,0.09,-0.5,-0.7,Aberdeen,18,2.0,375,534,70.2,6500,2880,171,201,85.1,145,174,83.3,40,113,35.4,0,0.9,1.2,-0.9,13,31,7,0,36,Aberdeen,18,2.0,534,442,90,18,1,1,21,38,6,5,1,0,375,2,18,Aberdeen,18,2.0,31,15.5,14,7,2,3,2,3,1,0.5,0,0,0,1,0,0,Aberdeen,18,2.0,28,17,15,10,3,16,32,50.0,16,18,6,12,20,48,58,2,Aberdeen,18,28.0,2.0,762,134,343,271,161,27,761,29,9,31.0,18,62.1,329,1482,703,17,11,4,34,20,372,36,Aberdeen,18,2.0,5,0,0,25,18,2,21,20,17,0,0,0,75,18,20,47.4
AC Omonia,20,28.6,52.5,2,22,180,2.0,1,1,2,1,0,0,5,0,1.5,1.5,1.4,2.9,29,108,0.5,0.5,1.0,0.5,1.0,0.77,0.69,1.45,0.77,1.45,AC Omonia,2,2,2,180,2.0,2,1.0,4,2,75.0,0,1,1,0,0.0,1,1,0,0,0.0,AC Omonia,2,2.0,2,1,0,0,0,1.2,0.13,-0.8,-0.41,3,11,27.3,37,11,21.6,20.3,9,33.3,35.4,29,1,3.4,1,0.5,12.0,AC Omonia,20,2.0,1,21,8,38.1,10.5,4.0,0.05,0.13,17.9,1,0,0,1.5,1.5,0.07,-0.5,-0.5,AC Omonia,20,2.0,750,939,79.9,13303,4939,331,368,89.9,330,388,85.1,74,138,53.6,1,1.4,2.0,-0.4,19,66,23,6,108,AC Omonia,20,2.0,939,839,94,28,3,7,39,41,12,8,3,0,750,6,15,AC Omonia,20,2.0,38,19.0,29,4,0,1,2,2,2,1.0,1,1,0,0,0,0,AC Omonia,20,2.0,38,25,23,11,4,10,20,50.0,10,27,8,19,17,55,43,0,AC Omonia,20,52.5,2.0,1170,122,395,491,300,37,1170,27,10,37.0,15,55.6,645,4028,2140,29,31,3,38,14,747,108,AC Omonia,20,2.0,5,0,0,28,23,6,39,17,25,0,1,0,100,23,25,47.9
AEK Athens,18,29.1,56.5,2,22,180,2.0,7,6,13,7,0,0,5,0,6.3,6.3,4.4,10.7,52,85,3.5,3.0,6.5,3.5,6.5,3.14,2.22,5.36,3.14,5.36,AEK Athens,1,2,2,180,2.0,3,1.5,11,8,72.7,1,0,1,1,50.0,0,0,0,0,,AEK Athens,1,2.0,3,0,0,0,0,4.4,0.41,1.4,0.7,7,13,53.8,47,9,25.5,30.4,8,12.5,25.1,23,3,13.0,1,0.5,10.2,AEK Athens,18,2.0,7,36,14,38.9,18.0,7.0,0.19,0.5,14.4,0,0,0,6.3,6.3,0.18,0.7,0.7,AEK Athens,18,2.0,914,1069,85.5,15543,5165,437,477,91.6,400,445,89.9,66,113,58.4,6,4.4,2.8,1.6,28,68,21,4,85,AEK Athens,18,2.0,1069,986,79,28,7,8,31,29,9,4,4,0,914,4,13,AEK Athens,18,2.0,64,32.0,49,5,3,5,2,0,13,6.5,9,1,2,1,0,0,AEK Athens,18,2.0,33,25,17,10,6,18,32,56.3,14,28,12,16,16,49,50,2,AEK Athens,18,56.5,2.0,1298,136,410,540,360,54,1298,26,13,50.0,11,42.3,781,4365,2502,52,32,14,29,15,908,83,AEK Athens,18,2.0,5,0,0,22,26,4,31,16,25,0,0,0,88,14,10,58.3
AÉK Lárnaka,19,31.8,50.5,2,22,180,2.0,5,4,9,5,0,0,4,0,2.8,2.8,2.1,4.8,31,95,2.5,2.0,4.5,2.5,4.5,1.39,1.03,2.42,1.39,2.42,AÉK Lárnaka,1,2,2,180,2.0,0,0.0,3,3,100.0,2,0,0,2,100.0,0,0,0,0,,AÉK Lárnaka,1,2.0,0,0,0,0,0,0.5,0.16,0.5,0.25,8,24,33.3,40,8,37.5,36.9,16,56.3,42.9,32,4,12.5,2,1.0,9.3,AÉK Lárnaka,19,2.0,5,27,12,44.4,13.5,6.0,0.19,0.42,16.6,0,0,0,2.8,2.8,0.12,2.2,2.2,AÉK Lárnaka,19,2.0,763,932,81.9,13940,4741,332,373,89.0,329,363,90.6,88,160,55.0,4,2.1,2.9,1.9,21,82,23,7,95,AÉK Lárnaka,19,2.0,932,841,89,28,1,4,41,35,8,4,1,0,763,2,11,AÉK Lárnaka,19,2.0,47,23.5,36,3,1,4,2,1,8,4.0,5,1,0,1,0,1,AÉK Lárnaka,19,2.0,26,16,18,8,0,15,28,53.6,13,12,6,6,16,42,52,1,AÉK Lárnaka,19,50.5,2.0,1153,135,363,450,345,44,1153,24,7,29.2,15,62.5,651,3141,1744,31,30,8,33,22,758,95,AÉK Lárnaka,19,2.0,4,0,0,29,22,2,41,16,16,0,0,0,75,21,28,42.9
AZ Alkmaar,20,23.0,46.5,2,22,180,2.0,1,1,2,1,0,1,4,1,4.0,3.2,2.4,5.6,39,98,0.5,0.5,1.0,0.5,1.0,1.98,1.18,3.16,1.6,2.78,AZ Alkmaar,1,2,2,180,2.0,4,2.0,11,7,63.6,1,0,1,1,50.0,0,0,0,0,,AZ Alkmaar,1,2.0,4,0,0,2,0,4.1,0.41,0.1,0.05,13,32,40.6,42,4,50.0,38.7,12,91.7,63.3,31,1,3.2,1,0.5,13.0,AZ Alkmaar,20,2.0,1,35,11,31.4,17.5,5.5,0.03,0.09,16.0,1,0,1,4.0,3.2,0.09,-3.0,-2.2,AZ Alkmaar,20,2.0,708,878,80.6,13085,4617,307,356,86.2,287,320,89.7,91,155,58.7,1,2.4,2.7,-1.4,29,84,22,5,98,AZ Alkmaar,20,2.0,878,786,87,23,1,10,34,32,14,9,2,0,708,5,14,AZ Alkmaar,20,2.0,64,32.0,46,4,4,7,2,1,2,1.0,2,0,0,0,0,0,AZ Alkmaar,20,2.0,39,28,12,16,11,15,26,57.7,11,15,3,12,19,58,36,0,AZ Alkmaar,20,46.5,2.0,1097,104,266,438,408,70,1096,50,25,50.0,22,44.0,533,2911,1512,39,18,21,27,17,697,95,AZ Alkmaar,20,2.0,4,1,0,24,24,5,34,19,28,0,0,0,88,12,22,35.3
Breiðablik,19,29.2,44.0,2,22,180,2.0,0,0,0,0,0,1,2,0,3.2,2.4,1.9,4.3,40,93,0.0,0.0,0.0,0.0,0.0,1.59,0.97,2.56,1.2,2.17,Breiðablik,1,2,2,180,2.0,3,1.5,10,7,70.0,0,1,1,1,50.0,0,0,0,0,,Breiðablik,1,2.0,3,0,0,0,0,3.6,0.36,0.6,0.31,7,13,53.8,63,14,19.0,28.5,16,6.3,12.9,20,1,5.0,0,0.0,11.8,Breiðablik,19,2.0,0,28,5,17.9,14.0,2.5,0.0,0.0,15.7,0,0,1,3.2,2.4,0.09,-3.2,-2.4,Breiðablik,19,2.0,753,969,77.7,13477,5337,327,388,84.3,314,376,83.5,87,127,68.5,0,1.9,3.1,-1.9,22,52,28,7,93,Breiðablik,19,2.0,969,870,96,25,3,4,56,33,17,8,3,0,753,3,33,Breiðablik,19,2.0,53,26.5,43,3,3,1,1,2,0,0.0,0,0,0,0,0,0,Breiðablik,19,2.0,34,19,14,17,3,14,27,51.9,13,19,4,15,15,49,56,7,Breiðablik,19,44.0,2.0,1214,146,434,477,318,76,1213,41,19,46.3,22,53.7,728,3889,2009,40,27,15,36,19,744,91,Breiðablik,19,2.0,2,0,0,12,21,3,56,15,19,0,0,0,100,22,9,71.0
Crystal Palace,20,26.8,60.5,2,22,180,2.0,2,2,4,2,0,0,5,1,3.3,3.3,2.8,6.1,30,123,1.0,1.0,2.0,1.0,2.0,1.63,1.4,3.03,1.63,3.03,Crystal Palace,1,2,2,180,2.0,1,0.5,3,2,66.7,1,0,1,1,50.0,0,0,0,0,,Crystal Palace,1,2.0,1,0,0,0,0,1.1,0.36,0.1,0.03,11,19,57.9,37,7,35.1,32.4,9,66.7,46.4,19,2,10.5,3,1.5,22.4,Crystal Palace,20,2.0,2,28,8,28.6,14.0,4.0,0.07,0.25,15.0,0,0,0,3.3,3.3,0.12,-1.3,-1.3,Crystal Palace,20,2.0,943,1157,81.5,17511,6092,359,412,87.1,477,547,87.2,90,143,62.9,2,2.8,3.3,-0.8,24,107,24,8,123,Crystal Palace,20,2.0,1157,1053,98,27,0,1,51,47,12,11,0,0,943,6,14,Crystal Palace,20,2.0,52,26.0,43,2,2,3,1,1,4,2.0,3,0,1,0,0,0,Crystal Palace,20,2.0,36,26,12,13,11,16,22,72.7,6,24,4,20,13,49,35,1,Crystal Palace,20,60.5,2.0,1363,67,283,725,365,65,1363,24,8,33.3,13,54.2,740,3252,1801,30,17,10,26,8,938,122,Crystal Palace,20,2.0,5,1,1,30,21,6,51,13,26,0,0,0,83,33,17,66.0
CS U Craiova,19,26.9,45.5,2,22,180,2.0,1,1,2,1,0,0,4,1,0.8,0.8,0.8,1.6,25,40,0.5,0.5,1.0,0.5,1.0,0.39,0.39,0.79,0.39,0.79,CS U Craiova,1,2,2,180,2.0,3,1.5,14,11,78.6,0,1,1,0,0.0,0,0,0,0,,CS U Craiova,1,2.0,3,0,0,0,0,2.7,0.2,-0.3,-0.14,7,16,43.8,48,5,29.2,30.6,18,11.1,22.9,36,0,0.0,2,1.0,17.5,CS U Craiova,19,2.0,1,10,2,20.0,5.0,1.0,0.1,0.5,18.7,0,0,0,0.8,0.8,0.08,0.2,0.2,CS U Craiova,19,2.0,633,810,78.1,10573,3768,294,351,83.8,283,334,84.7,45,89,50.6,1,0.8,0.7,0.2,10,23,6,2,40,CS U Craiova,19,2.0,810,732,76,20,2,4,8,30,3,2,0,0,633,2,15,CS U Craiova,19,2.0,18,9.0,12,2,2,1,0,1,1,0.5,0,0,1,0,0,0,CS U Craiova,19,2.0,25,17,5,15,5,11,25,44.0,14,19,11,8,21,46,67,3,CS U Craiova,19,45.5,2.0,1033,146,460,446,145,23,1033,31,19,61.3,11,35.5,500,3017,1468,25,16,5,30,12,624,39,CS U Craiova,19,2.0,4,1,0,39,15,2,8,21,17,0,0,0,82,39,25,60.9
Dynamo Kyiv,21,25.5,49.0,2,22,180,2.0,0,0,0,0,0,0,3,0,1.0,1.0,0.9,1.9,26,77,0.0,0.0,0.0,0.0,0.0,0.48,0.44,0.93,0.48,0.93,Dynamo Kyiv,1,2,2,180,2.0,5,2.5,12,7,58.3,0,0,2,0,0.0,0,0,0,0,,Dynamo Kyiv,1,2.0,5,0,0,0,0,3.4,0.28,-1.6,-0.82,9,23,39.1,68,8,25.0,30.6,11,54.5,43.5,22,0,0.0,2,1.0,12.2,Dynamo Kyiv,21,2.0,0,14,1,7.1,7.0,0.5,0.0,0.0,20.7,1,0,0,1.0,1.0,0.07,-1.0,-1.0,Dynamo Kyiv,21,2.0,761,944,80.6,14521,4658,267,311,85.9,392,429,91.4,83,155,53.5,0,0.9,1.4,-0.9,11,54,9,5,77,Dynamo Kyiv,21,2.0,944,843,97,23,1,2,26,47,9,2,3,0,761,4,26,Dynamo Kyiv,21,2.0,24,12.0,17,4,1,1,1,0,0,0.0,0,0,0,0,0,0,Dynamo Kyiv,21,2.0,22,16,14,4,4,11,29,37.9,18,24,6,18,20,42,59,1,Dynamo Kyiv,21,49.0,2.0,1158,125,385,521,261,19,1158,29,13,44.8,16,55.2,727,4473,2137,26,27,3,33,12,750,76,Dynamo Kyiv,21,2.0,3,0,0,17,20,4,26,20,16,0,0,0,68,18,23,43.9
