,Player,,,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
J4,Sandro Kulenović,Dinamo Zagreb,UEFA Europa League,17.0,hr CRO,FW,25-337,58,0,0,0,0,1,1,0,0,20,1,0,2,0.2,0.2,0.0,1,0,11,16,68.8,0,6,0,1,1,Sandro Kulenović,17.0,hr CRO,FW,25-337,58,11,16,68.8,138,0,9,11,81.8,2,3,66.7,0,1,0.0,0,0.0,0.0,0,1,0,0,0,Sandro Kulenović,17.0,hr CRO,FW,25-337,58,16,12,4,0,0,0,1,0,0,0,0,0,11,0,1,Sandro Kulenović,17.0,hr CRO,FW,25-337,58,1,1,0,0,1,0,0,,0,2,0,2,0,1,0,0,Sandro Kulenović,17.0,hr CRO,FW,25-337,58,20,0,0,10,10,2,20,1,1,100.0,0,0.0,6,21,4,0,0,0,1,0,9,2,Sandro Kulenović,17.0,hr CRO,FW,25-337,58,0,0,0,0,1,1,1,0,1,0,0,0,1,2,3,40.0
J4,Dion Drena Beljo,Dinamo Zagreb,UEFA Europa League,9.0,hr CRO,FW,23-250,32,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,6,9,66.7,0,8,0,0,0,Dion Drena Beljo,9.0,hr CRO,FW,23-250,32,6,9,66.7,67,10,6,7,85.7,0,1,0.0,0,1,0.0,0,0.0,0.0,0,2,0,0,0,Dion Drena Beljo,9.0,hr CRO,FW,23-250,32,9,7,2,1,0,0,1,1,0,0,0,0,6,0,0,Dion Drena Beljo,9.0,hr CRO,FW,23-250,32,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Dion Drena Beljo,9.0,hr CRO,FW,23-250,32,9,0,0,6,3,1,9,0,0,,0,,8,36,14,0,0,0,0,1,9,1,Dion Drena Beljo,9.0,hr CRO,FW,23-250,32,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,100.0
J4,Arbër Hoxha,Dinamo Zagreb,UEFA Europa League,11.0,al ALB,LW,27-031,90,0,0,0,0,3,2,0,0,37,1,0,0,0.1,0.1,0.0,0,0,21,25,84.0,2,27,8,5,3,Arbër Hoxha,11.0,al ALB,LW,27-031,90,21,25,84.0,256,23,15,16,93.8,5,6,83.3,0,0,,0,0.0,0.0,0,3,0,0,2,Arbër Hoxha,11.0,al ALB,LW,27-031,90,25,24,1,0,0,0,4,0,1,0,0,0,21,0,1,Arbër Hoxha,11.0,al ALB,LW,27-031,90,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,2,0,Arbër Hoxha,11.0,al ALB,LW,27-031,90,37,2,4,15,19,5,37,5,3,60.0,2,40.0,27,258,157,8,3,2,1,1,31,10,Arbër Hoxha,11.0,al ALB,LW,27-031,90,0,0,0,0,4,1,4,0,1,0,0,0,4,0,1,0.0
J4,Mateo Lisica,Dinamo Zagreb,UEFA Europa League,21.0,hr CRO,"RB,RW",22-120,90,0,0,0,0,1,0,0,0,61,4,1,0,0.0,0.0,0.1,2,0,41,52,78.8,4,45,3,2,0,Mateo Lisica,21.0,hr CRO,"RB,RW",22-120,90,41,52,78.8,613,110,21,23,91.3,19,20,95.0,1,5,20.0,0,0.1,0.1,1,4,1,1,4,Mateo Lisica,21.0,hr CRO,"RB,RW",22-120,90,52,46,5,0,0,0,4,5,0,0,0,0,41,1,1,Mateo Lisica,21.0,hr CRO,"RB,RW",22-120,90,4,3,4,0,0,2,2,100.0,0,0,0,0,1,5,1,0,Mateo Lisica,21.0,hr CRO,"RB,RW",22-120,90,61,2,11,22,28,4,61,2,0,0.0,2,100.0,45,297,113,3,3,1,0,2,45,9,Mateo Lisica,21.0,hr CRO,"RB,RW",22-120,90,0,0,0,1,1,0,4,1,3,0,0,0,5,0,0,
J4,Miha Zajc,Dinamo Zagreb,UEFA Europa League,8.0,si SVN,"LM,DM",31-128,77,0,0,0,0,2,0,0,0,63,3,0,0,0.3,0.3,0.0,1,0,51,57,89.5,8,37,0,0,0,Miha Zajc,8.0,si SVN,"LM,DM",31-128,77,51,57,89.5,809,188,28,29,96.6,17,18,94.4,5,8,62.5,0,0.0,0.0,0,9,1,0,8,Miha Zajc,8.0,si SVN,"LM,DM",31-128,77,57,52,5,2,0,0,2,1,2,1,0,0,51,0,1,Miha Zajc,8.0,si SVN,"LM,DM",31-128,77,3,1,1,1,1,2,2,100.0,0,0,0,0,0,3,0,0,Miha Zajc,8.0,si SVN,"LM,DM",31-128,77,63,0,7,41,16,2,63,0,0,,0,,37,168,62,0,2,0,1,0,50,2,Miha Zajc,8.0,si SVN,"LM,DM",31-128,77,0,0,0,3,0,0,2,0,1,0,0,0,1,0,0,
J4,Gonzalo Villar,Dinamo Zagreb,UEFA Europa League,6.0,es ESP,DM,27-228,13,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.1,3,0,10,11,90.9,4,9,2,0,0,Gonzalo Villar,6.0,es ESP,DM,27-228,13,10,11,90.9,139,69,6,6,100.0,4,5,80.0,0,0,,0,0.1,0.0,2,1,0,0,4,Gonzalo Villar,6.0,es ESP,DM,27-228,13,11,10,1,0,0,0,1,1,0,0,0,0,10,0,0,Gonzalo Villar,6.0,es ESP,DM,27-228,13,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Gonzalo Villar,6.0,es ESP,DM,27-228,13,12,0,0,5,7,1,12,0,0,,0,,9,66,38,2,1,1,0,0,10,0,Gonzalo Villar,6.0,es ESP,DM,27-228,13,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
J4,Josip Mišić,Dinamo Zagreb,UEFA Europa League,27.0,hr CRO,"DM,CM",31-131,90,0,0,0,0,0,0,0,0,90,3,3,0,0.0,0.0,0.0,3,0,78,84,92.9,11,60,2,0,0,Josip Mišić,27.0,hr CRO,"DM,CM",31-131,90,78,84,92.9,1431,282,30,32,93.8,40,43,93.0,8,8,100.0,0,0.0,0.1,1,11,2,0,11,Josip Mišić,27.0,hr CRO,"DM,CM",31-131,90,84,82,1,1,0,0,1,0,0,0,0,0,78,1,0,Josip Mišić,27.0,hr CRO,"DM,CM",31-131,90,3,2,0,2,1,1,3,33.3,2,0,0,0,3,6,0,0,Josip Mišić,27.0,hr CRO,"DM,CM",31-131,90,90,0,11,65,14,0,90,0,0,,0,,60,333,173,2,1,0,1,0,65,1,Josip Mišić,27.0,hr CRO,"DM,CM",31-131,90,0,0,0,0,0,0,1,3,2,0,0,0,6,0,0,
J4,Dejan Ljubicic,Dinamo Zagreb,UEFA Europa League,77.0,at AUT,"RM,AM",28-029,58,0,0,0,0,0,0,0,0,33,1,1,1,0.0,0.0,0.0,0,0,27,29,93.1,3,22,0,0,0,Dejan Ljubicic,77.0,at AUT,"RM,AM",28-029,58,27,29,93.1,389,59,18,18,100.0,8,9,88.9,1,1,100.0,0,0.0,0.0,0,3,1,0,3,Dejan Ljubicic,77.0,at AUT,"RM,AM",28-029,58,29,29,0,0,0,0,0,0,0,0,0,0,27,0,1,Dejan Ljubicic,77.0,at AUT,"RM,AM",28-029,58,1,1,1,0,0,0,0,,0,1,0,1,1,2,0,0,Dejan Ljubicic,77.0,at AUT,"RM,AM",28-029,58,33,0,3,19,11,0,33,0,0,,0,,22,77,29,0,3,0,0,0,27,2,Dejan Ljubicic,77.0,at AUT,"RM,AM",28-029,58,0,0,0,0,0,1,0,1,1,0,0,0,3,0,1,0.0
J4,Luka Stojkovic,Dinamo Zagreb,UEFA Europa League,7.0,hr CRO,AM,22-009,32,0,0,0,0,2,1,0,0,27,0,0,0,0.2,0.2,0.0,4,0,20,25,80.0,0,18,1,0,0,Luka Stojkovic,7.0,hr CRO,AM,22-009,32,20,25,80.0,240,63,15,17,88.2,4,5,80.0,0,1,0.0,0,0.0,0.1,0,0,1,1,0,Luka Stojkovic,7.0,hr CRO,AM,22-009,32,25,23,2,0,0,0,3,0,2,1,0,0,20,0,0,Luka Stojkovic,7.0,hr CRO,AM,22-009,32,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Luka Stojkovic,7.0,hr CRO,AM,22-009,32,27,0,1,9,17,1,27,0,0,,0,,18,112,50,1,1,0,0,0,20,3,Luka Stojkovic,7.0,hr CRO,AM,22-009,32,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,
J4,Bruno Goda,Dinamo Zagreb,UEFA Europa League,3.0,hr CRO,LB,27-203,45,0,0,0,0,0,0,0,0,37,1,3,0,0.0,0.0,0.0,0,0,27,35,77.1,2,27,0,0,0,Bruno Goda,3.0,hr CRO,LB,27-203,45,27,35,77.1,446,78,14,16,87.5,12,14,85.7,1,3,33.3,0,0.0,0.0,0,1,0,0,2,Bruno Goda,3.0,hr CRO,LB,27-203,45,35,29,5,2,0,0,1,3,0,0,0,0,27,1,1,Bruno Goda,3.0,hr CRO,LB,27-203,45,1,0,1,0,0,1,2,50.0,1,0,0,0,3,4,0,0,Bruno Goda,3.0,hr CRO,LB,27-203,45,37,0,10,20,7,0,37,0,0,,0,,27,124,69,0,1,0,0,0,29,1,Bruno Goda,3.0,hr CRO,LB,27-203,45,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,
