Game Week,Home Team,Away Team,Score,Attendance,Venue,Referee,Date,URL
J1,Empoli,Hellas Verona,0–1,"7,940",Stadio Carlo Castellani,Luca Massimi,2023-08-19,https://fbref.com/en/matches/b787871d/Empoli-Hellas-Verona-August-19-2023-Serie-A
J1,Frosinone,Napoli,1–3,"15,822",Stadio Benito Stirpe,Matteo Marcenaro,2023-08-19,https://fbref.com/en/matches/305afcf5/Frosinone-Napoli-August-19-2023-Serie-A
J1,Genoa,Fiorentina,1–4,"33,045",Stadio Comunale Luigi Ferraris,Giovanni Ayroldi,2023-08-19,https://fbref.com/en/matches/8260e428/Genoa-Fiorentina-August-19-2023-Serie-A
J1,Inter,Monza,2–0,"72,509",Stadio Giuseppe Meazza,Andrea Colombo,2023-08-19,https://fbref.com/en/matches/254420f7/Internazionale-Monza-August-19-2023-Serie-A
J1,Roma,Salernitana,2–2,"62,050",Stadio Olimpico,Ermanno Feliciani,2023-08-20,https://fbref.com/en/matches/9191f715/Roma-Salernitana-August-20-2023-Serie-A
J1,Sassuolo,Atalanta,0–2,"12,298",Mapei Stadium - Città del Tricolore,Matteo Marchetti,2023-08-20,https://fbref.com/en/matches/32dc37db/Sassuolo-Atalanta-August-20-2023-Serie-A
J1,Lecce,Lazio,2–1,"29,081",Stadio Comunale Via Del Mare,Federico Dionisi,2023-08-20,https://fbref.com/en/matches/3e38d727/Lecce-Lazio-August-20-2023-Serie-A
J1,Udinese,Juventus,0–3,"24,911",Bluenergy Stadium,Antonio Rapuano,2023-08-20,https://fbref.com/en/matches/8b6e8a62/Udinese-Juventus-August-20-2023-Serie-A
J1,Torino,Cagliari,0–0,"20,296",Stadio Olimpico di Torino,Francesco Cosso,2023-08-21,https://fbref.com/en/matches/fdc03e7f/Torino-Cagliari-August-21-2023-Serie-A
J1,Bologna,Milan,0–2,"30,203",Stadio Renato Dall'Ara,Luca Pairetto,2023-08-21,https://fbref.com/en/matches/93dccf6e/Bologna-Milan-August-21-2023-Serie-A
