Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels Won,Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons
Aaron Anselmino,ar ARG,Defender,Boca Juniors,18,2005,12,10,874,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.31,46.85,54.27,13.7,14.83,28.52,30.79,4.12,7.62,0.31,0.1,0.41,1.65,0.1,0.0,2.78,0.93,0.1,2.68,1.75,1.85,0.62,0.21,1.75,2.47,0.72,1.85,1.96,3.81,0.0,68.17,6.08,32.03,35.01,1.85,0.21,68.17,0.93,0.41,33.26,0.21,0.0,1.24,0.21,42.32,0.1,0.0,0.0,1.65,0.72,0.0,0.0,0.0,0.0,4.43,1.65,1.65,3.3,1.44,3.81,1.03,0.31,3.5,0.0,50.0,86.33,92.38,92.63,54.07,67.96,44.09
Aaron Boupendza,ga GAB,Forward,FC Cincinnati,27,1996,14,5,553,0.33,0.37,2.93,1.46,0.0,0.0,1.79,0.0,15.46,22.78,9.6,12.86,4.23,6.35,0.65,1.46,0.16,0.05,0.81,1.46,0.16,0.0,1.3,1.14,6.67,0.65,0.33,0.0,0.49,0.16,0.16,1.14,0.98,0.65,0.49,0.98,0.0,35.64,1.3,3.25,14.97,17.58,3.91,35.64,2.77,1.3,20.51,1.14,0.65,3.74,1.46,26.69,0.33,0.0,0.0,1.14,1.3,1.14,0.0,0.0,0.0,2.93,2.12,3.25,5.37,5.21,9.11,1.79,4.72,0.49,-0.11,39.48,67.87,74.65,66.61,44.52,27.37,46.93
Aaron Connolly,ie IRL,Forward,Hull City,23,2000,28,13,1215,0.59,0.49,3.04,1.19,0.0,0.0,1.63,0.15,9.26,13.11,6.0,7.19,2.37,3.33,0.37,0.96,0.0,0.07,0.59,0.59,0.15,0.0,0.81,1.11,4.96,0.44,0.3,0.15,0.22,0.07,0.0,0.3,0.3,0.37,0.22,0.3,0.0,23.11,0.15,2.07,9.7,11.78,4.74,23.11,1.85,0.59,14.89,0.74,0.89,2.52,1.26,17.33,0.3,0.0,0.0,1.33,2.3,0.89,0.0,0.0,0.0,2.52,0.81,1.85,2.67,3.78,6.89,1.78,5.78,0.3,0.2,30.34,70.63,83.45,71.17,38.54,40.54,31.89
Aaron Drewe,eng ENG,Defender,QPR,22,2001,2,0,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.66,51.14,19.43,25.57,7.16,13.3,3.07,9.2,0.0,0.0,0.0,1.02,0.0,0.0,3.07,1.02,2.05,3.07,1.02,2.05,0.0,1.02,2.05,4.09,2.05,2.05,1.02,5.11,0.0,63.41,3.07,23.52,23.52,16.36,0.0,63.41,0.0,0.0,20.45,1.02,0.0,1.02,0.0,20.45,1.02,0.0,0.0,3.07,0.0,1.02,0.0,0.0,0.0,2.05,1.02,4.09,5.11,1.02,6.14,0.0,0.0,3.07,0.0,19.96,58.0,75.99,53.83,33.37,42.88,0.0
Aaron Herrera,gt GUA,Defender,D.C. United,26,1997,30,29,2594,0.03,0.05,1.08,0.31,0.0,0.0,3.54,0.28,40.32,52.6,16.79,18.91,17.42,21.82,5.34,9.02,0.14,0.16,1.25,3.85,1.98,0.94,5.1,2.71,4.41,2.26,1.35,0.97,0.83,0.45,1.25,2.01,0.76,1.77,1.46,2.15,0.03,63.94,3.82,16.58,29.18,19.08,1.42,63.94,1.87,1.28,34.04,1.94,0.45,1.14,0.69,35.77,0.31,0.0,0.0,1.28,0.73,0.0,0.0,0.0,0.0,5.34,1.18,0.9,2.08,1.84,12.21,3.82,4.79,2.6,-0.4,56.73,76.65,88.79,79.84,59.2,60.89,68.45
Aaron Long,us USA,Defender,LAFC,31,1992,29,28,2374,0.04,0.02,0.3,0.08,0.0,0.0,0.34,0.08,47.35,52.81,14.52,15.43,29.61,31.28,3.03,5.35,0.0,0.01,0.08,2.05,0.0,0.0,2.5,0.19,0.15,1.25,0.76,0.87,0.38,0.0,0.57,0.87,0.3,1.82,1.4,4.59,0.0,63.01,8.76,35.33,26.31,1.48,0.64,63.01,0.19,0.19,34.95,0.19,0.0,0.57,0.11,42.16,0.11,0.0,0.0,0.99,0.15,0.0,0.0,0.04,0.0,4.17,2.01,0.53,2.54,0.68,2.84,0.42,0.64,1.33,1.0,79.13,89.66,94.1,94.66,56.64,62.74,100.0
Aaron Meijers,nl NED,Defender,RKC Waalwijk,35,1987,28,27,2306,0.0,0.01,0.31,0.04,0.0,0.0,2.22,0.31,40.28,57.22,19.2,21.97,15.81,21.11,4.76,11.79,0.23,0.14,1.21,4.02,0.74,0.23,4.64,2.58,3.4,2.34,1.13,1.52,0.7,0.12,1.52,3.01,1.48,1.25,1.17,3.04,0.0,68.38,4.37,21.58,30.72,16.59,0.66,68.38,0.66,0.2,30.29,1.25,0.31,1.05,0.62,35.71,0.27,0.0,0.0,0.98,1.05,0.0,0.0,0.08,0.0,5.5,1.29,0.98,2.26,1.68,10.62,2.54,1.95,2.65,-1.0,57.08,70.39,87.39,74.89,40.37,49.53,30.3
Aaron Mejía Montoya,mx MEX,Defender,Tijuana,22,2001,11,7,708,0.0,0.01,0.64,0.0,0.0,0.0,1.14,0.0,29.24,42.33,12.46,15.25,14.36,20.21,2.16,4.58,0.0,0.04,0.64,3.18,0.51,0.38,2.92,1.78,2.92,2.54,2.03,0.89,1.27,0.38,1.14,2.03,0.89,0.64,0.76,2.67,0.0,52.63,2.03,12.71,25.68,14.87,0.38,52.63,1.02,0.25,21.86,1.65,0.0,1.14,0.38,24.92,0.13,0.0,0.0,0.51,0.51,0.13,0.0,0.0,0.0,3.31,1.65,2.29,3.94,1.53,7.63,1.14,1.27,3.18,-1.0,41.88,69.08,81.7,71.05,47.16,69.37,24.51
Aaron Nicolás Molinas,ar ARG,Forward,Defensa y Just,23,2000,24,18,1569,0.29,0.24,2.07,1.2,0.0,0.0,5.28,0.29,37.69,48.64,19.56,22.37,13.08,15.32,4.07,6.71,0.23,0.21,2.81,5.85,1.03,0.23,6.42,2.07,6.54,1.2,0.63,0.06,0.86,0.29,0.69,1.2,0.52,1.09,0.52,0.46,0.0,58.51,0.4,4.53,29.89,24.61,1.95,58.51,1.49,0.69,32.64,2.07,0.29,1.61,1.15,41.7,0.29,0.0,0.0,0.8,1.49,0.17,0.0,0.0,0.0,3.61,0.8,1.38,2.18,2.75,15.03,5.56,3.5,1.32,0.21,36.7,77.49,87.44,85.38,60.66,55.0,46.31
Aaron Quirós,ar ARG,Defender,Banfield,22,2001,15,7,741,0.0,0.01,0.36,0.12,0.0,0.0,0.49,0.0,26.72,37.89,9.35,10.57,13.97,17.25,3.28,8.87,0.0,0.0,0.12,1.46,0.24,0.12,2.31,0.24,0.61,1.09,0.85,0.85,0.12,0.12,0.49,0.85,0.36,0.85,0.97,4.25,0.12,46.88,5.47,27.45,14.94,4.74,0.36,46.88,0.36,0.24,21.74,0.12,0.0,0.36,0.36,23.56,0.24,0.12,0.0,0.73,0.61,0.0,0.0,0.12,0.0,4.25,1.46,1.09,2.55,0.73,3.16,0.49,0.73,1.34,-1.0,57.25,70.52,88.46,80.99,36.98,69.07,66.67
