Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
Abraham Romero,mx MEX,Goalkeeper,Columbus Crew,25,1998,1,1,90,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.4,2.0,6.0,32.0,2.0,3.0,7.0,0.0,1.0,0.0,0.4,100.0,33.33,0.0
Adam Beaudry,us USA,Goalkeeper,Colorado Rapids,17,2006,1,1,90,3.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,10.0,12.0,2.0,8.0,20.0,0.0,3.0,0.0,-1.0,40.0,40.0,0.0
Adrian Šemper,hr CRO,Goalkeeper,Como,25,1998,38,38,3398,1.06,3.31,2.28,0.32,0.08,0.08,0.0,0.0,0.96,3.95,10.22,24.84,3.28,4.34,14.57,1.17,0.74,0.0,-0.1,68.88,38.65,8.03
Adriel,br BRA,Goalkeeper,Bahia,23,2001,4,3,334,1.62,3.23,1.62,0.0,0.0,0.0,0.0,0.0,1.1,2.69,8.62,29.1,4.58,6.74,11.59,1.08,2.69,0.0,-0.51,50.15,31.21,9.32
Agustín Marchesín,ar ARG,Goalkeeper,br Grêmio,35,1988,36,36,3225,1.12,4.58,3.43,0.28,0.25,0.2,0.06,0.0,1.2,4.83,14.23,20.71,3.38,7.95,16.21,0.81,0.42,0.06,0.09,74.89,33.94,5.0
Agustín Rossi,ar ARG,Goalkeeper,br Flamengo,28,1995,45,45,4050,1.0,3.44,2.42,0.29,0.11,0.04,0.04,0.02,1.08,4.09,10.71,29.07,4.49,5.98,12.09,1.11,0.62,0.07,0.08,70.35,38.19,9.18
Alan Aguerre,ar ARG,Goalkeeper,Lanús,33,1990,10,10,900,1.4,4.3,2.8,0.1,0.2,0.1,0.1,0.0,1.3,6.7,17.6,19.9,2.4,9.8,17.2,0.3,0.4,0.1,-0.1,65.12,38.07,1.74
Alan Sosa,ar ARG,Goalkeeper,Tigre,27,1996,3,2,236,0.76,5.34,4.58,0.0,0.0,0.0,0.0,0.0,1.33,2.67,6.86,22.12,5.72,7.63,17.54,1.14,0.0,0.0,0.57,85.77,38.92,6.5
Alec Kann,us USA,Goalkeeper,FC Cincinnati,33,1990,3,3,270,1.33,3.33,2.0,0.0,0.0,0.0,0.0,0.0,0.9,2.67,8.33,19.67,5.33,7.67,16.33,0.0,0.0,0.0,-0.43,60.06,32.05,0.0
Alec Smir,us USA,Goalkeeper,Minnesota Utd,24,1999,3,3,270,2.0,4.33,2.33,0.0,0.0,0.0,0.0,0.0,1.77,2.67,9.67,17.33,4.0,6.67,12.33,0.33,0.67,0.0,-0.23,53.81,27.61,2.68
Alejandro Araque,ve VEN,Goalkeeper,ve Dep Táchira,28,1995,2,2,180,2.5,6.0,3.5,0.0,0.0,0.0,0.0,0.0,2.6,4.0,14.5,15.0,2.5,9.5,18.5,0.0,0.0,0.0,0.1,58.33,27.59,0.0
Alejandro Santander,cl CHI,Goalkeeper,cl Cobresal,21,2002,1,1,90,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.4,4.0,17.0,20.0,2.0,7.0,10.0,0.0,0.0,0.0,-0.6,50.0,23.53,0.0
Alessandro Micai,it ITA,Goalkeeper,Cosenza,30,1993,37,37,3296,1.12,4.07,2.92,0.27,0.11,0.05,0.05,0.0,1.17,5.68,15.76,32.74,4.18,4.61,16.14,1.09,0.96,0.05,0.05,71.74,36.04,6.75
Alex Bono,us USA,Goalkeeper,D.C. United,29,1994,29,29,2610,1.9,4.41,2.59,0.07,0.1,0.1,0.0,0.0,1.72,10.34,22.38,29.66,3.79,6.55,11.97,0.48,2.0,0.0,-0.18,58.73,46.2,4.01
Alex McCarthy,eng ENG,Goalkeeper,Southampton,33,1989,5,5,450,1.8,5.2,3.4,0.2,0.0,0.0,0.0,0.0,1.6,2.0,7.2,31.8,5.4,3.6,9.8,0.4,0.2,0.0,-0.2,65.38,27.78,4.08
Alex Palmer,eng ENG,Goalkeeper,West Brom,26,1996,46,46,4140,1.02,3.22,2.13,0.39,0.15,0.07,0.07,0.02,1.02,3.0,10.7,31.37,4.3,4.74,12.8,0.7,1.24,0.09,-0.0,66.15,28.04,5.47
Alexander Domínguez,ec ECU,Goalkeeper,ec LDU de Quito,36,1987,6,6,540,1.0,3.0,2.0,0.33,0.33,0.17,0.0,0.17,1.07,4.5,8.83,13.67,3.67,8.83,7.17,0.5,0.33,0.17,0.07,66.67,50.96,6.97
Alfonso Blanco Antúnez,mx MEX,Goalkeeper,León,36,1987,2,2,180,1.0,5.0,4.0,0.0,1.0,0.5,0.0,0.5,1.6,3.0,7.5,22.0,5.5,5.5,12.5,1.0,1.0,0.5,0.6,80.0,40.0,8.0
Alfredo Talavera,mx MEX,Goalkeeper,FC Juárez,40,1982,17,17,1469,2.02,5.27,3.25,0.0,0.18,0.18,0.0,0.0,1.81,4.72,14.09,24.81,4.47,8.76,16.17,0.55,0.55,0.0,-0.21,61.67,33.5,3.4
Alisson,br BRA,Goalkeeper,Criciúma,28,1995,6,4,421,1.5,5.34,3.85,0.0,0.0,0.0,0.0,0.0,1.52,4.7,15.82,20.95,4.7,11.54,17.96,1.07,0.21,0.0,0.02,72.1,29.71,5.96
Aljaž Ivačič,si SVN,Goalkeeper,NE Revolution,30,1993,25,25,2250,2.24,6.32,4.04,0.16,0.2,0.16,0.04,0.0,2.13,4.52,14.0,22.96,2.72,8.4,13.76,0.36,0.4,0.04,-0.11,63.92,32.29,2.62
Anatolii Trubin,ua UKR,Goalkeeper,Benfica,21,2001,28,28,2520,0.79,3.5,2.61,0.46,0.18,0.07,0.11,0.0,1.05,1.82,4.86,19.07,4.07,6.57,10.64,0.46,0.57,0.11,0.26,74.57,37.45,4.32
Anderson,br BRA,Goalkeeper,Cruzeiro,25,1998,17,17,1530,1.29,4.24,3.0,0.35,0.06,0.06,0.0,0.0,1.35,1.88,5.82,20.29,4.47,7.35,14.06,0.65,0.65,0.0,0.05,70.75,32.3,4.62
Andre Blake,jm JAM,Goalkeeper,Philadelphia Union,33,1990,14,14,1112,1.13,4.29,3.24,0.24,0.0,0.0,0.0,0.0,1.25,3.32,8.01,16.35,4.29,6.88,14.33,0.65,0.57,0.0,0.12,75.52,41.45,4.54
Andrea Fulignati,it ITA,Goalkeeper,Catanzaro,28,1994,37,37,3330,1.27,4.41,3.14,0.27,0.19,0.16,0.03,0.0,1.39,4.54,12.65,48.68,4.35,4.14,15.89,0.86,0.65,0.03,0.12,71.2,35.89,5.41
Andrea Sala,it ITA,Goalkeeper,Catanzaro,29,1993,1,1,90,3.0,9.0,6.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,6.0,43.0,2.0,4.0,13.0,0.0,3.0,0.0,2.0,66.67,16.67,0.0
Andrea Seculin,it ITA,Goalkeeper,Modena,33,1990,17,16,1487,1.39,3.81,2.36,0.18,0.24,0.18,0.06,0.0,1.33,4.42,11.74,30.38,2.24,4.66,13.92,0.48,0.61,0.06,-0.06,61.94,37.65,3.45
Andreas Jungdal,dk DEN,Goalkeeper,Cremonese,21,2002,18,18,1620,0.72,3.44,2.72,0.56,0.06,0.06,0.0,0.0,0.88,3.44,9.78,29.72,5.83,4.61,12.89,1.06,0.83,0.0,0.16,79.07,35.17,8.22
Andrew,br BRA,Goalkeeper,Gil Vicente FC,22,2001,32,32,2880,1.44,4.47,3.03,0.28,0.22,0.16,0.06,0.0,1.37,3.78,12.25,25.75,4.72,9.47,14.69,0.84,1.22,0.06,-0.07,67.79,30.86,5.72
