Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency
Abraham Romero,MEX,Goalkeeper,Columbus Crew,,1998,1,1,90,0,3,3,1,0,0,0,0,0.4,2,6,32,2,3,7,0,1,0,0.4
Adam Beaudry,USA,Goalkeeper,Colorado Rapids,,2006,1,1,90,3,5,2,0,1,1,0,0,2.0,4,10,12,2,8,20,0,3,0,-1.0
Adrian Šemper,CRO,Goalkeeper,Como,,1998,38,38,3398,40,125,86,12,3,3,0,0,36.2,149,386,938,124,164,550,44,28,0,-3.799999999999997
Adriel,BRA,Goalkeeper,Bahia,,2001,4,3,334,6,12,6,0,0,0,0,0,4.1,10,32,108,17,25,43,4,10,0,-1.9000000000000004
Agustín Marchesín,ARG,Goalkeeper,br Grêmio,,1988,36,36,3225,40,164,123,10,9,7,2,0,43.099999999999994,173,510,742,121,285,581,29,15,2,3.099999999999998
Agustín Rossi,ARG,Goalkeeper,br Flamengo,,1995,45,45,4050,45,155,109,13,5,2,2,1,48.7,184,482,1308,202,269,544,50,28,3,3.700000000000001
Alan Aguerre,ARG,Goalkeeper,Lanús,,1990,10,10,900,14,43,28,1,2,1,1,0,13.0,67,176,199,24,98,172,3,4,1,-1.0
Alan Sosa,ARG,Goalkeeper,Tigre,,1996,3,2,236,2,14,12,0,0,0,0,0,3.5,7,18,58,15,20,46,3,0,0,1.5
Alec Kann,USA,Goalkeeper,FC Cincinnati,,1990,3,3,270,4,10,6,0,0,0,0,0,2.7,8,25,59,16,23,49,0,0,0,-1.2999999999999998
Alec Smir,USA,Goalkeeper,Minnesota Utd,,1999,3,3,270,6,13,7,0,0,0,0,0,5.3,8,29,52,12,20,37,1,2,0,-0.7000000000000002
