Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
Abraham Romero,mx MEX,Goalkeeper,Columbus Crew,25,1998,1,1,90,97,12,55,98,15,18,36,43,3,6,5,83,6,3,2,6,65,31,92,98,38,6
Adam Beaudry,us USA,Goalkeeper,Colorado Rapids,17,2006,1,1,90,3,74,14,11,98,98,36,43,90,43,27,1,6,62,93,6,97,31,2,3,73,6
Adrian Šemper,hr CRO,Goalkeeper,Como,25,1998,38,38,3398,69,18,21,71,41,54,36,43,17,40,29,51,23,8,58,82,48,31,36,50,64,80
Adriel,br BRA,Goalkeeper,Bahia,23,2001,4,3,334,31,17,8,11,15,18,36,43,29,14,17,71,61,35,20,75,97,31,9,9,29,88
Agustín Marchesín,ar ARG,Goalkeeper,br Grêmio,35,1988,36,36,3225,65,59,74,63,85,86,88,43,38,59,65,27,25,60,76,52,25,83,67,79,42,43
Agustín Rossi,ar ARG,Goalkeeper,br Flamengo,28,1995,45,45,4050,77,21,26,66,49,41,83,88,26,45,33,70,57,23,23,77,38,86,66,59,63,87
Alan Aguerre,ar ARG,Goalkeeper,Lanús,33,1990,10,10,900,45,48,44,27,77,59,94,43,45,86,83,21,10,87,85,16,24,91,36,30,62,14
Alan Sosa,ar ARG,Goalkeeper,Tigre,27,1996,3,2,236,90,82,94,11,15,18,36,43,50,13,8,35,86,52,87,80,6,31,95,95,67,61
Alec Kann,us USA,Goalkeeper,FC Cincinnati,33,1990,3,3,270,50,19,14,11,15,18,36,43,14,13,15,20,79,54,76,6,6,31,11,17,32,6
Alec Smir,us USA,Goalkeeper,Minnesota Utd,24,1999,3,3,270,15,50,23,11,15,18,36,43,82,13,26,10,43,33,26,17,42,31,20,10,17,19
Alejandro Araque,ve VEN,Goalkeeper,ve Dep Táchira,28,1995,2,2,180,5,91,76,11,15,18,36,43,96,43,67,4,11,85,90,6,6,31,68,14,17,6
Alejandro Santander,cl CHI,Goalkeeper,cl Cobresal,21,2002,1,1,90,15,38,14,11,15,18,36,43,56,43,80,21,6,42,8,6,6,31,7,7,8,6
Alessandro Micai,it ITA,Goalkeeper,Cosenza,30,1993,37,37,3296,65,42,49,61,49,44,86,43,35,74,74,85,51,11,76,76,61,79,62,65,52,63
Alex Bono,us USA,Goalkeeper,D.C. United,29,1994,29,29,2610,19,53,33,25,46,59,36,43,81,97,94,74,36,30,22,24,92,31,24,14,90,30
Alex McCarthy,eng ENG,Goalkeeper,Southampton,33,1989,5,5,450,23,78,73,44,15,18,36,43,71,6,10,83,80,5,8,20,15,31,22,32,18,31
