Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped
Aaron Ramsdale,ENG,Arsenal,"English Premier League, UEFA Champions League",GK,Goalkeeper,25,630,2.71,0.86,1.86,0.69,-0.17,0.29,3.14,11.14,28.43,4.71,911.23,3.86,154.11,8.43,1.14,1.29,28.14,1,68.63,28.19,13.52
Aarón Escandell,ESP,Las Palmas,Spanish La Liga,GK,Goalkeeper,28,153,2.35,1.76,0.59,1.41,-0.35,0.0,5.29,15.29,42.94,5.88,1305.41,7.06,291.35,14.12,0.59,2.35,44.24,1,25.11,34.6,4.18
Aitor Fernández,ESP,Osasuna,Spanish La Liga,GK,Goalkeeper,33,551,3.27,1.47,1.8,1.01,-0.46,0.16,7.68,18.46,28.42,3.1,1208.91,3.59,178.66,11.27,0.16,2.45,71.74,1,55.05,41.6,1.42
Alaa Bellaarouch,MAR,Strasbourg,French Ligue 1,GK,Goalkeeper,22,1350,4.2,1.73,2.47,1.33,-0.4,0.13,3.73,12.2,29.33,3.8,1008.74,4.07,146.34,13.53,1.27,1.4,25.73,1,58.81,30.57,9.39
Alban Lafont,FRA,Nantes,French Ligue 1,GK,Goalkeeper,25,2496,4.25,1.55,2.7,1.52,-0.03,0.25,4.44,13.99,30.25,5.23,1028.23,5.99,280.73,13.88,1.19,1.19,20.15,1,63.53,31.74,8.57
Alberto Brignoli,ITA,Panathinaikos,UEFA Europa League,GK,Goalkeeper,32,450,5.0,1.6,3.4,1.82,0.22,0.4,3.6,11.8,28.4,3.8,999.56,2.4,128.82,10.2,1.0,1.2,20.28,1,68.0,30.51,9.8
Alessandro Sorrentino,ITA,Monza,Italian Serie A,GK,Goalkeeper,22,548,5.26,2.63,2.63,2.35,-0.28,0.0,2.96,9.2,24.8,4.76,758.97,6.9,248.93,10.18,0.49,0.49,10.43,1,50.0,32.17,4.81
Alessio Cragno,ITA,Sassuolo,Italian Serie A,GK,Goalkeeper,29,270,4.67,2.33,2.67,1.73,-0.6,0.0,5.67,15.0,26.0,3.67,984.3,7.33,223.77,12.33,1.0,2.67,70.23,1,57.17,37.8,8.11
Alex Meret,ITA,Napoli,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,27,3493,3.84,1.37,2.45,1.26,-0.14,0.18,2.01,5.67,25.07,4.07,692.12,5.2,157.81,11.77,0.31,0.98,18.57,1,63.8,35.45,2.63
Alexander Brunst,GER,Darmstadt 98,German Bundesliga,GK,Goalkeeper,28,270,5.67,3.33,2.33,2.07,-1.27,0.0,11.0,24.0,43.0,4.33,1549.9,7.0,417.5,17.0,1.0,3.0,64.27,1,41.09,45.83,5.88
Alexander Meyer,GER,Dortmund,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,33,785,3.55,1.15,2.52,1.03,-0.11,0.34,3.78,10.78,43.11,3.9,1228.45,4.47,185.92,14.56,1.15,0.8,19.55,1,70.99,35.06,7.9
Alexander Nübel,GER,Stuttgart,German Bundesliga,GK,Goalkeeper,27,2700,3.57,1.2,2.47,1.02,-0.18,0.37,4.2,9.7,36.77,4.4,1055.28,3.73,122.21,11.37,1.0,1.9,39.58,1,69.19,43.3,8.8
Alexander Schlager,AUT,RB Salzburg,UEFA Champions League,GK,Goalkeeper,27,540,5.5,1.33,4.17,1.6,0.27,0.33,5.5,14.33,35.0,3.33,1170.8,7.67,298.25,14.5,0.5,1.17,19.52,1,75.82,38.38,3.45
Alexander Schwolow,GER,Union Berlin,German Bundesliga,GK,Goalkeeper,31,90,6.0,2.0,4.0,1.2,-0.8,0.0,4.0,10.0,28.0,4.0,954.8,8.0,227.2,13.0,0.0,0.0,0.0,1,66.67,40.0,0.0
Alexandre Oukidja,ALG,Metz,French Ligue 1,GK,Goalkeeper,35,2987,5.57,1.72,3.86,1.57,-0.17,0.18,6.3,20.07,21.15,3.77,898.38,8.8,519.26,17.14,1.39,0.66,9.67,1,69.3,31.39,8.11
