Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped
Aaron Ramsdale,ENG,Arsenal,"English Premier League, UEFA Champions League",GK,Goalkeeper,25,630,6,87,10,5,37,67,25,36,48,62,41,9,17,7,80,68,72,1,56,20,96
Aarón Escandell,ESP,Las Palmas,Spanish La Liga,GK,Goalkeeper,28,153,5,34,4,50,21,14,67,65,94,87,88,61,60,59,38,92,91,1,3,46,33
Aitor Fernández,ESP,Osasuna,Spanish La Liga,GK,Goalkeeper,33,551,13,53,9,20,15,38,89,81,47,16,81,7,25,25,14,93,97,1,14,80,15
Alaa Bellaarouch,MAR,Strasbourg,French Ligue 1,GK,Goalkeeper,22,1350,40,36,28,43,18,36,37,44,53,36,61,12,14,52,85,74,68,1,20,26,85
Alban Lafont,FRA,Nantes,French Ligue 1,GK,Goalkeeper,25,2496,42,48,38,58,55,60,51,55,60,77,64,40,57,54,82,62,58,1,34,31,79
Alberto Brignoli,ITA,Panathinaikos,UEFA Europa League,GK,Goalkeeper,32,450,64,46,67,75,84,81,35,41,47,36,60,3,11,16,70,63,59,1,52,26,87
Alessandro Sorrentino,ITA,Monza,Italian Serie A,GK,Goalkeeper,22,548,69,10,34,91,28,14,20,19,25,64,16,57,47,16,30,22,29,1,9,33,43
Alessio Cragno,ITA,Sassuolo,Italian Serie A,GK,Goalkeeper,29,270,56,15,36,72,11,14,74,61,33,30,57,64,41,37,70,94,97,1,17,64,75
Alex Meret,ITA,Napoli,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,27,3493,26,57,27,37,41,44,10,5,28,44,10,25,18,30,20,49,52,1,36,50,20
Alexander Brunst,GER,Darmstadt 98,German Bundesliga,GK,Goalkeeper,28,270,76,5,23,85,3,14,96,92,94,50,95,59,82,84,70,96,96,1,5,91,53
Alexander Meyer,GER,Dortmund,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,33,785,19,73,31,21,43,77,39,33,94,39,83,16,28,64,80,40,56,1,68,48,72
Alexander Nübel,GER,Stuttgart,German Bundesliga,GK,Goalkeeper,27,2700,20,68,28,20,35,79,49,25,85,52,66,9,10,26,70,86,88,1,59,86,81
Alexander Schlager,AUT,RB Salzburg,UEFA Champions League,GK,Goalkeeper,27,540,73,60,86,65,86,75,71,57,77,21,77,68,62,63,33,61,56,1,84,66,26
Alexander Schwolow,GER,Union Berlin,German Bundesliga,GK,Goalkeeper,31,90,83,23,83,32,6,14,44,28,45,41,50,74,42,44,6,6,6,1,46,73,6
