Player,Nationality,Team,League,Position,General Position,Age,Minutes,Goals,Assists,Shots Total,Shots on Target,Expected Goals (xG),Non-Penalty Expected Goals (npxG),Penalty Kicks Made,Penalty Kicks Attempted,Shot-Creating Actions (SCA),Goal-Creating Actions (GCA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Crosses,Expected Assists (xA),Expected Assisted Goals (xAG),Passes Completed,Passes Attempted,Progressive Passes,Through Balls,Switches,Passes Blocked,Passes Offside,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Passing Distance (Total),Progressive Passing Distance (Total),Progressive Runs,Carries,Progressive Carries,Carrying Distance (Total),Progressive Carrying Distance (Total),Carries into Final Third,Carries into Penalty Area,Take-Ons Attempted,Successful Take-Ons,Times Tackled During Take-On,Tackles,Tackles Won,Tackles in Defensive Third,Tackles in Middle Third,Tackles in Attacking Third,Dribblers Tackled,Dribbles Challenged,Challenges Lost,Interceptions,Blocks,Shots Blocked,Clearances,Errors Leading to Shot,Ball Recoveries,Miscontrols,Dispossessed,Ball Losses,Passes Received,Progressive Passes Received,Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Live-Ball Touches,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalties Kicks Conceded,Penalties Kicks Won,Own Goals,Aerials Won,Aerials Lost,Total Aerials,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels Won,Efficiency,Matches,% Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons
Aapo Halme,FIN,HJK,UEFA Europa Conference League,CB,Defender,25,265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.72,0.0,0.0,0.0,0.0,0.0,43.47,49.92,3.06,0.0,1.02,0.0,0.34,48.57,1.02,1.02,15.62,16.64,22.42,22.75,5.43,9.85,854.15,323.32,0.0,32.26,0.0,106.98,36.34,0.0,0.0,0.0,0.0,0.0,1.36,0.34,0.34,0.0,1.02,1.36,1.7,0.34,1.02,2.04,1.7,5.43,0.0,2.38,0.34,0.0,0.34,43.47,0.0,60.79,15.28,36.0,22.08,2.72,1.02,60.79,0.0,0.0,0.0,0.34,0.34,0.0,0.0,0.0,0.0,1.7,1.02,2.72,3.06,0.0,1.02,2.04,0.0,1,0.0,62.5,0.0,93.87,98.55,55.13,75.0,0.0
Aaron Cresswell,ENG,West Ham,"English Premier League, UEFA Europa League",LB,Defender,34,852,0.11,0.0,0.11,0.11,0.01,0.01,0.0,0.0,2.11,0.21,0.74,3.59,0.63,0.11,2.43,0.06,0.06,51.23,61.58,4.86,0.0,0.42,0.95,0.11,51.02,10.46,1.27,27.15,29.26,18.7,21.76,4.33,8.45,835.99,316.58,1.06,37.61,1.06,133.2,61.8,1.27,0.0,0.21,0.0,0.21,0.74,0.53,0.32,0.32,0.11,0.42,0.63,0.21,0.53,0.74,0.32,1.8,0.11,2.96,0.11,0.42,0.53,44.37,2.22,66.97,3.17,22.39,30.53,14.15,0.42,66.97,0.21,0.0,0.0,0.42,0.32,0.11,0.0,0.0,0.0,1.27,0.95,2.22,9.19,2.32,1.16,1.16,0.1,1,0.11,57.21,0.0,92.79,85.94,51.24,100.0,0.0
Aaron Hickey,SCO,Brentford,English Premier League,RB,Defender,21,713,0.0,0.0,0.88,0.13,0.01,0.01,0.0,0.0,0.88,0.0,0.13,1.26,0.25,0.0,0.63,0.01,0.01,30.67,34.96,2.65,0.13,0.38,0.88,0.0,32.06,2.9,0.38,16.91,17.67,11.61,13.38,1.77,2.52,481.3,112.85,1.14,26.76,1.14,139.73,63.74,0.38,0.13,1.77,0.63,0.63,2.02,1.14,1.14,0.38,0.5,0.88,0.88,0.0,0.38,0.88,0.38,1.26,0.0,5.3,1.77,0.63,2.4,28.4,1.64,44.94,3.16,16.66,19.57,9.59,0.88,44.94,0.63,0.0,0.0,1.26,2.02,0.0,0.0,0.0,0.0,0.13,1.14,1.26,6.56,0.88,1.26,2.02,-0.01,1,0.0,10.32,0.0,95.7,86.77,70.24,69.66,35.59
Aaron Malouda,FRA,Lille,"French Ligue 1, UEFA Europa Conference League",LW,Forward,17,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,6.67,3.33,0.0,0.0,0.0,0.0,40.0,43.33,10.0,0.0,3.33,0.0,0.0,43.33,0.0,0.0,20.0,23.33,13.33,13.33,6.67,6.67,763.33,190.0,3.33,53.33,3.33,356.67,193.33,0.0,0.0,6.67,6.67,0.0,3.33,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,10.0,0.0,10.0,50.0,13.33,56.67,0.0,6.67,10.0,40.0,6.67,56.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,3.33,10.0,0.0,0.0,1,0.0,0.0,0.0,85.73,100.0,100.0,0.0,100.0
Aaron Ramsey,ENG,Burnley,English Premier League,RM,Midfielder,21,527,0.0,0.0,1.02,0.34,0.05,0.05,0.0,0.0,0.85,0.0,0.17,1.2,0.34,0.0,0.34,0.07,0.07,20.15,25.79,1.37,0.17,0.0,1.54,0.17,24.08,1.54,0.17,12.13,14.35,6.32,7.86,1.54,1.71,316.96,38.25,1.37,19.98,1.37,87.78,28.69,0.85,0.68,1.71,0.51,1.02,2.9,2.39,1.2,0.85,0.85,1.37,2.73,1.37,0.17,1.88,0.34,1.71,0.0,4.1,1.88,1.71,3.59,24.25,2.9,38.94,2.56,10.76,17.42,11.1,1.54,38.94,0.17,0.0,0.0,1.2,0.51,0.17,0.17,0.0,0.0,0.68,0.85,1.54,7.0,0.85,2.56,5.12,-0.05,1,0.0,44.16,0.0,84.53,80.41,90.06,119.91,29.82
Aaron Seydel,GER,Darmstadt 98,German Bundesliga,AM,Forward,28,619,0.15,0.0,2.04,0.87,0.15,0.15,0.0,0.0,1.89,0.15,1.31,1.31,0.15,0.0,0.15,0.07,0.1,15.99,27.63,1.45,0.0,0.0,1.02,0.29,25.59,1.74,0.0,9.6,14.39,4.8,9.45,0.58,0.87,223.18,36.93,1.02,17.88,1.02,65.57,17.01,0.44,0.44,1.6,0.44,1.02,0.44,0.29,0.0,0.29,0.15,0.0,0.44,0.44,0.15,1.16,0.29,1.31,0.0,2.04,3.78,1.74,5.53,31.11,5.09,41.15,1.89,2.91,19.77,18.61,4.51,41.15,0.15,0.0,0.0,1.31,1.02,0.29,0.0,0.0,0.0,6.54,4.51,11.05,8.58,2.04,5.09,0.73,0.0,1,0.15,59.19,0.0,66.71,50.79,66.67,165.91,27.5
Aaron Wan-Bissaka,ENG,Manchester Utd,"English Premier League, UEFA Champions League",RB,Defender,26,1992,0.0,0.14,0.14,0.05,0.0,0.0,0.0,0.0,1.31,0.23,0.63,2.48,0.77,0.14,0.77,0.06,0.09,41.84,49.74,3.93,0.0,0.05,1.27,0.09,42.02,7.64,0.32,27.24,30.23,12.15,14.19,1.04,2.08,549.13,180.63,1.49,30.23,1.49,152.17,72.97,1.36,0.27,1.67,0.86,0.54,2.21,1.36,0.95,1.08,0.18,0.9,1.22,0.32,2.3,1.36,0.68,3.48,0.05,4.88,1.17,0.5,1.67,34.74,2.62,62.12,4.47,21.82,27.2,13.87,1.22,62.12,0.23,0.0,0.0,0.9,0.5,0.0,0.05,0.0,0.0,0.99,0.9,1.9,9.53,1.54,2.39,2.58,0.0,1,0.0,52.11,0.0,90.11,85.62,50.0,82.96,51.5
Aarón Martín,ESP,Genoa,Italian Serie A,WB,Midfielder,27,1376,0.0,0.07,0.33,0.0,0.01,0.01,0.0,0.0,2.16,0.13,1.7,1.7,1.05,0.72,6.93,0.11,0.09,28.19,40.49,2.29,0.0,0.13,1.44,0.33,32.38,7.78,1.05,12.75,14.13,11.05,14.85,3.53,8.37,506.77,178.36,1.83,24.0,1.83,120.28,63.58,1.37,0.2,0.78,0.39,0.39,1.37,0.65,0.46,0.65,0.26,0.59,1.44,0.85,0.59,0.78,0.26,0.98,0.0,3.14,0.78,0.26,1.05,28.26,4.71,45.98,1.7,10.86,18.84,16.68,0.65,45.98,0.26,0.07,0.07,1.5,1.11,0.13,0.0,0.0,0.0,0.52,0.72,1.24,10.66,2.29,2.62,2.09,-0.01,1,0.0,41.94,0.0,90.23,74.41,42.17,106.63,50.0
Abakar Sylla,CIV,Strasbourg,French Ligue 1,CB,Defender,21,1792,0.1,0.0,0.55,0.25,0.08,0.08,0.0,0.0,0.7,0.05,0.25,2.61,0.2,0.0,0.15,0.01,0.02,55.8,63.58,3.62,0.0,0.35,0.25,0.05,59.56,3.97,1.51,21.9,23.76,28.48,31.04,4.07,6.98,992.86,336.4,0.4,53.24,0.4,301.29,161.47,0.55,0.0,0.65,0.45,0.2,2.71,1.16,1.51,0.95,0.25,1.46,2.01,0.55,1.31,2.01,0.55,3.52,0.1,6.23,0.7,0.35,1.05,48.31,0.1,74.83,10.09,36.01,36.61,2.81,0.9,74.83,0.2,0.0,0.0,1.51,0.2,0.05,0.0,0.0,0.05,1.61,1.05,2.66,4.52,0.75,1.1,3.16,0.02,1,0.1,60.53,0.0,92.17,91.75,58.31,75.78,69.23
Abat Ajymbetow,KAZ,Astana FK,UEFA Europa Conference League,AM,Forward,28,99,0.0,0.0,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,6.36,8.18,1.82,0.0,0.0,0.0,0.0,8.18,0.0,0.0,3.64,4.55,1.82,1.82,0.0,0.0,74.55,22.73,0.0,13.64,0.0,73.64,14.55,1.82,0.91,2.73,0.91,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73,0.0,0.91,0.0,1.82,4.55,0.0,4.55,14.55,4.55,21.82,0.91,0.91,8.18,12.73,2.73,21.82,0.0,0.0,0.0,2.73,0.0,0.0,0.0,0.0,0.0,0.0,4.55,4.55,6.36,0.0,4.55,0.0,0.0,1,0.0,0.0,0.0,80.0,100.0,0.0,0.0,33.33
