Game Week,Home Team,Away Team,Score,Attendance,Venue,Referee,Date,URL
J1,Nice,Lille,1–1,"29,436",Stade de Nice,Benoît Bastien,2023-08-11,https://fbref.com/en/matches/ff59d311/Nice-Lille-August-11-2023-Ligue-1
J1,Marseille,Reims,2–1,"63,787",Orange Vélodrome,Eric Wattellier,2023-08-12,https://fbref.com/en/matches/fdbcc9e3/Marseille-Reims-August-12-2023-Ligue-1
J1,Paris S-G,Lorient,0–0,"47,000",Parc des Princes,Bastien Dechepy,2023-08-12,https://fbref.com/en/matches/2e85b460/Paris-Saint-Germain-Lorient-August-12-2023-Ligue-1
J1,Brest,Lens,3–2,"15,085",Stade Francis-Le Blé,Jérémie Pignard,2023-08-13,https://fbref.com/en/matches/6e29d5a3/Brest-Lens-August-13-2023-Ligue-1
J1,Montpellier,Le Havre,2–2,"15,852",Stade de la Mosson,Clément Turpin,2023-08-13,https://fbref.com/en/matches/ca893ead/Montpellier-Le-Havre-August-13-2023-Ligue-1
J1,Clermont Foot,Monaco,2–4,"10,453",Stade Gabriel Montpied,François Letexier,2023-08-13,https://fbref.com/en/matches/68752280/Clermont-Foot-Monaco-August-13-2023-Ligue-1
J1,Nantes,Toulouse,1–2,"30,578",Stade de la Beaujoire - Louis Fonteneau,Willy Delajod,2023-08-13,https://fbref.com/en/matches/1e12937d/Nantes-Toulouse-August-13-2023-Ligue-1
J1,Rennes,Metz,5–1,"26,065",Roazhon Park,Jeremy Stinat,2023-08-13,https://fbref.com/en/matches/e0073aaf/Rennes-Metz-August-13-2023-Ligue-1
J1,Strasbourg,Lyon,2–1,"25,410",Stade de la Meinau,Jérôme Brisard,2023-08-13,https://fbref.com/en/matches/9f7c605e/Strasbourg-Lyon-August-13-2023-Ligue-1
J2,Metz,Marseille,2–2,"26,661",Stade Saint-Symphorien,Jérôme Brisard,2023-08-18,https://fbref.com/en/matches/02c81085/Metz-Marseille-August-18-2023-Ligue-1
J2,Lyon,Montpellier,1–4,"42,576",Groupama Stadium,Mathieu Vernice,2023-08-19,https://fbref.com/en/matches/39ad4054/Lyon-Montpellier-August-19-2023-Ligue-1
J2,Toulouse,Paris S-G,1–1,"27,332",Stadium Municipal,Thomas Léonard,2023-08-19,https://fbref.com/en/matches/fad8e14d/Toulouse-Paris-Saint-Germain-August-19-2023-Ligue-1
J2,Lille,Nantes,2–0,"34,356",Decathlon Arena - Stade Pierre-Mauroy,Pierre Gaillouste,2023-08-20,https://fbref.com/en/matches/31fe99c8/Lille-Nantes-August-20-2023-Ligue-1
J2,Reims,Clermont Foot,2–0,"12,887",Stade Auguste-Delaune,Romain Lissorgue,2023-08-20,https://fbref.com/en/matches/4b9f0040/Reims-Clermont-Foot-August-20-2023-Ligue-1
J2,Le Havre,Brest,1–2,"19,574",Stade Océane,Florent Batta,2023-08-20,https://fbref.com/en/matches/680c6c1d/Le-Havre-Brest-August-20-2023-Ligue-1
J2,Lorient,Nice,1–1,"15,848",Stade du Moustoir,Hakim Ben El Hadj Salem,2023-08-20,https://fbref.com/en/matches/f6d67175/Lorient-Nice-August-20-2023-Ligue-1
J2,Monaco,Strasbourg,3–0,"10,100",Stade Louis II,Ruddy Buquet,2023-08-20,https://fbref.com/en/matches/f06d0bce/Monaco-Strasbourg-August-20-2023-Ligue-1
J2,Lens,Rennes,1–1,"37,233",Stade Bollaert-Delelis,Benoît Millot,2023-08-20,https://fbref.com/en/matches/283d8d62/Lens-Rennes-August-20-2023-Ligue-1
J3,Nantes,Monaco,3–3,"28,429",Stade de la Beaujoire - Louis Fonteneau,Jérémie Pignard,2023-08-25,https://fbref.com/en/matches/ea724bc0/Nantes-Monaco-August-25-2023-Ligue-1
J3,Marseille,Brest,2–0,"63,592",Orange Vélodrome,Jeremy Stinat,2023-08-26,https://fbref.com/en/matches/b9c29ee4/Marseille-Brest-August-26-2023-Ligue-1
J3,Paris S-G,Lens,3–1,"47,864",Parc des Princes,François Letexier,2023-08-26,https://fbref.com/en/matches/d3db871d/Paris-Saint-Germain-Lens-August-26-2023-Ligue-1
