Game Week,Home Team,Away Team,Score,Attendance,Venue,Referee,Date,URL
J1,Werder Bremen,Bayern Munich,0–4,"42,100",Wohninvest Weserstadion,Felix Zwayer,2023-08-18,https://fbref.com/en/matches/97218e9f/Werder-Bremen-Bayern-Munich-August-18-2023-Bundesliga
J1,Wolfsburg,Heidenheim,2–0,"22,620",Volkswagen Arena,Florian Badstübner,2023-08-19,https://fbref.com/en/matches/3b6337dc/Wolfsburg-Heidenheim-August-19-2023-Bundesliga
J1,Stuttgart,Bochum,5–0,"53,000",MHPArena,Daniel Siebert,2023-08-19,https://fbref.com/en/matches/8fe3b615/Stuttgart-Bochum-August-19-2023-Bundesliga
J1,Augsburg,Gladbach,4–4,"30,660",WWK Arena,Daniel Schlager,2023-08-19,https://fbref.com/en/matches/aac55b7f/Augsburg-Monchengladbach-August-19-2023-Bundesliga
J1,Hoffenheim,Freiburg,1–2,"25,890",PreZero Arena,Sven Jablonski,2023-08-19,https://fbref.com/en/matches/d1a443e5/Hoffenheim-Freiburg-August-19-2023-Bundesliga
J1,Leverkusen,RB Leipzig,3–2,"29,464",BayArena,Felix Brych,2023-08-19,https://fbref.com/en/matches/063d7b6b/Bayer-Leverkusen-RB-Leipzig-August-19-2023-Bundesliga
J1,Dortmund,Köln,1–0,"81,365",Signal Iduna Park,Deniz Aytekin,2023-08-19,https://fbref.com/en/matches/c05c14ef/Dortmund-Koln-August-19-2023-Bundesliga
J1,Union Berlin,Mainz 05,4–1,"22,012",Stadion An der Alten Försterei,Tobias Stieler,2023-08-20,https://fbref.com/en/matches/d6f1201f/Union-Berlin-Mainz-05-August-20-2023-Bundesliga
J1,Eint Frankfurt,Darmstadt 98,1–0,"54,000",Deutsche Bank Park,Harm Osmers,2023-08-20,https://fbref.com/en/matches/60fc3feb/Eintracht-Frankfurt-Darmstadt-98-August-20-2023-Bundesliga
J2,RB Leipzig,Stuttgart,5–1,"46,084",Red Bull Arena,Frank Willenborg,2023-08-25,https://fbref.com/en/matches/195113d1/RB-Leipzig-Stuttgart-August-25-2023-Bundesliga
J2,Freiburg,Werder Bremen,1–0,"34,700",Europa-Park Stadion,Benjamin Brand,2023-08-26,https://fbref.com/en/matches/4ffd6c40/Freiburg-Werder-Bremen-August-26-2023-Bundesliga
J2,Bochum,Dortmund,1–1,"26,000",Vonovia Ruhrstadion,Robert Schröder,2023-08-26,https://fbref.com/en/matches/02deea82/Bochum-Dortmund-August-26-2023-Bundesliga
J2,Heidenheim,Hoffenheim,2–3,"15,000",Voith-Arena,Robert Hartmann,2023-08-26,https://fbref.com/en/matches/95224afe/Heidenheim-Hoffenheim-August-26-2023-Bundesliga
J2,Köln,Wolfsburg,1–2,"49,500",RheinEnergieSTADION,Matthias Jöllenbeck,2023-08-26,https://fbref.com/en/matches/6ce17247/Koln-Wolfsburg-August-26-2023-Bundesliga
J2,Darmstadt 98,Union Berlin,1–4,"17,810",Merck-Stadion am Böllenfalltor,Patrick Ittrich,2023-08-26,https://fbref.com/en/matches/0fb64fd7/Darmstadt-98-Union-Berlin-August-26-2023-Bundesliga
J2,Gladbach,Leverkusen,0–3,"54,042",Stadion im Borussia-Park,Christian Dingert,2023-08-26,https://fbref.com/en/matches/3f7b87b9/Monchengladbach-Bayer-Leverkusen-August-26-2023-Bundesliga
J2,Mainz 05,Eint Frankfurt,1–1,"33,305",Mewa Arena,Bastian Dankert,2023-08-27,https://fbref.com/en/matches/53e372dd/Mainz-05-Eintracht-Frankfurt-August-27-2023-Bundesliga
