Game Week,Home Team,Away Team,Score,Attendance,Venue,Referee,Date,URL
J1,Young Boys,RB Leipzig,1–3,"31,500",Stadion Wankdorf,Enea Jorgji,2023-09-19,https://fbref.com/en/matches/d916f357/Young-Boys-RB-Leipzig-September-19-2023-Champions-League
J1,Milan,Newcastle Utd,0–0,"65,695",Stadio Giuseppe Meazza,José Sánchez,2023-09-19,https://fbref.com/en/matches/19789895/Milan-Newcastle-United-September-19-2023-Champions-League
J1,Manchester City,Red Star,3–1,"50,204",Etihad Stadium,João Pinheiro,2023-09-19,https://fbref.com/en/matches/3d87750d/Manchester-City-Red-Star-September-19-2023-Champions-League
J1,Barcelona,Antwerp,5–0,"40,989",Estadi Olímpic Lluís Companys,Radu Petrescu,2023-09-19,https://fbref.com/en/matches/c9d2ec0f/Barcelona-Antwerp-September-19-2023-Champions-League
J1,Paris S-G,Dortmund,2–0,"47,379",Parc des Princes,Jesús Gil,2023-09-19,https://fbref.com/en/matches/0c9b1473/Paris-Saint-Germain-Dortmund-September-19-2023-Champions-League
J1,Lazio,Atlético Madrid,1–1,"46,168",Stadio Olimpico,Slavko Vinčič,2023-09-19,https://fbref.com/en/matches/3488c6c3/Lazio-Atletico-Madrid-September-19-2023-Champions-League
J1,Feyenoord,Celtic,2–0,"44,008",Stadion Feijenoord,Irfan Peljto,2023-09-19,https://fbref.com/en/matches/92fc6a26/Feyenoord-Celtic-September-19-2023-Champions-League
J1,Shakhtar,Porto,1–3,"46,729",Volksparkstadion,Davide Massa,2023-09-19,https://fbref.com/en/matches/13992d54/Shakhtar-Donetsk-Porto-September-19-2023-Champions-League
J1,Real Madrid,Union Berlin,1–0,"65,207",Estadio Santiago Bernabéu,Espen Eskås,2023-09-20,https://fbref.com/en/matches/17349d13/Real-Madrid-Union-Berlin-September-20-2023-Champions-League
J1,Galatasaray,FC Copenhagen,2–2,"46,911",RAMS Park,Georgi Kabakov,2023-09-20,https://fbref.com/en/matches/986eb717/Galatasaray-FC-Copenhagen-September-20-2023-Champions-League
J1,Benfica,RB Salzburg,0–2,"60,917",Estádio do Sport Lisboa e Benfica,Halil Umut Meler,2023-09-20,https://fbref.com/en/matches/e2058a42/Benfica-Red-Bull-Salzburg-September-20-2023-Champions-League
J1,Braga,Napoli,1–2,"18,422",Estádio Municipal de Braga,Serdar Gözübüyük,2023-09-20,https://fbref.com/en/matches/8d09f839/Braga-Napoli-September-20-2023-Champions-League
J1,Arsenal,PSV Eindhoven,4–0,"58,860",Emirates Stadium,Felix Zwayer,2023-09-20,https://fbref.com/en/matches/9928de4e/Arsenal-PSV-Eindhoven-September-20-2023-Champions-League
J1,Real Sociedad,Inter,1–1,"36,591",Reale Arena,Michael Oliver,2023-09-20,https://fbref.com/en/matches/fe7df7b9/Real-Sociedad-Internazionale-September-20-2023-Champions-League
J1,Sevilla,Lens,1–1,"33,544",Estadio Ramón Sánchez Pizjuán,Tobias Stieler,2023-09-20,https://fbref.com/en/matches/1f8a2096/Sevilla-Lens-September-20-2023-Champions-League
J1,Bayern Munich,Manchester Utd,4–3,"75,000",Trainingsgelände Allianz Arena,Glenn Nyberg,2023-09-20,https://fbref.com/en/matches/8c29e4f7/Bayern-Munich-Manchester-United-September-20-2023-Champions-League
J2,RB Salzburg,Real Sociedad,0–2,"28,227",Red Bull Arena,Bartosz Frankowski,2023-10-03,https://fbref.com/en/matches/38ed7a9b/Red-Bull-Salzburg-Real-Sociedad-October-3-2023-Champions-League
J2,Union Berlin,Braga,2–3,"73,445",Olympiastadion Berlin,Srđan Jovanović,2023-10-03,https://fbref.com/en/matches/b30ab716/Union-Berlin-Braga-October-3-2023-Champions-League
J2,Manchester Utd,Galatasaray,2–3,"73,204",Old Trafford,Ivan Kružliak,2023-10-03,https://fbref.com/en/matches/1ad7d8f7/Manchester-United-Galatasaray-October-3-2023-Champions-League
J2,FC Copenhagen,Bayern Munich,1–2,"35,690",Parken,Orel Grinfeeld,2023-10-03,https://fbref.com/en/matches/63e312b5/FC-Copenhagen-Bayern-Munich-October-3-2023-Champions-League
J2,PSV Eindhoven,Sevilla,2–2,"34,206",Philips Stadion,Daniele Orsato,2023-10-03,https://fbref.com/en/matches/29206b1b/PSV-Eindhoven-Sevilla-October-3-2023-Champions-League
J2,Inter,Benfica,1–0,"66,573",Stadio Giuseppe Meazza,Danny Makkelie,2023-10-03,https://fbref.com/en/matches/55ea129d/Internazionale-Benfica-October-3-2023-Champions-League
J2,Napoli,Real Madrid,2–3,"51,649",Stadio Diego Armando Maradona,Clément Turpin,2023-10-03,https://fbref.com/en/matches/a679c3f7/Napoli-Real-Madrid-October-3-2023-Champions-League
J2,Lens,Arsenal,2–1,"37,040",Stade Bollaert-Delelis,Marco Guida,2023-10-03,https://fbref.com/en/matches/dba6efee/Lens-Arsenal-October-3-2023-Champions-League
J2,Atlético Madrid,Feyenoord,3–2,"61,742",Estadio Cívitas Metropolitano,François Letexier,2023-10-04,https://fbref.com/en/matches/6cd2f188/Atletico-Madrid-Feyenoord-October-4-2023-Champions-League
J2,Antwerp,Shakhtar,2–3,"13,509",Bosuilstadion,Rade Obrenović,2023-10-04,https://fbref.com/en/matches/89850a68/Antwerp-Shakhtar-Donetsk-October-4-2023-Champions-League
J2,Porto,Barcelona,0–1,"49,722",Estádio Do Dragão,Anthony Taylor,2023-10-04,https://fbref.com/en/matches/7d91e229/Porto-Barcelona-October-4-2023-Champions-League
J2,Newcastle Utd,Paris S-G,4–1,"52,009",St James' Park,István Kovács,2023-10-04,https://fbref.com/en/matches/4d5a6bf1/Newcastle-United-Paris-Saint-Germain-October-4-2023-Champions-League
J2,Celtic,Lazio,1–2,"56,063",Celtic Park,Donatas Rumšas,2023-10-04,https://fbref.com/en/matches/cd495141/Celtic-Lazio-October-4-2023-Champions-League
J2,Dortmund,Milan,0–0,"81,365",Signal Iduna Park,Szymon Marciniak,2023-10-04,https://fbref.com/en/matches/7199206d/Dortmund-Milan-October-4-2023-Champions-League
J2,Red Star,Young Boys,2–2,"47,201",Stadion Rajko Mitić,William Collum,2023-10-04,https://fbref.com/en/matches/7c1dbba5/Red-Star-Young-Boys-October-4-2023-Champions-League
J2,RB Leipzig,Manchester City,1–3,"45,228",Red Bull Arena,Artur Soares Dias,2023-10-04,https://fbref.com/en/matches/2dd697fb/RB-Leipzig-Manchester-City-October-4-2023-Champions-League
J3,Inter,RB Salzburg,2–1,"71,825",Stadio Giuseppe Meazza,François Letexier,2023-10-24,https://fbref.com/en/matches/118ee102/Internazionale-Red-Bull-Salzburg-October-24-2023-Champions-League
J3,Galatasaray,Bayern Munich,1–3,"51,776",RAMS Park,Davide Massa,2023-10-24,https://fbref.com/en/matches/e5344209/Galatasaray-Bayern-Munich-October-24-2023-Champions-League
J3,Braga,Real Madrid,1–2,"29,820",Estádio Municipal de Braga,Michael Oliver,2023-10-24,https://fbref.com/en/matches/ba0599dd/Braga-Real-Madrid-October-24-2023-Champions-League
J3,Manchester Utd,FC Copenhagen,1–0,"73,249",Old Trafford,Marco Guida,2023-10-24,https://fbref.com/en/matches/23151aa4/Manchester-United-FC-Copenhagen-October-24-2023-Champions-League
J3,Benfica,Real Sociedad,0–1,"56,002",Estádio do Sport Lisboa e Benfica,Clément Turpin,2023-10-24,https://fbref.com/en/matches/2d34d54a/Benfica-Real-Sociedad-October-24-2023-Champions-League
J3,Lens,PSV Eindhoven,1–1,"38,133",Stade Bollaert-Delelis,Radu Petrescu,2023-10-24,https://fbref.com/en/matches/53a663a7/Lens-PSV-Eindhoven-October-24-2023-Champions-League
J3,Union Berlin,Napoli,0–1,"72,062",Olympiastadion Berlin,Irfan Peljto,2023-10-24,https://fbref.com/en/matches/61236021/Union-Berlin-Napoli-October-24-2023-Champions-League
J3,Sevilla,Arsenal,1–2,"39,595",Estadio Ramón Sánchez Pizjuán,Glenn Nyberg,2023-10-24,https://fbref.com/en/matches/0c4b8772/Sevilla-Arsenal-October-24-2023-Champions-League
J3,Feyenoord,Lazio,3–1,"44,031",Stadion Feijenoord,Tobias Stieler,2023-10-25,https://fbref.com/en/matches/b9939d92/Feyenoord-Lazio-October-25-2023-Champions-League
J3,Barcelona,Shakhtar,2–1,"41,409",Estadi Olímpic Lluís Companys,Ivan Kružliak,2023-10-25,https://fbref.com/en/matches/0eff6ab7/Barcelona-Shakhtar-Donetsk-October-25-2023-Champions-League
J3,Celtic,Atlético Madrid,2–2,"55,844",Celtic Park,Felix Zwayer,2023-10-25,https://fbref.com/en/matches/97c9cbb1/Celtic-Atletico-Madrid-October-25-2023-Champions-League
J3,Newcastle Utd,Dortmund,0–1,"52,024",St James' Park,Artur Soares Dias,2023-10-25,https://fbref.com/en/matches/ab67c6cc/Newcastle-United-Dortmund-October-25-2023-Champions-League
J3,Antwerp,Porto,1–4,"13,651",Bosuilstadion,Benoît Bastien,2023-10-25,https://fbref.com/en/matches/09a13276/Antwerp-Porto-October-25-2023-Champions-League
J3,Young Boys,Manchester City,1–3,"31,500",Stadion Wankdorf,Morten Krogh,2023-10-25,https://fbref.com/en/matches/d66f6ad1/Young-Boys-Manchester-City-October-25-2023-Champions-League
J3,RB Leipzig,Red Star,3–1,"42,209",Red Bull Arena,José Sánchez,2023-10-25,https://fbref.com/en/matches/f9b9a5fe/RB-Leipzig-Red-Star-October-25-2023-Champions-League
J3,Paris S-G,Milan,3–0,"45,962",Parc des Princes,Slavko Vinčič,2023-10-25,https://fbref.com/en/matches/f1ef22b8/Paris-Saint-Germain-Milan-October-25-2023-Champions-League
J4,Dortmund,Newcastle Utd,2–0,"81,365",Signal Iduna Park,Alejandro Hernández,2023-11-07,https://fbref.com/en/matches/12af2c2a/Dortmund-Newcastle-United-November-7-2023-Champions-League
J4,Shakhtar,Barcelona,1–0,"49,147",Volksparkstadion,Irfan Peljto,2023-11-07,https://fbref.com/en/matches/66e789bc/Shakhtar-Donetsk-Barcelona-November-7-2023-Champions-League
J4,Porto,Antwerp,2–0,"44,830",Estádio Do Dragão,Maurizio Mariani,2023-11-07,https://fbref.com/en/matches/709875dc/Porto-Antwerp-November-7-2023-Champions-League
J4,Manchester City,Young Boys,3–0,"51,049",Etihad Stadium,Erik Lambrechts,2023-11-07,https://fbref.com/en/matches/620ab893/Manchester-City-Young-Boys-November-7-2023-Champions-League
J4,Red Star,RB Leipzig,1–2,"41,961",Stadion Rajko Mitić,Daniele Orsato,2023-11-07,https://fbref.com/en/matches/4576b587/Red-Star-RB-Leipzig-November-7-2023-Champions-League
J4,Lazio,Feyenoord,1–0,"36,612",Stadio Olimpico,Szymon Marciniak,2023-11-07,https://fbref.com/en/matches/c8120a02/Lazio-Feyenoord-November-7-2023-Champions-League
J4,Atlético Madrid,Celtic,6–0,"60,863",Estadio Cívitas Metropolitano,Ivan Kružliak,2023-11-07,https://fbref.com/en/matches/9cde0a29/Atletico-Madrid-Celtic-November-7-2023-Champions-League
J4,Milan,Paris S-G,2–1,"75,649",Stadio Giuseppe Meazza,Jesús Gil,2023-11-07,https://fbref.com/en/matches/9544bc7f/Milan-Paris-Saint-Germain-November-7-2023-Champions-League
J4,Napoli,Union Berlin,1–1,"42,449",Stadio Diego Armando Maradona,Danny Makkelie,2023-11-08,https://fbref.com/en/matches/a3365e90/Napoli-Union-Berlin-November-8-2023-Champions-League
J4,Real Sociedad,Benfica,3–1,"36,815",Reale Arena,Anthony Taylor,2023-11-08,https://fbref.com/en/matches/667f4060/Real-Sociedad-Benfica-November-8-2023-Champions-League
J4,Arsenal,Sevilla,2–0,"60,024",Arsenal Stadium,István Kovács,2023-11-08,https://fbref.com/en/matches/2e9fad19/Arsenal-Sevilla-November-8-2023-Champions-League
J4,Bayern Munich,Galatasaray,2–1,"75,000",Allianz Arena,António Nobre,2023-11-08,https://fbref.com/en/matches/58134744/Bayern-Munich-Galatasaray-November-8-2023-Champions-League
J4,Real Madrid,Braga,3–0,"68,509",Estadio Santiago Bernabéu,Halil Umut Meler,2023-11-08,https://fbref.com/en/matches/e3d54c66/Real-Madrid-Braga-November-8-2023-Champions-League
J4,FC Copenhagen,Manchester Utd,4–3,"36,099",Parken,Donatas Rumšas,2023-11-08,https://fbref.com/en/matches/4a4b95b7/FC-Copenhagen-Manchester-United-November-8-2023-Champions-League
J4,RB Salzburg,Inter,0–1,"30,071",Red Bull Arena,Serdar Gözübüyük,2023-11-08,https://fbref.com/en/matches/194d4bb5/Red-Bull-Salzburg-Internazionale-November-8-2023-Champions-League
J4,PSV Eindhoven,Lens,1–0,"34,200",Philips Stadion,Daniel Siebert,2023-11-08,https://fbref.com/en/matches/17d16c49/PSV-Eindhoven-Lens-November-8-2023-Champions-League
J5,Lazio,Celtic,2–0,"50,555",Stadio Olimpico,Halil Umut Meler,2023-11-28,https://fbref.com/en/matches/433b7484/Lazio-Celtic-November-28-2023-Champions-League
J5,Shakhtar,Antwerp,1–0,"47,209",Volksparkstadion (1953),Bartosz Frankowski,2023-11-28,https://fbref.com/en/matches/7aaaa33a/Shakhtar-Donetsk-Antwerp-November-28-2023-Champions-League
J5,Manchester City,RB Leipzig,3–2,"51,402",Etihad Stadium,Glenn Nyberg,2023-11-28,https://fbref.com/en/matches/96f5597e/Manchester-City-RB-Leipzig-November-28-2023-Champions-League
J5,Young Boys,Red Star,2–0,"31,500",Stadion Wankdorf,Danny Makkelie,2023-11-28,https://fbref.com/en/matches/d2093046/Young-Boys-Red-Star-November-28-2023-Champions-League
J5,Paris S-G,Newcastle Utd,1–1,"46,435",Parc des Princes,Szymon Marciniak,2023-11-28,https://fbref.com/en/matches/9ee809ff/Paris-Saint-Germain-Newcastle-United-November-28-2023-Champions-League
J5,Barcelona,Porto,2–1,"43,533",Estadi Olímpic Lluís Companys,Daniele Orsato,2023-11-28,https://fbref.com/en/matches/ed34277e/Barcelona-Porto-November-28-2023-Champions-League
J5,Milan,Dortmund,1–3,"75,292",Stadio Giuseppe Meazza,István Kovács,2023-11-28,https://fbref.com/en/matches/32a204fd/Milan-Dortmund-November-28-2023-Champions-League
J5,Feyenoord,Atlético Madrid,1–3,"43,992",Stadion Feijenoord,Anthony Taylor,2023-11-28,https://fbref.com/en/matches/c05cacde/Feyenoord-Atletico-Madrid-November-28-2023-Champions-League
J5,Sevilla,PSV Eindhoven,2–3,"29,403",Estadio Ramón Sánchez Pizjuán,Davide Massa,2023-11-29,https://fbref.com/en/matches/ec88f263/Sevilla-PSV-Eindhoven-November-29-2023-Champions-League
J5,Benfica,Inter,3–3,"52,944",Estádio do Sport Lisboa e Benfica,Andris Treimanis,2023-11-29,https://fbref.com/en/matches/0bb75d8f/Benfica-Internazionale-November-29-2023-Champions-League
J5,Arsenal,Lens,6–0,"59,987",Emirates Stadium,Artur Soares Dias,2023-11-29,https://fbref.com/en/matches/e7033b85/Arsenal-Lens-November-29-2023-Champions-League
J5,Braga,Union Berlin,1–1,"15,855",Estádio Municipal de Braga,Clément Turpin,2023-11-29,https://fbref.com/en/matches/93bb73ae/Braga-Union-Berlin-November-29-2023-Champions-League
J5,Galatasaray,Manchester Utd,3–3,"51,733",RAMS Park,José Sánchez,2023-11-29,https://fbref.com/en/matches/fd04df87/Galatasaray-Manchester-United-November-29-2023-Champions-League
J5,Real Madrid,Napoli,4–2,"73,562",Estadio Santiago Bernabéu,François Letexier,2023-11-29,https://fbref.com/en/matches/94809dc5/Real-Madrid-Napoli-November-29-2023-Champions-League
