Player,Team,League,Position,General Position,Nationality,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total)
Aaron Ramsdale,Arsenal,"English Premier League, UEFA Champions League",GK,Goalkeeper,ENG,25,630,19.0,6.0,13.0,4.8,-1.2,2,22.0,78.0,199.0,33.0,6378.6,27.0,1078.8,59.0,8.0,9.0,197.0
Aarón Escandell,Las Palmas,Spanish La Liga,GK,Goalkeeper,ESP,28,153,4.0,3.0,1.0,2.4,-0.6,0,9.0,26.0,73.0,10.0,2219.2,12.0,495.3,24.0,1.0,4.0,75.2
Aitor Fernández,Osasuna,Spanish La Liga,GK,Goalkeeper,ESP,33,551,20.0,9.0,11.0,6.2,-2.8,1,47.0,113.0,174.0,19.0,7401.2,22.0,1093.8,69.0,1.0,15.0,439.2
Alaa Bellaarouch,Strasbourg,French Ligue 1,GK,Goalkeeper,MAR,22,1350,63.0,26.0,37.0,20.0,-6.0,2,56.0,183.0,440.0,57.0,15131.1,61.0,2195.1,203.0,19.0,21.0,386.0
Alban Lafont,Nantes,French Ligue 1,GK,Goalkeeper,FRA,25,2496,118.0,43.0,75.0,42.2,-0.8,7,123.0,388.0,839.0,145.0,28516.3,166.0,7785.6,385.0,33.0,33.0,558.7
Alberto Brignoli,Panathinaikos,UEFA Europa League,GK,Goalkeeper,ITA,32,450,25.0,8.0,17.0,9.1,1.1,2,18.0,59.0,142.0,19.0,4997.8,12.0,644.1,51.0,5.0,6.0,101.4
Alessandro Sorrentino,Monza,Italian Serie A,GK,Goalkeeper,ITA,22,548,32.0,16.0,16.0,14.3,-1.7,0,18.0,56.0,151.0,29.0,4621.3,42.0,1515.7,62.0,3.0,3.0,63.5
Alessio Cragno,Sassuolo,Italian Serie A,GK,Goalkeeper,ITA,29,270,14.0,7.0,8.0,5.2,-1.8,0,17.0,45.0,78.0,11.0,2952.9,22.0,671.3,37.0,3.0,8.0,210.7
Alex Meret,Napoli,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,ITA,27,3493,149.0,53.0,95.0,48.8,-5.4,7,78.0,220.0,973.0,158.0,26861.8,202.0,6124.6,457.0,12.0,38.0,720.9
Alexander Brunst,Darmstadt 98,German Bundesliga,GK,Goalkeeper,GER,28,270,17.0,10.0,7.0,6.2,-3.8,0,33.0,72.0,129.0,13.0,4649.7,21.0,1252.5,51.0,3.0,9.0,192.8
Alexander Meyer,Dortmund,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,GER,33,785,31.0,10.0,22.0,9.0,-1.0,3,33.0,94.0,376.0,34.0,10714.8,39.0,1621.6,127.0,10.0,7.0,170.5
Alexander Nübel,Stuttgart,German Bundesliga,GK,Goalkeeper,GER,27,2700,107.0,36.0,74.0,30.5,-5.5,11,126.0,291.0,1103.0,132.0,31658.4,112.0,3666.3,341.0,30.0,57.0,1187.5
Alexander Schlager,RB Salzburg,UEFA Champions League,GK,Goalkeeper,AUT,27,540,33.0,8.0,25.0,9.6,1.6,2,33.0,86.0,210.0,20.0,7024.8,46.0,1789.5,87.0,3.0,7.0,117.1
Alexander Schwolow,Union Berlin,German Bundesliga,GK,Goalkeeper,GER,31,90,6.0,2.0,4.0,1.2,-0.8,0,4.0,10.0,28.0,4.0,954.8,8.0,227.2,13.0,0.0,0.0,0.0
Alexandre Oukidja,Metz,French Ligue 1,GK,Goalkeeper,ALG,35,2987,185.0,57.0,128.0,52.2,-5.6,6,209.0,666.0,702.0,125.0,29816.1,292.0,17233.7,569.0,46.0,22.0,321.1
Alexandros Paschalakis,Olympiacos,"UEFA Europa Conference League, UEFA Europa League",GK,Goalkeeper,GRE,34,810,38.0,18.0,20.0,13.9,-4.1,2,32.0,135.0,184.0,28.0,7108.1,72.0,3922.4,97.0,10.0,12.0,205.9
Aleš Mandous,Slavia Prague,UEFA Europa League,GK,Goalkeeper,CZE,31,540,16.0,4.0,12.0,4.5,0.5,4,21.0,37.0,210.0,48.0,5745.0,29.0,1134.2,36.0,4.0,10.0,193.2
Alisson,Liverpool,"English Premier League, UEFA Europa League",GK,Goalkeeper,BRA,31,2700,112.0,30.0,83.0,29.2,-0.8,10,72.0,209.0,1154.0,152.0,28565.0,125.0,4172.0,318.0,15.0,38.0,812.2
Alphonse Areola,West Ham,"English Premier League, UEFA Europa League",GK,Goalkeeper,FRA,31,2789,193.0,55.0,139.0,53.3,-1.7,4,163.0,436.0,661.0,150.0,24094.3,230.0,10633.1,479.0,27.0,8.0,136.0
Amir Saipi,Lugano,UEFA Europa Conference League,GK,Goalkeeper,KVX,23,540,34.0,14.0,20.0,11.7,-2.3,1,21.0,57.0,211.0,22.0,5815.4,34.0,1346.4,70.0,3.0,15.0,325.2
Anatolii Trubin,Benfica,"UEFA Champions League, UEFA Europa League",GK,Goalkeeper,UKR,22,1080,57.0,16.0,41.0,21.0,5.0,2,43.0,118.0,291.0,55.0,8434.4,98.0,3981.4,173.0,6.0,9.0,147.9
Andrea Consigli,Sassuolo,Italian Serie A,GK,Goalkeeper,ITA,37,3150,159.0,68.0,93.0,51.8,-16.2,3,172.0,540.0,982.0,143.0,36219.8,252.0,10373.1,545.0,23.0,22.0,358.8
Andreas Hansen,Nordsjælland,UEFA Europa Conference League,GK,Goalkeeper,DEN,28,450,24.0,6.0,18.0,6.3,0.3,1,7.0,22.0,177.0,27.0,3604.7,47.0,1342.1,56.0,2.0,6.0,109.1
Andreas Luthe,Bochum,German Bundesliga,GK,Goalkeeper,GER,36,90,4.0,4.0,1.0,2.7,-1.3,0,20.0,43.0,42.0,2.0,2154.6,7.0,427.7,13.0,0.0,0.0,0.0
Andrey Lunyov,Qarabağ,UEFA Europa League,GK,Goalkeeper,RUS,32,894,58.0,18.0,41.0,16.7,-1.7,2,60.0,195.0,302.0,36.0,11289.8,92.0,4495.3,174.0,12.0,3.0,51.4
Andriy Lunin,Real Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,UKR,25,2610,110.0,27.0,82.0,33.2,6.2,12,66.0,181.0,752.0,134.0,19961.3,170.0,5372.9,380.0,37.0,26.0,421.3
André Ferreira,Granada,Spanish La Liga,GK,Goalkeeper,POR,27,1340,77.0,29.0,49.0,27.8,-1.2,0,73.0,186.0,388.0,88.0,12480.8,110.0,4876.8,195.0,6.0,13.0,200.9
André Onana,Manchester Utd,"English Premier League, UEFA Champions League",GK,Goalkeeper,CMR,28,3960,238.0,73.0,165.0,72.8,-0.2,10,188.0,607.0,1561.0,166.0,49460.7,181.0,8134.9,678.0,44.0,39.0,818.2
Anthony Lopes,Lyon,French Ligue 1,GK,Goalkeeper,POR,33,2790,155.0,49.0,106.0,43.4,-5.6,9,132.0,362.0,839.0,156.0,27228.5,196.0,6682.9,438.0,36.0,28.0,523.6
Anthony Moris,Union SG,"UEFA Europa Conference League, UEFA Europa League",GK,Goalkeeper,LUX,33,720,31.0,12.0,19.0,13.4,1.4,1,41.0,107.0,237.0,29.0,8655.6,43.0,1787.7,83.0,6.0,16.0,298.6
Anthony Racioppi,Young Boys,UEFA Champions League,GK,Goalkeeper,SUI,24,450,42.0,11.0,31.0,13.7,2.7,1,31.0,80.0,178.0,25.0,6104.0,31.0,1411.1,67.0,1.0,4.0,59.8
Anton Ari Einarsson,Breiðablik,UEFA Europa Conference League,GK,Goalkeeper,ISL,29,540,35.0,18.0,18.0,10.7,-7.3,0,23.0,57.0,215.0,52.0,6070.8,46.0,923.9,73.0,2.0,7.0,125.2
Anton Zhylkin,Zorya Luhansk,UEFA Europa Conference League,GK,Goalkeeper,UKR,20,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,69.0,0.0,0.0,0.0,0.0
Antonio Adán,Sporting CP,UEFA Europa League,GK,Goalkeeper,ESP,36,540,19.0,7.0,12.0,5.7,-1.3,0,22.0,62.0,187.0,19.0,5559.7,36.0,1062.6,48.0,3.0,7.0,140.5
Antonio Mirante,Milan,Italian Serie A,GK,Goalkeeper,ITA,40,177,8.0,3.0,5.0,3.1,0.1,0,5.0,14.0,46.0,5.0,1345.1,8.0,235.2,17.0,1.0,1.0,14.4
Antonio Sivera,Alavés,Spanish La Liga,GK,Goalkeeper,ESP,27,3060,123.0,38.0,87.0,38.7,0.7,10,279.0,701.0,807.0,116.0,35962.5,295.0,14093.4,501.0,25.0,29.0,597.1
Arijanet Muric,Burnley,English Premier League,GK,Goalkeeper,KVX,25,900,78.0,16.0,62.0,21.7,5.7,0,77.0,219.0,547.0,54.0,18753.2,33.0,1488.4,143.0,20.0,31.0,566.8
Arnau Tenas,Paris S-G,French Ligue 1,GK,Goalkeeper,ESP,22,529,25.0,7.0,18.0,5.9,-1.1,1,14.0,46.0,174.0,19.0,5160.7,37.0,1001.8,71.0,2.0,5.0,82.5
Arthur Desmas,Le Havre,French Ligue 1,GK,Goalkeeper,FRA,30,2970,153.0,43.0,111.0,46.9,3.9,7,155.0,454.0,719.0,135.0,26703.0,222.0,8682.0,470.0,32.0,24.0,462.4
Augusto Batalla,Granada,Spanish La Liga,GK,Goalkeeper,ARG,28,1530,86.0,28.0,58.0,22.7,-5.3,3,127.0,354.0,566.0,78.0,22286.7,122.0,6821.3,275.0,23.0,18.0,357.0
Bart Verbruggen,Brighton,"English Premier League, UEFA Europa League",GK,Goalkeeper,NED,21,2160,100.0,28.0,72.0,26.3,-1.7,7,65.0,166.0,884.0,132.0,21865.9,85.0,1461.2,276.0,20.0,33.0,639.7
Benjamin Lecomte,Montpellier,French Ligue 1,GK,Goalkeeper,FRA,33,2700,137.0,37.0,102.0,36.6,-0.4,10,150.0,436.0,781.0,137.0,28566.9,221.0,8040.9,471.0,29.0,13.0,169.7
Benoît Costil,Salernitana,Italian Serie A,GK,Goalkeeper,FRA,36,1170,66.0,29.0,38.0,23.7,-5.3,1,71.0,228.0,323.0,45.0,11954.9,104.0,5310.6,212.0,2.0,19.0,455.6
Bernd Leno,Fulham,English Premier League,GK,Goalkeeper,GER,32,3420,190.0,61.0,133.0,55.9,-5.1,10,144.0,439.0,1372.0,167.0,39121.9,201.0,8990.6,472.0,19.0,40.0,754.7
Boris Radunović,Cagliari,Italian Serie A,GK,Goalkeeper,SRB,27,630,27.0,12.0,16.0,10.2,-1.8,2,41.0,91.0,156.0,31.0,5771.7,66.0,2892.7,98.0,6.0,4.0,65.1
Brice Samba,Lens,"French Ligue 1, UEFA Champions League, UEFA Europa League",GK,Goalkeeper,FRA,30,3690,180.0,49.0,131.0,56.0,7.0,15,211.0,476.0,1194.0,188.0,38357.2,209.0,7447.8,511.0,42.0,46.0,914.8
Caoimhín Kelleher,Liverpool,"English Premier League, UEFA Europa League",GK,Goalkeeper,IRL,25,1620,71.0,23.0,50.0,22.0,-1.0,3,58.0,183.0,753.0,106.0,21125.3,58.0,1854.4,160.0,13.0,24.0,459.8
Carljohan Eriksson,Nordsjælland,UEFA Europa Conference League,GK,Goalkeeper,FIN,28,90,4.0,1.0,3.0,0.7,-0.3,0,1.0,5.0,29.0,5.0,719.2,6.0,171.0,15.0,2.0,0.0,0.0
Carlo Pinsoglio,Juventus,Italian Serie A,GK,Goalkeeper,ITA,34,45,3.0,0.0,3.0,0.5,0.5,1,2.0,5.0,21.0,1.0,659.4,0.0,0.0,17.0,0.0,0.0,0.0
Christos Mandas,Lazio,Italian Serie A,GK,Goalkeeper,GRE,22,721,29.0,6.0,23.0,7.0,1.0,5,38.0,114.0,240.0,29.0,9047.7,29.0,1098.9,99.0,6.0,5.0,116.5
Cican Stankovic,AEK Athens,UEFA Europa League,GK,Goalkeeper,AUT,31,326,19.0,5.0,14.0,7.5,2.5,0,19.0,42.0,114.0,16.0,3191.9,29.0,1022.8,37.0,0.0,8.0,163.5
Claudio Bravo,Betis,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,CHI,40,810,29.0,7.0,23.0,8.2,1.2,2,50.0,108.0,221.0,35.0,6765.7,71.0,3040.2,125.0,7.0,10.0,159.1
Cristian,Valencia,Spanish La Liga,GK,Goalkeeper,ESP,26,57,3.0,1.0,2.0,0.5,-0.5,0,2.0,5.0,15.0,4.0,436.5,3.0,98.1,12.0,0.0,0.0,0.0
Dani Cárdenas,Rayo Vallecano,Spanish La Liga,GK,Goalkeeper,ESP,27,90,1.0,1.0,0.0,0.9,-0.1,0,2.0,15.0,36.0,5.0,1306.8,4.0,214.0,5.0,0.0,2.0,34.0
Daniel Batz,Mainz 05,German Bundesliga,GK,Goalkeeper,GER,32,360,17.0,3.0,14.0,2.4,-0.6,1,18.0,58.0,132.0,14.0,4578.8,21.0,730.1,38.0,4.0,2.0,49.8
Daniel Bentley,Wolves,English Premier League,GK,Goalkeeper,ENG,30,383,15.0,7.0,8.0,5.7,-1.3,2,13.0,56.0,111.0,9.0,3748.7,33.0,1216.5,50.0,0.0,3.0,49.6
Daniel Fuzato,Getafe,Spanish La Liga,GK,Goalkeeper,BRA,26,7,2.0,2.0,0.0,1.3,-0.7,0,2.0,7.0,6.0,1.0,235.2,4.0,287.2,5.0,1.0,0.0,0.0
Daniel Peretz,Bayern Munich,German Bundesliga,GK,Goalkeeper,ISR,23,17,0.0,0.0,0.0,0.0,0.0,1,0.0,4.0,15.0,3.0,496.5,2.0,33.0,2.0,0.0,0.0,0.0
Daniele Sommariva,Genoa,Italian Serie A,GK,Goalkeeper,ITA,26,5,0.0,0.0,0.0,0.0,0.0,1,0.0,3.0,2.0,0.0,109.0,1.0,76.0,2.0,1.0,0.0,0.0
Danijel Zagorac,Dinamo Zagreb,UEFA Europa Conference League,GK,Goalkeeper,CRO,36,270,6.0,1.0,4.0,3.2,2.2,2,14.0,29.0,82.0,15.0,2616.0,16.0,449.1,36.0,9.0,5.0,89.2
David Gil,Cádiz,Spanish La Liga,GK,Goalkeeper,ESP,30,372,24.0,8.0,17.0,5.3,-2.7,2,51.0,125.0,104.0,8.0,5130.4,48.0,3046.3,91.0,7.0,0.0,0.0
David Raya,Arsenal,"English Premier League, UEFA Champions League",GK,Goalkeeper,ESP,28,3690,92.0,31.0,61.0,26.4,-4.6,20,178.0,472.0,1234.0,203.0,37690.4,129.0,5886.2,415.0,54.0,66.0,1452.1
David Soria,Getafe,Spanish La Liga,GK,Goalkeeper,ESP,31,3413,171.0,52.0,118.0,54.0,1.6,10,339.0,908.0,979.0,123.0,44878.5,310.0,17758.1,458.0,17.0,62.0,1261.0
David von Ballmoos,Young Boys,"UEFA Champions League, UEFA Europa League",GK,Goalkeeper,SUI,29,270,14.0,6.0,8.0,6.4,0.4,0,21.0,49.0,105.0,19.0,3602.0,12.0,427.8,26.0,3.0,1.0,11.6
Davy Roef,Gent,UEFA Europa Conference League,GK,Goalkeeper,BEL,30,561,29.0,7.0,21.0,7.0,0.0,2,26.0,48.0,154.0,54.0,4319.1,36.0,1227.3,54.0,7.0,3.0,45.0
Dean Henderson,Crystal Palace,English Premier League,GK,Goalkeeper,ENG,27,1620,86.0,30.0,57.0,27.4,-2.6,4,59.0,245.0,377.0,52.0,14534.5,105.0,4940.1,246.0,5.0,17.0,335.4
Denis Petrić,Nantes,French Ligue 1,GK,Goalkeeper,SRB,35,24,1.0,1.0,0.0,0.3,-0.7,0,1.0,2.0,7.0,2.0,214.9,0.0,0.0,4.0,0.0,0.0,0.0
Denis Pintol,Olimpija,UEFA Europa Conference League,GK,Goalkeeper,SVN,23,360,15.0,6.0,9.0,4.7,-1.3,1,5.0,22.0,80.0,24.0,2155.0,31.0,743.4,46.0,4.0,2.0,28.6
Diant Ramaj,Ajax,"UEFA Europa Conference League, UEFA Europa League",GK,Goalkeeper,GER,22,720,42.0,16.0,26.0,14.4,-1.6,1,36.0,113.0,356.0,24.0,11146.9,62.0,2234.5,96.0,7.0,10.0,147.9
Diego Mariño,Almería,Spanish La Liga,GK,Goalkeeper,ESP,33,90,4.0,2.0,2.0,2.1,0.1,0,1.0,5.0,25.0,6.0,602.5,2.0,33.0,6.0,0.0,2.0,45.4
Dimitry Bertaud,Montpellier,French Ligue 1,GK,Goalkeeper,COD,25,360,34.0,11.0,23.0,11.0,0.0,0,18.0,61.0,118.0,26.0,4481.0,23.0,978.0,56.0,3.0,0.0,0.0
Diogo Costa,Porto,UEFA Champions League,GK,Goalkeeper,POR,24,720,28.0,9.0,20.0,5.7,-3.3,2,39.0,118.0,322.0,37.0,10683.4,52.0,2189.0,86.0,8.0,14.0,320.0
Dmytro Riznyk,Shakhtar,"UEFA Champions League, UEFA Europa League",GK,Goalkeeper,UKR,25,720,48.0,17.0,31.0,13.2,-3.8,2,29.0,75.0,228.0,33.0,6283.2,46.0,1851.2,135.0,11.0,12.0,277.6
Dominik Greif,Mallorca,Spanish La Liga,GK,Goalkeeper,SVK,26,90,4.0,0.0,4.0,0.7,0.7,1,10.0,18.0,23.0,3.0,966.0,9.0,487.8,12.0,0.0,1.0,23.0
Dominik Hładun,Legia Warsaw,UEFA Europa Conference League,GK,Goalkeeper,POL,28,180,6.0,1.0,5.0,2.0,1.0,1,10.0,30.0,50.0,4.0,1845.4,9.0,503.2,19.0,0.0,4.0,81.2
Dominik Kotarski,PAOK,UEFA Europa Conference League,GK,Goalkeeper,CRO,24,900,44.0,16.0,27.0,15.7,-0.3,0,30.0,112.0,303.0,30.0,9711.7,46.0,2000.5,111.0,3.0,12.0,260.3
Dominik Livaković,Fenerbahçe,UEFA Europa Conference League,GK,Goalkeeper,CRO,29,540,29.0,12.0,17.0,9.2,-2.8,2,13.0,66.0,159.0,32.0,5450.1,36.0,1147.7,65.0,6.0,8.0,162.0
Dominik Takáč,Spartak Trnava,UEFA Europa Conference League,GK,Goalkeeper,SVK,24,540,42.0,15.0,27.0,17.3,2.3,0,27.0,109.0,88.0,7.0,4331.3,58.0,3731.6,90.0,2.0,1.0,14.3
Dénes Dibusz,Ferencváros,UEFA Europa Conference League,GK,Goalkeeper,HUN,33,720,34.0,8.0,26.0,7.9,-0.1,1,38.0,102.0,235.0,41.0,7442.0,52.0,1844.9,110.0,5.0,6.0,136.7
Ederson,Manchester City,"English Premier League, UEFA Champions League",GK,Goalkeeper,BRA,30,3415,95.0,33.0,63.0,32.7,-1.1,11,134.0,275.0,1321.0,166.0,35339.5,137.0,4636.6,290.0,29.0,56.0,1189.6
Elia Caprile,Empoli,Italian Serie A,GK,Goalkeeper,ITA,22,2070,106.0,27.0,78.0,27.3,0.3,5,117.0,350.0,657.0,137.0,24167.7,159.0,7168.7,391.0,31.0,20.0,382.7
Emil Audero,Inter,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,IDN,27,427,16.0,6.0,10.0,5.3,-0.7,2,7.0,26.0,207.0,34.0,5066.8,25.0,679.0,62.0,7.0,4.0,94.6
Emiliano Martínez,Aston Villa,"English Premier League, UEFA Europa Conference League",GK,Goalkeeper,ARG,31,3825,168.0,58.0,114.0,62.0,4.0,11,164.0,423.0,1635.0,196.0,45173.0,203.0,7460.6,445.0,54.0,86.0,1866.3
Enea Koliçi,KF Ballkani Therandë,UEFA Europa Conference League,GK,Goalkeeper,ALB,37,540,21.0,7.0,14.0,7.0,0.0,2,10.0,25.0,124.0,37.0,3355.0,56.0,1327.8,99.0,8.0,2.0,26.5
Ersin Destanoğlu,Beşiktaş,UEFA Europa Conference League,GK,Goalkeeper,TUR,22,270,20.0,8.0,13.0,6.9,-1.1,1,16.0,42.0,84.0,14.0,3040.8,25.0,1056.6,44.0,1.0,3.0,54.6
Etrit Berisha,Empoli,Italian Serie A,GK,Goalkeeper,ALB,34,1260,74.0,25.0,49.0,20.6,-4.4,4,44.0,184.0,400.0,75.0,13187.2,90.0,3673.7,236.0,11.0,10.0,188.5
Fabian Bredlow,Stuttgart,German Bundesliga,GK,Goalkeeper,GER,29,360,22.0,3.0,19.0,4.9,1.9,1,22.0,61.0,168.0,15.0,5207.2,11.0,568.9,55.0,1.0,5.0,119.6
Federico Ravaglia,Bologna,Italian Serie A,GK,Goalkeeper,ITA,24,535,18.0,3.0,13.0,5.6,2.6,4,14.0,49.0,172.0,23.0,4372.3,34.0,1392.6,73.0,1.0,4.0,101.5
Fernando,Almería,Spanish La Liga,GK,Goalkeeper,ESP,33,360,23.0,10.0,13.0,8.5,-1.5,0,22.0,67.0,133.0,28.0,4730.1,26.0,1145.2,72.0,4.0,7.0,112.9
Fernando Muslera,Galatasaray,"UEFA Champions League, UEFA Europa League",GK,Goalkeeper,URU,37,720,37.0,19.0,18.0,18.1,-0.9,0,46.0,121.0,300.0,39.0,9478.5,53.0,2259.6,88.0,5.0,36.0,825.8
Filip Jørgensen,Villarreal,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,DEN,22,3330,207.0,64.0,144.0,61.1,-2.9,6,146.0,362.0,1074.0,183.0,31704.7,253.0,9429.8,659.0,34.0,39.0,752.3
Filip Marshall,Aston Villa,UEFA Europa Conference League,GK,Goalkeeper,ENG,20,90,1.0,1.0,0.0,0.6,-0.4,0,1.0,4.0,26.0,5.0,650.0,6.0,100.2,11.0,0.0,6.0,127.8
