Player,Nationality,Team,League,Position,General Position,Age,Minutes,Matches,Shouting Index,Creation Index,Passing Index,Possession Index,Defense Index,Global Index
Aapo Halme,FIN,HJK,UEFA Europa Conference League,CB,Defender,25,265,1,37,21,42,26,39,36
Aaron Cresswell,ENG,West Ham,"English Premier League, UEFA Europa League",LB,Defender,34,852,1,73,48,69,64,18,47
Aaron Hickey,SCO,Brentford,English Premier League,RB,Defender,21,713,1,48,52,28,36,42,39
Aaron Malouda,FRA,Lille,"French Ligue 1, UEFA Europa Conference League",LW,Forward,17,27,1,30,54,69,73,35,52
Aaron Ramsey,ENG,Burnley,English Premier League,RM,Midfielder,21,527,1,37,40,19,26,57,38
Aaron Seydel,GER,Darmstadt 98,German Bundesliga,AM,Forward,28,619,1,53,30,44,31,41,40
Aaron Wan-Bissaka,ENG,Manchester Utd,"English Premier League, UEFA Champions League",RB,Defender,26,1992,1,44,67,55,58,66,59
Aarón Martín,ESP,Genoa,Italian Serie A,WB,Midfielder,27,1376,1,31,46,39,44,24,35
Abakar Sylla,CIV,Strasbourg,French Ligue 1,CB,Defender,21,1792,1,79,39,55,55,73,64
Abat Ajymbetow,KAZ,Astana FK,UEFA Europa Conference League,AM,Forward,28,99,1,40,23,21,17,20,26
Abdallah Sima,SEN,Rangers,UEFA Europa League,LW,Forward,22,520,1,84,51,45,53,84,62
Abde Ezzalzouli,MAR,"Barcelona, Betis","Spanish La Liga, UEFA Europa Conference League, UEFA Europa League",AM,Forward,22,1465,1,41,60,48,84,70,57
Abdel Abqar,MAR,Alavés,Spanish La Liga,CB,Defender,25,2312,1,38,26,27,14,41,31
Abdellah Baallal,MAR,Clermont Foot,French Ligue 1,CM,Midfielder,19,4,1,35,11,32,59,39,37
Abdellah Raihani,MAR,Atlético Madrid,Spanish La Liga,AM,Forward,20,10,1,30,25,14,4,9,20
Abdellah Zoubir,FRA,Qarabağ,UEFA Europa League,LW,Forward,32,913,1,54,68,71,78,56,65
Abderrahman Rebbach,ALG,Alavés,Spanish La Liga,LW,Forward,25,722,1,52,56,52,62,58,55
Abdou Harroui,NED,Frosinone,Italian Serie A,AM,Forward,26,1019,1,62,67,67,68,72,66
Abdoul Kader Bamba,FRA,Nantes,French Ligue 1,AM,Forward,29,611,1,56,79,76,92,72,74
Abdoul Koné,FRA,Reims,French Ligue 1,RB,Defender,19,193,1,37,52,43,40,68,52
Abdoulaye Doucouré,MLI,Everton,English Premier League,AM,Forward,31,2629,1,43,40,57,42,68,46
Abdoulaye Seck,SEN,Maccabi Haifa,"UEFA Europa Conference League, UEFA Europa League",CB,Defender,31,791,1,84,39,31,18,38,39
Abdoulaye Touré,GUI,Le Havre,French Ligue 1,CM,Midfielder,30,2284,1,52,38,59,50,61,54
Abdukodir Khusanov,UZB,Lens,"French Ligue 1, UEFA Champions League, UEFA Europa League",CB,Defender,20,961,1,46,28,43,44,62,50
Abdul Mumin,GHA,Rayo Vallecano,Spanish La Liga,CB,Defender,25,1694,1,66,25,31,18,41,37
Abdulrazaq Ishaq,NGA,Häcken,UEFA Europa League,RB,Defender,21,221,1,48,77,85,93,63,72
Abdón Prats,ESP,Mallorca,Spanish La Liga,AM,Forward,31,1270,1,79,42,33,14,37,46
Abdülkerim Bardakcı,TUR,Galatasaray,"UEFA Champions League, UEFA Europa League",CB,Defender,29,666,1,75,45,62,67,78,70
Abel Ruiz,ESP,Braga,"UEFA Champions League, UEFA Europa League",AM,Forward,24,423,1,23,29,45,22,23,28
Ablie Jallow,GAM,Metz,French Ligue 1,AM,Forward,25,918,1,63,57,64,59,53,60
Abner,BRA,Betis,"Spanish La Liga, UEFA Europa League",LB,Defender,23,1798,1,37,65,45,51,51,49
Abou Lô,SEN,Metz,French Ligue 1,CB,Defender,24,197,1,24,44,43,27,45,38
Aboubacar Ali,COM,Strasbourg,French Ligue 1,AM,Midfielder,18,130,1,42,46,30,45,24,35
Abzal Beisebekov,KAZ,Astana FK,UEFA Europa Conference League,CB,Defender,31,324,1,84,23,34,12,26,32
Achraf Dari,MAR,Brest,French Ligue 1,CB,Defender,24,121,1,63,24,57,43,61,54
Achraf Hakimi,MAR,Paris S-G,"French Ligue 1, UEFA Champions League",RB,Defender,25,2913,1,80,93,87,97,46,72
