Team,Average Age,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels won,Penaltys Winner,Possession
AEK Athens,30.1,6,6,8.7,96,28,0,0,157,11,1996,2558,776,910,890,1054,279,464,67,163,51,20,210,94,208,93,52,45,35,13,45,94,49,64,61,86,4,3218,410,1134,1319,796,158,3218,100,49,1850,67,29,106,40,1978,24,2,1,82,69,19,0,6,0,316,48,74,12,37,25,0,6,6,0,0,16.6,28,58,167,31,47,61,1,17,122,146,512,168,258,97,0,46.79999999999999
AZ Alkmaar,24.7,6,7,5.6,60,21,1,1,112,13,2696,3266,1151,1265,1180,1340,257,456,49,213,59,11,255,101,253,74,51,36,27,11,35,72,37,61,54,86,2,3816,368,1186,1686,974,147,3815,104,43,2342,66,41,68,52,2671,6,2,0,73,48,26,1,0,0,284,72,80,12,22,10,2,0,0,0,0,8.0,34,82,199,29,24,70,4,8,152,120,609,125,258,86,0,55.0
Aberdeen,26.0,6,10,6.1,52,19,0,0,88,17,1238,1887,480,594,553,727,185,481,36,101,27,7,130,48,129,95,49,50,37,8,57,114,57,60,75,142,0,2574,395,994,1039,572,91,2574,80,33,1168,40,12,78,44,1231,6,0,0,61,67,12,0,2,0,314,78,91,10,29,19,1,2,2,0,0,11.0,45,146,161,12,52,104,3,5,169,122,307,105,137,106,0,33.5
Ajax,22.8,10,14,14.5,85,38,2,2,162,27,4336,5193,1843,2006,1969,2186,403,734,68,279,83,15,357,132,355,152,84,81,53,18,65,143,78,88,92,161,11,6143,930,2400,2659,1117,184,6141,125,57,3958,116,31,132,78,4279,22,5,3,121,89,18,2,2,0,423,98,65,20,59,39,1,2,2,0,0,19.5,46,148,428,42,104,123,9,10,163,210,844,189,313,149,0,50.0
Alavés,25.6,38,33,46.2,458,136,3,7,817,60,10091,14116,4443,5283,4011,5052,1375,2889,341,937,273,105,1260,550,1252,578,347,284,227,67,290,629,339,363,279,810,5,18179,2162,6122,7564,4706,764,18172,625,310,8574,364,138,572,299,9972,84,1,0,481,449,69,7,8,2,1807,574,625,46,147,103,11,8,8,0,0,44.8,315,778,886,125,335,530,29,37,1199,871,3062,877,1280,637,0,41.8
Almería,25.6,38,42,48.7,478,163,2,2,823,70,12774,16540,5654,6480,5476,6405,1322,2747,349,870,212,86,1097,590,1082,633,372,354,222,57,280,582,302,430,313,856,19,20902,2654,7711,9323,4094,614,20900,667,299,11128,424,132,550,269,12660,93,6,4,478,493,75,2,9,0,1716,557,587,75,202,126,6,9,6,1,2,70.3,181,615,1115,180,330,629,29,47,1144,819,2769,893,1044,652,3,46.4
Antwerp,24.5,6,6,6.2,55,21,0,1,99,8,2106,2623,860,960,923,1049,267,464,37,145,39,8,188,79,186,99,56,49,38,12,53,118,65,82,46,111,5,3278,494,1266,1360,681,97,3277,105,56,2083,66,18,92,59,2081,15,2,1,58,43,12,0,1,1,283,47,72,17,36,20,0,1,1,0,0,12.4,40,111,230,30,42,68,9,3,119,151,453,107,162,109,0,43.20000000000001
Aris Limassol FC,27.4,6,7,7.0,62,16,1,1,110,12,1780,2454,775,897,795,995,171,407,42,126,28,3,183,79,180,151,104,89,48,14,93,171,78,78,78,129,3,3173,439,1315,1307,594,80,3172,113,59,1701,60,23,82,47,1768,16,0,0,74,66,9,1,1,0,375,70,91,13,41,27,0,1,0,1,0,14.1,20,102,197,45,40,87,7,7,161,129,442,122,134,197,1,42.2
Arsenal,25.2,48,105,89.5,767,251,11,11,1402,185,23947,28246,12181,13335,9759,10922,1468,2694,612,1897,631,77,2555,1017,2530,752,425,291,319,142,338,693,355,512,361,642,19,33208,2494,8439,14763,10251,1749,33197,876,378,20763,718,391,697,474,23717,77,2,1,521,503,102,9,4,1,2187,623,595,37,111,74,22,4,3,1,0,31.3,200,550,1331,236,258,474,62,75,1218,1171,6102,1587,2848,763,1,57.84583333333333
Astana FK,29.9,6,4,4.5,48,10,0,1,86,8,1704,2258,718,812,740,890,196,427,41,129,32,11,168,77,165,96,57,46,42,8,50,109,59,68,57,110,1,2930,395,1121,1273,580,74,2929,111,50,1545,49,20,105,45,1698,20,1,1,95,65,8,1,2,0,291,61,87,13,36,23,1,2,2,0,0,9.3,16,97,139,31,56,84,8,5,148,150,410,94,137,107,0,39.0
