Team,Average Age,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels won,Penaltys Winner,Possession,Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons,Efficiency GK,% Saves,% Long Passes GK,% Crosses Stopped
AEK Athens,30.1,6,26.11,67.2,96.18,72.61,7.96,6.69,87.9,32.17,30.57,26.75,17.83,17.2,38.22,38.22,89.81,74.2,86.62,43.31,67.83,98.41,42.68,37.58,43.31,31.85,21.02,42.36,31.85,63.06,36.31,41.4,51.91,30.25,85.35,8.6,7.01,22.93,59.87,33.76,17.2,48.41,87.9,22.93,39.17,52.87,38.22,37.58,69.75,9.55,93.31,31.21,0.64,5.73,7.32,14.33,56.37,3.5,8.28,0.64,81.85,78.98,3.18,58.28,18.47,91.08,91.72,5.73,100.0,100.0,28.98,39.17,98.73,57.96,23.57,50.96,83.76,45.86,9.55,2.87,98.09,12.74,38.22,43.95,81.85,84.39,25.48,24.84,41.72,7.64,0.64,42.68,24.84,35.67,84.08,10.83,71.97,98.73,50.32,98.73,3.82
AZ Alkmaar,24.7,6,42.04,8.92,12.1,25.8,72.61,57.96,18.47,54.46,78.66,79.62,74.52,73.25,78.34,79.62,73.89,70.7,22.93,83.44,86.62,37.9,78.66,49.68,78.98,2.23,19.43,8.28,1.59,36.62,4.46,3.18,96.82,19.43,61.15,8.6,52.23,75.16,28.66,51.59,66.88,85.35,78.34,74.52,47.77,27.39,69.43,35.35,90.45,100.0,40.13,78.98,98.73,5.73,80.89,43.95,2.55,0.64,75.16,96.5,81.85,32.17,41.08,46.82,18.47,15.29,1.91,79.3,4.14,5.73,28.98,39.17,37.9,74.52,55.41,79.3,69.43,1.27,22.29,36.62,74.2,45.22,96.82,72.61,21.66,84.39,8.28,24.84,84.08,92.04,31.85,75.8,88.54,75.16,62.42,96.82,8.28,2.55,0.64,86.62,49.36
Aberdeen,26.0,6,77.39,16.56,7.01,14.01,7.96,6.69,6.05,74.52,0.64,0.64,0.64,0.64,0.64,0.64,6.37,80.89,4.46,2.87,7.32,7.01,3.18,1.59,3.18,36.94,11.15,61.78,43.95,9.55,89.49,84.71,23.57,15.29,98.09,85.99,99.04,0.64,50.0,5.73,0.64,5.73,10.51,0.64,9.55,5.73,0.64,2.23,4.78,92.99,79.94,0.64,98.73,90.45,80.89,85.99,50.64,30.57,8.28,8.6,81.85,77.07,54.46,31.21,35.03,60.83,55.1,32.8,92.04,94.59,28.98,39.17,79.62,91.72,98.73,43.31,1.27,72.61,94.27,21.34,33.12,62.42,95.54,3.18,7.01,8.28,47.77,24.84,1.27,99.36,18.47,0.64,2.55,1.27,0.64,7.32,7.64,82.17,38.54,22.93,12.74
Ajax,22.8,10,62.42,67.2,6.05,38.85,83.76,71.34,8.28,70.7,73.89,70.7,70.7,66.88,78.98,75.16,57.96,55.1,7.64,47.13,64.33,19.11,46.5,19.11,46.82,28.03,15.61,56.05,11.46,33.76,11.15,21.66,60.19,3.18,65.61,19.11,0.64,62.42,100.0,96.18,53.5,15.29,28.03,61.78,5.73,8.92,72.61,41.4,21.02,91.4,65.92,73.89,49.68,2.23,2.55,45.86,6.37,47.77,84.08,34.08,81.85,3.18,11.46,100.0,18.47,85.67,87.9,17.83,66.56,78.34,28.98,39.17,85.03,54.46,64.97,98.09,42.68,93.95,32.48,64.01,48.73,3.18,91.4,41.4,11.46,31.85,12.42,24.84,56.05,45.22,100.0,84.08,94.9,91.08,54.78,6.37,46.5,51.59,40.76,25.16,70.06
Alavés,25.6,38,15.92,39.49,44.9,29.94,30.89,64.01,49.68,19.11,6.37,5.73,7.64,9.55,3.82,3.18,28.98,71.34,45.86,27.39,43.63,90.76,31.85,28.34,32.48,28.98,32.48,40.13,38.22,30.25,42.04,56.05,34.39,6.37,17.83,66.88,92.04,5.1,10.19,2.55,5.1,31.21,45.22,5.1,36.94,52.23,3.82,17.2,36.62,55.41,61.15,6.37,48.41,75.8,80.89,30.25,63.06,46.82,79.62,29.3,37.58,34.08,79.62,20.38,75.16,22.29,29.3,69.75,71.34,82.8,28.98,39.17,24.2,94.27,90.45,17.2,14.01,78.34,52.23,46.5,44.59,81.53,63.38,31.21,42.68,47.13,33.12,24.84,12.74,9.87,35.03,6.37,11.46,5.1,14.01,24.52,78.34,51.59,70.7,82.48,42.68
Almería,25.6,38,35.67,46.82,56.69,61.46,21.02,15.92,51.27,33.44,32.48,30.57,38.85,37.58,34.39,29.3,22.29,45.22,50.64,16.56,14.65,66.88,15.29,36.94,15.29,57.64,49.36,86.31,33.44,16.24,31.21,34.39,56.05,45.22,39.49,78.98,19.43,30.57,68.15,57.96,37.58,10.83,14.97,30.57,52.23,44.27,32.48,36.94,31.85,70.06,84.71,32.48,30.57,23.57,14.01,32.8,87.9,34.71,23.25,23.25,81.85,15.92,72.61,28.03,21.02,72.61,63.69,28.98,77.39,59.55,74.52,94.9,81.53,59.24,74.52,61.15,65.29,73.89,87.9,46.5,69.11,73.89,85.03,18.79,46.82,15.92,39.49,85.99,38.85,27.07,41.08,37.58,48.73,47.77,19.11,36.94,40.13,41.72,17.2,17.83,35.03
Antwerp,24.5,6,26.11,18.15,8.28,25.8,7.96,57.96,9.24,12.1,40.13,31.21,32.48,26.75,40.13,36.94,81.21,74.2,5.73,26.11,29.94,11.78,27.39,17.52,27.39,52.55,35.35,57.96,51.91,50.32,75.16,90.76,6.05,93.31,25.16,39.49,3.5,29.3,94.9,72.61,22.93,17.52,15.92,29.3,50.64,78.98,50.96,35.35,16.56,49.36,13.06,39.49,26.75,5.73,7.32,92.68,1.27,30.57,8.28,48.09,5.73,30.89,2.55,64.33,2.87,87.58,65.61,5.73,52.55,65.92,28.98,39.17,89.81,86.62,84.71,95.54,78.03,23.25,18.47,97.77,11.15,10.83,26.11,23.57,7.96,15.29,58.92,24.84,19.11,45.22,1.27,61.15,75.8,74.2,67.52,5.73,94.9,5.1,5.1,49.68,100.0
Aris Limassol FC,27.4,6,42.04,34.08,14.65,4.46,72.61,57.96,14.01,43.95,15.29,17.2,17.2,15.29,19.11,26.11,1.27,26.11,9.55,7.64,8.28,1.27,21.97,17.52,21.66,99.68,100.0,100.0,96.82,70.7,100.0,100.0,0.64,84.39,99.36,71.66,19.43,19.75,77.39,82.17,15.29,8.28,7.01,19.75,65.92,84.71,25.48,25.16,40.76,84.71,64.01,15.29,18.15,90.45,80.89,38.54,44.59,69.75,75.16,48.09,81.85,100.0,35.67,31.21,13.06,96.5,97.13,5.73,52.55,5.73,98.41,39.17,95.54,21.66,78.98,78.34,98.73,17.2,61.78,84.08,61.15,55.73,86.31,19.75,17.2,5.73,100.0,97.45,14.33,49.68,8.92,8.92,37.26,7.01,2.55,98.73,92.36,79.62,40.13,2.55,82.8
Arsenal,25.2,48,94.27,92.36,95.54,87.9,89.81,79.62,96.18,95.54,89.81,88.54,92.36,92.36,82.8,82.8,5.73,1.27,95.22,92.99,99.36,27.07,95.54,88.54,95.54,33.76,25.48,8.92,65.61,95.54,24.52,22.93,72.61,30.25,24.2,5.73,33.44,88.54,3.18,15.92,82.8,98.09,99.36,88.54,57.96,45.22,85.99,78.34,97.45,67.52,11.46,89.81,90.13,72.61,57.01,72.61,29.3,23.57,81.85,83.12,58.92,19.11,53.5,57.32,98.09,0.64,1.27,93.63,17.52,23.25,62.1,39.17,0.64,46.18,37.58,50.32,75.16,3.18,7.64,89.81,85.35,45.86,35.67,95.54,97.45,99.36,22.29,53.18,89.49,83.44,68.15,90.45,90.45,85.99,52.87,24.52,19.11,19.11,44.9,52.23,99.36
Astana FK,29.9,6,6.05,3.82,5.1,0.64,7.96,57.96,5.1,12.1,10.83,7.64,10.83,5.73,14.65,12.74,14.65,38.85,8.28,9.24,12.1,37.9,12.74,12.74,12.1,42.04,37.58,47.77,75.8,9.55,61.78,77.39,16.56,46.82,73.89,38.85,86.62,6.37,50.0,31.85,10.83,7.01,4.78,6.37,60.51,55.1,13.38,7.01,28.03,10.83,73.89,11.46,3.82,20.06,7.32,3.82,38.54,81.53,75.16,8.6,81.85,45.22,14.65,37.58,13.06,87.58,85.99,32.8,92.04,94.59,28.98,39.17,60.51,10.83,73.89,15.92,83.76,87.9,54.14,92.99,33.12,42.68,28.34,11.46,5.73,8.28,49.68,24.84,6.37,30.57,2.55,23.57,66.24,24.84,6.37,15.29,41.4,3.82,23.57,1.27,93.63
