Game Week,Home Team,Away Team,Score,Attendance,Venue,Referee,Date,URL
J1,Le Havre,Paris S-G,1–4,"23,167",Stade Océane,Willy Delajod,2024-08-16,https://fbref.com/en/matches/a6b98e33/Le-Havre-Paris-Saint-Germain-August-16-2024-Ligue-1
J1,Brest,Marseille,1–5,"14,962",Stade Francis-Le Blé,Benoît Bastien,2024-08-17,https://fbref.com/en/matches/35c1995a/Brest-Marseille-August-17-2024-Ligue-1
J1,Reims,Lille,0–2,"14,755",Stade Auguste-Delaune,Eric Wattellier,2024-08-17,https://fbref.com/en/matches/06aa495e/Reims-Lille-August-17-2024-Ligue-1
J1,Monaco,Saint-Étienne,1–0,"14,250",Stade Louis II,Clément Turpin,2024-08-17,https://fbref.com/en/matches/f84bb85e/Monaco-Saint-Etienne-August-17-2024-Ligue-1
J1,Auxerre,Nice,2–1,"16,354",Stade de l'Abbé Deschamps,Romain Lissorgue,2024-08-18,https://fbref.com/en/matches/18a24a50/Auxerre-Nice-August-18-2024-Ligue-1
J1,Montpellier,Strasbourg,1–1,"15,706",Stade de la Mosson-Mondial 98,Mathieu Vernice,2024-08-18,https://fbref.com/en/matches/652abd24/Montpellier-Strasbourg-August-18-2024-Ligue-1
J1,Angers,Lens,0–1,"14,811",Stade Raymond Kopa,Thomas Léonard,2024-08-18,https://fbref.com/en/matches/cabadc94/Angers-Lens-August-18-2024-Ligue-1
J1,Toulouse,Nantes,0–0,"25,491",Stadium de Toulouse,Jeremy Stinat,2024-08-18,https://fbref.com/en/matches/67b3b54c/Toulouse-Nantes-August-18-2024-Ligue-1
J1,Rennes,Lyon,3–0,"26,026",Roazhon Park,Benoît Millot,2024-08-18,https://fbref.com/en/matches/bc46a367/Rennes-Lyon-August-18-2024-Ligue-1
J2,Paris S-G,Montpellier,6–0,"46,000",Parc des Princes,Marc Bollengier,2024-08-23,https://fbref.com/en/matches/910be353/Paris-Saint-Germain-Montpellier-August-23-2024-Ligue-1
J2,Lyon,Monaco,0–2,"54,392",Groupama Stadium,Stéphanie Frappart,2024-08-24,https://fbref.com/en/matches/1041ac42/Lyon-Monaco-August-24-2024-Ligue-1
J2,Lille,Angers,2–0,"36,906",Decathlon Arena - Stade Pierre-Mauroy,Abdelatif Kherradji,2024-08-24,https://fbref.com/en/matches/70fdbb5a/Lille-Angers-August-24-2024-Ligue-1
J2,Saint-Étienne,Le Havre,0–2,"16,958",Stade Geoffroy-Guichard,Florent Batta,2024-08-24,https://fbref.com/en/matches/fd677aba/Saint-Etienne-Le-Havre-August-24-2024-Ligue-1
J2,Lens,Brest,2–0,"37,435",Stade Bollaert-Delelis,Jérémie Pignard,2024-08-25,https://fbref.com/en/matches/7fe11a31/Lens-Brest-August-25-2024-Ligue-1
J2,Strasbourg,Rennes,3–1,"19,026",Stade de la Meinau,Eric Wattellier,2024-08-25,https://fbref.com/en/matches/efa54e4b/Strasbourg-Rennes-August-25-2024-Ligue-1
J2,Nice,Toulouse,1–1,"21,656",Allianz Riviera,Bastien Dechepy,2024-08-25,https://fbref.com/en/matches/33b61302/Nice-Toulouse-August-25-2024-Ligue-1
J2,Nantes,Auxerre,2–0,"31,077",Stade de la Beaujoire - Louis Fonteneau,Gaël Angoula,2024-08-25,https://fbref.com/en/matches/57fe0d50/Nantes-Auxerre-August-25-2024-Ligue-1
J2,Marseille,Reims,2–2,"63,841",Orange Vélodrome,Hakim Ben El Hadj Salem,2024-08-25,https://fbref.com/en/matches/3a93bc8b/Marseille-Reims-August-25-2024-Ligue-1
J3,Lyon,Strasbourg,4–3,"43,805",Groupama Stadium,Thomas Léonard,2024-08-30,https://fbref.com/en/matches/2c5ec7aa/Lyon-Strasbourg-August-30-2024-Ligue-1
J3,Brest,Saint-Étienne,4–0,"14,885",Stade Francis-Le Blé,Gaël Angoula,2024-08-31,https://fbref.com/en/matches/82c19aa6/Brest-Saint-Etienne-August-31-2024-Ligue-1
J3,Montpellier,Nantes,1–3,"13,000",Stade de la Mosson-Mondial 98,Benoît Millot,2024-08-31,https://fbref.com/en/matches/5b8c614c/Montpellier-Nantes-August-31-2024-Ligue-1
J3,Toulouse,Marseille,1–3,"19,178",Stadium de Toulouse,Stéphanie Frappart,2024-08-31,https://fbref.com/en/matches/ebbcbe63/Toulouse-Marseille-August-31-2024-Ligue-1
J3,Monaco,Lens,1–1,"9,030",Stade Louis II,Willy Delajod,2024-09-01,https://fbref.com/en/matches/a93b08ff/Monaco-Lens-September-1-2024-Ligue-1
J3,Angers,Nice,1–4,"9,168",Stade Raymond Kopa,Jeremy Stinat,2024-09-01,https://fbref.com/en/matches/97e962bb/Angers-Nice-September-1-2024-Ligue-1
J3,Reims,Rennes,2–1,"12,856",Stade Auguste-Delaune,Mathieu Vernice,2024-09-01,https://fbref.com/en/matches/4abb133c/Reims-Rennes-September-1-2024-Ligue-1
J3,Le Havre,Auxerre,3–1,"19,715",Stade Océane,Marc Bollengier,2024-09-01,https://fbref.com/en/matches/3bc2668a/Le-Havre-Auxerre-September-1-2024-Ligue-1
J3,Lille,Paris S-G,1–3,"45,434",Decathlon Arena - Stade Pierre-Mauroy,Benoît Bastien,2024-09-01,https://fbref.com/en/matches/49234140/Lille-Paris-Saint-Germain-September-1-2024-Ligue-1
J4,Saint-Étienne,Lille,1–0,"23,000",Stade Geoffroy-Guichard,François Letexier,2024-09-13,https://fbref.com/en/matches/47e23fb5/Saint-Etienne-Lille-September-13-2024-Ligue-1
J4,Marseille,Nice,2–0,"65,803",Orange Vélodrome,Benoît Millot,2024-09-14,https://fbref.com/en/matches/2034c29c/Marseille-Nice-September-14-2024-Ligue-1
J4,Auxerre,Monaco,0–3,"17,045",Stade de l'Abbé Deschamps,Abdelatif Kherradji,2024-09-14,https://fbref.com/en/matches/b4fb60b5/Auxerre-Monaco-September-14-2024-Ligue-1
J4,Paris S-G,Brest,3–1,"47,000",Parc des Princes,Clément Turpin,2024-09-14,https://fbref.com/en/matches/f22a7db0/Paris-Saint-Germain-Brest-September-14-2024-Ligue-1
J4,Rennes,Montpellier,3–0,"27,451",Roazhon Park,Jérémie Pignard,2024-09-15,https://fbref.com/en/matches/984e7243/Rennes-Montpellier-September-15-2024-Ligue-1
J4,Strasbourg,Angers,1–1,"19,135",Stade de la Meinau,Hakim Ben El Hadj Salem,2024-09-15,https://fbref.com/en/matches/06ecf73c/Strasbourg-Angers-September-15-2024-Ligue-1
J4,Toulouse,Le Havre,2–0,"30,097",Stadium de Toulouse,Eric Wattellier,2024-09-15,https://fbref.com/en/matches/f4982a54/Toulouse-Le-Havre-September-15-2024-Ligue-1
J4,Nantes,Reims,1–2,"29,811",Stade de la Beaujoire - Louis Fonteneau,Willy Delajod,2024-09-15,https://fbref.com/en/matches/1411fc56/Nantes-Reims-September-15-2024-Ligue-1
J4,Lens,Lyon,0–0,"38,116",Stade Bollaert-Delelis,Bastien Dechepy,2024-09-15,https://fbref.com/en/matches/6f7e5cde/Lens-Lyon-September-15-2024-Ligue-1
J5,Nice,Saint-Étienne,8–0,"30,024",Allianz Riviera,Thomas Léonard,2024-09-20,https://fbref.com/en/matches/85495c0d/Nice-Saint-Etienne-September-20-2024-Ligue-1
J5,Lille,Strasbourg,3–3,"39,516",Decathlon Arena - Stade Pierre-Mauroy,Jérôme Brisard,2024-09-21,https://fbref.com/en/matches/2bff6ebd/Lille-Strasbourg-September-21-2024-Ligue-1
J5,Rennes,Lens,1–1,"28,500",Roazhon Park,Jeremy Stinat,2024-09-21,https://fbref.com/en/matches/73dc5828/Rennes-Lens-September-21-2024-Ligue-1
J5,Reims,Paris S-G,1–1,"20,220",Stade Auguste-Delaune,Jérémie Pignard,2024-09-21,https://fbref.com/en/matches/7274e9a5/Reims-Paris-Saint-Germain-September-21-2024-Ligue-1
J5,Monaco,Le Havre,3–1,"6,000",Stade Louis II,Stéphanie Frappart,2024-09-22,https://fbref.com/en/matches/017d7a9d/Monaco-Le-Havre-September-22-2024-Ligue-1
J5,Angers,Nantes,1–1,"16,960",Stade Raymond Kopa,Mathieu Vernice,2024-09-22,https://fbref.com/en/matches/601ddfc9/Angers-Nantes-September-22-2024-Ligue-1
J5,Brest,Toulouse,2–0,"14,580",Stade Francis-Le Blé,Florent Batta,2024-09-22,https://fbref.com/en/matches/7cbba12e/Brest-Toulouse-September-22-2024-Ligue-1
J5,Montpellier,Auxerre,3–2,"11,643",Stade de la Mosson-Mondial 98,Hakim Ben El Hadj Salem,2024-09-22,https://fbref.com/en/matches/ac95cb33/Montpellier-Auxerre-September-22-2024-Ligue-1
J5,Lyon,Marseille,2–3,"53,928",Groupama Stadium,Benoît Bastien,2024-09-22,https://fbref.com/en/matches/35b20e2f/Choc-des-Olympiques-Lyon-Marseille-September-22-2024-Ligue-1
J6,Auxerre,Brest,3–0,"15,381",Stade de l'Abbé Deschamps,Jeremy Stinat,2024-09-27,https://fbref.com/en/matches/8c59509d/Auxerre-Brest-September-27-2024-Ligue-1
J6,Paris S-G,Rennes,3–1,"47,000",Parc des Princes,Hakim Ben El Hadj Salem,2024-09-27,https://fbref.com/en/matches/ab0643c6/Paris-Saint-Germain-Rennes-September-27-2024-Ligue-1
J6,Lens,Nice,0–0,"37,301",Stade Bollaert-Delelis,François Letexier,2024-09-28,https://fbref.com/en/matches/340afccd/Lens-Nice-September-28-2024-Ligue-1
J6,Le Havre,Lille,0–3,"21,369",Stade Océane,Bastien Dechepy,2024-09-28,https://fbref.com/en/matches/e08ccde6/Le-Havre-Lille-September-28-2024-Ligue-1
J6,Monaco,Montpellier,2–1,"13,065",Stade Louis II,Marc Bollengier,2024-09-28,https://fbref.com/en/matches/54ce742c/Monaco-Montpellier-September-28-2024-Ligue-1
J6,Toulouse,Lyon,1–2,"30,026",Stadium de Toulouse,Gaël Angoula,2024-09-29,https://fbref.com/en/matches/a7954dea/Toulouse-Lyon-September-29-2024-Ligue-1
J6,Angers,Reims,1–3,"8,526",Stade Raymond Kopa,Eric Wattellier,2024-09-29,https://fbref.com/en/matches/1ea5cb30/Angers-Reims-September-29-2024-Ligue-1
J6,Nantes,Saint-Étienne,2–2,"34,005",Stade de la Beaujoire - Louis Fonteneau,Abdelatif Kherradji,2024-09-29,https://fbref.com/en/matches/38a94d90/Nantes-Saint-Etienne-September-29-2024-Ligue-1
