Game Week,Home Team,Away Team,Score,Attendance,Venue,Referee,Date,URL
J1,Gladbach,Leverkusen,2–3,"54,042",Stadion im Borussia-Park,Robert Schröder,2024-08-23,https://fbref.com/en/matches/d42e53df/Monchengladbach-Bayer-Leverkusen-August-23-2024-Bundesliga
J1,Hoffenheim,Holstein Kiel,3–2,"18,503",PreZero Arena,Tobias Stieler,2024-08-24,https://fbref.com/en/matches/b549a198/Hoffenheim-Holstein-Kiel-August-24-2024-Bundesliga
J1,Mainz 05,Union Berlin,1–1,"31,500",Mewa Arena,Harm Osmers,2024-08-24,https://fbref.com/en/matches/02dc2f7e/Mainz-05-Union-Berlin-August-24-2024-Bundesliga
J1,Augsburg,Werder Bremen,2–2,"30,660",WWK Arena,Sascha Stegemann,2024-08-24,https://fbref.com/en/matches/967de8db/Augsburg-Werder-Bremen-August-24-2024-Bundesliga
J1,Freiburg,Stuttgart,3–1,"34,700",Europa-Park Stadion,Tobias Welz,2024-08-24,https://fbref.com/en/matches/a64e4ea4/Freiburg-Stuttgart-August-24-2024-Bundesliga
J1,RB Leipzig,Bochum,1–0,"44,611",Red Bull Arena,Benjamin Brand,2024-08-24,https://fbref.com/en/matches/cd173a0a/RB-Leipzig-Bochum-August-24-2024-Bundesliga
J1,Dortmund,Eint Frankfurt,2–0,"81,365",Signal Iduna Park,Felix Zwayer,2024-08-24,https://fbref.com/en/matches/3750f4ea/Dortmund-Eintracht-Frankfurt-August-24-2024-Bundesliga
J1,Wolfsburg,Bayern Munich,2–3,"30,000",Volkswagen Arena,Daniel Siebert,2024-08-25,https://fbref.com/en/matches/48886f11/Wolfsburg-Bayern-Munich-August-25-2024-Bundesliga
J1,St. Pauli,Heidenheim,0–2,"29,157",Millerntor-Stadion,Sven Jablonski,2024-08-25,https://fbref.com/en/matches/26a137cc/St-Pauli-Heidenheim-August-25-2024-Bundesliga
J2,Union Berlin,St. Pauli,1–0,"22,012",Stadion An der Alten Försterei,Bastian Dankert,2024-08-30,https://fbref.com/en/matches/ce5d1374/Union-Berlin-St-Pauli-August-30-2024-Bundesliga
J2,Werder Bremen,Dortmund,0–0,"42,100",Weserstadion,Robert Hartmann,2024-08-31,https://fbref.com/en/matches/0f6a93b4/Werder-Bremen-Dortmund-August-31-2024-Bundesliga
J2,Eint Frankfurt,Hoffenheim,3–1,"57,100",Deutsche Bank Park,Florian Badstübner,2024-08-31,https://fbref.com/en/matches/20afc3a6/Eintracht-Frankfurt-Hoffenheim-August-31-2024-Bundesliga
J2,Bochum,Gladbach,0–2,"26,000",Vonovia Ruhrstadion,Sören Storks,2024-08-31,https://fbref.com/en/matches/d31a8f27/Bochum-Monchengladbach-August-31-2024-Bundesliga
J2,Holstein Kiel,Wolfsburg,0–2,"15,034",Holstein-Stadion,Florian Exner,2024-08-31,https://fbref.com/en/matches/7e2bdec0/Holstein-Kiel-Wolfsburg-August-31-2024-Bundesliga
J2,Stuttgart,Mainz 05,3–3,"59,000",MHPArena,Timo Gerach,2024-08-31,https://fbref.com/en/matches/378509f5/Stuttgart-Mainz-05-August-31-2024-Bundesliga
J2,Leverkusen,RB Leipzig,2–3,"29,615",BayArena,Matthias Jöllenbeck,2024-08-31,https://fbref.com/en/matches/20df1da5/Bayer-Leverkusen-RB-Leipzig-August-31-2024-Bundesliga
J2,Heidenheim,Augsburg,4–0,"15,000",Voith-Arena,Martin Petersen,2024-09-01,https://fbref.com/en/matches/19bab96c/Heidenheim-Augsburg-September-1-2024-Bundesliga
J2,Bayern Munich,Freiburg,2–0,"75,000",Allianz Arena,Christian Dingert,2024-09-01,https://fbref.com/en/matches/c11acc1b/Bayern-Munich-Freiburg-September-1-2024-Bundesliga
J3,Dortmund,Heidenheim,4–2,"81,365",Signal Iduna Park,Robert Schröder,2024-09-13,https://fbref.com/en/matches/c19c18dc/Dortmund-Heidenheim-September-13-2024-Bundesliga
J3,RB Leipzig,Union Berlin,0–0,"47,800",Red Bull Arena,Sven Jablonski,2024-09-14,https://fbref.com/en/matches/5496aa43/RB-Leipzig-Union-Berlin-September-14-2024-Bundesliga
J3,Gladbach,Stuttgart,1–3,"53,756",Stadion im Borussia-Park,Felix Brych,2024-09-14,https://fbref.com/en/matches/571e17c9/Monchengladbach-Stuttgart-September-14-2024-Bundesliga
J3,Freiburg,Bochum,2–1,"34,100",Europa-Park Stadion,Daniel Siebert,2024-09-14,https://fbref.com/en/matches/5ad7fdc3/Freiburg-Bochum-September-14-2024-Bundesliga
J3,Wolfsburg,Eint Frankfurt,1–2,"26,281",Volkswagen Arena,Harm Osmers,2024-09-14,https://fbref.com/en/matches/c0bc9354/Wolfsburg-Eintracht-Frankfurt-September-14-2024-Bundesliga
J3,Hoffenheim,Leverkusen,1–4,"30,150",PreZero Arena,Daniel Schlager,2024-09-14,https://fbref.com/en/matches/e7b9f373/Hoffenheim-Bayer-Leverkusen-September-14-2024-Bundesliga
J3,Holstein Kiel,Bayern Munich,1–6,"15,034",Holstein-Stadion,Tobias Reichel,2024-09-14,https://fbref.com/en/matches/728afee1/Holstein-Kiel-Bayern-Munich-September-14-2024-Bundesliga
J3,Augsburg,St. Pauli,3–1,"30,660",WWK Arena,Felix Zwayer,2024-09-15,https://fbref.com/en/matches/d0ee2c59/Augsburg-St-Pauli-September-15-2024-Bundesliga
J3,Mainz 05,Werder Bremen,1–2,"32,000",Mewa Arena,Benjamin Brand,2024-09-15,https://fbref.com/en/matches/253ece9e/Mainz-05-Werder-Bremen-September-15-2024-Bundesliga
J4,Augsburg,Mainz 05,2–3,"28,913",WWK Arena,Sören Storks,2024-09-20,https://fbref.com/en/matches/72461171/Augsburg-Mainz-05-September-20-2024-Bundesliga
J4,Union Berlin,Hoffenheim,2–1,"21,831",Stadion An der Alten Försterei,Matthias Jöllenbeck,2024-09-21,https://fbref.com/en/matches/204b5cf0/Union-Berlin-Hoffenheim-September-21-2024-Bundesliga
J4,Bochum,Holstein Kiel,2–2,"26,000",Vonovia Ruhrstadion,Martin Petersen,2024-09-21,https://fbref.com/en/matches/b8e02820/Bochum-Holstein-Kiel-September-21-2024-Bundesliga
J4,Heidenheim,Freiburg,0–3,"15,000",Voith-Arena,Benjamin Brand,2024-09-21,https://fbref.com/en/matches/157d560f/Heidenheim-Freiburg-September-21-2024-Bundesliga
J4,Werder Bremen,Bayern Munich,0–5,"42,100",Weserstadion,Bastian Dankert,2024-09-21,https://fbref.com/en/matches/f4a4421c/Werder-Bremen-Bayern-Munich-September-21-2024-Bundesliga
