Game Week,Home Team,Away Team,Score,Attendance,Venue,Referee,Date,URL
J1,Young Boys,Aston Villa,0–3,"31,500",Stadion Wankdorf,Georgi Kabakov,2024-09-17,https://fbref.com/en/matches/568274fc/Young-Boys-Aston-Villa-September-17-2024-Champions-League
J1,Juventus,PSV Eindhoven,3–1,"40,417",Allianz Stadium,Alejandro Hernández,2024-09-17,https://fbref.com/en/matches/931cd5fb/Juventus-PSV-Eindhoven-September-17-2024-Champions-League
J1,Sporting CP,Lille,2–0,"40,024",Estádio José Alvalade,Donatas Rumšas,2024-09-17,https://fbref.com/en/matches/aaca158d/Sporting-CP-Lille-September-17-2024-Champions-League
J1,Real Madrid,Stuttgart,3–1,"71,288",Estadio Santiago Bernabéu,Halil Umut Meler,2024-09-17,https://fbref.com/en/matches/4fb5fcbd/Real-Madrid-Stuttgart-September-17-2024-Champions-League
J1,Milan,Liverpool,1–3,"59,826",Stadio Giuseppe Meazza,Espen Eskås,2024-09-17,https://fbref.com/en/matches/54ed5557/Milan-Liverpool-September-17-2024-Champions-League
J1,Bayern Munich,Dinamo Zagreb,9–2,"75,000",Allianz Arena,Juan Martínez,2024-09-17,https://fbref.com/en/matches/7c5c2955/Bayern-Munich-Dinamo-Zagreb-September-17-2024-Champions-League
J1,Sparta Prague,RB Salzburg,3–0,"17,612",epet Arena,Rade Obrenović,2024-09-18,https://fbref.com/en/matches/936f3ee0/Sparta-Prague-Red-Bull-Salzburg-September-18-2024-Champions-League
J1,Bologna,Shakhtar,0–0,"23,130",Stadio Renato Dall'Ara,Rohit Saggi,2024-09-18,https://fbref.com/en/matches/85075de5/Bologna-Shakhtar-Donetsk-September-18-2024-Champions-League
J1,Celtic,Slovan Bratislava,5–1,"56,826",Celtic Park,Danny Makkelie,2024-09-18,https://fbref.com/en/matches/16af036c/Celtic-Slovan-Bratislava-September-18-2024-Champions-League
J1,Manchester City,Inter,0–0,"50,922",Etihad Stadium,Glenn Nyberg,2024-09-18,https://fbref.com/en/matches/db400f4b/Manchester-City-Internazionale-September-18-2024-Champions-League
J1,Club Brugge,Dortmund,0–3,"19,961",Jan Breydelstadion,Irfan Peljto,2024-09-18,https://fbref.com/en/matches/722df76c/Club-Brugge-Dortmund-September-18-2024-Champions-League
J1,Paris S-G,Girona,1–0,"39,951",Parc des Princes,Daniel Siebert,2024-09-18,https://fbref.com/en/matches/53cfba8e/Paris-Saint-Germain-Girona-September-18-2024-Champions-League
J1,Red Star,Benfica,1–2,"44,238",Stadion Rajko Mitić,Michael Oliver,2024-09-19,https://fbref.com/en/matches/2d931c93/Red-Star-Benfica-September-19-2024-Champions-League
J1,Feyenoord,Leverkusen,0–4,"42,297",Stadion Feijenoord,Davide Massa,2024-09-19,https://fbref.com/en/matches/24c1d39c/Feyenoord-Bayer-Leverkusen-September-19-2024-Champions-League
J1,Monaco,Barcelona,2–1,"13,296",Stade Louis II,Allard Lindhout,2024-09-19,https://fbref.com/en/matches/745d19c2/Monaco-Barcelona-September-19-2024-Champions-League
J1,Atalanta,Arsenal,0–0,"22,858",Gewiss Stadium,Clément Turpin,2024-09-19,https://fbref.com/en/matches/108b9e41/Atalanta-Arsenal-September-19-2024-Champions-League
J1,Brest,Sturm Graz,2–1,"14,518",Stade du Roudourou,Nick Walsh,2024-09-19,https://fbref.com/en/matches/162f5233/Brest-Sturm-Graz-September-19-2024-Champions-League
J1,Atlético Madrid,RB Leipzig,2–1,"57,856",Riyadh Air Metropolitan Stadium,Ivan Kružliak,2024-09-19,https://fbref.com/en/matches/a112dcca/Atletico-Madrid-RB-Leipzig-September-19-2024-Champions-League
J2,Stuttgart,Sparta Prague,1–1,"60,000",MHPArena,Manfredas Lukjančukas,2024-10-01,https://fbref.com/en/matches/80c7f5c5/Stuttgart-Sparta-Prague-October-1-2024-Champions-League
J2,RB Salzburg,Brest,0–4,"20,232",Red Bull Arena,Anthony Taylor,2024-10-01,https://fbref.com/en/matches/aa293551/Red-Bull-Salzburg-Brest-October-1-2024-Champions-League
J2,Arsenal,Paris S-G,2–0,"60,103",Emirates Stadium,Slavko Vinčič,2024-10-01,https://fbref.com/en/matches/190f7f3f/Arsenal-Paris-Saint-Germain-October-1-2024-Champions-League
J2,Barcelona,Young Boys,5–0,"45,097",Estadi Olímpic Lluís Companys,Erik Lambrechts,2024-10-01,https://fbref.com/en/matches/9efdd96e/Barcelona-Young-Boys-October-1-2024-Champions-League
J2,Dortmund,Celtic,7–1,"81,365",Signal Iduna Park,Jose Maria Sánchez,2024-10-01,https://fbref.com/en/matches/925ea41c/Dortmund-Celtic-October-1-2024-Champions-League
J2,Inter,Red Star,4–0,"56,391",Stadio Giuseppe Meazza,Felix Zwayer,2024-10-01,https://fbref.com/en/matches/19b3b47e/Internazionale-Red-Star-October-1-2024-Champions-League
J2,Slovan Bratislava,Manchester City,0–4,"22,500",Štadión Tehelné pole,Davide Massa,2024-10-01,https://fbref.com/en/matches/c46d8356/Slovan-Bratislava-Manchester-City-October-1-2024-Champions-League
J2,PSV Eindhoven,Sporting CP,1–1,"34,400",Philips Stadion,Marco Guida,2024-10-01,https://fbref.com/en/matches/bd985714/PSV-Eindhoven-Sporting-CP-October-1-2024-Champions-League
J2,Leverkusen,Milan,1–0,"30,210",BayArena,Sandro Schärer,2024-10-01,https://fbref.com/en/matches/91294a8b/Bayer-Leverkusen-Milan-October-1-2024-Champions-League
J2,Girona,Feyenoord,2–3,"8,752",Estadi Municipal de Montilivi,Urs Schnyder,2024-10-02,https://fbref.com/en/matches/67eb4cdc/Girona-Feyenoord-October-2-2024-Champions-League
J2,Shakhtar,Atalanta,0–3,"21,636",Veltins-Arena,João Pinheiro,2024-10-02,https://fbref.com/en/matches/c5e0de02/Shakhtar-Donetsk-Atalanta-October-2-2024-Champions-League
J2,Liverpool,Bologna,2–0,"59,816",Anfield,Nikola Dabanović,2024-10-02,https://fbref.com/en/matches/a749c1fe/Liverpool-Bologna-October-2-2024-Champions-League
J2,Aston Villa,Bayern Munich,1–0,"38,991",Villa Park,Radu Petrescu,2024-10-02,https://fbref.com/en/matches/a516238d/Aston-Villa-Bayern-Munich-October-2-2024-Champions-League
J2,Benfica,Atlético Madrid,4–0,"62,028",Estádio do Sport Lisboa e Benfica,Serdar Gözübüyük,2024-10-02,https://fbref.com/en/matches/e5e2d3a2/Benfica-Atletico-Madrid-October-2-2024-Champions-League
J2,Dinamo Zagreb,Monaco,2–2,"12,462",Stadion Maksimir,Harm Osmers,2024-10-02,https://fbref.com/en/matches/facef700/Dinamo-Zagreb-Monaco-October-2-2024-Champions-League
J2,RB Leipzig,Juventus,2–3,"45,228",Red Bull Arena,François Letexier,2024-10-02,https://fbref.com/en/matches/2e8465b9/RB-Leipzig-Juventus-October-2-2024-Champions-League
J2,Sturm Graz,Club Brugge,0–1,"23,205",Merkur Arena,Əliyar Ağayev,2024-10-02,https://fbref.com/en/matches/f871e405/Sturm-Graz-Club-Brugge-October-2-2024-Champions-League
J2,Lille,Real Madrid,1–0,"48,205",Decathlon Arena - Stade Pierre-Mauroy,Maurizio Mariani,2024-10-02,https://fbref.com/en/matches/70cd3947/Lille-Real-Madrid-October-2-2024-Champions-League
J3,Monaco,Red Star,5–1,"9,590",Stade Louis II,Tobias Stieler,2024-10-22,https://fbref.com/en/matches/8450b165/Monaco-Red-Star-October-22-2024-Champions-League
J3,Milan,Club Brugge,3–1,"58,649",Stadio Giuseppe Meazza,Felix Zwayer,2024-10-22,https://fbref.com/en/matches/e11229bf/Milan-Club-Brugge-October-22-2024-Champions-League
J3,Arsenal,Shakhtar,1–0,"59,594",Emirates Stadium,Benoît Bastien,2024-10-22,https://fbref.com/en/matches/32f2220e/Arsenal-Shakhtar-Donetsk-October-22-2024-Champions-League
J3,Aston Villa,Bologna,2–0,"41,847",Villa Park,João Pinheiro,2024-10-22,https://fbref.com/en/matches/e546b256/Aston-Villa-Bologna-October-22-2024-Champions-League
J3,Sturm Graz,Sporting CP,0–2,"23,691",Merkur Arena,Giorgi Kruashvili,2024-10-22,https://fbref.com/en/matches/48444796/Sturm-Graz-Sporting-CP-October-22-2024-Champions-League
J3,Juventus,Stuttgart,0–1,"41,306",Allianz Stadium,Espen Eskås,2024-10-22,https://fbref.com/en/matches/3f121c09/Juventus-Stuttgart-October-22-2024-Champions-League
J3,Real Madrid,Dortmund,5–2,"74,642",Estadio Santiago Bernabéu,István Kovács,2024-10-22,https://fbref.com/en/matches/b77278d7/Real-Madrid-Dortmund-October-22-2024-Champions-League
J3,Girona,Slovan Bratislava,2–0,"9,246",Estadi Municipal de Montilivi,Horațiu Fesnic,2024-10-22,https://fbref.com/en/matches/bde57607/Girona-Slovan-Bratislava-October-22-2024-Champions-League
J3,Paris S-G,PSV Eindhoven,1–1,"47,511",Parc des Princes,Glenn Nyberg,2024-10-22,https://fbref.com/en/matches/59f18bd3/Paris-Saint-Germain-PSV-Eindhoven-October-22-2024-Champions-League
J3,Brest,Leverkusen,1–1,"15,510",Stade du Roudourou,Ivan Kružliak,2024-10-23,https://fbref.com/en/matches/7afed8dc/Brest-Bayer-Leverkusen-October-23-2024-Champions-League
J3,Atalanta,Celtic,0–0,"21,614",Gewiss Stadium,Irfan Peljto,2024-10-23,https://fbref.com/en/matches/ef40e844/Atalanta-Celtic-October-23-2024-Champions-League
J3,Benfica,Feyenoord,1–3,"61,687",Estádio do Sport Lisboa e Benfica,Halil Umut Meler,2024-10-23,https://fbref.com/en/matches/75a4583e/Benfica-Feyenoord-October-23-2024-Champions-League
J3,Manchester City,Sparta Prague,5–0,"50,116",Etihad Stadium,Maurizio Mariani,2024-10-23,https://fbref.com/en/matches/b192c7c9/Manchester-City-Sparta-Prague-October-23-2024-Champions-League
J3,RB Salzburg,Dinamo Zagreb,0–2,"24,018",Red Bull Arena,Danny Makkelie,2024-10-23,https://fbref.com/en/matches/007fa209/Red-Bull-Salzburg-Dinamo-Zagreb-October-23-2024-Champions-League
J3,Young Boys,Inter,0–1,"31,500",Stadion Wankdorf,Michael Oliver,2024-10-23,https://fbref.com/en/matches/f9298241/Young-Boys-Internazionale-October-23-2024-Champions-League
J3,Barcelona,Bayern Munich,4–1,"50,312",Estadi Olímpic Lluís Companys,Slavko Vinčič,2024-10-23,https://fbref.com/en/matches/710ee5bb/Barcelona-Bayern-Munich-October-23-2024-Champions-League
J3,Atlético Madrid,Lille,1–3,"61,197",Riyadh Air Metropolitan Stadium,Marco Guida,2024-10-23,https://fbref.com/en/matches/c956d6a4/Atletico-Madrid-Lille-October-23-2024-Champions-League
J3,RB Leipzig,Liverpool,0–1,"45,228",Red Bull Arena,Sandro Schärer,2024-10-23,https://fbref.com/en/matches/7acc13f8/RB-Leipzig-Liverpool-October-23-2024-Champions-League
J4,Slovan Bratislava,Dinamo Zagreb,1–4,"22,132",Štadión Tehelné pole,Anthony Taylor,2024-11-05,https://fbref.com/en/matches/b17b4e64/Slovan-Bratislava-Dinamo-Zagreb-November-5-2024-Champions-League
J4,PSV Eindhoven,Girona,4–0,"34,400",Philips Stadion,Michael Oliver,2024-11-05,https://fbref.com/en/matches/e12ec3c6/PSV-Eindhoven-Girona-November-5-2024-Champions-League
J4,Sporting CP,Manchester City,4–1,"47,453",Estádio José Alvalade,Daniel Siebert,2024-11-05,https://fbref.com/en/matches/342c86f6/Sporting-CP-Manchester-City-November-5-2024-Champions-League
J4,Liverpool,Leverkusen,4–0,"59,790",Anfield,Danny Makkelie,2024-11-05,https://fbref.com/en/matches/8fca6c33/Liverpool-Bayer-Leverkusen-November-5-2024-Champions-League
J4,Celtic,RB Leipzig,3–1,"57,551",Celtic Park,Benoît Bastien,2024-11-05,https://fbref.com/en/matches/c3867638/Celtic-RB-Leipzig-November-5-2024-Champions-League
J4,Bologna,Monaco,0–1,"23,084",Stadio Renato Dall'Ara,Əliyar Ağayev,2024-11-05,https://fbref.com/en/matches/2a80a9cc/Bologna-Monaco-November-5-2024-Champions-League
J4,Real Madrid,Milan,1–3,"75,561",Estadio Santiago Bernabéu,Slavko Vinčič,2024-11-05,https://fbref.com/en/matches/3e59f3e0/Real-Madrid-Milan-November-5-2024-Champions-League
