Game Week,Home Team,Away Team,Score,Attendance,Venue,Referee,Date,URL
J1,Vitória,NK Celje,3–1,"10,263",Estádio Dom Afonso Henriques,Lothar D'Hondt,2024-10-02,https://fbref.com/en/matches/d8f5ceed/Vitoria-Guimaraes-NK-Celje-October-2-2024-Conference-League
J1,Başakşehir,Rapid Wien,1–2,"7,622",Başakşehir Fatih Terim Stadium,Adam Ladebäck,2024-10-02,https://fbref.com/en/matches/13228ab1/Istanbul-Basaksehir-Rapid-Wien-October-2-2024-Conference-League
J1,Molde,Larne FC,3–0,"3,400",Aker Stadion,Dario Bel,2024-10-03,https://fbref.com/en/matches/dd0fb2bf/Molde-Larne-FC-October-3-2024-Conference-League
J1,Heidenheim,Olimpija,2–1,"12,887",Voith-Arena,Enea Jorgji,2024-10-03,https://fbref.com/en/matches/89ae691e/Heidenheim-Olimpija-Ljubljana-October-3-2024-Conference-League
J1,Legia Warsaw,Betis,1–0,"25,385",Stadion Miejski Legii Warszawa im. Marsz...,Luca Pairetto,2024-10-03,https://fbref.com/en/matches/5aaa818a/Legia-Warsaw-Real-Betis-October-3-2024-Conference-League
J1,Cercle Brugge,St. Gallen,6–2,"5,195",Jan Breydelstadion,Arda Kardeşler,2024-10-03,https://fbref.com/en/matches/ef90ec1d/Cercle-Brugge-St-Gallen-October-3-2024-Conference-League
J1,Dinamo Minsk,Hearts,1–2,"14,300",Mehdi Hüseynzadə adına Sumqayıt şəhər st...,Mohammed Al Hakim,2024-10-03,https://fbref.com/en/matches/b3bea2d1/Dinamo-Minsk-Heart-of-Midlothian-October-3-2024-Conference-League
J1,AC Omonia,KV,4–0,"11,153",Neo GSP,Sander van der Eijk,2024-10-03,https://fbref.com/en/matches/99777bac/AC-Omonia-KV-October-3-2024-Conference-League
J1,Shamrock Rov,APOEL,1–1,"7,111",Tallaght Stadium,Jérémie Pignard,2024-10-03,https://fbref.com/en/matches/17ad6435/Shamrock-Rovers-APOEL-October-3-2024-Conference-League
J1,Chelsea,Gent,4–2,"38,546",Stamford Bridge,Daniel Schlager,2024-10-03,https://fbref.com/en/matches/d1680f6e/Chelsea-Gent-October-3-2024-Conference-League
J1,FC Noah,Mladá Boleslav,2–0,"8,000",Vazgen Sargsyan anvan Hanrapetakan Marza...,Radoslav Gidzhenov,2024-10-03,https://fbref.com/en/matches/35da9cdf/FC-Noah-Mlada-Boleslav-October-3-2024-Conference-League
J1,LASK,Djurgården,2–2,"8,500",Raiffeisen Arena,Bulat Sariyev,2024-10-03,https://fbref.com/en/matches/cf1e60a8/LASK-Djurgarden-October-3-2024-Conference-League
J1,Borac Banja Luka,Panathinaikos,1–1,"4,208",Gradski Stadion,Elchin Masiyev,2024-10-03,https://fbref.com/en/matches/d7966a0e/Borac-Banja-Luka-Panathinaikos-October-3-2024-Conference-League
J1,Fiorentina,The New Saints,2–0,"10,751",Stadio Artemio Franchi,Sebastian Gishamer,2024-10-03,https://fbref.com/en/matches/5522fe5f/Fiorentina-The-New-Saints-October-3-2024-Conference-League
J1,FC Copenhagen,Jagiellonia,1–2,"22,393",Parken,Robert Harvey,2024-10-03,https://fbref.com/en/matches/1e7660a7/FC-Copenhagen-Jagiellonia-October-3-2024-Conference-League
J1,Lugano,HJK,3–0,932,Stockhorn Arena,David Dickinson,2024-10-03,https://fbref.com/en/matches/d4ea6b1a/Lugano-HJK-Helsinki-October-3-2024-Conference-League
J1,Petrocub,Pafos FC,1–4,"3,148",Stadionul Zimbru,Mikkel Redder,2024-10-03,https://fbref.com/en/matches/3e98931f/Petrocub-Sarata-Galbena-Pafos-FC-October-3-2024-Conference-League
