Team,Pts
Liverpool,1
Sporting CP,2
Monaco,3
Brest,4
Inter,5
Barcelona,6
Dortmund,7
Aston Villa,8
Atalanta,9
Manchester City,10
Juventus,11
Arsenal,12
Leverkusen,13
Lille,14
Celtic,15
Dinamo Zagreb,16
Bayern Munich,17
Real Madrid,18
Benfica,19
Milan,20
Feyenoord,21
Club Brugge,22
Atlético Madrid,23
PSV Eindhoven,24
Paris S-G,25
Sparta Prague,26
Stuttgart,27
Shakhtar,28
Girona,29
RB Salzburg,30
Bologna,31
RB Leipzig,32
Sturm Graz,33
Young Boys,34
Red Star,35
Slovan Bratislava,36
