Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
AJ Marcucci,USA,Goalkeeper,NY Red Bulls,25.0,1999,1,1,90,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,4.0,16.0,27.0,3.0,4.0,8.0,1.0,2.0,0.0,-0.3,50.0,25.0,12.5
Adam Beaudry,USA,Goalkeeper,Colorado Rapids,19.0,2006,1,1,90,3.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,2.3,4.0,18.0,21.0,6.0,6.0,4.0,0.0,0.0,0.0,-0.7,60.0,22.22,0.0
Adam Davies,WAL,Goalkeeper,Sheffield Utd,0.0,1992,3,3,270,1.0,2.33,1.33,0.33,0.0,0.0,0.0,0.0,0.9,5.33,12.67,26.33,5.33,5.67,16.33,1.33,0.0,0.0,-0.1,57.08,42.07,8.14
Adrian Šemper,CRO,Goalkeeper,Pisa,0.0,1998,36,36,3240,0.92,3.36,2.47,0.31,0.03,0.03,0.0,0.0,1.04,7.33,17.28,28.17,2.36,4.92,14.08,1.06,0.61,0.0,0.12,73.51,42.42,7.53
Agustín Marchesín,ARG,Goalkeeper,Boca Juniors,37.0,1988,17,17,1530,0.71,3.35,2.65,0.47,0.0,0.0,0.0,0.0,0.85,3.35,9.24,21.76,4.76,8.41,14.41,0.71,0.53,0.0,0.15,79.1,36.26,4.93
Agustín Rossi,ARG,Goalkeeper,br Flamengo,29.0,1995,22,22,1980,0.41,2.59,2.09,0.68,0.14,0.05,0.09,0.0,0.55,2.82,7.41,25.45,3.27,3.77,10.77,1.05,0.82,0.09,0.15,80.69,38.06,9.75
Alan Aguerre,ARG,Goalkeeper,ar Cen. Córdoba–SdE,34.0,1990,23,23,2070,1.22,3.22,2.04,0.3,0.09,0.09,0.0,0.0,1.0,2.91,10.83,14.96,2.52,7.61,12.96,0.39,0.35,0.0,-0.21,63.35,26.87,3.01
Aldair Quintana,COL,Goalkeeper,co CA Bucaramanga,31.0,1994,6,6,540,1.67,5.67,3.83,0.17,0.33,0.17,0.17,0.0,1.75,4.33,10.67,21.0,5.5,7.17,13.33,0.67,1.0,0.17,0.08,67.55,40.58,5.03
Alec Smir,USA,Goalkeeper,Minnesota Utd,26.0,1999,2,1,161,1.68,5.03,3.35,0.0,0.0,0.0,0.0,0.0,1.68,5.59,21.24,22.36,1.68,6.15,17.89,0.0,1.12,0.0,0.0,66.6,26.32,0.0
Alessandro Micai,ITA,Goalkeeper,Cosenza,0.0,1993,37,37,3296,1.45,4.26,2.92,0.19,0.08,0.05,0.0,0.03,1.26,7.1,18.38,32.44,3.58,5.41,15.05,1.5,2.32,0.03,-0.18,68.54,38.63,9.97
