Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency
AJ Marcucci,USA,Goalkeeper,NY Red Bulls,25.0,1999,1,1,90,1,2,1,0,0,0,0,0,0.7,4,16,27,3,4,8,1,2,0,-0.30000000000000004
Adam Beaudry,USA,Goalkeeper,Colorado Rapids,19.0,2006,1,1,90,3,5,3,0,0,0,0,0,2.3,4,18,21,6,6,4,0,0,0,-0.7000000000000002
Adam Davies,WAL,Goalkeeper,Sheffield Utd,,1992,3,3,270,3,7,4,1,0,0,0,0,2.7,16,38,79,16,17,49,4,0,0,-0.2999999999999998
Adrian Šemper,CRO,Goalkeeper,Pisa,,1998,36,36,3240,33,121,89,11,1,1,0,0,37.3,264,622,1014,85,177,507,38,22,0,4.299999999999997
Agustín Marchesín,ARG,Goalkeeper,Boca Juniors,37.0,1988,17,17,1530,12,57,45,8,0,0,0,0,14.5,57,157,370,81,143,245,12,9,0,2.5
Agustín Rossi,ARG,Goalkeeper,br Flamengo,29.0,1995,22,22,1980,9,57,46,15,3,1,2,0,12.2,62,163,560,72,83,237,23,18,2,3.2
Alan Aguerre,ARG,Goalkeeper,ar Cen. Córdoba–SdE,34.0,1990,23,23,2070,28,74,47,7,2,2,0,0,23.099999999999998,67,249,344,58,175,298,9,8,0,-4.900000000000001
Aldair Quintana,COL,Goalkeeper,co CA Bucaramanga,31.0,1994,6,6,540,10,34,23,1,2,1,1,0,10.5,26,64,126,33,43,80,4,6,1,0.5
Alec Smir,USA,Goalkeeper,Minnesota Utd,26.0,1999,2,1,161,3,9,6,0,0,0,0,0,3.0,10,38,40,3,11,32,0,2,0,0.0
Alessandro Micai,ITA,Goalkeeper,Cosenza,,1993,37,37,3296,53,156,107,7,3,2,0,1,46.3,260,673,1188,131,198,551,55,85,1,-6.700000000000003
Alessandro Russo,ITA,Goalkeeper,Sassuolo,,2001,1,1,90,1,5,4,0,1,1,0,0,1.5,1,3,28,12,4,8,2,1,0,0.5
Alessandro Sorrentino,ITA,Goalkeeper,Frosinone,,2002,2,2,180,7,15,8,0,1,1,0,0,5.7,8,20,48,9,9,27,1,0,0,-1.2999999999999998
Alessio Cragno,ITA,Goalkeeper,Sampdoria,,1994,14,14,1260,14,38,24,6,1,1,0,0,14.9,93,230,326,53,106,203,21,18,0,0.9000000000000004
Alex Muralha,BRA,Goalkeeper,Mirassol,35.0,1989,6,6,540,9,25,16,0,1,1,0,0,7.8,13,53,123,19,34,113,3,14,0,-1.2000000000000002
Alex Padilla,ESP,Goalkeeper,UNAM,,2003,10,10,900,17,39,22,2,1,1,0,0,13.5,48,131,264,40,67,124,9,6,0,-3.5
Alex Palmer,ENG,Goalkeeper,West Brom,,1996,30,30,2700,27,101,77,11,1,1,0,0,27.1,137,443,1070,143,158,464,33,42,0,0.10000000000000142
Alexis Martin Arias,ARG,Goalkeeper,py Cerro Porteño,33.0,1992,3,3,270,6,21,15,1,0,0,0,0,5.7,33,63,49,8,37,58,1,2,0,-0.2999999999999998
Alexis Villa,ECU,Goalkeeper,ec LDU de Quito,23.0,2001,1,0,14,0,0,0,1,0,0,0,0,0.0,2,6,4,0,2,2,0,0,0,0.0
Alfonso Blanco Antúnez,MEX,Goalkeeper,León,,1987,26,26,2340,33,129,98,7,4,3,0,1,35.3,128,329,695,128,241,365,11,20,1,2.299999999999997
Alfred Gomis,SEN,Goalkeeper,Palermo,,1993,1,1,36,0,2,2,0,0,0,0,0,0.0,1,1,16,2,1,3,0,0,0,0.0
Aljaž Ivačič,SVN,Goalkeeper,NE Revolution,31.0,1993,24,24,2160,35,101,66,8,4,4,0,0,31.5,83,277,438,57,198,293,9,11,0,-3.5
Anatolii Trubin,UKR,Goalkeeper,Benfica,,2001,32,32,2880,28,101,72,13,3,2,1,0,33.5,73,196,696,137,163,287,22,18,1,5.5
Andre Blake,JAM,Goalkeeper,Philadelphia Union,34.0,1990,15,15,1350,14,47,33,5,2,2,0,0,15.9,76,168,338,46,82,153,7,23,0,1.9000000000000004
Andrea Fulignati,ITA,Goalkeeper,Cremonese,,1994,38,38,3420,44,116,74,8,6,5,0,1,40.6,160,400,1448,139,137,463,34,42,1,-3.3999999999999986
Andreas Jungdal,DEN,Goalkeeper,Westerlo,,2002,8,8,720,10,27,17,2,2,1,1,0,9.2,48,141,263,40,54,130,8,10,1,-0.8000000000000007
Andrew,BRA,Goalkeeper,Gil Vicente FC,,2001,33,33,2970,46,125,80,7,7,6,0,1,42.9,129,357,969,158,278,488,36,34,1,-3.1000000000000014
Andrew Rick,USA,Goalkeeper,Philadelphia Union,19.0,2006,10,10,900,10,23,13,4,1,1,0,0,9.8,56,152,168,28,70,97,3,6,0,-0.1999999999999993
Andrew Tarbell,USA,Goalkeeper,Houston Dynamo,31.0,1993,4,4,306,7,15,8,1,0,0,0,0,6.1,12,33,84,15,13,31,1,4,0,-0.9000000000000004
Andrew Thomas,RUS,Goalkeeper,Seattle Sounders,26.0,1998,6,6,540,15,36,22,0,4,4,0,0,11.8,6,44,111,32,34,86,8,1,0,-3.1999999999999993
Andries Noppert,NED,Goalkeeper,Heerenveen,,1994,16,16,1365,24,67,44,3,1,1,0,0,24.3,65,227,539,58,92,192,13,24,0,0.3000000000000007
Andrés Gudiño,MEX,Goalkeeper,Cruz Azul,,1997,1,1,90,1,3,2,0,0,0,0,0,0.5,2,3,32,4,5,5,0,0,0,-0.5
Andrés Sánchez,MEX,Goalkeeper,Atlético,,1997,30,30,2624,45,132,86,3,2,1,1,0,40.5,92,272,866,135,269,398,23,49,1,-4.5
Angus Gunn,SCO,Goalkeeper,Norwich City,,1996,35,35,3104,42,123,83,7,4,4,0,0,36.4,71,297,1212,172,153,469,24,60,0,-5.600000000000001
Anthoni,BRA,Goalkeeper,br Internacional,23.0,2002,18,17,1575,26,67,43,4,1,1,0,0,19.1,45,144,279,48,131,195,10,19,0,-6.8999999999999995
Anthony Moris,LUX,Goalkeeper,Union SG,,1990,30,30,2700,25,99,74,13,2,1,0,1,33.7,194,444,874,99,100,411,19,25,1,8.700000000000003
