Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
Gavin Bazunu,IRL,Goalkeeper,Standard Liège,,2002,6,6,540,12,25,13,1,0,0,0,0,11.5,25,92,178,25,28,77,0,15
Arnaud Bodart,BEL,Goalkeeper,Standard Liège,,1998,2,2,180,1,6,5,1,0,0,0,0,2.6,18,56,47,4,16,40,8,9
Sinan Bolat,TUR,Goalkeeper,Westerlo,,1988,11,11,990,20,62,42,1,2,2,0,0,19.5,59,168,323,47,79,165,7,12
Colin Coosemans,BEL,Goalkeeper,Anderlecht,,1992,28,28,2520,25,128,101,14,2,0,2,0,39.0,161,396,1227,105,93,383,21,35
Jo Coppens,BEL,Goalkeeper,Sint-Truiden,,1990,3,3,270,11,18,7,0,1,1,0,0,9.0,12,47,96,9,10,50,1,0
Ortwin De Wolf,BEL,Goalkeeper,Mechelen,,1997,30,30,2700,40,142,106,9,5,5,0,0,45.3,130,372,937,150,225,473,32,23
Théo Defourny,BEL,Goalkeeper,Charleroi,,1992,1,1,90,2,4,2,0,0,0,0,0,1.5,1,10,24,3,5,9,0,1
Maxime Delanghe,BEL,Goalkeeper,Cercle Brugge,,2001,21,21,1881,27,87,59,7,3,2,1,0,29.0,105,413,427,39,129,263,6,34
Martin Delavallée,BEL,Goalkeeper,Charleroi,,2004,8,8,720,13,47,34,1,0,0,0,0,14.4,50,116,231,58,46,96,5,11
Julien Devriendt,BEL,Goalkeeper,Dender,,1998,4,3,315,9,26,17,0,1,1,0,0,7.2,13,42,77,23,16,49,2,7
Guillaume Dietsch,FRA,Goalkeeper,Dender,,2001,1,0,49,1,2,1,0,0,0,0,0,0.8,0,1,5,2,0,2,0,0
Matthieu Epolo,BEL,Goalkeeper,Standard Liège,,2004,19,18,1665,21,93,72,8,1,0,1,0,26.2,114,341,399,58,143,279,18,17
Nick Gillekens,BEL,Goalkeeper,Westerlo,,1995,1,1,90,3,11,8,0,0,0,0,0,4.3,8,19,34,7,9,22,0,1
Patrik Gunnarsson,ISL,Goalkeeper,Kortrijk,,2000,11,11,922,16,36,21,1,0,0,0,0,14.9,65,176,243,56,77,179,11,7
Laurent Henkinet,BEL,Goalkeeper,Standard Liège,,1992,4,4,315,1,13,12,2,0,0,0,0,2.5,19,72,76,12,27,93,9,2
Marko Ilić,SRB,Goalkeeper,Kortrijk,,1998,5,5,425,9,27,19,0,0,0,0,0,10.1,28,64,85,24,26,62,4,4
Nordin Jackers,BEL,Goalkeeper,Club Brugge,,1997,1,0,31,1,3,2,0,0,0,0,0,0.8,3,4,28,4,0,2,2,0
Andreas Jungdal,DEN,Goalkeeper,Westerlo,,2002,8,8,720,10,27,17,2,2,1,1,0,9.2,48,141,263,40,54,130,8,10
Mads Kikkenborg,DEN,Goalkeeper,Anderlecht,,1999,2,2,180,2,10,8,0,0,0,0,0,4.2,9,30,71,10,6,37,1,3
Leo Kokubo,JPN,Goalkeeper,Sint-Truiden,,2001,27,27,2430,45,121,77,4,10,9,1,0,45.0,113,318,749,103,172,485,21,36
Mohamed Koné,CIV,Goalkeeper,Charleroi,,2002,21,21,1890,21,74,53,6,4,3,1,0,23.8,118,289,652,85,82,246,28,33
Senne Lammens,BEL,Goalkeeper,Antwerp,,2002,30,30,2700,32,161,127,7,6,2,4,0,44.5,137,369,983,167,142,394,44,21
Tobe Leysen,BEL,Goalkeeper,OH Leuven,,2002,29,29,2610,32,126,95,9,5,4,1,0,40.9,171,511,1023,158,210,462,29,28
Davor Matijas,CRO,Goalkeeper,Beerschot,,1999,10,9,852,22,45,22,2,7,6,1,0,20.2,25,93,297,37,43,125,4,15
Simon Mignolet,BEL,Goalkeeper,Club Brugge,,1988,30,30,2669,35,103,69,8,4,3,1,0,36.0,144,301,920,112,143,374,17,27
Anthony Moris,LUX,Goalkeeper,Union SG,,1990,30,30,2700,25,99,74,13,2,1,0,1,33.7,194,444,874,99,100,411,19,25
Mike Penders,BEL,Goalkeeper,Genk,,2005,11,11,989,8,32,24,4,1,1,0,0,10.2,60,129,386,37,49,121,13,3
Lucas Pirard,BEL,Goalkeeper,Kortrijk,,1995,7,5,543,10,28,18,1,1,1,0,0,14.7,36,88,138,31,37,88,4,12
Maxence Prevot,FRA,Goalkeeper,OH Leuven,,1997,1,1,90,1,5,4,0,0,0,0,0,2.4,14,26,36,5,8,29,2,1
Davy Roef,BEL,Goalkeeper,Gent,,1994,26,26,2340,30,143,114,11,1,1,0,0,45.7,104,265,692,166,215,431,29,14
Daniel Schmidt,JPN,Goalkeeper,Gent,,1992,1,1,90,0,5,5,1,0,0,0,0,2.1,2,11,37,5,2,7,1,0
Nick Shinton,BEL,Goalkeeper,Beerschot,,2001,21,21,1845,37,119,83,3,4,4,0,0,40.2,84,322,662,78,106,361,11,27
Hendrik Van Crombrugge,BEL,Goalkeeper,Genk,,1993,19,19,1710,24,71,47,8,1,0,0,1,23.2,103,237,673,63,80,253,6,9
Koen Van Langendonck,BEL,Goalkeeper,Westerlo,,1989,10,10,900,16,41,24,2,3,2,1,0,16.4,53,117,278,38,80,144,7,17
