Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches
Aaron Ramsdale,ENG,Southampton,English Premier League,GK,Goalkeeper,27,2610,181.0,63.0,116.0,60.5,-2.5,3,194.0,592.0,987.0,121.0,35771.3,188.0,10594.6,449.0,24.0,20.0,341.4,1
Adrian Rodriguez,ESP,Alavés,Spanish La Liga,GK,Goalkeeper,24,122,6.0,2.0,4.0,1.5,-0.5,1,18.0,48.0,26.0,0.0,1464.0,24.0,1618.6,33.0,0.0,0.0,0.0,1
Adrián,ESP,Betis,"Spanish La Liga, UEFA Europa Conference League",GK,Goalkeeper,38,2340,101.0,36.0,65.0,36.0,0.0,5,73.0,224.0,688.0,113.0,21180.6,142.0,4576.2,309.0,20.0,23.0,395.3,1
Aitor Fernández,ESP,Osasuna,Spanish La Liga,GK,Goalkeeper,33,90,5.0,0.0,5.0,1.2,1.2,1,19.0,35.0,34.0,4.0,1509.6,11.0,658.9,14.0,1.0,1.0,10.6,1
Alban Lafont,FRA,Nantes,French Ligue 1,GK,Goalkeeper,25,990,48.0,18.0,32.0,16.2,-1.8,2,35.0,133.0,286.0,50.0,10043.1,51.0,2571.8,188.0,14.0,6.0,87.3,1
Albert Posiadala,POL,Molde,UEFA Europa Conference League,GK,Goalkeeper,21,450,15.0,9.0,6.0,7.7,-1.3,1,13.0,36.0,132.0,19.0,3632.5,20.0,551.4,42.0,2.0,10.0,165.4,1
Aleksandr Zarutskiy,KAZ,Astana FK,UEFA Europa Conference League,GK,Goalkeeper,31,90,6.0,2.0,4.0,2.4,0.4,0,2.0,6.0,19.0,5.0,507.3,5.0,204.0,18.0,1.0,0.0,0.0,1
Aleksei Ploshchadnyi,RUS,FC Noah,UEFA Europa Conference League,GK,Goalkeeper,20,270,18.0,7.0,10.0,7.1,0.1,1,9.0,29.0,68.0,14.0,2285.3,17.0,544.7,41.0,2.0,4.0,62.8,1
Alen Sherri,ALB,Cagliari,Italian Serie A,GK,Goalkeeper,27,621,31.0,11.0,20.0,11.0,0.0,1,29.0,84.0,168.0,22.0,5411.6,57.0,2110.0,85.0,4.0,5.0,67.3,1
Alex McCarthy,ENG,Southampton,English Premier League,GK,Goalkeeper,35,360,29.0,12.0,17.0,11.0,-1.0,0,23.0,49.0,103.0,21.0,3278.2,21.0,654.6,60.0,7.0,0.0,0.0,1
Alex Meret,ITA,Napoli,Italian Serie A,GK,Goalkeeper,28,2790,78.0,23.0,54.0,23.5,0.5,15,80.0,194.0,951.0,108.0,26288.5,174.0,6168.8,353.0,18.0,41.0,790.9,1
Alex Padilla,ESP,Athletic Club,Spanish La Liga,GK,Goalkeeper,21,321,17.0,6.0,12.0,4.8,-1.2,1,27.0,78.0,98.0,15.0,4071.5,22.0,1419.7,57.0,2.0,3.0,47.8,1
Alex Palmer,ENG,Ipswich Town,English Premier League,GK,Goalkeeper,28,1170,71.0,30.0,43.0,25.2,-4.8,0,71.0,186.0,329.0,55.0,11165.8,94.0,4774.5,249.0,20.0,13.0,181.9,1
Alexander Meyer,GER,Dortmund,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,33,270,12.0,4.0,8.0,4.1,0.1,1,11.0,42.0,121.0,8.0,3818.8,11.0,630.0,33.0,3.0,3.0,44.6,1
Alexander Nübel,GER,Stuttgart,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,28,3330,151.0,61.0,90.0,48.6,-12.4,7,167.0,440.0,1304.0,152.0,39509.9,131.0,5205.6,449.0,24.0,56.0,1237.7,1
Alexander Schlager,AUT,RB Salzburg,UEFA Champions League,GK,Goalkeeper,28,335,31.0,13.0,18.0,10.5,-2.5,0,14.0,49.0,95.0,14.0,3659.7,22.0,744.1,57.0,4.0,11.0,235.2,1
Alexander Schwolow,GER,Union Berlin,German Bundesliga,GK,Goalkeeper,32,450,23.0,9.0,14.0,6.9,-2.1,0,24.0,62.0,142.0,20.0,4400.1,35.0,1462.9,75.0,0.0,4.0,83.0,1
Aleš Mandous,CZE,Slavia Prague,UEFA Europa League,GK,Goalkeeper,32,180,14.0,4.0,9.0,4.8,0.8,0,7.0,18.0,72.0,11.0,1911.0,7.0,333.1,19.0,1.0,2.0,32.3,1
Alisson,BRA,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,32,2958,125.0,32.0,95.0,36.3,3.3,11,97.0,278.0,1065.0,151.0,29482.2,98.0,3425.4,312.0,15.0,56.0,1020.1,1
Alphonse Areola,FRA,West Ham,English Premier League,GK,Goalkeeper,32,2125,108.0,39.0,72.0,33.5,-5.5,4,123.0,355.0,743.0,113.0,23790.1,177.0,7539.5,370.0,13.0,29.0,551.3,1
Altay Bayındır,TUR,Manchester Utd,"English Premier League, UEFA Europa League",GK,Goalkeeper,27,540,27.0,11.0,17.0,12.0,1.0,2,13.0,72.0,180.0,19.0,5679.9,31.0,1474.0,70.0,4.0,9.0,143.7,1
Amir Saipi,KVX,Lugano,UEFA Europa Conference League,GK,Goalkeeper,24,630,35.0,10.0,24.0,11.4,1.4,3,50.0,103.0,331.0,28.0,10177.5,34.0,1418.0,89.0,5.0,1.0,13.8,1
Anatolii Trubin,UKR,Benfica,UEFA Champions League,GK,Goalkeeper,23,990,55.0,17.0,38.0,12.4,-4.6,4,19.0,88.0,251.0,64.0,7775.1,62.0,2181.0,163.0,8.0,5.0,66.0,1
Andrea Mazza,ITA,Monza,Italian Serie A,GK,Goalkeeper,21,8,0.0,0.0,0.0,0.0,0.0,1,1.0,2.0,5.0,1.0,120.0,2.0,80.0,1.0,0.0,0.0,0.0,1
Andriy Lunin,UKR,Real Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,26,810,32.0,11.0,21.0,11.3,0.3,4,23.0,46.0,186.0,40.0,4902.1,48.0,1447.3,78.0,6.0,15.0,292.6,1
André Ferreira,POR,Valladolid,Spanish La Liga,GK,Goalkeeper,28,540,39.0,20.0,19.0,15.2,-4.8,0,30.0,83.0,138.0,26.0,4664.1,56.0,2337.0,92.0,4.0,3.0,37.4,1
André Onana,CMR,Manchester Utd,"English Premier League, UEFA Europa League",GK,Goalkeeper,29,3960,170.0,59.0,111.0,56.5,-2.5,10,152.0,547.0,1418.0,160.0,43576.2,188.0,8917.9,512.0,30.0,35.0,702.4,1
Anthony Lopes,POR,Nantes,French Ligue 1,GK,Goalkeeper,34,1383,56.0,23.0,34.0,20.8,-2.2,3,73.0,200.0,400.0,48.0,13795.2,76.0,3672.3,247.0,14.0,8.0,128.8,1
