Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
AJ Marcucci,USA,Goalkeeper,NY Red Bulls,25.0,1999,1,1,90,60,49,45,33
Aaron Connolly,IRL,Forward,Sunderland,0.0,2000,24,8,905,40,29,41,43
Aaron Herrera,GUA,Midfielder,D.C. United,28.0,1997,19,17,1530,50,70,70,60
Aaron Long,USA,Defender,LAFC,32.0,1992,15,15,1271,62,54,31,46
Aaron Meijers,NED,Defender,RKC Waalwijk,0.0,1987,17,9,753,43,61,59,54
Aaron Mejía Montoya,MEX,Midfielder,Tijuana,0.0,2001,30,19,1813,28,41,39,40
Aaron Nicolás Molinas,ARG,Midfielder,Defensa y Just,24.0,2000,17,15,1136,80,81,84,34
Aaron Quirós,ARG,Defender,Vélez Sarsfield,23.0,2001,10,8,680,24,27,41,67
Aaron Ramsey,WAL,Midfielder,Cardiff City,0.0,1990,8,6,557,43,62,61,51
Aaron Ramsey,ENG,Midfielder,Burnley,0.0,2003,1,0,7,28,10,41,11
Aarón Arredondo,MEX,Midfielder,América,0.0,2003,2,2,179,46,77,41,34
Abdelkahar Kadri,ALG,Forward,Kortrijk,0.0,2000,23,19,1659,44,83,66,60
Abdoulay Diaby,MLI,Forward,Boavista,0.0,1991,12,9,894,36,36,32,41
Abdoulaye Kamara,GUI,Forward,Portsmouth,0.0,2004,5,0,124,36,44,48,61
Abdoulaye Sissako,FRA,Midfielder,Kortrijk,0.0,1998,24,18,1580,59,37,45,67
Abdurrahman Burak Sayın,0,Forward,Fortuna Sittard,0.0,0,1,0,4,48,32,43,8
Abdülkadir Ömür,TUR,Forward,Hull City,0.0,1999,20,12,1064,26,51,44,52
Abel Paredes,PAR,Defender,py Olimpia,28.0,1997,2,0,23,33,45,58,4
Abiel Osorio,ARG,Forward,Defensa y Just,23.0,2002,17,13,1094,43,38,46,42
Abner,BRA,Defender,Juventude,21.0,2004,9,6,653,23,44,35,44
Abraham Bass,MEX,Midfielder,Atlas,0.0,2001,1,0,10,28,15,33,11
Abu Kamara,ENG,Forward,Norwich City,0.0,2003,38,25,2273,64,49,66,67
Adalberto Carrasquilla,PAN,Midfielder,UNAM,0.0,1998,15,11,1010,70,83,84,24
Adalberto Peñaranda,VEN,Forward,co CA Bucaramanga,28.0,1997,4,1,129,37,28,77,66
Adam Armstrong,ENG,Forward,West Brom,0.0,1997,16,12,1008,43,26,34,36
Adam Bareiro,PAR,Forward,Fortaleza,29.0,1996,3,0,28,44,32,54,35
Adam Beaudry,USA,Goalkeeper,Colorado Rapids,19.0,2006,1,1,90,40,46,45,33
Adam Davies,WAL,Goalkeeper,Sheffield Utd,0.0,1992,3,3,270,40,47,45,34
