Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
AJ Marcucci,USA,Goalkeeper,NY Red Bulls,25.0,1999,1,1,90,28,34
Adam Beaudry,USA,Goalkeeper,Colorado Rapids,19.0,2006,1,1,90,9,42
Adam Davies,WAL,Goalkeeper,Sheffield Utd,0.0,1992,3,3,270,38,72
Adrian Šemper,CRO,Goalkeeper,Pisa,0.0,1998,36,36,3240,64,68
Agustín Marchesín,ARG,Goalkeeper,Boca Juniors,37.0,1988,17,17,1530,67,43
Agustín Rossi,ARG,Goalkeeper,br Flamengo,29.0,1995,22,22,1980,74,36
Alan Aguerre,ARG,Goalkeeper,ar Cen. Córdoba–SdE,34.0,1990,23,23,2070,25,14
Aldair Quintana,COL,Goalkeeper,co CA Bucaramanga,31.0,1994,6,6,540,60,58
Alec Smir,USA,Goalkeeper,Minnesota Utd,26.0,1999,2,1,161,43,40
Alessandro Micai,ITA,Goalkeeper,Cosenza,0.0,1993,37,37,3296,41,73
Alessandro Russo,ITA,Goalkeeper,Sassuolo,0.0,2001,1,1,90,83,42
Alessandro Sorrentino,ITA,Goalkeeper,Frosinone,0.0,2002,2,2,180,13,54
Alessio Cragno,ITA,Goalkeeper,Sampdoria,0.0,1994,14,14,1260,59,66
Alex Muralha,BRA,Goalkeeper,Mirassol,35.0,1989,6,6,540,27,15
Alex Padilla,ESP,Goalkeeper,UNAM,0.0,2003,10,10,900,23,56
Alex Palmer,ENG,Goalkeeper,West Brom,0.0,1996,30,30,2700,57,61
Alexis Martin Arias,ARG,Goalkeeper,py Cerro Porteño,33.0,1992,3,3,270,37,63
Alexis Villa,ECU,Goalkeeper,ec LDU de Quito,23.0,2001,1,0,14,42,59
Alfonso Blanco Antúnez,MEX,Goalkeeper,León,0.0,1987,26,26,2340,60,64
Alfred Gomis,SEN,Goalkeeper,Palermo,0.0,1993,1,1,36,48,61
Aljaž Ivačič,SVN,Goalkeeper,NE Revolution,31.0,1993,24,24,2160,30,21
Anatolii Trubin,UKR,Goalkeeper,Benfica,0.0,2001,32,32,2880,69,35
Andre Blake,JAM,Goalkeeper,Philadelphia Union,34.0,1990,15,15,1350,62,55
Andrea Fulignati,ITA,Goalkeeper,Cremonese,0.0,1994,38,38,3420,42,60
Andreas Jungdal,DEN,Goalkeeper,Westerlo,0.0,2002,8,8,720,43,75
Andrew,BRA,Goalkeeper,Gil Vicente FC,0.0,2001,33,33,2970,43,56
Andrew Rick,USA,Goalkeeper,Philadelphia Union,19.0,2006,10,10,900,41,46
Andrew Tarbell,USA,Goalkeeper,Houston Dynamo,31.0,1993,4,4,306,23,47
Andrew Thomas,RUS,Goalkeeper,Seattle Sounders,26.0,1998,6,6,540,20,22
Andries Noppert,NED,Goalkeeper,Heerenveen,0.0,1994,16,16,1365,53,51
Andrés Gudiño,MEX,Goalkeeper,Cruz Azul,0.0,1997,1,1,90,14,50
Andrés Sánchez,MEX,Goalkeeper,Atlético,0.0,1997,30,30,2624,36,48
Angus Gunn,SCO,Goalkeeper,Norwich City,0.0,1996,35,35,3104,34,40
Anthoni,BRA,Goalkeeper,br Internacional,23.0,2002,18,17,1575,23,17
Anthony Moris,LUX,Goalkeeper,Union SG,0.0,1990,30,30,2700,74,71
Anthony Patterson,ENG,Goalkeeper,Sunderland,0.0,2000,42,42,3780,43,47
Arnaud Bodart,BEL,Goalkeeper,Standard Liège,0.0,1998,2,2,180,90,56
Arturo Delgado,MEX,Goalkeeper,FC Juárez,0.0,2002,2,2,180,85,64
Axel Werner,ARG,Goalkeeper,Rosario Central,29.0,1996,2,2,180,77,23
Aynsley Pears,ENG,Goalkeeper,Blackburn,0.0,1998,40,40,3600,55,41
Balázs Tóth,HUN,Goalkeeper,Blackburn,0.0,1997,6,6,540,78,23
Ben Killip,ENG,Goalkeeper,Portsmouth,0.0,1995,2,2,180,65,81
Ben Wilson,ENG,Goalkeeper,Coventry City,0.0,1992,4,4,360,54,45
Benjamin Lundt,GER,Goalkeeper,St. Louis,29.0,1995,9,9,810,52,70
Benny Díaz,MEX,Goalkeeper,FC Juárez,0.0,1998,11,11,990,24,55
Blake Gillingham,USA,Goalkeeper,Houston Dynamo,22.0,2002,4,3,294,81,35
Boris Radunović,SRB,Goalkeeper,Bari,0.0,1996,37,37,3311,69,50
Brad Guzan,USA,Goalkeeper,Atlanta Utd,40.0,1984,23,23,2070,27,59
Brad Stuver,USA,Goalkeeper,Austin,34.0,1991,23,23,2070,68,70
Bradley Collins,ENG,Goalkeeper,Coventry City,0.0,1997,15,14,1313,19,56
Brayan Cortés,CHI,Goalkeeper,cl Colo-Colo,30.0,1995,5,5,450,16,14
Brenno,BRA,Goalkeeper,Fortaleza,26.0,1999,1,1,90,68,38
Brian Araújo,FRA,Goalkeeper,Gil Vicente FC,0.0,2000,1,1,90,44,61
Bruno Brigido,BRA,Goalkeeper,Estrela,0.0,1991,18,18,1575,30,44
Bruno Ferreira,BRA,Goalkeeper,Ceará,31.0,1994,9,9,783,58,41
Bruno Varela,CPV,Goalkeeper,Vitória,0.0,1994,34,34,3060,39,42
C.J. dos Santos,USA,Goalkeeper,San Diego FC,24.0,2000,21,21,1890,49,44
Caio Secco,BRA,Goalkeeper,Moreirense,0.0,1990,5,5,447,38,25
Camilo Vargas,COL,Goalkeeper,Atlas,0.0,1989,31,31,2790,26,50
Carl Rushworth,ENG,Goalkeeper,Hull City,0.0,2001,2,2,180,28,49
Carlos Acevedo,MEX,Goalkeeper,Santos,0.0,1996,33,33,2970,26,61
Carlos Coronel,PAR,Goalkeeper,NY Red Bulls,28.0,1996,24,24,2160,69,35
Carlos Felipe Rodríguez,MEX,Goalkeeper,UANL,0.0,1989,3,3,270,70,20
Carlos Lampe,BOL,Goalkeeper,bo Bolívar,38.0,1987,1,1,90,82,59
Carlos Moreno,MEX,Goalkeeper,Pachuca,0.0,1998,32,32,2880,31,71
Caíque França,BRA,Goalkeeper,Sport Recife,30.0,1995,12,12,1080,36,45
Cesar López,MEX,Goalkeeper,Atlético,0.0,2000,5,4,436,28,44
Cezary Miszta,POL,Goalkeeper,Rio Ave,0.0,2001,26,26,2325,44,50
Chris Brady,USA,Goalkeeper,Chicago Fire,21.0,2004,18,18,1565,54,33
