Player,Nationality,Team,League,Position,General Position,Age,Minutes,Matches,Offensive Index,Passing Index,Possession Index,Defensive Index
Aapo Halme,FIN,HJK,UEFA Europa Conference League,CM,Midfielder,26,59,1,27,16,7,46
Aaron Ciammaglichella,ITA,Torino,Italian Serie A,CM,Midfielder,19,1,1,27,13,6,5
Aaron Cresswell,ENG,West Ham,English Premier League,CB,Defender,35,823,1,38,74,43,35
Aaron Donnelly,NIR,Larne FC,UEFA Europa Conference League,CB,Defender,24,279,1,31,19,10,57
Aaron Greene,IRL,Shamrock Rov,UEFA Europa Conference League,AM,Forward,35,109,1,42,32,36,15
Aaron Malouda,FRA,Lille,French Ligue 1,AM,Forward,19,2,1,23,13,6,8
Aaron McEneff,IRL,Shamrock Rov,UEFA Europa Conference League,CM,Midfielder,29,352,1,36,44,60,35
Aaron Wan-Bissaka,ENG,West Ham,English Premier League,RB,Defender,27,3064,1,80,77,89,39
Aarón Martín,ESP,Genoa,Italian Serie A,LB,Defender,28,3085,1,52,80,63,35
Abakar Sylla,CIV,Strasbourg,French Ligue 1,CB,Defender,22,950,1,64,24,24,55
Abbas Huseynov,AZE,Qarabağ,UEFA Europa League,RB,Defender,29,239,1,43,63,63,52
Abdallah Sima,SEN,Brest,"French Ligue 1, UEFA Champions League",LW,Forward,23,1746,1,72,42,51,55
Abde Ezzalzouli,MAR,Betis,"Spanish La Liga, UEFA Europa Conference League",LW,Forward,23,2653,1,52,55,90,62
Abdel Abqar,MAR,Alavés,Spanish La Liga,CB,Defender,26,2463,1,35,49,33,51
Abdellah Zoubir,FRA,Qarabağ,UEFA Europa League,LW,Forward,33,689,1,52,80,88,45
Abderrahman Rebbach,ALG,Alavés,Spanish La Liga,LW,Forward,26,385,1,31,47,64,48
Abdou Harroui,NED,Hellas Verona,Italian Serie A,AM,Forward,26,463,1,44,65,74,61
Abdoul Koné,FRA,Reims,French Ligue 1,RB,Defender,19,133,1,37,19,29,70
Abdoulaye Bamba,CIV,Angers,French Ligue 1,CB,Defender,35,1510,1,30,36,22,30
Abdoulaye Diaby,MLI,St. Gallen,UEFA Europa Conference League,CB,Defender,24,360,1,37,45,28,73
Abdoulaye Doucouré,MLI,Everton,English Premier League,AM,Forward,32,2422,1,34,41,34,62
Abdoulaye Keita,ESP,Getafe,Spanish La Liga,CM,Midfielder,22,95,1,31,45,39,75
Abdoulaye Niakhate Ndiaye,SEN,Brest,"French Ligue 1, UEFA Champions League",CB,Defender,23,1887,1,55,25,23,63
Abdoulaye Touré,GUI,Le Havre,French Ligue 1,DM,Midfielder,31,2324,1,69,40,32,64
Abdoulie Ceesay,GAM,St. Pauli,German Bundesliga,AM,Forward,21,60,1,26,20,28,54
Abdu Conté,POR,Young Boys,UEFA Champions League,LB,Defender,26,28,1,31,25,55,10
Abdukodir Khusanov,UZB,"Lens, Manchester City","English Premier League, French Ligue 1, UEFA Champions League",CB,Defender,21,1568,1,50,47,35,64
Abdul Fatawu Issahaku,GHA,Leicester City,English Premier League,RW,Forward,20,489,1,39,71,92,81
Abdul Mumin,GHA,Rayo Vallecano,Spanish La Liga,CB,Defender,26,2017,1,67,30,35,53
Abdón Prats,ESP,Mallorca,Spanish La Liga,AM,Forward,32,456,1,51,21,11,46
Abdülkerim Bardakcı,TUR,Galatasaray,UEFA Europa League,CB,Defender,30,895,1,82,62,58,62
Abel,ESP,Osasuna,Spanish La Liga,LB,Defender,24,2074,1,80,62,82,53
Abel Ruiz,ESP,Girona,"Spanish La Liga, UEFA Champions League",AM,Forward,25,1491,1,39,35,32,32
Abner,BRA,Lyon,"French Ligue 1, UEFA Europa League",LB,Defender,24,1445,1,85,82,80,47
Aboubacar Bassinga,CIV,Las Palmas,Spanish La Liga,AM,Forward,19,4,1,23,13,6,8
Abzal Beisebekov,KAZ,Astana FK,UEFA Europa Conference League,CB,Defender,31,180,1,41,67,55,16
Achraf Hakimi,MAR,Paris S-G,"French Ligue 1, UEFA Champions League",RB,Defender,26,3606,1,95,95,94,52
Adam Armstrong,ENG,Southampton,English Premier League,AM,Forward,27,1248,1,34,40,39,41
Adam Aznou,MAR,"Bayern Munich, Valladolid","German Bundesliga, Spanish La Liga, UEFA Champions League",LB,Defender,18,895,1,44,49,70,76
Adam Buksa,POL,Midtjylland,UEFA Europa League,AM,Forward,28,720,1,42,45,21,56
Adam Daghim,DEN,RB Salzburg,UEFA Champions League,AM,Forward,19,393,1,56,34,70,38
Adam Dźwigała,POL,St. Pauli,German Bundesliga,CB,Midfielder,29,373,1,21,28,18,76
Adam Forrester,SCO,Hearts,UEFA Europa Conference League,RB,Defender,19,343,1,42,59,77,61
Adam Gabriel,CZE,Midtjylland,UEFA Europa League,RB,Defender,23,170,1,21,61,83,37
Adam Gnezda Čerin,SVN,Panathinaikos,UEFA Europa Conference League,DM,Midfielder,25,286,1,29,57,41,62
Adam Hložek,CZE,Hoffenheim,"German Bundesliga, UEFA Europa League",AM,Forward,22,2392,1,73,61,57,53
Adam Idah,IRL,Celtic,UEFA Champions League,AM,Forward,24,341,1,73,15,28,63
Adam Lallana,ENG,Southampton,English Premier League,CM,Midfielder,36,361,1,33,82,64,63
Adam Markhiev,FIN,FK Rīgas FS,UEFA Europa League,CM,Midfielder,22,636,1,70,34,64,65
Adam Marušić,MNE,Lazio,"Italian Serie A, UEFA Europa League",RB,Defender,32,3336,1,86,54,65,35
Adam Masina,MAR,Torino,Italian Serie A,CB,Defender,31,1829,1,67,58,47,63
Adam Obert,SVK,Cagliari,Italian Serie A,LB,Defender,22,1077,1,78,58,54,63
Adam Sevinsky,CZE,Sparta Prague,UEFA Champions League,CB,Defender,20,90,1,48,29,10,49
Adam Smith,ENG,Bournemouth,English Premier League,RB,Defender,34,1417,1,34,52,56,40
Adam Ståhl,FIN,Djurgården,UEFA Europa Conference League,RB,Defender,30,989,1,46,65,74,63
Adam Sørensen,DEN,Bodø/Glimt,UEFA Europa League,LB,Defender,23,10,1,54,48,38,3
Adam Webster,ENG,Brighton,English Premier League,CB,Defender,30,772,1,40,49,47,70
Adam Wharton,ENG,Crystal Palace,English Premier League,CM,Midfielder,20,1241,1,52,81,46,47
Adam Wilson,KEN,The New Saints,UEFA Europa Conference League,AM,Forward,24,168,1,31,30,57,50
Adama Boiro,ESP,Athletic Club,"Spanish La Liga, UEFA Europa League",LB,Defender,22,1176,1,74,67,78,39
Adama Traoré,MLI,Ferencváros,UEFA Europa League,LW,Forward,29,2393,2,50,74,81,50
Adamo Nagalo,BFA,PSV Eindhoven,UEFA Champions League,CB,Defender,22,146,1,31,29,29,54
Ademola Lookman,NGA,Atalanta,"Italian Serie A, UEFA Champions League",AM,Forward,27,2726,1,91,84,90,47
Adil Taoui,FRA,LASK,UEFA Europa Conference League,CM,Midfielder,23,107,1,23,51,97,59
Adnan Januzaj,BEL,Las Palmas,Spanish La Liga,AM,Forward,30,598,1,75,86,78,46
Ado Onaiwu,JPN,Auxerre,French Ligue 1,AM,Forward,29,957,1,66,56,53,73
Adri Embarba,ESP,Rayo Vallecano,Spanish La Liga,RW,Forward,33,1607,1,41,59,59,61
Adrian Baquerin,ESP,Valladolid,Spanish La Liga,AM,Forward,18,49,1,16,30,6,64
Adrian Beck,GER,Heidenheim,"German Bundesliga, UEFA Europa Conference League",AM,Forward,27,2078,1,59,66,52,73
Adrian Benedyczak,POL,Parma,Italian Serie A,AM,Forward,24,169,1,17,19,29,65
Adrian Bernabe,ESP,Parma,Italian Serie A,DM,Midfielder,23,1453,1,62,70,72,51
Adrian Cieślewicz,POL,The New Saints,UEFA Europa Conference League,LM,Midfielder,34,50,1,36,77,81,21
Adrian Niño,ESP,Atlético Madrid,Spanish La Liga,AM,Forward,20,12,1,12,13,17,8
Adrian Skogmar,SWE,Malmö,UEFA Europa League,RB,Defender,19,99,1,51,30,82,36
Adrian Șut,ROU,FCSB,UEFA Europa League,DM,Midfielder,25,879,1,70,31,24,56
Adriano Bregou,GRE,Panathinaikos,UEFA Europa Conference League,LM,Midfielder,18,2,1,27,13,24,5
Adrien Rabiot,FRA,Marseille,French Ligue 1,AM,Forward,30,2485,1,63,67,66,65
Adrien Tameze,CMR,Torino,Italian Serie A,CM,Midfielder,31,586,1,36,53,60,61
Adrien Thomasson,FRA,Lens,French Ligue 1,CM,Midfielder,31,2615,1,60,82,65,49
Adrien Truffert,FRA,Rennes,French Ligue 1,WB,Midfielder,23,2752,1,60,67,75,49
Adrià Altimira,ESP,Leganés,Spanish La Liga,RB,Defender,24,1630,1,45,50,67,40
Adrià Pedrosa,ESP,Sevilla,Spanish La Liga,LB,Defender,27,2298,1,78,68,75,42
Adrián Diéguez,ESP,Jagiellonia,UEFA Europa Conference League,CB,Defender,28,449,1,35,33,35,54
Adrián Marín,ESP,Braga,UEFA Europa League,LB,Defender,28,174,1,30,42,46,55
Adryelson,BRA,"Anderlecht, Lyon","French Ligue 1, UEFA Europa League",CB,Defender,26,181,1,40,32,32,73
Adu Ares,ESP,Athletic Club,Spanish La Liga,RW,Forward,22,19,1,42,39,68,37
Afimico Pululu,NAN,Jagiellonia,UEFA Europa Conference League,AM,Forward,26,996,1,78,47,45,45
Afonso Bastardo,POR,Sporting CP,UEFA Champions League,AM,Forward,19,35,1,30,28,50,8
Aguibou Camara,GUI,Ludogorets,UEFA Europa League,AM,Forward,23,266,1,23,32,24,70
Agustín Doffo,ARG,Olimpija,UEFA Europa Conference League,CM,Midfielder,29,629,1,34,63,65,61
Ahmed Qasem,SWE,Elfsborg,UEFA Europa League,LW,Forward,21,663,1,38,38,25,73
Ahmet Muhamedbegovic,AUT,Olimpija,UEFA Europa Conference League,CB,Defender,26,630,1,43,40,41,60
Ahmetcan Kaplan,TUR,Ajax,UEFA Europa League,CB,Defender,22,197,1,33,18,37,38
Aihen Muñoz,ESP,Real Sociedad,"Spanish La Liga, UEFA Europa League",LB,Defender,27,1726,1,37,50,72,53
Aimar Oroz,ESP,Osasuna,Spanish La Liga,LM,Midfielder,23,2966,1,78,69,82,42
Aimen Moueffek,FRA,Saint-Étienne,French Ligue 1,RM,Midfielder,24,1039,1,32,58,62,51
Aingeru Olabarrieta,ESP,Athletic Club,"Spanish La Liga, UEFA Europa League",RW,Forward,19,83,1,23,15,39,50
Ainsley Maitland-Niles,ENG,Lyon,"French Ligue 1, UEFA Europa League",RB,Defender,27,2944,1,62,85,79,56
Aitor Paredes,ESP,Athletic Club,"Spanish La Liga, UEFA Europa League",CB,Defender,25,2627,1,71,37,26,45
Aitor Ruibal,ESP,Betis,"Spanish La Liga, UEFA Europa Conference League",RB,Defender,29,2138,1,75,84,81,57
Akor Adams,NGA,"Montpellier, Sevilla","French Ligue 1, Spanish La Liga",AM,Forward,25,1209,1,45,26,24,46
Alaa Ghram,TUN,Shakhtar,UEFA Champions League,CB,Defender,23,135,1,32,17,36,61
Alan Forrest,SCO,Hearts,UEFA Europa Conference League,LM,Midfielder,28,420,1,75,28,88,38
Alan Matturro,URU,Genoa,Italian Serie A,CB,Defender,20,900,1,48,38,50,52
Alan Minda,ECU,Cercle Brugge,UEFA Europa Conference League,AM,Forward,21,317,1,70,55,55,49
Alan Varela,ARG,Porto,UEFA Europa League,CM,Midfielder,23,735,1,41,54,36,48
