Player,Game Week,Position,General Position,Team,League,Minutes,Rating,Age,Nationality
Pierluigi Gollini,J1,GK,Goalkeeper,Genoa,Italian Serie A,90,6.94,29,ITA
Yann Sommer,J1,GK,Goalkeeper,Inter,Italian Serie A,90,6.22,35,SUI
Federico Ravaglia,J11,GK,Goalkeeper,Bologna,Italian Serie A,90,6.62,24,ITA
Wladimiro Falcone,J11,GK,Goalkeeper,Lecce,Italian Serie A,90,6.81,29,ITA
Maduka Okoye,J11,GK,Goalkeeper,Udinese,Italian Serie A,90,6.79,25,NGA
Michele Di Gregorio,J11,GK,Goalkeeper,Juventus,Italian Serie A,90,7.24,27,ITA
Nick Pope,J3,GK,Goalkeeper,Newcastle Utd,English Premier League,90,7.18,32,ENG
Guglielmo Vicario,J3,GK,Goalkeeper,Tottenham,English Premier League,90,5.94,27,ITA
Stefano Turati,J11,GK,Goalkeeper,Monza,Italian Serie A,90,7.14,23,ITA
Mike Maignan,J11,GK,Goalkeeper,Milan,Italian Serie A,90,7.15,29,FRA
Robert Sánchez,J3,GK,Goalkeeper,Chelsea,English Premier League,90,6.68,26,ESP
Dean Henderson,J3,GK,Goalkeeper,Crystal Palace,English Premier League,90,7.34,27,ENG
André Onana,J3,GK,Goalkeeper,Manchester Utd,English Premier League,90,5.43,28,CMR
Alisson,J3,GK,Goalkeeper,Liverpool,English Premier League,90,7.51,31,BRA
Aaron Ramsdale,J4,GK,Goalkeeper,Southampton,English Premier League,90,6.8,26,ENG
André Onana,J4,GK,Goalkeeper,Manchester Utd,English Premier League,90,7.24,28,CMR
Ederson,J4,GK,Goalkeeper,Manchester City,English Premier League,90,7.26,31,BRA
Mark Flekken,J4,GK,Goalkeeper,Brentford,English Premier League,90,6.8,31,NED
Alisson,J4,GK,Goalkeeper,Liverpool,English Premier League,90,5.99,31,BRA
Matz Sels,J4,GK,Goalkeeper,Nott'ham Forest,English Premier League,90,7.82,32,BEL
Dean Henderson,J4,GK,Goalkeeper,Crystal Palace,English Premier League,90,6.25,27,ENG
Mads Hermansen,J4,GK,Goalkeeper,Leicester City,English Premier League,90,6.11,24,DEN
Bernd Leno,J4,GK,Goalkeeper,Fulham,English Premier League,90,6.25,32,GER
Alphonse Areola,J4,GK,Goalkeeper,West Ham,English Premier League,90,6.24,31,FRA
Bart Verbruggen,J4,GK,Goalkeeper,Brighton,English Premier League,90,6.87,22,NED
Arijanet Muric,J4,GK,Goalkeeper,Ipswich Town,English Premier League,90,7.97,25,KVX
Emiliano Martínez,J4,GK,Goalkeeper,Aston Villa,English Premier League,90,5.7,32,ARG
Jordan Pickford,J4,GK,Goalkeeper,Everton,English Premier League,90,6.02,30,ENG
Mark Travers,J4,GK,Goalkeeper,Bournemouth,English Premier League,90,6.69,25,IRL
Robert Sánchez,J4,GK,Goalkeeper,Chelsea,English Premier League,90,7.99,26,ESP
Alex Meret,J11,GK,Goalkeeper,Napoli,Italian Serie A,90,4.99,27,ITA
Marco Carnesecchi,J11,GK,Goalkeeper,Atalanta,Italian Serie A,90,7.52,24,ITA
Guglielmo Vicario,J4,GK,Goalkeeper,Tottenham,English Premier League,90,6.62,27,ITA
David Raya,J4,GK,Goalkeeper,Arsenal,English Premier League,90,7.78,29,ESP
Sam Johnstone,J4,GK,Goalkeeper,Wolves,English Premier League,90,6.4,31,ENG
Nick Pope,J4,GK,Goalkeeper,Newcastle Utd,English Premier League,90,6.84,32,ENG
Alphonse Areola,J5,GK,Goalkeeper,West Ham,English Premier League,90,5.62,31,FRA
Robert Sánchez,J5,GK,Goalkeeper,Chelsea,English Premier League,90,8.01,26,ESP
Guglielmo Vicario,J5,GK,Goalkeeper,Tottenham,English Premier League,90,7.11,27,ITA
Mark Flekken,J5,GK,Goalkeeper,Brentford,English Premier League,90,6.02,31,NED
Emiliano Martínez,J5,GK,Goalkeeper,Aston Villa,English Premier League,90,6.5,32,ARG
Sam Johnstone,J5,GK,Goalkeeper,Wolves,English Premier League,90,5.22,31,ENG
Bernd Leno,J5,GK,Goalkeeper,Fulham,English Premier League,90,6.67,32,GER
Nick Pope,J5,GK,Goalkeeper,Newcastle Utd,English Premier League,90,5.97,32,ENG
Aaron Ramsdale,J5,GK,Goalkeeper,Southampton,English Premier League,90,7.34,26,ENG
Arijanet Muric,J5,GK,Goalkeeper,Ipswich Town,English Premier League,90,6.44,25,KVX
Mads Hermansen,J5,GK,Goalkeeper,Leicester City,English Premier League,90,6.98,24,DEN
Jordan Pickford,J5,GK,Goalkeeper,Everton,English Premier League,90,6.61,30,ENG
Caoimhín Kelleher,J5,GK,Goalkeeper,Liverpool,English Premier League,90,7.75,25,IRL
Kepa Arrizabalaga,J5,GK,Goalkeeper,Bournemouth,English Premier League,90,6.82,29,ESP
Dean Henderson,J5,GK,Goalkeeper,Crystal Palace,English Premier League,90,8.12,27,ENG
André Onana,J5,GK,Goalkeeper,Manchester Utd,English Premier League,90,7.32,28,CMR
Vanja Milinković-Savić,J11,GK,Goalkeeper,Torino,Italian Serie A,90,6.16,27,SRB
David de Gea,J11,GK,Goalkeeper,Fiorentina,Italian Serie A,90,7.1,33,ESP
Bart Verbruggen,J5,GK,Goalkeeper,Brighton,English Premier League,90,5.95,22,NED
Matz Sels,J5,GK,Goalkeeper,Nott'ham Forest,English Premier League,90,5.51,32,BEL
Ederson,J5,GK,Goalkeeper,Manchester City,English Premier League,90,5.67,31,BRA
David Raya,J5,GK,Goalkeeper,Arsenal,English Premier League,90,6.83,29,ESP
Nick Pope,J6,GK,Goalkeeper,Newcastle Utd,English Premier League,90,6.89,32,ENG
Ederson,J6,GK,Goalkeeper,Manchester City,English Premier League,90,6.57,31,BRA
Mark Flekken,J6,GK,Goalkeeper,Brentford,English Premier League,90,6.77,31,NED
Alphonse Areola,J6,GK,Goalkeeper,West Ham,English Premier League,90,6.82,31,FRA
Jordan Pickford,J6,GK,Goalkeeper,Everton,English Premier League,90,6.72,30,ENG
Dean Henderson,J6,GK,Goalkeeper,Crystal Palace,English Premier League,90,5.17,27,ENG
David Raya,J6,GK,Goalkeeper,Arsenal,English Premier League,90,5.24,29,ESP
Mads Hermansen,J6,GK,Goalkeeper,Leicester City,English Premier League,90,7.05,24,DEN
Robert Sánchez,J6,GK,Goalkeeper,Chelsea,English Premier League,90,6.01,26,ESP
Bart Verbruggen,J6,GK,Goalkeeper,Brighton,English Premier League,90,5.53,22,NED
Matz Sels,J6,GK,Goalkeeper,Nott'ham Forest,English Premier League,90,5.88,32,BEL
Bernd Leno,J6,GK,Goalkeeper,Fulham,English Premier League,90,6.84,32,GER
Sam Johnstone,J6,GK,Goalkeeper,Wolves,English Premier League,90,6.31,31,ENG
