Player,Game Week,Position,General Position,Team,League,Minutes,Rating,Age,Nationality
Koni De Winter,J1,CB,Defender,Genoa,Italian Serie A,90.0,5.96,22,BEL
Mattia Bani,J1,CB,Defender,Genoa,Italian Serie A,90.0,5.21,30,ITA
Alessandro Vogliacco,J1,CB,Defender,Genoa,Italian Serie A,59.0,5.77,25,ITA
Johan Vásquez,J1,CB,Defender,Genoa,Italian Serie A,31.0,4.85,25,MEX
Alessandro Bastoni,J1,CB,Defender,Inter,Italian Serie A,90.0,6.48,25,ITA
Francesco Acerbi,J1,CB,Defender,Inter,Italian Serie A,90.0,6.59,36,ITA
Yann Aurel Bisseck,J1,CB,Defender,Inter,Italian Serie A,90.0,6.19,23,GER
Nicolò Savona,J1,RB,Defender,Juventus,Italian Serie A,45.0,6.23,21,ITA
Juan David Cabal,J1,LB,Defender,Juventus,Italian Serie A,90.0,6.31,23,COL
Gleison Bremer,J1,CB,Defender,Juventus,Italian Serie A,90.0,6.62,27,BRA
Federico Gatti,J1,CB,Defender,Juventus,Italian Serie A,90.0,6.0,26,ITA
Marco Sala,J1,LB,Defender,Como,Italian Serie A,90.0,6.44,25,ITA
Federico Barba,J1,CB,Defender,Como,Italian Serie A,90.0,6.49,30,ITA
Edoardo Goldaniga,J1,CB,Defender,Como,Italian Serie A,90.0,5.52,30,ITA
Alberto Moreno,J1,RB,Defender,Como,Italian Serie A,90.0,5.63,32,ESP
Marc Cucurella,J1,LB,Defender,Chelsea,English Premier League,79.0,7.18,26,ESP
Levi Colwill,J1,CB,Defender,Chelsea,English Premier League,90.0,6.47,21,ENG
Wesley Fofana,J1,CB,Defender,Chelsea,English Premier League,90.0,6.43,23,FRA
Malo Gusto,J1,RB,Defender,Chelsea,English Premier League,90.0,6.31,21,FRA
Joško Gvardiol,J1,LB,Defender,Manchester City,English Premier League,90.0,7.32,22,CRO
Rúben Dias,J1,CB,Defender,Manchester City,English Premier League,90.0,6.65,27,POR
Manuel Akanji,J1,RB,Defender,Manchester City,English Premier League,90.0,7.05,29,SUI
Victor Bernth Kristiansen,J1,LB,Defender,Leicester City,English Premier League,90.0,6.78,21,DEN
Wout Faes,J1,CB,Defender,Leicester City,English Premier League,90.0,5.97,26,BEL
Jannik Vestergaard,J1,CB,Defender,Leicester City,English Premier League,90.0,5.99,32,DEN
James Justin,J1,RB,Defender,Leicester City,English Premier League,90.0,6.78,26,ENG
Destiny Udogie,J1,LB,Defender,Tottenham,English Premier League,90.0,7.01,21,ITA
Micky van de Ven,J1,CB,Defender,Tottenham,English Premier League,90.0,6.85,23,NED
Cristian Romero,J1,CB,Defender,Tottenham,English Premier League,90.0,6.99,26,ARG
Pedro Porro,J1,RB,Defender,Tottenham,English Premier League,89.0,6.47,24,ESP
Jack Hinshelwood,J2,LB,Defender,Brighton,English Premier League,90.0,5.93,19,ENG
Lewis Dunk,J2,CB,Defender,Brighton,English Premier League,90.0,6.97,32,ENG
Jan Paul van Hecke,J2,CB,Defender,Brighton,English Premier League,90.0,7.29,24,NED
Joël Veltman,J2,RB,Defender,Brighton,English Premier League,90.0,7.16,32,NED
Diogo Dalot,J2,LB,Defender,Manchester Utd,English Premier League,90.0,7.48,25,POR
Lisandro Martínez,J2,CB,Defender,Manchester Utd,English Premier League,90.0,6.9,26,ARG
Harry Maguire,J2,CB,Defender,Manchester Utd,English Premier League,78.0,6.75,31,ENG
Noussair Mazraoui,J2,RB,Defender,Manchester Utd,English Premier League,90.0,6.8,26,MAR
Joško Gvardiol,J2,LB,Defender,Manchester City,English Premier League,90.0,6.89,22,CRO
Rúben Dias,J2,CB,Defender,Manchester City,English Premier League,90.0,6.67,27,POR
Manuel Akanji,J2,RB,Defender,Manchester City,English Premier League,90.0,7.2,29,SUI
Leif Davis,J2,LB,Defender,Ipswich Town,English Premier League,90.0,6.66,24,ENG
Jacob Greaves,J2,CB,Defender,Ipswich Town,English Premier League,90.0,5.89,23,ENG
Luke Woolfenden,J2,CB,Defender,Ipswich Town,English Premier League,90.0,6.1,25,ENG
Axel Tuanzebe,J2,CB,Defender,Ipswich Town,English Premier League,88.0,6.01,26,COD
