Player,Team,League,Position,General Position,Nationality,Age,Rating,Minutes,Matches,Average Rating
Aapo Halme,HJK,UEFA Europa Conference League,CM,Midfielder,FIN,26,5.72,59,1,5.72
Aaron Ciammaglichella,Torino,Italian Serie A,CM,Midfielder,ITA,19,5.24,1,1,5.24
Aaron Cresswell,West Ham,English Premier League,CB,Defender,ENG,35,113.23,824,18,6.29
Aaron Donnelly,Larne FC,UEFA Europa Conference League,CB,Defender,NIR,24,22.22,279,4,5.56
Aaron Greene,Shamrock Rov,UEFA Europa Conference League,AM,Forward,IRL,35,35.98,109,6,6.0
Aaron Malouda,Lille,French Ligue 1,AM,Forward,FRA,19,5.61,2,1,5.61
Aaron McEneff,Shamrock Rov,UEFA Europa Conference League,CM,Midfielder,IRL,29,23.95,352,4,5.99
Aaron Wan-Bissaka,West Ham,English Premier League,RB,Defender,ENG,27,252.8,3154,36,7.02
Aarón Martín,Genoa,Italian Serie A,LB,Defender,ESP,28,231.29,3085,36,6.42
Abakar Sylla,Strasbourg,French Ligue 1,CB,Defender,CIV,22,130.4,950,21,6.21
Abbas Huseynov,Qarabağ,UEFA Europa League,RB,Defender,AZE,29,24.36,239,4,6.09
Abdallah Sima,Brest,"French Ligue 1, UEFA Champions League",LW,Forward,SEN,23,230.56,1746,36,6.4
Abde Ezzalzouli,Betis,"Spanish La Liga, UEFA Europa Conference League",LW,Forward,MAR,23,297.58,2653,45,6.61
Abdel Abqar,Alavés,Spanish La Liga,CB,Defender,MAR,26,180.07,2463,29,6.21
Abdellah Zoubir,Qarabağ,UEFA Europa League,LW,Forward,FRA,33,53.99,689,8,6.75
Abderrahman Rebbach,Alavés,Spanish La Liga,LW,Forward,ALG,26,51.39,385,8,6.42
Abdou Harroui,Hellas Verona,Italian Serie A,AM,Forward,NED,26,65.3,463,10,6.53
Abdoul Koné,Reims,French Ligue 1,RB,Defender,FRA,19,24.93,133,4,6.23
Abdoulaye Bamba,Angers,French Ligue 1,CB,Defender,CIV,35,112.19,1510,19,5.9
Abdoulaye Diaby,St. Gallen,UEFA Europa Conference League,CB,Defender,MLI,24,24.09,360,4,6.02
Abdoulaye Doucouré,Everton,English Premier League,AM,Forward,MLI,32,218.95,2564,33,6.63
