Player,Nation,Team,General Position,Age,Born,Matches Played,Starts,Minutes Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels Won,Efficiency,Matches,% Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons
AJ Marcucci,USA,NY Red Bulls,Goalkeeper,25.0,1999,1,1,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,31.0,5.0,5.0,5.0,5.0,8.0,21.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,15.0,31.0,0.0,0.0,0.0,31.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,58.06,100.0,100.0,38.1,0.0,0.0
Aaron Herrera,GUA,D.C. United,Midfielder,28.0,1997,19,17,1530,0.0,0.04,0.76,0.24,0.0,0.0,3.12,0.29,40.59,53.47,15.12,17.59,17.76,21.47,7.0,12.06,0.12,0.18,1.65,2.65,1.82,0.88,4.35,1.88,3.0,1.71,1.0,1.12,0.53,0.06,1.35,1.76,0.41,1.06,1.06,3.18,0.06,63.88,3.47,18.76,28.71,17.18,1.18,63.88,1.94,0.88,32.94,2.0,0.47,1.0,0.53,35.59,0.47,0.06,0.06,0.94,0.59,0.06,0.0,0.0,0.0,4.41,1.59,0.65,1.53,9.24,0.0,3.18,1.0,0.0,0.06,-1.0,0.0,75.91,85.96,82.72,58.04,58.48,45.36
Aaron Long,USA,LAFC,Defender,32.0,1992,15,15,1271,0.07,0.06,0.28,0.07,0.0,0.0,1.2,0.07,69.89,73.93,23.44,24.43,41.64,42.77,4.32,5.74,0.0,0.02,0.21,6.02,0.07,0.0,4.04,0.42,0.14,1.13,0.85,0.92,0.21,0.0,0.5,0.85,0.35,1.7,0.21,5.52,0.0,84.41,8.21,34.91,46.03,3.54,0.64,84.41,0.14,0.0,52.26,0.35,0.0,0.28,0.07,63.52,0.0,0.0,0.0,0.64,0.28,0.0,0.0,0.0,0.0,3.33,2.41,0.57,0.35,4.6,0.0,0.07,0.85,0.07,0.07,0.17,0.0,94.54,95.95,97.36,75.26,75.22,0.0
Aaron Nicolás Molinas,ARG,Defensa y Just,Midfielder,24.0,2000,17,15,1136,0.16,0.1,1.35,0.55,0.0,0.0,3.8,0.32,40.48,50.15,19.73,21.71,14.89,18.06,4.99,7.45,0.08,0.13,1.74,5.7,1.27,0.16,7.61,2.46,6.1,1.51,0.87,0.48,0.87,0.16,0.95,1.19,0.24,1.27,0.24,0.55,0.0,58.55,0.48,4.52,32.09,22.74,1.19,58.55,1.51,1.19,32.72,1.98,0.08,1.98,1.43,43.81,0.16,0.0,0.0,1.19,0.55,0.0,0.0,0.0,0.0,4.12,0.55,1.35,3.41,16.16,0.0,1.51,0.87,0.16,0.08,0.6,0.0,80.72,90.88,82.45,66.98,57.62,78.81
Aaron Quirós,ARG,Vélez Sarsfield,Defender,23.0,4002,10,8,680,0.0,0.01,0.26,0.0,0.0,0.0,0.26,0.0,41.56,53.47,10.46,12.57,25.68,28.72,4.9,10.99,0.0,0.0,0.0,1.72,0.0,0.0,4.1,0.4,0.0,1.72,1.06,1.06,0.53,0.13,1.32,1.85,0.53,0.53,1.59,6.88,0.0,66.44,6.75,34.94,29.91,2.25,0.79,66.44,0.93,0.53,35.47,0.4,0.0,0.66,0.0,38.91,0.66,0.26,0.26,1.19,1.19,0.0,0.0,0.0,0.0,3.18,2.78,1.72,0.66,4.5,0.0,0.0,1.06,0.0,0.26,-1.0,0.0,77.73,83.21,89.42,44.59,61.63,56.99
Abdurrahman Burak Sayın,0,Fortuna Sittard,Forward,0.0,0,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,22.5,22.5,22.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,22.5,0.0,22.5,0.0,0.0,22.5,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,22.5,0.0,22.5,0.0,0.0,0.0,0.0,22.5,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Abel Paredes,PAR,py Olimpia,Defender,28.0,1997,2,0,23,0.0,0.0,3.91,3.91,0.0,0.0,0.0,0.0,54.78,58.7,31.3,35.22,15.65,15.65,7.83,7.83,0.0,0.0,0.0,7.83,0.0,0.0,7.83,3.91,3.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.43,0.0,11.74,31.3,27.39,0.0,70.43,0.0,0.0,35.22,0.0,0.0,0.0,0.0,35.22,0.0,0.0,0.0,3.91,0.0,0.0,0.0,0.0,0.0,3.91,0.0,0.0,0.0,15.65,0.0,0.0,0.0,0.0,3.91,0.0,0.0,93.32,88.87,100.0,100.0,0.0,0.0
Abiel Osorio,ARG,Defensa y Just,Forward,23.0,2002,17,13,1094,0.16,0.29,2.63,0.66,0.0,0.0,1.65,0.16,13.74,20.81,6.66,9.38,5.43,7.16,0.99,1.48,0.0,0.06,0.9,1.81,0.49,0.08,1.73,1.48,6.5,0.33,0.33,0.0,0.25,0.08,0.08,0.08,0.0,0.82,0.08,1.65,0.0,33.98,1.73,2.55,16.45,15.22,5.76,33.98,1.97,0.82,18.02,0.99,0.74,3.46,1.73,24.76,0.25,0.0,0.0,1.4,1.07,0.99,0.0,0.0,0.0,1.48,2.39,5.84,5.18,9.71,0.0,1.32,0.33,0.16,0.08,-0.45,0.0,66.03,71.0,75.84,66.89,100.0,41.62
Abner,BRA,Juventude,Defender,21.0,2004,9,6,653,0.0,0.01,0.14,0.0,0.0,0.0,0.28,0.14,36.66,43.0,10.89,11.85,21.64,22.88,4.0,7.58,0.14,0.03,0.28,1.24,0.14,0.0,1.24,0.83,0.14,0.96,0.55,0.69,0.28,0.0,0.41,2.48,2.07,1.52,1.65,5.38,0.0,53.06,7.99,35.15,17.78,0.69,0.41,53.06,0.55,0.55,31.56,0.0,0.0,0.41,0.14,35.83,0.14,0.0,0.0,0.55,0.28,0.14,0.0,0.0,0.0,2.62,2.21,0.55,0.55,2.21,0.0,0.14,0.55,0.0,0.14,-1.0,0.0,85.26,91.9,94.58,52.77,57.29,100.0
Adalberto Peñaranda,VEN,co CA Bucaramanga,Forward,28.0,1997,4,1,129,0.0,0.07,1.4,0.7,0.0,0.0,2.79,0.0,22.33,30.7,11.16,13.95,6.98,8.37,1.4,2.79,0.0,0.0,0.7,1.4,0.7,0.7,0.7,3.49,8.37,2.09,2.09,0.7,1.4,0.0,0.0,0.7,0.7,2.79,0.0,0.0,0.7,46.74,0.7,3.49,20.23,25.12,4.88,46.74,4.19,2.09,27.21,2.79,1.4,4.88,4.19,33.49,0.0,0.0,0.0,0.7,0.7,0.7,0.0,0.0,0.0,2.79,1.4,3.49,9.07,12.56,0.0,2.79,2.09,0.0,0.7,-1.0,0.0,72.74,80.0,83.39,50.18,100.0,49.88
Adam Bareiro,PAR,Fortaleza,Forward,29.0,1996,3,0,28,0.0,1.29,6.43,3.21,0.0,0.0,3.21,0.0,32.14,45.0,19.29,28.93,6.43,9.64,6.43,6.43,0.0,0.0,0.0,3.21,0.0,0.0,3.21,3.21,19.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21,0.0,3.21,0.0,77.14,3.21,3.21,38.57,35.36,12.86,77.14,0.0,0.0,35.36,0.0,0.0,6.43,3.21,51.43,0.0,0.0,0.0,6.43,0.0,0.0,0.0,0.0,0.0,0.0,12.86,6.43,9.64,25.71,0.0,0.0,0.0,0.0,3.21,-1.0,0.0,71.42,66.68,66.7,100.0,0.0,0.0
Adam Beaudry,USA,Colorado Rapids,Goalkeeper,19.0,2006,1,1,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,28.0,1.0,1.0,5.0,5.0,6.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,21.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,42.86,100.0,100.0,28.57,0.0,0.0
Adam Saldaña,USA,LAFC,Midfielder,23.0,2002,2,2,180,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,43.5,46.0,17.0,18.5,21.5,22.5,4.0,4.0,0.0,0.0,0.0,2.0,0.5,0.0,2.0,0.5,0.5,2.5,2.0,1.5,1.0,0.0,2.0,2.5,0.5,2.0,0.5,1.5,0.5,54.0,4.0,14.0,34.0,6.0,0.0,54.0,0.5,0.5,35.0,1.0,0.0,1.0,0.0,37.0,0.5,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.5,0.0,1.0,3.0,0.0,0.5,2.0,0.0,0.5,0.0,0.0,94.57,91.89,95.56,100.0,80.0,100.0
Ademir Santos,BRA,Bahia,Forward,30.0,3990,17,10,890,0.0,0.19,1.62,0.3,0.0,0.0,4.25,0.4,25.38,34.79,14.06,16.89,7.89,10.82,2.12,4.25,0.1,0.31,1.62,1.01,1.82,0.91,2.93,4.45,12.74,1.42,0.91,0.3,0.61,0.51,0.71,2.33,1.62,0.71,0.3,0.4,0.0,47.73,0.2,3.84,14.56,30.03,4.25,47.73,5.36,2.33,29.43,2.53,1.42,2.73,1.72,35.49,0.2,0.0,0.0,1.11,2.93,0.61,0.0,0.0,0.0,3.03,1.01,2.12,4.45,20.12,0.0,4.15,0.91,0.0,0.2,-1.0,0.0,72.95,83.24,72.92,49.88,64.08,43.47
Aderlan Silva,BRA,Santos,Defender,34.0,1990,2,1,87,0.0,0.0,1.03,0.0,0.0,0.0,2.07,0.0,38.28,51.72,14.48,18.62,19.66,22.76,3.1,6.21,0.0,0.1,2.07,4.14,1.03,0.0,6.21,1.03,2.07,1.03,0.0,0.0,1.03,0.0,1.03,1.03,0.0,2.07,1.03,1.03,0.0,57.93,1.03,18.62,22.76,16.55,2.07,57.93,0.0,0.0,33.1,2.07,0.0,0.0,0.0,36.21,0.0,0.0,0.0,1.03,2.07,1.03,0.0,0.0,0.0,3.1,0.0,2.07,0.0,9.31,0.0,1.03,0.0,0.0,1.03,0.0,0.0,74.01,77.77,86.38,49.92,0.0,0.0
Adilson Malanda,FRA,Charlotte,Defender,23.0,2001,25,25,2250,0.04,0.06,0.44,0.04,0.0,0.0,0.44,0.08,58.56,66.6,13.28,14.08,35.72,37.16,9.24,14.24,0.0,0.02,0.12,3.72,0.04,0.0,2.48,0.16,0.04,0.84,0.72,0.68,0.16,0.0,0.36,0.68,0.32,2.0,0.76,6.4,0.16,78.68,12.64,44.68,32.84,1.6,0.72,78.68,0.4,0.28,51.88,0.2,0.04,0.48,0.16,57.44,0.16,0.0,0.0,0.64,0.12,0.0,0.0,0.08,0.0,3.4,1.6,1.0,0.64,2.68,0.0,0.08,0.72,0.04,0.04,-0.33,0.0,87.93,94.32,96.12,64.89,85.71,70.0
Adrian Wibowo,USA,LAFC,Forward,19.0,2006,2,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,40.0,15.0,20.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,40.0,25.0,0.0,65.0,5.0,0.0,30.0,0.0,0.0,10.0,5.0,35.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,15.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,87.5,75.0,100.0,0.0,0.0,0.0
