Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency,Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
AJ Marcucci,USA,Goalkeeper,NY Red Bulls,25.0,1999,1,1,90,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,4.0,16.0,27.0,3.0,4.0,8.0,1.0,2.0,0.0,-1.0,1.0,50.0,0.0,100.0,0.0
Adam Beaudry,USA,Goalkeeper,Colorado Rapids,19.0,2006,1,1,90,3.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,2.3,4.0,18.0,21.0,6.0,6.0,4.0,0.0,0.0,0.0,-3.0,1.0,60.0,0.0,0.0,0.0
Agustín Marchesín,ARG,Goalkeeper,Boca Juniors,37.0,1988,17,17,1530,0.71,3.35,2.65,0.47,0.0,0.0,0.0,0.0,0.85,3.35,9.24,21.76,4.76,8.41,14.41,0.71,0.53,0.0,-0.71,0.06,79.1,0.0,71.0,0.0
Agustín Rossi,ARG,Goalkeeper,br Flamengo,29.0,1995,22,22,1980,0.41,2.59,2.09,0.68,0.14,0.05,0.09,0.0,0.55,2.82,7.41,25.45,3.27,3.77,10.77,1.05,0.82,0.09,-0.41,0.09,80.69,0.0,105.0,0.0
Alan Aguerre,ARG,Goalkeeper,ar Cen. Córdoba–SdE,34.0,1990,23,23,2070,1.22,3.22,2.04,0.3,0.09,0.09,0.0,0.0,1.0,2.91,10.83,14.96,2.52,7.61,12.96,0.39,0.35,0.0,-1.22,0.09,63.35,0.0,39.0,0.0
Aldair Quintana,COL,Goalkeeper,co CA Bucaramanga,31.0,1994,6,6,540,1.67,5.67,3.83,0.17,0.33,0.17,0.17,0.0,1.75,4.33,10.67,21.0,5.5,7.17,13.33,0.67,1.0,0.17,-1.67,0.17,67.55,0.0,67.0,0.0
Alec Smir,USA,Goalkeeper,Minnesota Utd,26.0,1999,2,1,161,1.68,5.03,3.35,0.0,0.0,0.0,0.0,0.0,1.68,5.59,21.24,22.36,1.68,6.15,17.89,0.0,1.12,0.0,-1.68,0.56,66.6,0.0,0.0,0.0
Alex Muralha,BRA,Goalkeeper,Mirassol,35.0,1989,6,6,540,1.5,4.17,2.67,0.0,0.17,0.17,0.0,0.0,1.3,2.17,8.83,20.5,3.17,5.67,18.83,0.5,2.33,0.0,-1.5,0.17,64.03,0.0,50.0,0.0
Alexis Martin Arias,ARG,Goalkeeper,py Cerro Porteño,33.0,1992,3,3,270,2.0,7.0,5.0,0.33,0.0,0.0,0.0,0.0,1.9,11.0,21.0,16.33,2.67,12.33,19.33,0.33,0.67,0.0,-2.0,0.33,71.43,0.0,33.0,0.0
Alexis Villa,ECU,Goalkeeper,ec LDU de Quito,23.0,2001,1,0,14,0.0,0.0,0.0,6.43,0.0,0.0,0.0,0.0,0.0,12.86,38.57,25.71,0.0,12.86,12.86,0.0,0.0,0.0,0.0,6.43,,0.0,0.0,
Aljaž Ivačič,SVN,Goalkeeper,NE Revolution,31.0,1993,24,24,2160,1.46,4.21,2.75,0.33,0.17,0.17,0.0,0.0,1.31,3.46,11.54,18.25,2.38,8.25,12.21,0.38,0.46,0.0,-1.46,0.04,65.32,0.0,38.0,0.0
Andre Blake,JAM,Goalkeeper,Philadelphia Union,34.0,1990,15,15,1350,0.93,3.13,2.2,0.33,0.13,0.13,0.0,0.0,1.06,5.07,11.2,22.53,3.07,5.47,10.2,0.47,1.53,0.0,-0.93,0.07,70.29,0.0,47.0,0.0
Andrew Rick,USA,Goalkeeper,Philadelphia Union,19.0,2006,10,10,900,1.0,2.3,1.3,0.4,0.1,0.1,0.0,0.0,0.98,5.6,15.2,16.8,2.8,7.0,9.7,0.3,0.6,0.0,-1.0,0.1,56.52,0.0,30.0,0.0
Andrew Tarbell,USA,Goalkeeper,Houston Dynamo,31.0,1993,4,4,306,2.06,4.41,2.35,0.29,0.0,0.0,0.0,0.0,1.79,3.53,9.71,24.71,4.41,3.82,9.12,0.29,1.18,0.0,-2.06,0.29,53.29,0.0,29.0,0.0
Andrew Thomas,RUS,Goalkeeper,Seattle Sounders,26.0,1998,6,6,540,2.5,6.0,3.67,0.0,0.67,0.67,0.0,0.0,1.97,1.0,7.33,18.5,5.33,5.67,14.33,1.33,0.17,0.0,-2.5,0.17,61.17,0.0,133.0,0.0
Anthoni,BRA,Goalkeeper,br Internacional,23.0,2002,18,17,1575,1.49,3.83,2.46,0.23,0.06,0.06,0.0,0.0,1.09,2.57,8.23,15.94,2.74,7.49,11.14,0.57,1.09,0.0,-1.49,0.11,64.23,0.0,57.0,0.0
Axel Werner,ARG,Goalkeeper,Rosario Central,29.0,1996,2,2,180,0.0,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.75,3.0,9.5,14.0,3.5,7.5,15.0,0.5,0.0,0.0,0.0,0.5,100.0,0.0,50.0,0.0
Benjamin Lundt,GER,Goalkeeper,St. Louis,29.0,1995,9,9,810,1.56,5.11,3.44,0.22,0.22,0.11,0.11,0.0,1.57,5.56,12.67,23.33,4.78,9.0,14.0,0.67,0.67,0.11,-1.56,0.11,67.32,0.0,67.0,0.0
Blake Gillingham,USA,Goalkeeper,Houston Dynamo,22.0,2002,4,3,294,1.22,4.59,3.37,0.61,0.0,0.0,0.0,0.0,1.87,2.45,11.94,25.41,5.51,5.2,13.47,0.61,1.22,0.0,-1.22,0.31,73.42,0.0,61.0,0.0
Brad Guzan,USA,Goalkeeper,Atlanta Utd,40.0,1984,23,23,2070,1.91,5.39,3.48,0.09,0.22,0.22,0.0,0.0,1.72,4.3,10.3,25.17,4.61,7.13,11.09,0.3,1.22,0.0,-1.91,0.04,64.56,0.0,30.0,0.0
Brad Stuver,USA,Goalkeeper,Austin,34.0,1991,23,23,2070,1.13,4.57,3.48,0.35,0.13,0.09,0.04,0.0,1.23,5.7,15.78,30.26,4.39,7.3,14.91,1.0,0.87,0.04,-1.13,0.04,76.15,0.0,100.0,0.0
Brayan Cortés,CHI,Goalkeeper,cl Colo-Colo,30.0,1995,5,5,450,3.0,6.4,3.4,0.0,0.0,0.0,0.0,0.0,1.86,3.0,11.6,14.4,2.6,6.4,11.2,1.0,0.4,0.0,-3.0,0.2,53.12,0.0,100.0,0.0
Brenno,BRA,Goalkeeper,Fortaleza,26.0,1999,1,1,90,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,9.0,21.0,5.0,10.0,8.0,0.0,0.0,0.0,-1.0,1.0,66.67,0.0,0.0,0.0
Bruno Ferreira,BRA,Goalkeeper,Ceará,31.0,1994,9,9,783,1.03,2.99,1.95,0.23,0.0,0.0,0.0,0.0,1.13,5.29,16.32,20.46,2.64,8.74,16.55,1.15,0.8,0.0,-1.03,0.11,65.22,0.0,115.0,0.0
C.J. dos Santos,USA,Goalkeeper,San Diego FC,24.0,2000,21,21,1890,1.38,4.29,2.9,0.33,0.24,0.19,0.05,0.0,1.33,1.29,3.1,28.1,4.33,4.05,8.95,0.57,1.52,0.05,-1.38,0.05,67.6,0.0,57.0,0.0
Carlos Coronel,PAR,Goalkeeper,NY Red Bulls,28.0,1996,24,24,2160,1.46,4.83,3.46,0.29,0.08,0.08,0.0,0.0,1.62,2.88,12.17,25.71,4.79,5.46,12.0,0.75,2.04,0.0,-1.46,0.04,71.64,0.0,75.0,0.0
Carlos Lampe,BOL,Goalkeeper,bo Bolívar,38.0,1987,1,1,90,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.6,1.0,2.0,48.0,8.0,5.0,5.0,0.0,3.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0
Caíque França,BRA,Goalkeeper,Sport Recife,30.0,1995,12,12,1080,1.67,4.92,3.33,0.17,0.33,0.25,0.0,0.08,1.48,3.67,8.83,18.58,4.33,8.17,13.67,0.83,0.92,0.08,-1.67,0.08,67.68,0.0,83.0,0.0
Chris Brady,USA,Goalkeeper,Chicago Fire,21.0,2004,18,18,1565,1.78,5.06,3.28,0.17,0.35,0.23,0.06,0.06,1.82,1.96,6.61,27.09,4.43,5.23,13.05,0.69,0.86,0.12,-1.78,0.06,64.82,0.0,69.0,0.0
