Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
AJ Marcucci,USA,Goalkeeper,NY Red Bulls,25.0,1999,1,1,90,50,46,46,38
Aaron Herrera,GUA,Midfielder,D.C. United,28.0,1997,19,17,1530,48,77,71,52
Aaron Long,USA,Defender,LAFC,32.0,1992,15,15,1271,67,50,32,50
Aaron Nicolás Molinas,ARG,Midfielder,Defensa y Just,24.0,2000,17,15,1136,78,81,84,34
Aaron Quirós,ARG,Defender,Vélez Sarsfield,23.0,4002,10,8,680,36,27,44,61
Abdurrahman Burak Sayın,0,Forward,Fortuna Sittard,0.0,0,1,0,4,26,23,36,16
Abel Paredes,PAR,Defender,py Olimpia,28.0,1997,2,0,23,51,36,52,10
Abiel Osorio,ARG,Forward,Defensa y Just,23.0,2002,17,13,1094,54,38,47,52
Abner,BRA,Defender,Juventude,21.0,2004,9,6,653,37,49,41,48
Adalberto Peñaranda,VEN,Forward,co CA Bucaramanga,28.0,1997,4,1,129,39,25,77,66
Adam Bareiro,PAR,Forward,Fortaleza,29.0,1996,3,0,28,43,25,48,36
Adam Beaudry,USA,Goalkeeper,Colorado Rapids,19.0,2006,1,1,90,50,45,46,38
Adam Saldaña,USA,Midfielder,LAFC,23.0,2002,2,2,180,36,25,36,61
Ademir Santos,BRA,Forward,Bahia,30.0,3990,17,10,890,35,78,85,55
Aderlan Silva,BRA,Defender,Santos,34.0,1990,2,1,87,40,79,54,20
Adilson Malanda,FRA,Defender,Charlotte,23.0,2001,25,25,2250,62,41,38,47
Adrian Wibowo,USA,Forward,LAFC,19.0,2006,2,0,18,26,25,7,16
Adriano Martins,BRA,Defender,Juventude,28.0,1997,5,5,360,36,19,13,53
Adriel Fernández,BOL,Forward,bo San Antonio Bulo Bulo,29.0,1996,1,0,3,26,26,26,16
Adrián Alcaraz,PAR,Forward,py Libertad,25.0,1999,6,1,218,67,44,62,55
Adrián Balboa,URU,Forward,Racing Club,31.0,3988,20,5,639,74,32,21,64
Adrián Fernández,ARG,Forward,Racing Club,24.0,4002,10,3,310,30,80,73,65
Adrián Guillermo Sánchez,ARG,Midfielder,Atlé Tucumán,26.0,1999,19,19,1660,61,62,53,70
Adrián Martínez,ARG,Forward,Racing Club,33.0,3984,20,20,1702,79,45,33,44
Adrián Sporle,ARG,Defender,Independiente,30.0,1995,10,9,722,81,76,79,43
Adson,BRA,Forward,Vasco da Gama,24.0,2000,10,0,210,41,71,66,57
Agustin Bravo,ARG,Forward,Rosario Central,24.0,2001,3,2,198,26,13,6,33
Agustin Hausch,ARG,Forward,Defensa y Just,22.0,2003,2,0,47,29,20,47,59
Agustin Ojeda,ARG,Forward,NYCFC,21.0,2004,24,10,990,34,63,78,67
Agustín Alaniz,URU,Forward,Banfield,23.0,2002,16,11,1031,56,56,60,57
Agustín Almendra,ARG,Midfielder,Racing Club,25.0,4000,19,18,1244,68,63,38,54
Agustín Auzmendi,ARG,Forward,Godoy Cruz,28.0,1997,10,5,509,58,30,20,55
Agustín Bouzat,ARG,Midfielder,Vélez Sarsfield,31.0,3988,24,23,2009,45,67,70,63
Agustín Canobbio,URU,Forward,Fluminense,26.0,1998,10,10,621,49,38,52,59
Agustín Cardozo,ARG,Midfielder,Lanús,28.0,1997,17,17,1458,43,38,25,55
Agustín Colazo,ARG,Forward,Unión,24.0,2000,9,5,449,39,39,23,31
Agustín Dáttola,ARG,Defender,Belgrano,26.0,1999,4,4,360,36,27,23,43
Agustín García Basso,ARG,Defender,Racing Club,33.0,3984,11,11,959,39,60,56,27
Agustín Giay,ARG,Defender,Palmeiras,21.0,4008,17,14,1350,38,52,65,61
Agustín Ladstatter,ARG,Forward,San Lorenzo,20.0,2005,5,0,56,32,38,68,31
Agustín Lagos,ARG,Defender,Vélez Sarsfield,23.0,4002,10,8,643,53,83,87,82
Agustín Marchesín,ARG,Goalkeeper,Boca Juniors,37.0,1988,17,17,1530,50,49,59,43
Agustín Martegani,ARG,Midfielder,Boca Juniors,25.0,2000,1,1,57,49,18,50,25
Agustín Medina,0,Midfielder,Lanús,0.0,0,15,6,703,41,44,43,73
Agustín Molina,ARG,Forward,Sarmiento,19.0,2006,2,0,33,26,11,22,32
Agustín Obando,ARG,Forward,Banfield,25.0,2000,4,1,90,30,60,22,32
Agustín Palavecino,ARG,Forward,Aldosivi,22.0,2003,15,10,733,54,49,51,66
Agustín Rodríguez,ARG,Forward,Lanús,21.0,2004,2,1,77,26,30,42,51
Agustín Rogel,URU,Defender,Internacional,27.0,3994,7,6,534,36,20,19,50
Agustín Rossi,ARG,Goalkeeper,Flamengo,29.0,3990,22,22,1980,50,66,46,44
Agustín Sant'Anna,URU,Defender,RB Bragantino,27.0,1997,8,3,359,52,74,59,71
Agustín Seyral,ARG,Midfielder,Sarmiento,20.0,2005,1,0,12,34,13,9,18
Agustín Sienra,ARG,Defender,Defensa y Just,26.0,1999,1,1,90,36,20,31,70
Agustín Sández,PAR,Defender,Rosario Central,24.0,2001,18,18,1532,78,51,70,56
Agustín Urzi,ARG,Forward,Huracán,25.0,2000,13,4,461,32,54,52,52
Ahmed Qasem,SWE,Forward,Nashville SC,22.0,2003,24,12,1069,57,55,66,56
Aiden Hezarkhani,USA,Forward,Real Salt Lake,18.0,2007,2,0,58,29,19,62,25
Aiden O'Neill,AUS,Midfielder,NYCFC,27.0,1998,11,10,855,41,41,56,52
Ajani Fortune,TRI,Midfielder,Atlanta Utd,22.0,2002,15,8,784,74,71,78,68
Akil Watts,USA,Midfielder,St. Louis,25.0,2000,21,14,1413,69,49,61,54
Alan Aguerre,ARG,Goalkeeper,Cen. Córdoba–SdE,34.0,3980,23,23,2070,50,43,46,44
Alan Barrionuevo,ARG,Defender,Tigre,28.0,1997,4,1,97,39,36,12,31
Alan Benítez,PAR,Forward,Internacional,31.0,3988,8,6,580,34,71,60,49
Alan Cantero,ARG,Forward,pe Alianza Lima,27.0,1998,1,0,33,47,28,85,16
Alan Carleton,USA,Forward,Nashville SC,20.0,2005,1,0,14,26,32,36,30
Alan Franco,ECU,Midfielder,Atlético Mineiro,26.0,1998,11,11,945,35,29,29,57
Alan Franco,ARG,Defender,São Paulo,28.0,3992,18,17,1507,37,42,38,45
Alan Lescano,ARG,Forward,Arg Juniors,23.0,2001,18,18,1523,54,72,49,53
Alan Patrick,BRA,Forward,Internacional,34.0,3982,18,18,1526,70,94,57,44
Alan Rodríguez,URU,Forward,Arg Juniors,25.0,2000,14,14,1162,54,77,77,58
Alan Ruschel,BRA,Defender,Juventude,35.0,1989,10,8,694,40,65,62,40
Alan Saldivia,URU,Defender,cl Colo-Colo,23.0,2002,6,6,540,39,66,51,67
Alan Sosa,ARG,Forward,Gimnasia–LP,22.0,2003,15,9,822,34,41,59,70
Alan Soñora,USA,Midfielder,py Cerro Porteño,26.0,1998,3,0,37,34,20,57,47
Alan Velasco,ARG,Forward,Boca Juniors,23.0,2002,14,10,768,32,50,52,58
Albert Rusnák,SVK,Forward,Seattle Sounders,31.0,1994,23,19,1733,78,94,52,28
Alberto Espínola,PAR,Defender,py Olimpia,34.0,1991,1,1,90,56,45,61,31
Aldair Gutiérrez,COL,Defender,co CA Bucaramanga,27.0,1998,6,6,482,42,82,51,52
Aldair Quintana,COL,Goalkeeper,co CA Bucaramanga,31.0,1994,6,6,540,50,44,46,39
Aldair Zárate,COL,Midfielder,co CA Bucaramanga,26.0,1999,2,1,89,48,25,35,56
Aldo Corzo,PER,Defender,pe Universitario,36.0,1989,5,4,360,38,42,44,62
Alec Smir,USA,Goalkeeper,Minnesota Utd,26.0,1999,2,1,161,50,46,46,40
Alejandro Alvarado Jr.,USA,Midfielder,San Diego FC,22.0,2003,12,6,488,49,59,54,65
Alejandro Bedoya,USA,Midfielder,Philadelphia Union,38.0,1987,18,6,580,76,84,65,65
Alejandro Maciel,ARG,Defender,py Olimpia,28.0,1997,1,1,90,36,16,13,73
Alejandro Martínez,ARG,Forward,Ceará,28.0,1997,2,0,49,45,48,14,34
Alejandro Molina,ARG,Defender,San Martín de San Juan,27.0,1997,15,13,1095,50,54,57,56
Alejandro Piedrahita,COL,Forward,Gimnasia–LP,22.0,2002,10,7,591,39,54,72,65
Alejandro Pósito,PER,Defender,pe Sporting Cristal,19.0,2005,1,0,45,36,16,58,10
Alejo Montero,ARG,Defender,Newell's OB,27.0,1998,16,14,1269,40,58,71,63
Alejo Navarro,ARG,Midfielder,Newell's OB,18.0,2006,1,0,5,34,13,9,13
Alejo Osella,ARG,Defender,Ind. Rivadavia,24.0,2000,10,5,440,39,40,69,50
Alejo Tabares,ARG,Midfielder,Newell's OB,24.0,2001,11,6,624,49,43,53,40
Alejo Véliz,ARG,Forward,Rosario Central,21.0,2003,3,3,239,42,17,36,31
Aleksei Miranchuk,RUS,Midfielder,Atlanta Utd,29.0,1995,24,23,2051,81,86,73,32
Alesson,BRA,Forward,Mirassol,26.0,1999,4,2,172,31,62,54,41
Alex Arce,PAR,Forward,Ind. Rivadavia,30.0,3990,9,9,721,75,39,45,57
Alex Franco,PAR,Midfielder,py Olimpia,24.0,2001,4,3,212,53,53,48,60
Alex Freeman,USA,Defender,Orlando City,20.0,2004,21,20,1835,84,82,87,54
Alex Harris,USA,Midfielder,Colorado Rapids,20.0,2005,1,0,1,34,13,9,13
Alex Luna,ARG,Forward,Instituto,21.0,2004,18,18,1502,73,69,63,60
Alex Mighten,ENG,Forward,San Diego FC,23.0,2002,19,11,931,50,42,84,43
Alex Muralha,BRA,Goalkeeper,Mirassol,35.0,1989,6,6,540,50,50,46,47
Alex Muyl,USA,Forward,Nashville SC,29.0,1995,25,22,1779,49,45,49,53
Alex Roldan,SLV,Midfielder,Seattle Sounders,29.0,1996,20,16,1468,48,68,66,67
Alex Sandro,BRA,Defender,Flamengo,34.0,3982,14,13,1044,40,78,89,43
Alex Santana,BRA,Midfielder,Corinthians,30.0,3990,6,4,294,34,37,20,43
Alex Teixeira,BRA,Forward,Vasco da Gama,35.0,1990,9,0,118,43,16,51,44
Alex Telles,BRA,Defender,Botafogo (RJ),32.0,3984,20,16,1364,80,86,70,46
Alex Vigo,ARG,Forward,Sarmiento,26.0,1999,12,6,673,36,69,56,73
Alexander Alvarado,ECU,Forward,ec LDU de Quito,26.0,1999,5,4,354,59,69,59,46
Alexander Aravena,CHI,Forward,Grêmio,22.0,2002,8,1,234,64,59,50,45
Alexander Barboza,ARG,Defender,Botafogo (RJ),30.0,3990,13,13,1170,43,52,59,79
Alexander Díaz,ARG,Forward,Deportivo Riestra,25.0,2000,15,3,471,34,48,52,65
Alexander Hack,GER,Defender,NY Red Bulls,31.0,1993,18,13,1217,77,67,66,72
Alexander Machado,URU,Forward,uy Peñarol,23.0,2002,3,0,70,82,36,67,32
Alexandro Bernabei,ARG,Defender,Internacional,24.0,4000,17,17,1486,77,87,89,56
Alexandros Katranis,GRE,Defender,Real Salt Lake,27.0,1998,21,17,1331,54,88,81,22
Alexis Canelo,ARG,Forward,Lanús,33.0,1992,14,1,271,75,89,52,30
Alexis Castro,ARG,Forward,Estudiantes–LP,30.0,3988,12,6,486,64,53,52,68
Alexis Cuello,ARG,Forward,San Lorenzo,25.0,2000,18,15,1150,56,37,60,52
Alexis Dominguez,ARG,Forward,Aldosivi,28.0,1996,10,1,227,31,14,23,59
Alexis Fariña,PAR,Midfielder,py Cerro Porteño,20.0,2004,2,0,58,34,56,31,58
Alexis Fretes,PAR,Midfielder,py Libertad,19.0,2005,5,3,263,37,31,53,36
Alexis Maldonado,ARG,Defender,Banfield,27.0,1997,16,16,1391,42,32,37,53
Alexis Manyoma,COL,Forward,Estudiantes–LP,22.0,4006,13,2,390,32,50,67,76
Alexis Martin Arias,ARG,Goalkeeper,py Cerro Porteño,33.0,1992,3,3,270,50,45,46,52
Alexis Segovia,ARG,Forward,Lanús,21.0,2004,14,7,574,53,51,63,60
Alexis Soto,ARG,Defender,Defensa y Just,31.0,1993,17,17,1399,48,82,84,65
Alexis Villa,ECU,Goalkeeper,ec LDU de Quito,23.0,2001,1,0,14,50,46,46,38
Alfio Oviedo,PAR,Forward,Tigre,29.0,1995,8,1,227,80,22,52,53
Alfredo Morales,USA,Midfielder,St. Louis,35.0,1990,16,8,724,37,63,29,37
Alfredo Morelos,COL,Forward,co Nacional,29.0,1996,6,3,253,73,43,36,40
Alhassan Yusuf,NGA,Midfielder,NE Revolution,25.0,2000,24,24,2153,64,67,76,56
Ali Ahmed,CAN,Forward,Vancouver W'caps,24.0,2000,14,7,781,36,90,80,61
Alisa Randell,LBR,Midfielder,Minnesota Utd,17.0,2007,3,0,10,34,13,53,13
Alisson,BRA,Midfielder,São Paulo,32.0,3986,21,19,1641,67,56,41,35
Aliyu Ibrahim,NGA,Forward,Houston Dynamo,23.0,4004,23,12,1089,54,65,76,65
Aljaž Ivačič,SVN,Goalkeeper,NE Revolution,31.0,1993,24,24,2160,50,43,46,39
Allan,BRA,Forward,Palmeiras,21.0,4008,13,3,349,60,62,61,82
Allan,BRA,Midfielder,Flamengo,28.0,3994,12,7,492,52,66,60,49
Allan,BRA,Forward,Botafogo (RJ),34.0,3982,13,4,411,32,72,40,65
Allanzinho,BRA,Forward,Fortaleza,25.0,4000,5,2,187,31,64,70,52
Allen Obando,ECU,Forward,Inter Miami,19.0,2006,6,1,157,68,20,18,64
Alonso Coello,ESP,Midfielder,Toronto FC,25.0,1999,22,15,1399,65,67,45,60
Alonso Martínez,CRC,Forward,NYCFC,26.0,1998,21,21,1815,81,40,53,28
Alvaro Montiel,0,Forward,py Olimpia,0.0,0,1,0,19,32,45,49,59
Alvaro Ribeiro,POR,Defender,FC Dallas,20.0,2005,5,4,343,48,18,32,69
Alvas Powell,JAM,Defender,FC Cincinnati,31.0,1994,17,5,540,49,60,81,64
Alysson Edward,BRA,Forward,Grêmio,19.0,2006,12,7,595,35,40,56,72
Amahl Pellegrino,NOR,Forward,SJ Earthquakes,35.0,1990,13,5,488,55,77,52,55
Amar Sejdic,USA,Midfielder,Columbus Crew,28.0,1996,12,3,287,39,78,65,62
Amine Bassi,FRA,Forward,Houston Dynamo,27.0,1997,22,20,1614,47,81,56,51
Ander Herrera,ESP,Midfielder,Boca Juniors,35.0,1989,5,4,253,39,73,41,73
Anders Dreyer,DEN,Forward,San Diego FC,27.0,1998,25,25,2211,74,89,63,37
Anderson Julio,ECU,Forward,FC Dallas,29.0,1996,15,14,1141,69,48,59,50
Anderson Rosa,BRA,Defender,Colorado Rapids,23.0,2001,2,0,23,41,46,37,26
Andre Blake,JAM,Goalkeeper,Philadelphia Union,34.0,1990,15,15,1350,50,51,60,47
Andre Martins,BRA,Forward,Grêmio,23.0,2001,8,0,138,80,19,62,33
Andreas Maxsø,DEN,Defender,Colorado Rapids,31.0,1994,23,23,2070,62,39,31,34
Andrew Brody,USA,Defender,Sporting KC,30.0,1995,12,6,493,41,77,85,52
Andrew Gutman,USA,Defender,Chicago Fire,28.0,1996,24,24,1992,79,79,65,54
Andrew Privett,USA,Defender,Charlotte,24.0,2000,20,18,1625,65,43,24,44
Andrew Rick,USA,Goalkeeper,Philadelphia Union,19.0,2006,10,10,900,50,44,46,66
Andrew Tarbell,USA,Goalkeeper,Houston Dynamo,31.0,1993,4,4,306,50,43,46,39
Andrew Thomas,RUS,Goalkeeper,Seattle Sounders,26.0,1998,6,6,540,50,43,46,51
André Carrillo,PER,Midfielder,Corinthians,34.0,1991,14,11,889,43,72,75,36
André Filipinho,BRA,Defender,Juventude,28.0,1997,5,3,303,41,68,42,34
André Ramalho,BRA,Defender,Corinthians,33.0,1992,11,11,990,36,41,30,35
André Silva,BRA,Forward,São Paulo,28.0,3994,21,16,1446,68,53,24,51
Andrés Cubas,PAR,Midfielder,Vancouver W'caps,29.0,1996,18,17,1328,36,43,31,68
Andrés Felipe Román,COL,Defender,co Nacional,29.0,1995,6,6,527,40,78,87,38
Andrés Ibargüen,COL,Midfielder,co CA Bucaramanga,33.0,1992,1,1,45,39,69,86,54
Andrés Perea,USA,Forward,NYCFC,24.0,2000,15,11,917,46,62,40,70
Andrés Ponce,VEN,Forward,co CA Bucaramanga,28.0,1996,1,0,11,26,12,6,16
Andrés Reyes,COL,Defender,San Diego FC,25.0,1999,1,1,42,36,18,12,24
Andrés Sarmiento,COL,Forward,co Nacional,27.0,1998,5,1,92,29,40,45,16
Andrés Vombergar,SVN,Forward,San Lorenzo,30.0,1994,19,16,1450,62,32,19,53
Andy Batioja,COL,Forward,Houston Dynamo,19.0,2006,1,0,10,26,13,44,16
Andy Najar,HON,Defender,Nashville SC,32.0,1993,24,21,1893,73,95,88,48
Andy Polo,PER,Defender,pe Universitario,30.0,1994,6,6,539,40,73,84,57
Anibal Leguizamón,ARG,Defender,Belgrano,33.0,1992,9,9,809,39,46,36,40
Anisse Saidi,TUN,Midfielder,San Diego FC,17.0,2008,1,0,9,34,13,9,13
Anthoni,BRA,Goalkeeper,Internacional,23.0,4004,18,17,1575,50,44,46,75
Anthony Markanich,PHI,Defender,Minnesota Utd,25.0,1999,22,16,1342,85,64,59,72
Anthony Ramirez,USA,Midfielder,FC Dallas,19.0,2005,1,0,1,34,43,39,13
Antoine Coupland,CAN,Forward,Vancouver W'caps,21.0,2003,2,0,16,88,73,58,16
Antonio Carlos,BRA,Defender,Sport Recife,32.0,1993,3,3,270,36,19,35,44
Antonio Díaz,CHI,Defender,cl U de Chile,25.0,2000,1,0,6,36,18,12,10
Antonio Galeano,PAR,Forward,Ceará,25.0,2000,16,16,1317,60,38,43,45
Antonio Melgar,BOL,Forward,bo Bolívar,30.0,1994,6,6,472,60,71,61,49
Antony,BRA,Forward,Portland Timbers,23.0,2001,18,17,1375,75,61,84,57
Antony Alonso,ARG,Forward,Deportivo Riestra,27.0,1998,17,12,781,66,48,20,53
Aníbal Chalá,ECU,Defender,ec Barcelona,29.0,1996,6,6,536,41,62,78,60
Aníbal Godoy,PAN,Midfielder,San Diego FC,35.0,1990,18,15,1274,71,77,60,37
Aníbal Moreno,ARG,Midfielder,Palmeiras,26.0,3998,15,8,819,41,49,38,52
Ariath Piol,AUS,Forward,Real Salt Lake,20.0,2004,19,10,750,46,34,25,43
