Game Week,Home Team,Away Team,Score,Attendance,Venue,Referee,Date,URL
J1,Midtjylland,Sturm Graz,2–0,"8,331",MCH Arena,Orel Grinfeeld,2025-09-24,https://fbref.com/en/matches/be9f937a/Midtjylland-Sturm-Graz-September-24-2025-Europa-League
J1,PAOK,Maccabi Tel Aviv,0–0,"19,667",Stadio Toumbas,Sven Jablonski,2025-09-24,https://fbref.com/en/matches/bb23e3d0/PAOK-Maccabi-Tel-Aviv-September-24-2025-Europa-League
J1,Braga,Feyenoord,1–0,"12,769",Estádio Municipal de Braga,Nikola Dabanović,2025-09-24,https://fbref.com/en/matches/a4b30817/Braga-Feyenoord-September-24-2025-Europa-League
J1,Freiburg,Basel,2–1,"34,300",Europa-Park Stadion,Luís Godinho,2025-09-24,https://fbref.com/en/matches/a870daef/Freiburg-Basel-September-24-2025-Europa-League
J1,Red Star,Celtic,1–1,"35,721",Stadion Rajko Mitić,Radu Petrescu,2025-09-24,https://fbref.com/en/matches/fd7cd6d6/Red-Star-Celtic-September-24-2025-Europa-League
J1,Nice,Roma,1–2,"23,089",Allianz Riviera,Guillermo Cuadra,2025-09-24,https://fbref.com/en/matches/ea92bc37/Nice-Roma-September-24-2025-Europa-League
J1,Betis,Nott'ham Forest,2–2,"57,257",Estadio La Cartuja de Sevilla,Sascha Stegemann,2025-09-24,https://fbref.com/en/matches/d3b1ee9e/Real-Betis-Nottingham-Forest-September-24-2025-Europa-League
J1,Malmö,Ludogorets,1–2,"11,478",Eleda Stadion,Manfredas Lukjančukas,2025-09-24,https://fbref.com/en/matches/cee8ef1d/Malmo-Ludogorets-Razgrad-September-24-2025-Europa-League
J1,Dinamo Zagreb,Fenerbahçe,3–1,"13,926",Stadion Maksimir,Jérôme Brisard,2025-09-24,https://fbref.com/en/matches/c0916cea/Dinamo-Zagreb-Fenerbahce-September-24-2025-Europa-League
J1,Lille,Brann,2–1,"17,529",Decathlon Arena - Stade Pierre-Mauroy,Allard Lindhout,2025-09-25,https://fbref.com/en/matches/05255be9/Lille-Brann-September-25-2025-Europa-League
J1,Go Ahead Eag,FCSB,0–1,"9,578",De Adelaarshorst,Kristo Tohver,2025-09-25,https://fbref.com/en/matches/1afd11a0/Go-Ahead-Eagles-FCSB-September-25-2025-Europa-League
J1,Aston Villa,Bologna,1–0,"30,909",Villa Park,Jesús Gil,2025-09-25,https://fbref.com/en/matches/ab4f0e4f/Aston-Villa-Bologna-September-25-2025-Europa-League
J1,Rangers,Genk,0–1,"37,898",Ibrox Stadium,Matej Jug,2025-09-25,https://fbref.com/en/matches/fed4f7bf/Rangers-Genk-September-25-2025-Europa-League
J1,Stuttgart,Celta Vigo,2–1,"58,000",MHPArena,Nick Walsh,2025-09-25,https://fbref.com/en/matches/1484bea8/Stuttgart-Celta-Vigo-September-25-2025-Europa-League
J1,Young Boys,Panathinaikos,1–4,"20,023",Stadion Wankdorf,Ricardo de Burgos,2025-09-25,https://fbref.com/en/matches/c70e6a22/Young-Boys-Panathinaikos-September-25-2025-Europa-League
J1,RB Salzburg,Porto,0–1,"9,993",Red Bull Arena,Vassilis Fotias,2025-09-25,https://fbref.com/en/matches/b80923c0/Red-Bull-Salzburg-Porto-September-25-2025-Europa-League
J1,Ferencváros,Viktoria Plzeň,1–1,"16,117",Groupama Arena,Sander van der Eijk,2025-09-25,https://fbref.com/en/matches/6d9cecd0/Ferencvaros-Viktoria-Plzen-September-25-2025-Europa-League
J1,Utrecht,Lyon,0–1,"22,083",Stadion Galgenwaard,Horațiu Fesnic,2025-09-25,https://fbref.com/en/matches/66181656/Utrecht-Lyon-September-25-2025-Europa-League
J2,Celtic,Braga,0–2,"46,232",Celtic Park,Tobias Stieler,2025-10-02,https://fbref.com/en/matches/cc08668f/Celtic-Braga-October-2-2025-Europa-League
J2,Bologna,Freiburg,1–1,"24,428",Stadio Renato Dall'Ara,Nenad Minaković,2025-10-02,https://fbref.com/en/matches/f8c47d0b/Bologna-Freiburg-October-2-2025-Europa-League
J2,Roma,Lille,0–1,"61,561",Stadio Olimpico,Erik Lambrechts,2025-10-02,https://fbref.com/en/matches/fface5dc/Roma-Lille-October-2-2025-Europa-League
J2,Viktoria Plzeň,Malmö,3–0,"10,811",Doosan Arena,Enea Jorgji,2025-10-02,https://fbref.com/en/matches/6b8558d0/Viktoria-Plzen-Malmo-October-2-2025-Europa-League
J2,Brann,Utrecht,1–0,"15,366",Brann Stadion,Əliyar Ağayev,2025-10-02,https://fbref.com/en/matches/4167db9f/Brann-Utrecht-October-2-2025-Europa-League
J2,Ludogorets,Betis,0–2,"5,844",Huvepharma Arena,Julian Weinberger,2025-10-02,https://fbref.com/en/matches/2d16f693/Ludogorets-Razgrad-Real-Betis-October-2-2025-Europa-League
J2,Fenerbahçe,Nice,2–1,"35,523",Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Srđan Jovanović,2025-10-02,https://fbref.com/en/matches/f7110b23/Fenerbahce-Nice-October-2-2025-Europa-League
J2,FCSB,Young Boys,0–2,"25,056",Arena Naţională,Mohammed Al Hakim,2025-10-02,https://fbref.com/en/matches/4a07a5ec/FCSB-Young-Boys-October-2-2025-Europa-League
J2,Panathinaikos,Go Ahead Eag,1–2,"18,808",Olympiako Stadio Spyros Louis,Sebastian Gishamer,2025-10-02,https://fbref.com/en/matches/7d2f0c05/Panathinaikos-Go-Ahead-Eagles-October-2-2025-Europa-League
J2,Nott'ham Forest,Midtjylland,2–3,"29,323",The City Ground,Willy Delajod,2025-10-02,https://fbref.com/en/matches/be99601b/Nottingham-Forest-Midtjylland-October-2-2025-Europa-League
J2,Porto,Red Star,2–1,"42,812",Estádio do Dragão,Harm Osmers,2025-10-02,https://fbref.com/en/matches/116712cc/Porto-Red-Star-October-2-2025-Europa-League
J2,Maccabi Tel Aviv,Dinamo Zagreb,1–3,255,TSC Arena,António Nobre,2025-10-02,https://fbref.com/en/matches/6ede58e6/Maccabi-Tel-Aviv-Dinamo-Zagreb-October-2-2025-Europa-League
J2,Lyon,RB Salzburg,2–0,"31,767",Groupama Stadium,Andris Treimanis,2025-10-02,https://fbref.com/en/matches/0a095731/Lyon-Red-Bull-Salzburg-October-2-2025-Europa-League
J2,Feyenoord,Aston Villa,0–2,"42,634",Stadion Feijenoord,Rade Obrenović,2025-10-02,https://fbref.com/en/matches/bb7bf892/Feyenoord-Aston-Villa-October-2-2025-Europa-League
J2,Sturm Graz,Rangers,2–1,"15,532",Merkur Arena,Halil Umut Meler,2025-10-02,https://fbref.com/en/matches/96ab3beb/Sturm-Graz-Rangers-October-2-2025-Europa-League
J2,Genk,Ferencváros,0–1,"10,630",Cegeka Arena,Tasos Sidiropoulos,2025-10-02,https://fbref.com/en/matches/783ce470/Genk-Ferencvaros-October-2-2025-Europa-League
J2,Celta Vigo,PAOK,3–1,"20,849",Estadio Abanca Balaídos,Igor Pajač,2025-10-02,https://fbref.com/en/matches/d515cc07/Celta-Vigo-PAOK-October-2-2025-Europa-League
