Team,Pts
Midtjylland,32750
PAOK,42250
Braga,46000
Freiburg,28000
Red Star,44000
Nice,20000
Betis,52250
Malmö,14500
Dinamo Zagreb,56000
Lille,66000
Go Ahead Eag,13430
Aston Villa,47250
Rangers,71250
Stuttgart,17266
Young Boys,34500
RB Salzburg,48000
Ferencváros,39000
Utrecht,13430
Sturm Graz,23000
Maccabi Tel Aviv,37500
Feyenoord,71000
Basel,33000
Celtic,38000
Roma,104500
Nott'ham Forest,23039
Ludogorets,24000
Fenerbahçe,47250
Brann,7937
FCSB,22500
Bologna,19446
Genk,11370
Celta Vigo,18890
Panathinaikos,16000
Porto,79250
Viktoria Plzeň,39250
Lyon,43750
