Player,Team,League,Position,General Position,Nationality,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total)
Aarón Escandell,Oviedo,Spanish La Liga,GK,Goalkeeper,ESP,30,810,64.0,16.0,47.0,19.9,3.9,1,52.0,130,275.0,33.0,9504.9,53.0,2014.7,142,4.0,20.0,384.9
Adrian Šemper,Pisa,Italian Serie A,GK,Goalkeeper,CRO,27,630,32.0,10.0,22.0,8.8,-1.2,2,53.0,118,194.0,30.0,7740.5,36.0,1753.5,109,9.0,0.0,0.0
Alban Lafont,Panathinaikos,UEFA Europa League,GK,Goalkeeper,FRA,26,180,7.0,3.0,4.0,2.7,-0.3,0,7.0,26,58.0,6.0,2087.6,7.0,438.8,37,1.0,1.0,12.3
Alex Meret,Napoli,Italian Serie A,GK,Goalkeeper,ITA,28,360,12.0,4.0,8.0,3.7,-0.3,2,5.0,14,85.0,12.0,2191.4,24.0,569.3,20,1.0,6.0,124.9
Alexander Nübel,Stuttgart,"German Bundesliga, UEFA Europa League",GK,Goalkeeper,GER,29,900,37.0,10.0,27.0,9.0,-1.0,4,56.0,120,348.0,45.0,10759.3,48.0,1876.1,132,10.0,11.0,187.4
Alexander Schlager,RB Salzburg,UEFA Europa League,GK,Goalkeeper,AUT,29,270,15.0,6.0,7.0,6.0,0.0,0,20.0,50,107.0,15.0,3750.9,16.0,870.5,42,1.0,0.0,0.0
Alexandros Paschalakis,Olympiacos,UEFA Champions League,GK,Goalkeeper,GRE,36,90,1.0,0.0,1.0,0.1,0.1,1,2.0,3,14.0,1.0,379.4,8.0,246.4,1,0.0,4.0,84.8
Alisson,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,BRA,32,685,24.0,10.0,14.0,9.7,-0.3,2,25.0,69,289.0,37.0,8509.5,23.0,663.9,98,6.0,12.0,225.7
Alphonse Areola,West Ham,English Premier League,GK,Goalkeeper,FRA,32,360,20.0,7.0,13.0,5.8,-1.2,0,18.0,70,111.0,22.0,4113.4,33.0,1508.9,67,4.0,0.0,0.0
Altay Bayındır,Manchester Utd,English Premier League,GK,Goalkeeper,TUR,27,540,23.0,11.0,12.0,9.2,-1.8,0,29.0,94,173.0,17.0,6473.6,18.0,876.0,62,4.0,7.0,131.7
Anatolii Trubin,Benfica,UEFA Champions League,GK,Goalkeeper,UKR,24,270,18.0,7.0,12.0,7.7,0.7,0,4.0,27,68.0,11.0,2105.2,17.0,460.2,36,3.0,1.0,16.3
Anthony Lopes,Nantes,French Ligue 1,GK,Goalkeeper,POR,35,720,41.0,9.0,32.0,9.9,0.9,2,39.0,98,311.0,38.0,9796.3,33.0,1009.0,144,6.0,12.0,228.6
Anton Ari Einarsson,Breiðablik,UEFA Europa Conference League,GK,Goalkeeper,ISL,31,180,10.0,3.0,7.0,2.9,-0.1,1,7.0,13,76.0,14.0,2161.0,3.0,86.1,20,1.0,0.0,0.0
Antonio Sivera,Alavés,Spanish La Liga,GK,Goalkeeper,ESP,29,810,28.0,8.0,20.0,8.3,0.3,2,70.0,154,163.0,20.0,7221.7,62.0,3803.3,109,4.0,3.0,46.1
Antonis Tsiftsis,PAOK,UEFA Europa League,GK,Goalkeeper,GRE,26,90,11.0,3.0,8.0,3.4,0.4,0,5.0,19,26.0,3.0,1089.4,7.0,452.2,28,1.0,0.0,0.0
Arijanet Muric,Sassuolo,Italian Serie A,GK,Goalkeeper,KVX,26,540,31.0,6.0,26.0,9.2,3.2,3,43.0,106,194.0,33.0,6721.4,43.0,2144.5,87,11.0,1.0,18.0
Arnau Tenas,Villarreal,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,ESP,24,360,16.0,8.0,8.0,4.8,-3.2,0,14.0,69,94.0,7.0,3470.4,34.0,2002.7,66,3.0,5.0,78.4
Arnaud Bodart,Lille,French Ligue 1,GK,Goalkeeper,BEL,27,90,2.0,1.0,1.0,1.6,0.6,0,8.0,14,28.0,2.0,974.4,5.0,185.0,9,0.0,1.0,13.5
Augusto Batalla,Rayo Vallecano,"Spanish La Liga, UEFA Europa Conference League",GK,Goalkeeper,ARG,29,990,42.0,12.0,30.0,13.5,1.5,3,64.0,176,355.0,45.0,13735.9,47.0,2309.5,136,11.0,24.0,475.0
Baboucarr Gaye,Shkëndija 79,UEFA Europa Conference League,GK,Goalkeeper,GAM,27,180,12.0,2.0,10.0,2.3,0.3,1,5.0,15,39.0,7.0,1226.1,11.0,391.0,35,0.0,0.0,0.0
Bart Verbruggen,Brighton,English Premier League,GK,Goalkeeper,NED,23,720,25.0,11.0,16.0,9.9,-1.1,0,21.0,102,282.0,36.0,9283.7,21.0,1088.0,103,3.0,7.0,123.4
Bartosz Mrozek,Lech Poznań,UEFA Europa Conference League,GK,Goalkeeper,POL,25,180,5.0,3.0,2.0,1.1,-1.9,0,6.0,14,46.0,12.0,1305.6,8.0,344.1,29,0.0,0.0,0.0
Bartłomiej Drągowski,Panathinaikos,UEFA Europa League,GK,Goalkeeper,POL,28,90,8.0,3.0,5.0,3.7,0.7,0,6.0,20,39.0,6.0,1657.5,3.0,156.9,13,0.0,0.0,0.0
Berke Özer,Lille,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,TUR,25,900,40.0,14.0,23.0,18.0,4.0,3,43.0,120,356.0,27.0,10877.5,42.0,1628.3,113,3.0,12.0,215.4
Bernd Leno,Fulham,English Premier League,GK,Goalkeeper,GER,33,720,34.0,12.0,23.0,10.3,-1.7,1,29.0,99,274.0,42.0,8257.3,42.0,1963.9,102,8.0,9.0,154.7
Bingourou Kamara,Lorient,French Ligue 1,GK,Goalkeeper,SEN,28,270,15.0,8.0,7.0,4.8,-3.2,1,12.0,22,65.0,7.0,1948.9,9.0,279.3,27,2.0,5.0,111.0
Brice Samba,Rennes,French Ligue 1,GK,Goalkeeper,FRA,31,720,33.0,12.0,20.0,13.8,1.8,2,31.0,103,312.0,38.0,10073.8,42.0,1388.8,120,7.0,10.0,266.0
Caoimhín Kelleher,Brentford,English Premier League,GK,Goalkeeper,IRL,26,720,30.0,12.0,18.0,9.1,-2.9,2,55.0,131,250.0,43.0,8491.6,39.0,2361.4,105,8.0,5.0,73.2
Daniel Heuer Fernandes,Hamburger SV,German Bundesliga,GK,Goalkeeper,POR,32,630,39.0,10.0,28.0,10.3,0.3,3,35.0,101,293.0,22.0,8704.4,39.0,1628.1,103,3.0,5.0,81.9
David Raya,Arsenal,"English Premier League, UEFA Champions League",GK,Goalkeeper,ESP,30,990,24.0,3.0,21.0,4.1,1.1,8,54.0,156,368.0,56.0,12432.9,40.0,2050.3,111,10.0,24.0,575.0
David Soria,Getafe,Spanish La Liga,GK,Goalkeeper,ESP,32,810,38.0,12.0,27.0,9.6,-2.4,2,71.0,217,186.0,11.0,9582.5,71.0,4346.8,103,4.0,7.0,147.3
David de Gea,Fiorentina,"Italian Serie A, UEFA Europa Conference League",GK,Goalkeeper,ESP,34,810,39.0,10.0,29.0,11.3,1.3,4,43.0,116,264.0,36.0,8774.4,33.0,1639.7,108,4.0,7.0,126.7
Dean Henderson,Crystal Palace,"English Premier League, UEFA Europa Conference League",GK,Goalkeeper,ENG,28,900,29.0,9.0,20.0,12.0,3.0,4,53.0,164,269.0,35.0,10162.4,74.0,3432.5,157,9.0,6.0,144.2
Diant Ramaj,Heidenheim,German Bundesliga,GK,Goalkeeper,GER,24,630,39.0,13.0,26.0,13.6,0.6,0,59.0,162,332.0,31.0,12722.8,59.0,2991.2,97,9.0,9.0,123.6
Dimitar Mitov,Aberdeen,UEFA Europa Conference League,GK,Goalkeeper,BUL,28,180,13.0,9.0,4.0,6.4,-2.6,0,11.0,39,55.0,9.0,2146.6,13.0,772.6,26,0.0,2.0,34.0
Diogo Costa,Porto,UEFA Europa League,GK,Goalkeeper,POR,26,270,8.0,3.0,5.0,2.2,-0.8,1,8.0,24,92.0,21.0,2459.3,14.0,458.3,33,2.0,8.0,139.9
Dmytro Riznyk,Shakhtar,UEFA Europa Conference League,GK,Goalkeeper,UKR,26,90,5.0,2.0,3.0,2.0,0.0,0,2.0,7,31.0,3.0,849.4,3.0,50.1,12,1.0,2.0,48.0
Dominik Greif,Lyon,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,SVK,28,630,23.0,5.0,18.0,6.0,1.0,5,23.0,53,251.0,23.0,6398.9,22.0,831.1,81,7.0,14.0,273.5
