Player,Team,League,Position,General Position,Nationality,Age,Minutes,Goals,Assists,Shots Total,Shots on Target,Expected Goals (xG),Non-Penalty Expected Goals (npxG),Penalty Kicks Made,Penalty Kicks Attempted,Shot-Creating Actions (SCA),Goal-Creating Actions (GCA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Crosses,Expected Assists (xA),Expected Assisted Goals (xAG),Passes Completed,Passes Attempted,Progressive Passes,Through Balls,Switches,Passes Blocked,Passes Offside,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Passing Distance (Total),Progressive Passing Distance (Total),Carries,Progressive Carries,Carrying Distance (Total),Progressive Carrying Distance (Total),Carries into Final Third,Carries into Penalty Area,Take-Ons Attempted,Successful Take-Ons,Times Tackled During Take-On,Tackles,Tackles Won,Tackles in Defensive Third,Tackles in Middle Third,Tackles in Attacking Third,Dribblers Tackled,Dribbles Challenged,Challenges Lost,Interceptions,Blocks,Shots Blocked,Clearances,Errors Leading to Shot,Ball Recoveries,Miscontrols,Dispossessed,Ball Losses,Passes Received,Progressive Passes Received,Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Live-Ball Touches,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalties Kicks Conceded,Penalties Kicks Won,Own Goals,Aerials Won,Aerials Lost,Total Aerials
Aaron Hickey,Brentford,English Premier League,LB,Defender,SCO,23,15,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,3.0,1.0,3.0,0.0,0.0,42.0,20.0,2.0,0.0,18.0,17.0,0.0,0.0,0.0,0.0,0.0,3.0,1,3.0,0.0,0.0,3.0,4.0,1.0,0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,12.0,0.0,6.0,4.0,2.0,0.0,12.0,1,0,0,1,2,0,0.0,0.0,0.0,1.0,0.0,1.0
Aaron Wan-Bissaka,West Ham,English Premier League,WB,Midfielder,ENG,27,180,0,0,0,0,0.0,0.0,0,0,5.0,0.0,2.0,5.0,4.0,4.0,7,0.2,0.1,102.0,121.0,6.0,0.0,0.0,7.0,1.0,100.0,20.0,0.0,65.0,68.0,28.0,34.0,5.0,6.0,1434.0,514.0,81.0,5.0,404.0,204.0,2.0,0.0,6.0,3.0,1.0,1.0,1,0.0,0.0,1.0,1.0,1.0,0.0,1,3.0,0.0,6.0,0.0,8.0,3.0,0.0,3.0,94.0,14.0,139.0,4.0,34.0,57.0,50.0,4.0,139.0,0,0,0,0,2,0,0.0,0.0,0.0,2.0,0.0,2.0
Aaron Zehnter,Wolfsburg,German Bundesliga,LB,Defender,GER,20,90,0,0,0,0,0.0,0.0,0,0,3.0,1.0,1.0,1.0,0.0,0.0,3,0.1,0.2,43.0,55.0,2.0,0.0,0.0,2.0,0.0,46.0,9.0,0.0,22.0,24.0,18.0,19.0,3.0,9.0,743.0,158.0,35.0,1.0,125.0,82.0,2.0,0.0,1.0,1.0,0.0,1.0,1,1.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,37.0,5.0,58.0,3.0,17.0,22.0,19.0,3.0,58.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
Aarón Martín,Genoa,Italian Serie A,LB,Defender,ESP,28,90,0,0,1,1,0.0,0.0,0,0,1.0,0.0,0.0,2.0,0.0,0.0,2,0.0,0.0,47.0,56.0,5.0,0.0,0.0,1.0,0.0,47.0,9.0,4.0,23.0,24.0,19.0,21.0,3.0,8.0,783.0,328.0,41.0,0.0,195.0,55.0,1.0,0.0,1.0,1.0,0.0,2.0,2,1.0,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,2.0,41.0,3.0,62.0,0.0,24.0,29.0,9.0,1.0,62.0,1,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Abdelhamid Ait Boudlal,Rennes,French Ligue 1,CB,Defender,MAR,19,30,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,3.0,3.0,6.0,6.0,2.0,3.0,228.0,104.0,9.0,0.0,23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,14.0,1.0,12.0,2.0,0.0,0.0,14.0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Abderrahman Rebbach,Alavés,Spanish La Liga,CM,Midfielder,ALG,27,47,0,0,3,2,0.1,0.1,0,0,6.0,1.0,1.0,4.0,1.0,1.0,3,0.0,0.0,23.0,33.0,5.0,0.0,0.0,1.0,0.0,29.0,4.0,1.0,12.0,13.0,6.0,10.0,2.0,5.0,367.0,148.0,23.0,4.0,149.0,87.0,1.0,1.0,3.0,1.0,1.0,2.0,0,2.0,0.0,0.0,1.0,1.0,0.0,2,1.0,0.0,0.0,0.0,4.0,3.0,2.0,5.0,31.0,10.0,45.0,0.0,6.0,21.0,19.0,1.0,45.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1.0,1.0
Abdou Harroui,Hellas Verona,Italian Serie A,CM,Midfielder,NED,27,25,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,8.0,11.0,0.0,0.0,1.0,0.0,0.0,10.0,1.0,0.0,3.0,3.0,3.0,3.0,2.0,4.0,170.0,0.0,7.0,1.0,39.0,22.0,1.0,0.0,2.0,1.0,0.0,1.0,1,1.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,12.0,0.0,2.0,9.0,2.0,0.0,12.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,2.0
Abdoul Coulibaly,Werder Bremen,German Bundesliga,CB,Defender,GER,18,13,0,0,0,0,0.0,0.0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,2.0,170.0,53.0,5.0,0.0,43.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,9.0,3.0,4.0,5.0,0.0,0.0,9.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Abdoulaye Faye,Lorient,French Ligue 1,CB,Defender,SEN,20,45,0,0,0,0,0.0,0.0,0,0,2.0,1.0,0.0,2.0,0.0,0.0,0,0.0,0.0,37.0,38.0,2.0,0.0,0.0,0.0,0.0,36.0,2.0,1.0,18.0,19.0,16.0,16.0,2.0,2.0,628.0,244.0,27.0,0.0,152.0,110.0,2.0,0.0,0.0,0.0,0.0,2.0,1,0.0,2.0,0.0,2.0,2.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,33.0,0.0,42.0,1.0,9.0,27.0,6.0,0.0,42.0,0,0,0,3,0,0,0.0,0.0,0.0,1.0,0.0,1.0
Abdoulaye Touré,Le Havre,French Ligue 1,CM,Midfielder,GUI,31,28,0,0,1,0,0.0,0.0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,14.0,20.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,6.0,7.0,6.0,8.0,2.0,3.0,261.0,51.0,18.0,1.0,88.0,26.0,1.0,2.0,3.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,2.0,23.0,0.0,28.0,0.0,7.0,13.0,8.0,3.0,28.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
