Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Aarón Escandell,ESP,Oviedo,Spanish La Liga,GK,Goalkeeper,29,180,10.0,2.5,7.5,2.45,-0.05,0.0,10.0,20.5,34.0,4.0,1211.6,9.0,379.9,17.5,0.0,3.5,61.65,1,75.0,48.78,0.0,18.38
Adrian Šemper,CRO,Pisa,Italian Serie A,GK,Goalkeeper,27,90,6.0,1.0,5.0,2.0,1.0,0.0,21.0,34.0,38.0,2.0,1900.0,5.0,330.0,23.0,1.0,0.0,0.0,1,83.33,61.76,4.35,27.78
Alex Meret,ITA,Napoli,Italian Serie A,GK,Goalkeeper,28,90,2.0,0.0,2.0,0.0,0.0,1.0,1.0,5.0,31.0,3.0,762.6,6.0,106.8,4.0,1.0,2.0,43.6,1,100.0,20.0,25.0,0.0
Alexander Nübel,GER,Stuttgart,German Bundesliga,GK,Goalkeeper,28,90,2.0,2.0,0.0,0.3,-1.7,0.0,0.0,2.0,22.0,4.0,536.8,3.0,74.1,14.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
Alisson,BRA,Liverpool,English Premier League,GK,Goalkeeper,32,180,3.0,2.0,1.0,1.35,-0.65,0.0,6.0,13.5,38.5,4.0,1281.65,1.5,68.5,17.5,1.0,2.5,41.0,1,33.33,44.44,5.71,15.0
Altay Bayındır,TUR,Manchester Utd,English Premier League,GK,Goalkeeper,27,180,3.0,1.0,2.0,1.3,0.3,0.0,4.0,15.0,35.0,3.5,1207.6,3.5,155.5,15.5,1.5,0.5,4.75,1,66.67,26.67,9.68,28.89
Anthony Lopes,POR,Nantes,French Ligue 1,GK,Goalkeeper,34,180,4.0,1.0,3.0,0.85,-0.15,0.0,9.0,18.0,49.5,6.5,1626.25,6.5,142.45,15.5,1.0,1.5,36.9,1,75.0,50.0,6.45,15.94
Antonio Sivera,ESP,Alavés,Spanish La Liga,GK,Goalkeeper,29,180,4.0,1.0,3.0,1.2,0.2,0.0,9.0,18.0,16.5,2.0,784.5,6.5,408.1,9.5,0.5,1.0,15.8,1,75.0,50.0,5.26,22.5
Augusto Batalla,ARG,Rayo Vallecano,Spanish La Liga,GK,Goalkeeper,29,180,3.0,1.0,2.0,1.0,0.0,0.0,6.5,16.5,33.0,4.0,1312.8,2.5,132.5,11.0,1.0,3.5,69.95,1,66.67,39.39,9.09,22.22
Bart Verbruggen,NED,Brighton,English Premier League,GK,Goalkeeper,23,180,2.5,1.5,1.0,0.95,-0.55,0.0,2.0,12.0,41.0,6.0,1197.4,1.5,53.55,9.5,0.5,0.0,0.0,1,40.0,16.67,5.26,15.2
Berke Özer,TUR,Lille,French Ligue 1,GK,Goalkeeper,25,180,3.0,1.5,1.5,1.9,0.4,0.5,3.5,8.5,28.0,3.0,820.4,5.0,125.2,10.5,0.0,1.5,23.55,1,50.0,41.18,0.0,31.67
Bernd Leno,GER,Fulham,English Premier League,GK,Goalkeeper,33,180,3.5,1.0,3.0,0.75,-0.25,0.0,4.5,16.5,39.0,5.5,1226.55,7.5,383.3,10.0,1.0,0.0,0.0,1,85.71,27.27,10.0,18.37
Bingourou Kamara,SEN,Lorient,French Ligue 1,GK,Goalkeeper,28,180,2.0,0.5,1.5,0.25,-0.25,0.5,2.5,5.0,19.0,1.5,538.4,2.5,55.05,6.5,0.5,2.5,55.5,1,75.0,50.0,7.69,9.38
Brice Samba,FRA,Rennes,French Ligue 1,GK,Goalkeeper,31,180,4.5,2.0,2.5,2.1,0.1,0.5,7.0,20.5,48.0,4.5,1767.7,5.5,160.85,25.0,2.0,0.0,0.0,1,55.56,34.15,8.0,25.93
