Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Aarón Escandell,ESP,Oviedo,Spanish La Liga,GK,Goalkeeper,30,630,95,30,98,84,75,42,79,69,50,32,60,65,61,75,31,86,84,1,70,67,24,46
Adrian Šemper,CRO,Pisa,Italian Serie A,GK,Goalkeeper,27,450,59,57,69,38,49,55,92,77,48,51,81,28,30,74,68,7,7,1,67,87,62,38
Alban Lafont,FRA,Panathinaikos,UEFA Europa League,GK,Goalkeeper,26,90,19,70,25,27,56,19,27,83,52,23,85,65,86,99,68,7,7,1,50,4,37,68
Alex Meret,ITA,Napoli,Italian Serie A,GK,Goalkeeper,28,360,19,70,25,22,46,82,6,3,9,23,4,65,25,3,22,67,72,1,50,60,47,48
Alexander Nübel,GER,Stuttgart,"German Bundesliga, UEFA Europa League",GK,Goalkeeper,28,540,37,60,44,34,47,69,66,41,78,59,64,39,38,82,86,38,34,1,54,84,77,47
Alexander Schlager,AUT,RB Salzburg,UEFA Europa League,GK,Goalkeeper,29,90,19,70,25,12,28,19,99,94,58,23,71,97,99,79,9,7,7,1,50,94,8,20
Alexandros Paschalakis,GRE,Olympiacos,UEFA Champions League,GK,Goalkeeper,36,90,2,95,5,2,65,95,12,2,1,4,1,88,58,1,9,96,96,1,96,98,8,6
Alisson,BRA,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,32,685,23,53,20,48,49,62,34,22,86,72,67,18,9,46,54,69,70,1,27,60,58,79
Alphonse Areola,FRA,West Ham,English Premier League,GK,Goalkeeper,32,180,60,42,62,27,13,19,39,67,60,91,56,91,87,70,36,7,7,1,50,11,30,13
Altay Bayındır,TUR,Manchester Utd,English Premier League,GK,Goalkeeper,27,540,40,26,25,66,28,19,60,65,43,17,61,15,27,20,47,55,54,1,18,37,62,55
Anatolii Trubin,UKR,Benfica,UEFA Champions League,GK,Goalkeeper,24,180,47,20,44,82,38,19,7,12,21,51,9,57,17,12,9,25,25,1,34,9,8,92
Anthony Lopes,POR,Nantes,French Ligue 1,GK,Goalkeeper,34,540,79,60,86,25,35,46,67,47,92,77,84,33,18,83,47,67,65,1,78,82,36,13
Antonio Sivera,ESP,Alavés,Spanish La Liga,GK,Goalkeeper,29,630,27,70,35,32,64,42,96,84,3,8,27,90,95,58,41,20,21,1,59,89,38,76
Arijanet Muric,KVX,Sassuolo,Italian Serie A,GK,Goalkeeper,26,360,74,42,79,75,74,60,88,74,75,83,80,35,50,60,82,16,17,1,73,80,75,88
Arnau Tenas,ESP,Villarreal,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,24,180,19,42,13,6,4,19,20,72,26,7,32,88,94,86,36,25,28,1,14,4,26,5
Arnaud Bodart,BEL,Lille,French Ligue 1,GK,Goalkeeper,27,90,5,70,5,69,94,19,93,60,38,7,46,48,42,12,9,47,39,1,14,95,8,99
Augusto Batalla,ARG,Rayo Vallecano,Spanish La Liga,GK,Goalkeeper,29,630,52,45,50,60,60,19,76,73,69,51,89,41,53,29,51,93,92,1,43,59,61,76
Bart Verbruggen,NED,Brighton,English Premier League,GK,Goalkeeper,23,540,24,42,18,55,42,19,23,51,78,67,72,19,32,38,26,47,48,1,24,10,25,86
Berke Özer,TUR,Lille,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,25,540,32,42,18,74,72,46,35,25,52,12,35,44,37,23,26,55,54,1,19,50,27,86
Bernd Leno,GER,Fulham,English Premier League,GK,Goalkeeper,33,540,40,51,49,40,38,46,31,46,80,89,57,48,55,26,68,47,51,1,60,18,77,61
Bingourou Kamara,SEN,Lorient,French Ligue 1,GK,Goalkeeper,28,270,74,5,37,69,2,69,47,15,11,12,8,15,11,12,47,71,76,1,9,94,68,14
