Player,Nationality,Team,League,Position,General Position,Age,Minutes,Goals,Assists,Shots Total,Shots on Target,Expected Goals (xG),Non-Penalty Expected Goals (npxG),Penalty Kicks Made,Penalty Kicks Attempted,Shot-Creating Actions (SCA),Goal-Creating Actions (GCA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Crosses,Expected Assists (xA),Expected Assisted Goals (xAG),Passes Completed,Passes Attempted,Progressive Passes,Through Balls,Switches,Passes Blocked,Passes Offside,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Passing Distance (Total),Progressive Passing Distance (Total),Carries,Progressive Carries,Carrying Distance (Total),Progressive Carrying Distance (Total),Carries into Final Third,Carries into Penalty Area,Take-Ons Attempted,Successful Take-Ons,Times Tackled During Take-On,Tackles,Tackles Won,Tackles in Defensive Third,Tackles in Middle Third,Tackles in Attacking Third,Dribblers Tackled,Dribbles Challenged,Challenges Lost,Interceptions,Blocks,Shots Blocked,Clearances,Errors Leading to Shot,Ball Recoveries,Miscontrols,Dispossessed,Ball Losses,Passes Received,Progressive Passes Received,Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Live-Ball Touches,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalties Kicks Conceded,Penalties Kicks Won,Own Goals,Aerials Won,Aerials Lost,Total Aerials,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels Won,Efficiency,Matches
Aaron Anselmino,ARG,Dortmund,German Bundesliga,CB,Defender,20,75,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,5.0,1.0,0.0,0,0.1,0.0,73.0,78.0,10.0,0.0,0.0,0.0,0.0,75.0,3.0,3.0,32.0,33.0,39.0,42.0,2.0,2.0,1202.0,465.0,53.0,4.0,321.0,216.0,1.0,0.0,0.0,0.0,0.0,2.0,2,2.0,0.0,0.0,2.0,2.0,0.0,0,0.0,0.0,5.0,1.0,4.0,1.0,0.0,1.0,70.0,1.0,87.0,2.0,25.0,59.0,3.0,0.0,87.0,0,0,0,2,1,0,0.0,0.0,0.0,1.0,1.0,2.0,15.0,0.0,1.0,4.0,0.0,1
Aaron Hickey,SCO,Brentford,English Premier League,RB,Defender,23,23,0,0,0,0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,3.0,6.0,1.0,3.0,0.0,0.0,53.0,21.0,4.0,0.0,23.0,21.0,0.0,0.0,0.0,0.0,0.0,3.0,1,3.0,0.0,0.0,3.0,4.0,1.0,0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,5.0,1.0,16.0,0.0,7.0,6.0,3.0,0.0,16.0,1,0,0,1,2,0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,4.0,0.0,1
Aaron Wan-Bissaka,ENG,West Ham,English Premier League,WB,Midfielder,27,180,0,0,0,0,0.0,0.0,0,0,5.0,0.0,2.0,5.0,4.0,4.0,7,0.2,0.1,102.0,121.0,6.0,0.0,0.0,7.0,1.0,100.0,20.0,0.0,65.0,68.0,28.0,34.0,5.0,6.0,1434.0,514.0,81.0,5.0,404.0,204.0,2.0,0.0,6.0,3.0,1.0,1.0,1,0.0,0.0,1.0,1.0,1.0,0.0,1,3.0,0.0,6.0,0.0,8.0,3.0,0.0,3.0,94.0,14.0,139.0,4.0,34.0,57.0,50.0,4.0,139.0,0,0,0,0,2,0,0.0,0.0,0.0,2.0,0.0,2.0,25.0,5.0,12.0,2.0,0.0,1
Aaron Zehnter,GER,Wolfsburg,German Bundesliga,LB,Defender,20,179,1,0,2,1,0.1,0.1,0,0,5.0,1.0,2.0,3.0,0.0,0.0,4,0.1,0.2,77.0,101.0,3.0,0.0,0.0,5.0,0.0,77.0,24.0,2.0,32.0,36.0,34.0,38.0,10.0,21.0,1483.0,479.0,63.0,2.0,208.0,114.0,5.0,1.0,1.0,1.0,0.0,2.0,1,2.0,0.0,0.0,1.0,2.0,1.0,4,2.0,2.0,3.0,0.0,7.0,1.0,0.0,1.0,61.0,8.0,113.0,8.0,50.0,36.0,28.0,4.0,113.0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,1.0,3.0,13.0,6.0,5.0,2.0,0.9,1
Aarón Martín,ESP,Genoa,Italian Serie A,LB,Defender,28,360,0,0,2,2,0.1,0.1,0,0,11.0,0.0,6.0,11.0,2.0,1.0,24,0.7,0.8,149.0,212.0,11.0,0.0,1.0,4.0,0.0,149.0,63.0,12.0,66.0,73.0,66.0,84.0,15.0,47.0,2656.0,1069.0,132.0,5.0,721.0,252.0,5.0,0.0,4.0,4.0,0.0,9.0,6,5.0,3.0,1.0,3.0,3.0,0.0,2,4.0,3.0,7.0,0.0,19.0,4.0,4.0,8.0,128.0,12.0,244.0,6.0,83.0,108.0,54.0,4.0,244.0,1,0,0,4,3,0,0.0,0.0,0.0,1.0,2.0,3.0,28.0,11.0,7.0,9.0,-0.1,1
Abdallah Sima,SEN,Lens,French Ligue 1,AM,Forward,24,45,0,0,0,0,0.0,0.0,0,0,3.0,0.0,2.0,1.0,1.0,0.0,0,0.0,0.1,8.0,12.0,3.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,5.0,8.0,3.0,3.0,0.0,1.0,99.0,31.0,8.0,1.0,55.0,15.0,2.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,12.0,2.0,20.0,1.0,2.0,9.0,9.0,0.0,20.0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,3.0,1.0,0.0,0.0,1
Abde Ezzalzouli,MAR,Betis,Spanish La Liga,LW,Forward,23,109,0,1,5,1,0.3,0.3,0,0,11.0,1.0,4.0,0.0,2.0,0.0,4,1.1,1.3,36.0,45.0,4.0,0.0,0.0,2.0,0.0,43.0,2.0,1.0,24.0,25.0,8.0,13.0,0.0,1.0,407.0,140.0,47.0,12.0,477.0,303.0,5.0,7.0,13.0,5.0,5.0,4.0,2,2.0,1.0,1.0,2.0,2.0,0.0,1,2.0,0.0,3.0,0.0,6.0,4.0,1.0,5.0,47.0,17.0,71.0,3.0,7.0,25.0,42.0,14.0,71.0,0,0,0,0,9,0,0.0,0.0,0.0,0.0,1.0,1.0,33.0,12.0,23.0,4.0,-0.3,1
Abde Rebbach,ALG,Alavés,Spanish La Liga,LM,Midfielder,27,19,0,0,0,0,0.0,0.0,0,0,0.0,0.0,1.0,3.0,1.0,0.0,3,0.0,0.0,12.0,17.0,3.0,0.0,0.0,0.0,0.0,12.0,5.0,2.0,6.0,6.0,4.0,6.0,2.0,5.0,222.0,66.0,9.0,1.0,91.0,63.0,2.0,0.0,1.0,1.0,0.0,2.0,0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,11.0,1.0,18.0,0.0,3.0,8.0,9.0,1.0,18.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,1
Abdel Abqar,MAR,Getafe,Spanish La Liga,CB,Defender,26,162,0,0,1,0,0.0,0.0,0,0,0.0,0.0,0.0,3.0,0.0,0.0,0,0.0,0.0,37.0,53.0,2.0,0.0,3.0,0.0,0.0,51.0,2.0,1.0,11.0,13.0,21.0,22.0,5.0,17.0,828.0,210.0,35.0,0.0,150.0,66.0,0.0,0.0,0.0,0.0,0.0,6.0,2,6.0,0.0,0.0,4.0,4.0,0.0,4,3.0,0.0,3.0,0.0,11.0,1.0,0.0,1.0,37.0,0.0,73.0,5.0,46.0,26.0,1.0,0.0,73.0,1,0,0,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,1
Abdelhamid Ait Boudlal,MAR,Rennes,French Ligue 1,CB,Defender,19,75,0,0,0,0,0.0,0.0,0,0,1.0,0.0,0.0,3.0,1.0,0.0,0,0.0,0.0,28.0,33.0,3.0,0.0,0.0,0.0,0.0,30.0,3.0,3.0,11.0,13.0,14.0,14.0,3.0,6.0,513.0,207.0,21.0,1.0,80.0,40.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0.0,1.0,0.0,1.0,2.0,1.0,3,2.0,1.0,2.0,0.0,3.0,2.0,0.0,2.0,26.0,1.0,42.0,3.0,22.0,17.0,3.0,1.0,42.0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,3.0,2.0,0.0,1
Abdellah Zoubir,FRA,Qarabağ,UEFA Champions League,LW,Forward,33,90,0,1,0,0,0.0,0.0,0,0,2.0,2.0,1.0,3.0,0.0,0.0,1,0.3,0.1,46.0,50.0,3.0,0.0,0.0,2.0,0.0,49.0,1.0,0.0,33.0,35.0,10.0,11.0,3.0,3.0,664.0,75.0,33.0,1.0,158.0,89.0,6.0,0.0,3.0,1.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,42.0,6.0,57.0,1.0,10.0,19.0,28.0,3.0,57.0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,3.0,4.0,10.0,4.0,3.0,0.0,0.0,1
Abderrahman Rebbach,ALG,Alavés,Spanish La Liga,CM,Midfielder,27,47,0,0,3,2,0.1,0.1,0,0,6.0,1.0,1.0,4.0,1.0,1.0,3,0.0,0.0,23.0,33.0,5.0,0.0,0.0,1.0,0.0,29.0,4.0,1.0,12.0,13.0,6.0,10.0,2.0,5.0,367.0,148.0,23.0,4.0,149.0,87.0,1.0,1.0,3.0,1.0,1.0,2.0,0,2.0,0.0,0.0,1.0,1.0,0.0,2,1.0,0.0,0.0,0.0,4.0,3.0,2.0,5.0,31.0,10.0,45.0,0.0,6.0,21.0,19.0,1.0,45.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1.0,1.0,19.0,7.0,4.0,1.0,-0.1,1
Abdou Harroui,NED,Hellas Verona,Italian Serie A,CM,Midfielder,27,70,0,0,1,1,0.1,0.1,0,0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,21.0,26.0,0.0,0.0,1.0,1.0,1.0,20.0,5.0,2.0,10.0,11.0,8.0,8.0,2.0,4.0,361.0,28.0,12.0,2.0,85.0,32.0,1.0,0.0,2.0,1.0,0.0,2.0,2,1.0,1.0,0.0,1.0,1.0,0.0,0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,15.0,1.0,33.0,0.0,7.0,20.0,7.0,1.0,33.0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,1.0,3.0,-0.1,1
Abdoul Coulibaly,GER,Werder Bremen,German Bundesliga,CB,Defender,18,283,1,0,2,1,0.3,0.3,0,0,4.0,1.0,2.0,10.0,0.0,0.0,1,0.0,0.0,179.0,219.0,12.0,0.0,4.0,4.0,1.0,203.0,15.0,3.0,43.0,49.0,117.0,125.0,18.0,38.0,3596.0,1210.0,178.0,5.0,1001.0,573.0,3.0,0.0,1.0,1.0,0.0,3.0,0,1.0,2.0,0.0,0.0,3.0,3.0,5,4.0,3.0,16.0,2.0,7.0,1.0,1.0,2.0,186.0,0.0,249.0,37.0,131.0,110.0,8.0,2.0,249.0,0,0,0,0,1,0,0.0,0.0,1.0,5.0,9.0,14.0,17.0,5.0,2.0,0.0,0.7,1
