Player,Game Week,Team,League,Nationality,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total)
Stefano Turati,J1,Sassuolo,Italian Serie A,ITA,GK,Goalkeeper,23,90,4.0,2.0,2.0,1.2,-0.8,0,0.0,16,23.0,4.0,936.1,3.0,201.9,9,1.0,1.0,10.0
Alex Meret,J1,Napoli,Italian Serie A,ITA,GK,Goalkeeper,28,90,2.0,0.0,2.0,0.0,0.0,1,1.0,5,31.0,3.0,762.6,6.0,106.8,4,1.0,2.0,43.6
Yann Sommer,J1,Inter,Italian Serie A,SUI,GK,Goalkeeper,36,90,4.0,0.0,4.0,1.2,1.2,1,2.0,2,30.0,5.0,726.0,5.0,67.0,15,1.0,0.0,0.0
Franco Israel,J1,Torino,Italian Serie A,URU,GK,Goalkeeper,25,90,9.0,5.0,4.0,2.6,-2.4,0,3.0,7,30.0,3.0,882.0,2.0,112.0,10,1.0,2.0,28.4
Robert Sánchez,J1,Chelsea,English Premier League,ESP,GK,Goalkeeper,27,90,4.0,0.0,4.0,0.3,0.3,1,2.0,11,30.0,2.0,927.0,6.0,199.8,10,0.0,1.0,15.8
Dean Henderson,J1,Crystal Palace,English Premier League,ENG,GK,Goalkeeper,28,90,2.0,0.0,2.0,0.7,0.7,1,8.0,16,17.0,2.0,741.2,13.0,529.1,19,0.0,1.0,12.0
Altay Bayındır,J1,Manchester Utd,English Premier League,TUR,GK,Goalkeeper,27,90,3.0,1.0,2.0,1.2,0.2,0,5.0,15,46.0,3.0,1472.0,2.0,77.0,8,2.0,1.0,9.5
David Raya,J1,Arsenal,English Premier League,ESP,GK,Goalkeeper,29,90,7.0,0.0,7.0,0.7,0.7,1,5.0,20,28.0,9.0,963.2,9.0,583.2,11,2.0,0.0,0.0
Lucas Perri,J1,Leeds United,English Premier League,BRA,GK,Goalkeeper,27,90,1.0,0.0,1.0,0.1,0.1,1,3.0,14,30.0,3.0,1086.0,3.0,119.1,10,1.0,0.0,0.0
Jordan Pickford,J1,Everton,English Premier League,ENG,GK,Goalkeeper,31,90,3.0,1.0,2.0,1.1,0.1,0,9.0,25,46.0,5.0,1531.8,13.0,551.2,20,1.0,3.0,48.3
Mads Hermansen,J2,West Ham,English Premier League,DEN,GK,Goalkeeper,25,90,7.0,5.0,2.0,5.1,0.1,0,4.0,16,34.0,3.0,1176.4,2.0,138.0,10,1.0,1.0,10.4
Robert Sánchez,J2,Chelsea,English Premier League,ESP,GK,Goalkeeper,27,90,4.0,1.0,3.0,0.3,-0.7,0,6.0,18,37.0,5.0,1409.7,3.0,156.9,15,1.0,0.0,0.0
James Trafford,J2,Manchester City,English Premier League,ENG,GK,Goalkeeper,22,90,5.0,2.0,3.0,2.1,0.1,0,3.0,12,34.0,5.0,965.6,8.0,286.4,10,0.0,9.0,207.9
Guglielmo Vicario,J2,Tottenham,English Premier League,ITA,GK,Goalkeeper,28,90,4.0,0.0,4.0,0.6,0.6,1,4.0,20,40.0,3.0,1420.0,10.0,296.0,13,0.0,1.0,16.0
Đorđe Petrović,J2,Bournemouth,English Premier League,SRB,GK,Goalkeeper,25,90,1.0,0.0,1.0,0.2,0.2,1,3.0,12,20.0,3.0,808.0,4.0,175.2,13,1.0,2.0,27.6
José Sá,J2,Wolves,English Premier League,POR,GK,Goalkeeper,32,90,4.0,1.0,3.0,0.9,-0.1,0,8.0,21,29.0,5.0,1255.7,6.0,393.0,15,2.0,1.0,12.0
Caoimhín Kelleher,J2,Brentford,English Premier League,IRL,GK,Goalkeeper,26,90,2.0,0.0,2.0,0.1,0.1,1,14.0,25,21.0,2.0,1058.4,7.0,454.3,20,1.0,0.0,0.0
Emiliano Martínez,J2,Aston Villa,English Premier League,ARG,GK,Goalkeeper,32,90,2.0,1.0,1.0,1.0,0.0,0,4.0,5,35.0,5.0,815.5,3.0,72.9,7,1.0,0.0,0.0
Martin Dúbravka,J2,Burnley,English Premier League,SVK,GK,Goalkeeper,36,90,1.0,0.0,1.0,0.7,0.7,1,3.0,19,33.0,7.0,1016.4,10.0,619.0,18,1.0,0.0,0.0
Robin Roefs,J2,Sunderland,English Premier League,NED,GK,Goalkeeper,22,90,2.0,2.0,0.0,1.6,-0.4,0,3.0,10,25.0,4.0,810.0,3.0,126.9,11,1.0,3.0,56.1
David Raya,J2,Arsenal,English Premier League,ESP,GK,Goalkeeper,29,90,1.0,0.0,1.0,0.1,0.1,1,4.0,7,32.0,1.0,921.6,0.0,0.0,3,1.0,0.0,0.0
Lucas Perri,J2,Leeds United,English Premier League,BRA,GK,Goalkeeper,27,90,5.0,5.0,0.0,2.8,-2.2,0,5.0,20,26.0,3.0,1058.2,9.0,567.9,13,0.0,0.0,0.0
Dean Henderson,J2,Crystal Palace,English Premier League,ENG,GK,Goalkeeper,28,90,1.0,1.0,0.0,0.3,-0.7,0,1.0,13,31.0,2.0,1013.7,10.0,266.0,20,1.0,0.0,0.0
Matz Sels,J2,Nott'ham Forest,English Premier League,BEL,GK,Goalkeeper,33,90,4.0,1.0,3.0,0.8,-0.2,0,5.0,14,24.0,6.0,955.2,6.0,210.0,10,1.0,1.0,16.6
Jordan Pickford,J2,Everton,English Premier League,ENG,GK,Goalkeeper,31,90,4.0,0.0,3.0,1.5,1.5,1,16.0,35,43.0,2.0,2098.4,6.0,424.2,9,1.0,3.0,55.8
Bart Verbruggen,J2,Brighton,English Premier League,NED,GK,Goalkeeper,23,90,3.0,2.0,1.0,1.2,-0.8,0,3.0,14,40.0,9.0,1244.0,3.0,107.1,8,0.0,0.0,0.0
Bernd Leno,J2,Fulham,English Premier League,GER,GK,Goalkeeper,33,90,3.0,1.0,3.0,0.5,-0.5,0,2.0,13,33.0,4.0,1013.1,7.0,424.2,11,0.0,0.0,0.0
Altay Bayındır,J2,Manchester Utd,English Premier League,TUR,GK,Goalkeeper,27,90,3.0,1.0,2.0,1.4,0.4,0,3.0,15,24.0,4.0,943.2,5.0,234.0,23,1.0,0.0,0.0
