Player,Game Week,Team,League,Nationality,Position,Age,Minutes,Goals,Assists,Shots Total,Shots on Target,Expected Goals (xG),Non-Penalty Expected Goals (npxG),Penalty Kicks Made,Penalty Kicks Attempted,Shot-Creating Actions (SCA),Goal-Creating Actions (GCA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Crosses,Expected Assists (xA),Expected Assisted Goals (xAG),Passes Completed,Passes Attempted,Progressive Passes,Through Balls,Switches,Passes Blocked,Passes Offside,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Passing Distance (Total),Progressive Passing Distance (Total),Progressive Runs,Carries,Progressive Carries,Carrying Distance (Total),Progressive Carrying Distance (Total),Carries into Final Third,Carries into Penalty Area,Take-Ons Attempted,Successful Take-Ons,Times Tackled During Take-On,Tackles,Tackles Won,Tackles in Defensive Third,Tackles in Middle Third,Tackles in Attacking Third,Dribblers Tackled,Dribbles Challenged,Challenges Lost,Interceptions,Blocks,Shots Blocked,Clearances,Errors Leading to Shot,Ball Recoveries,Miscontrols,Dispossessed,Ball Losses,Passes Received,Progressive Passes Received,Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Live-Ball Touches,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalties Kicks Conceded,Penalties Kicks Won,Own Goals,Aerials Won,Aerials Lost,Total Aerials,General Position
João Pedro,J1,Chelsea,English Premier League,BRA,AM,23,72,0,0,2,0,0.3,0.3,0,0,3.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,11.0,13.0,3.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,7.0,8.0,3.0,4.0,0.0,0.0,126.0,14.0,1.0,18.0,1.0,72.0,10.0,0.0,1.0,2.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,20.0,6.0,22.0,0.0,0.0,5.0,17.0,4.0,22.0,0,0,0,0,1,0,0.0,0.0,0.0,2.0,3.0,5.0,Forward
Liam Delap,J1,Chelsea,English Premier League,ENG,AM,22,18,0,0,1,1,0.0,0.0,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1,0.0,0.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,0.0,45.0,10.0,1.0,6.0,1.0,28.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,7.0,3.0,9.0,1.0,1.0,3.0,5.0,2.0,9.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,2.0,Forward
Jamie Gittens,J1,Chelsea,English Premier League,ENG,LW,21,53,0,0,2,0,0.1,0.1,0,0,3.0,0.0,2.0,0.0,1.0,0.0,0,0.1,0.1,14.0,14.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,7.0,7.0,7.0,7.0,0.0,0.0,205.0,20.0,1.0,14.0,1.0,125.0,21.0,1.0,1.0,5.0,2.0,3.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,4.0,15.0,6.0,26.0,1.0,4.0,8.0,14.0,2.0,26.0,0,0,0,2,0,0,0.0,0.0,0.0,1.0,1.0,2.0,Forward
Estêvão Willian,J1,Chelsea,English Premier League,BRA,RW,18,37,0,0,1,0,0.3,0.3,0,0,1.0,0.0,0.0,1.0,0.0,0.0,4,0.4,0.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,2.0,2.0,6.0,8.0,0.0,1.0,136.0,18.0,1.0,12.0,1.0,100.0,40.0,0.0,1.0,6.0,2.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,11.0,8.0,19.0,1.0,1.0,6.0,12.0,3.0,19.0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Forward
Pedro Neto,J1,Chelsea,English Premier League,POR,RW,25,90,0,0,1,0,0.0,0.0,0,0,6.0,0.0,2.0,2.0,2.0,1.0,12,0.4,0.3,35.0,45.0,5.0,0.0,0.0,1.0,0.0,36.0,9.0,1.0,17.0,18.0,15.0,20.0,2.0,5.0,581.0,209.0,3.0,35.0,3.0,195.0,110.0,0.0,1.0,5.0,3.0,2.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,4.0,5.0,0.0,5.0,39.0,8.0,55.0,0.0,1.0,20.0,34.0,4.0,55.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,Forward
Cole Palmer,J1,Chelsea,English Premier League,ENG,AM,23,90,0,0,4,0,0.2,0.2,0,0,5.0,0.0,1.0,3.0,0.0,0.0,4,0.0,0.0,26.0,37.0,5.0,1.0,0.0,3.0,0.0,36.0,1.0,0.0,13.0,16.0,11.0,15.0,2.0,3.0,398.0,81.0,6.0,33.0,6.0,216.0,107.0,2.0,2.0,3.0,1.0,1.0,1.0,1,0.0,1.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,33.0,9.0,45.0,0.0,2.0,17.0,29.0,7.0,45.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Forward
Moisés Caicedo,J1,Chelsea,English Premier League,ECU,DM,23,90,0,0,1,0,0.0,0.0,0,0,2.0,0.0,0.0,9.0,0.0,0.0,0,0.0,0.0,63.0,67.0,8.0,0.0,1.0,0.0,0.0,67.0,0.0,0.0,34.0,34.0,25.0,28.0,4.0,4.0,1098.0,286.0,1.0,57.0,1.0,315.0,175.0,1.0,0.0,2.0,1.0,0.0,5.0,1,1.0,4.0,0.0,0.0,1.0,1.0,3,4.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,59.0,0.0,81.0,3.0,11.0,61.0,10.0,0.0,81.0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,1.0,2.0,Midfielder
Enzo Fernández,J1,Chelsea,English Premier League,ARG,DM,24,78,0,0,0,0,0.0,0.0,0,0,2.0,0.0,1.0,1.0,3.0,0.0,1,0.1,0.0,31.0,38.0,5.0,1.0,0.0,0.0,0.0,38.0,0.0,0.0,18.0,20.0,12.0,14.0,1.0,3.0,454.0,100.0,2.0,33.0,2.0,180.0,95.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,35.0,6.0,42.0,0.0,4.0,23.0,15.0,1.0,42.0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,Midfielder
Andrey Santos,J1,Chelsea,English Premier League,BRA,DM,21,12,0,0,2,1,0.3,0.3,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,3.0,3.0,0.0,2.0,0.0,0.0,33.0,1.0,0.0,6.0,0.0,22.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,8.0,0.0,1.0,5.0,2.0,2.0,8.0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder
Marc Cucurella,J1,Chelsea,English Premier League,ESP,LB,27,90,0,0,2,0,0.1,0.1,0,0,1.0,0.0,1.0,3.0,2.0,0.0,0,0.1,0.2,47.0,52.0,5.0,0.0,0.0,2.0,0.0,42.0,10.0,0.0,27.0,28.0,17.0,19.0,3.0,3.0,730.0,181.0,1.0,35.0,1.0,157.0,109.0,3.0,0.0,0.0,0.0,0.0,2.0,1,0.0,0.0,2.0,0.0,1.0,1.0,1,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,38.0,8.0,59.0,1.0,6.0,34.0,19.0,3.0,59.0,0,0,0,1,2,0,0.0,0.0,0.0,3.0,3.0,6.0,Defender
